probe_id,probe_version,probe_family,axis,template_id,mapping_direction,wording_family,wording_id,reference_frame,reference_surface,context_entity_order,target_entity_order,correct_target_for_context1,correct_target_for_context2,Context1,Target1,context1_direction,gold1_cardinal_direction,context1_screen_axis,context1_screen_sign,Context2,Target2,context2_direction,gold2_cardinal_direction,context2_screen_axis,context2_screen_sign,Context1_word_count,Context2_word_count,Target1_word_count,Target2_word_count,preposition,design_extension,preposition_match_id
north_south__edge_forward_plain,1.2,direction_definition,north_south,edge_forward_plain,word_to_meaning,map_edge,plain,north_up_east_right_map,map,,,Target1,Target2,"On this map, north is at the top and east is on the right. Moving north means moving toward",the top edge.,north,north,vertical,1,"On this map, north is at the top and east is on the right. Moving south means moving toward",the bottom edge.,south,south,vertical,-1,19,19,3,3,not_applicable,original,
north_south__edge_forward_paraphrase,1.2,direction_definition,north_south,edge_forward_paraphrase,word_to_meaning,map_edge,paraphrase,north_up_east_right_map,map,,,Target1,Target2,"On this map, north is at the top and east is on the right. To go north, travel toward",the top edge.,north,north,vertical,1,"On this map, north is at the top and east is on the right. To go south, travel toward",the bottom edge.,south,south,vertical,-1,19,19,3,3,not_applicable,original,
north_south__edge_reverse_plain,1.2,direction_definition,north_south,edge_reverse_plain,meaning_to_word,map_edge,plain,north_up_east_right_map,map,,,Target1,Target2,"On this map, north is at the top and east is on the right. Moving toward the top edge means moving",north.,north,north,vertical,1,"On this map, north is at the top and east is on the right. Moving toward the bottom edge means moving",south.,south,south,vertical,-1,21,21,1,1,not_applicable,original,
north_south__edge_reverse_paraphrase,1.2,direction_definition,north_south,edge_reverse_paraphrase,meaning_to_word,map_edge,paraphrase,north_up_east_right_map,map,,,Target1,Target2,"On this map, north is at the top and east is on the right. To travel toward the top edge, go",north.,north,north,vertical,1,"On this map, north is at the top and east is on the right. To travel toward the bottom edge, go",south.,south,south,vertical,-1,21,21,1,1,not_applicable,original,
north_south__movement_forward_plain,1.2,direction_definition,north_south,movement_forward_plain,word_to_meaning,movement_word,plain,north_up_east_right_map,map,,,Target1,Target2,"On this map, north is at the top and east is on the right. Moving north means moving",upward.,north,north,vertical,1,"On this map, north is at the top and east is on the right. Moving south means moving",downward.,south,south,vertical,-1,18,18,1,1,not_applicable,original,
north_south__movement_forward_paraphrase,1.2,direction_definition,north_south,movement_forward_paraphrase,word_to_meaning,movement_word,paraphrase,north_up_east_right_map,map,,,Target1,Target2,"On this map, north is at the top and east is on the right. To go north, move",upward.,north,north,vertical,1,"On this map, north is at the top and east is on the right. To go south, move",downward.,south,south,vertical,-1,18,18,1,1,not_applicable,original,
north_south__movement_reverse_plain,1.2,direction_definition,north_south,movement_reverse_plain,meaning_to_word,movement_word,plain,north_up_east_right_map,map,,,Target1,Target2,"On this map, north is at the top and east is on the right. Moving upward means moving",north.,north,north,vertical,1,"On this map, north is at the top and east is on the right. Moving downward means moving",south.,south,south,vertical,-1,18,18,1,1,not_applicable,original,
north_south__movement_reverse_paraphrase,1.2,direction_definition,north_south,movement_reverse_paraphrase,meaning_to_word,movement_word,paraphrase,north_up_east_right_map,map,,,Target1,Target2,"On this map, north is at the top and east is on the right. To move upward, go",north.,north,north,vertical,1,"On this map, north is at the top and east is on the right. To move downward, go",south.,south,south,vertical,-1,18,18,1,1,not_applicable,original,
north_south__opposite_plain,1.2,opposite_direction,north_south,opposite_plain,word_to_opposite,opposite,plain,cardinal_directions,none,,,Target1,Target2,The direction opposite north is,south.,north,south,,,The direction opposite south is,north.,south,north,,,5,5,1,1,not_applicable,original,
north_south__opposite_other_way,1.2,opposite_direction,north_south,opposite_other_way,word_to_opposite,opposite,other_way,cardinal_directions,none,,,Target1,Target2,Going the opposite way from north means going,south.,north,south,,,Going the opposite way from south means going,north.,south,north,,,8,8,1,1,not_applicable,original,
north_south__opposite_reversed,1.2,opposite_direction,north_south,opposite_reversed,word_to_opposite,opposite,reversed,cardinal_directions,none,,,Target1,Target2,"If the direction of travel is north, reversing that direction means traveling",south.,north,south,,,"If the direction of travel is south, reversing that direction means traveling",north.,south,north,,,12,12,1,1,not_applicable,original,
north_south__opposite_turn,1.2,opposite_direction,north_south,opposite_turn,word_to_opposite,opposite,turn,cardinal_directions,none,,,Target1,Target2,"If you face north and turn halfway around, you then face",south.,north,south,,,"If you face south and turn halfway around, you then face",north.,south,north,,,11,11,1,1,not_applicable,original,
north_south__position_forward_plain,1.2,relative_map_position,north_south,position_forward_plain,word_to_meaning,relative_position,plain,north_up_east_right_map,map,A_then_B,A_relative_to_B,Target1,Target2,"On this map, north is at the top and east is on the right. Marker A is north of marker B. On the map, marker A appears",above marker B.,north,north,vertical,1,"On this map, north is at the top and east is on the right. Marker A is south of marker B. On the map, marker A appears",below marker B.,south,south,vertical,-1,27,27,3,3,not_applicable,original,
north_south__position_forward_paraphrase,1.2,relative_map_position,north_south,position_forward_paraphrase,word_to_meaning,relative_position,paraphrase,north_up_east_right_map,map,A_then_B,A_relative_to_B,Target1,Target2,"On this map, north is at the top and east is on the right. Marker A lies north of marker B. Its position on the map is",above marker B.,north,north,vertical,1,"On this map, north is at the top and east is on the right. Marker A lies south of marker B. Its position on the map is",below marker B.,south,south,vertical,-1,27,27,3,3,not_applicable,original,
north_south__position_reverse_plain,1.2,relative_map_position,north_south,position_reverse_plain,meaning_to_word,relative_position,plain,north_up_east_right_map,map,A_then_B,A_relative_to_B,Target1,Target2,"On this map, north is at the top and east is on the right. Marker A appears above marker B. Marker A is",north of marker B.,north,north,vertical,1,"On this map, north is at the top and east is on the right. Marker A appears below marker B. Marker A is",south of marker B.,south,south,vertical,-1,23,23,4,4,not_applicable,original,
north_south__position_reverse_paraphrase,1.2,relative_map_position,north_south,position_reverse_paraphrase,meaning_to_word,relative_position,paraphrase,north_up_east_right_map,map,A_then_B,A_relative_to_B,Target1,Target2,"On this map, north is at the top and east is on the right. Marker A is drawn above marker B. Its position is",north of marker B.,north,north,vertical,1,"On this map, north is at the top and east is on the right. Marker A is drawn below marker B. Its position is",south of marker B.,south,south,vertical,-1,24,24,4,4,not_applicable,original,
east_west__edge_forward_plain,1.2,direction_definition,east_west,edge_forward_plain,word_to_meaning,map_edge,plain,north_up_east_right_map,map,,,Target1,Target2,"On this map, north is at the top and east is on the right. Moving east means moving toward",the right edge.,east,east,horizontal,1,"On this map, north is at the top and east is on the right. Moving west means moving toward",the left edge.,west,west,horizontal,-1,19,19,3,3,not_applicable,original,
east_west__edge_forward_paraphrase,1.2,direction_definition,east_west,edge_forward_paraphrase,word_to_meaning,map_edge,paraphrase,north_up_east_right_map,map,,,Target1,Target2,"On this map, north is at the top and east is on the right. To go east, travel toward",the right edge.,east,east,horizontal,1,"On this map, north is at the top and east is on the right. To go west, travel toward",the left edge.,west,west,horizontal,-1,19,19,3,3,not_applicable,original,
