reference_probe_id,variant_probe_id,control,scene_id,context_structure,target_order
between_feet__name_0__obj_ball__physical_placement__person_first__far_direct_far,between_feet__name_0__obj_ball__physical_placement__person_first__far_synonym_distant,far_to_distant_only,between_feet,object_subject,person_first
between_feet__name_0__obj_ball__physical_placement__object_first__far_direct_far,between_feet__name_0__obj_ball__physical_placement__object_first__far_synonym_distant,far_to_distant_only,between_feet,object_subject,object_first
between_feet__name_0__obj_ball__physical_placement_fronted__person_first__far_direct_far,between_feet__name_0__obj_ball__physical_placement_fronted__person_first__far_synonym_distant,far_to_distant_only,between_feet,fronted_location,person_first
between_feet__name_0__obj_ball__physical_placement_fronted__object_first__far_direct_far,between_feet__name_0__obj_ball__physical_placement_fronted__object_first__far_synonym_distant,far_to_distant_only,between_feet,fronted_location,object_first
between_feet__name_0__obj_ball__physical_placement_person_subject__person_first__far_direct_far,between_feet__name_0__obj_ball__physical_placement_person_subject__person_first__far_synonym_distant,far_to_distant_only,between_feet,person_subject,person_first
between_feet__name_0__obj_ball__physical_placement_person_subject__object_first__far_direct_far,between_feet__name_0__obj_ball__physical_placement_person_subject__object_first__far_synonym_distant,far_to_distant_only,between_feet,person_subject,object_first
between_feet__name_0__obj_bag__physical_placement__person_first__far_direct_far,between_feet__name_0__obj_bag__physical_placement__person_first__far_synonym_distant,far_to_distant_only,between_feet,object_subject,person_first
between_feet__name_0__obj_bag__physical_placement__object_first__far_direct_far,between_feet__name_0__obj_bag__physical_placement__object_first__far_synonym_distant,far_to_distant_only,between_feet,object_subject,object_first
between_feet__name_0__obj_bag__physical_placement_fronted__person_first__far_direct_far,between_feet__name_0__obj_bag__physical_placement_fronted__person_first__far_synonym_distant,far_to_distant_only,between_feet,fronted_location,person_first
between_feet__name_0__obj_bag__physical_placement_fronted__object_first__far_direct_far,between_feet__name_0__obj_bag__physical_placement_fronted__object_first__far_synonym_distant,far_to_distant_only,between_feet,fronted_location,object_first
between_feet__name_0__obj_bag__physical_placement_person_subject__person_first__far_direct_far,between_feet__name_0__obj_bag__physical_placement_person_subject__person_first__far_synonym_distant,far_to_distant_only,between_feet,person_subject,person_first
between_feet__name_0__obj_bag__physical_placement_person_subject__object_first__far_direct_far,between_feet__name_0__obj_bag__physical_placement_person_subject__object_first__far_synonym_distant,far_to_distant_only,between_feet,person_subject,object_first
between_feet__name_0__obj_book__physical_placement__person_first__far_direct_far,between_feet__name_0__obj_book__physical_placement__person_first__far_synonym_distant,far_to_distant_only,between_feet,object_subject,person_first
between_feet__name_0__obj_book__physical_placement__object_first__far_direct_far,between_feet__name_0__obj_book__physical_placement__object_first__far_synonym_distant,far_to_distant_only,between_feet,object_subject,object_first
between_feet__name_0__obj_book__physical_placement_fronted__person_first__far_direct_far,between_feet__name_0__obj_book__physical_placement_fronted__person_first__far_synonym_distant,far_to_distant_only,between_feet,fronted_location,person_first
between_feet__name_0__obj_book__physical_placement_fronted__object_first__far_direct_far,between_feet__name_0__obj_book__physical_placement_fronted__object_first__far_synonym_distant,far_to_distant_only,between_feet,fronted_location,object_first
between_feet__name_0__obj_book__physical_placement_person_subject__person_first__far_direct_far,between_feet__name_0__obj_book__physical_placement_person_subject__person_first__far_synonym_distant,far_to_distant_only,between_feet,person_subject,person_first
between_feet__name_0__obj_book__physical_placement_person_subject__object_first__far_direct_far,between_feet__name_0__obj_book__physical_placement_person_subject__object_first__far_synonym_distant,far_to_distant_only,between_feet,person_subject,object_first
