probe_id,original_baseline_probe_id,comparison_note
context_diagnostic__person_gym__name_0__obj_ball__placement__compact,person_gym__name_0__obj_ball__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
context_diagnostic__person_gym__name_0__obj_ball__placement__setting,person_gym__name_0__obj_ball__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
context_diagnostic__person_gym__name_0__obj_ball__placement__endpoint,person_gym__name_0__obj_ball__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
context_diagnostic__person_gym__name_0__obj_ball__person_direct__compact,person_gym__name_0__obj_ball__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
context_diagnostic__person_gym__name_0__obj_ball__person_direct__setting,person_gym__name_0__obj_ball__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
context_diagnostic__person_gym__name_0__obj_ball__person_direct__endpoint,person_gym__name_0__obj_ball__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
context_diagnostic__person_gym__name_0__obj_bag__placement__compact,person_gym__name_0__obj_bag__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
context_diagnostic__person_gym__name_0__obj_bag__placement__setting,person_gym__name_0__obj_bag__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
context_diagnostic__person_gym__name_0__obj_bag__placement__endpoint,person_gym__name_0__obj_bag__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
context_diagnostic__person_gym__name_0__obj_bag__person_direct__compact,person_gym__name_0__obj_bag__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
context_diagnostic__person_gym__name_0__obj_bag__person_direct__setting,person_gym__name_0__obj_bag__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
context_diagnostic__person_gym__name_0__obj_bag__person_direct__endpoint,person_gym__name_0__obj_bag__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
context_diagnostic__person_gym__name_1__obj_ball__placement__compact,person_gym__name_1__obj_ball__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
context_diagnostic__person_gym__name_1__obj_ball__placement__setting,person_gym__name_1__obj_ball__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
context_diagnostic__person_gym__name_1__obj_ball__placement__endpoint,person_gym__name_1__obj_ball__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
