pair_id,length_band,name_id,object_id,numeric_case_id,unit_id,closer_probe_id,farther_probe_id,Context1,Context2,Target1,Target2
numeric_aligned_v1_1__name_0__obj_cone__compact__num_00__unit_metres,compact,name_0,obj_cone,num_00,unit_metres,numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_00__unit_metres,numeric_aligned_v1_1__name_0__obj_cone__compact__farther__num_00__unit_metres,"Starting 18 metres from a stationary cone, Maya walked 5 metres directly toward it without reaching or passing it.","Starting 18 metres from a stationary cone, Maya walked 5 metres directly away from it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.
numeric_aligned_v1_1__name_0__obj_cone__compact__num_00__unit_ft,compact,name_0,obj_cone,num_00,unit_ft,numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_00__unit_ft,numeric_aligned_v1_1__name_0__obj_cone__compact__farther__num_00__unit_ft,"Starting 18 ft from a stationary cone, Maya walked 5 ft directly toward it without reaching or passing it.","Starting 18 ft from a stationary cone, Maya walked 5 ft directly away from it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.
numeric_aligned_v1_1__name_0__obj_cone__compact__num_00__unit_inches,compact,name_0,obj_cone,num_00,unit_inches,numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_00__unit_inches,numeric_aligned_v1_1__name_0__obj_cone__compact__farther__num_00__unit_inches,"Starting 18 inches from a stationary cone, Maya walked 5 inches directly toward it without reaching or passing it.","Starting 18 inches from a stationary cone, Maya walked 5 inches directly away from it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.
numeric_aligned_v1_1__name_0__obj_cone__compact__num_01__unit_metres,compact,name_0,obj_cone,num_01,unit_metres,numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_01__unit_metres,numeric_aligned_v1_1__name_0__obj_cone__compact__farther__num_01__unit_metres,"Starting 85 metres from a stationary cone, Maya walked 12 metres directly toward it without reaching or passing it.","Starting 85 metres from a stationary cone, Maya walked 12 metres directly away from it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.
numeric_aligned_v1_1__name_0__obj_cone__compact__num_01__unit_ft,compact,name_0,obj_cone,num_01,unit_ft,numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_01__unit_ft,numeric_aligned_v1_1__name_0__obj_cone__compact__farther__num_01__unit_ft,"Starting 85 ft from a stationary cone, Maya walked 12 ft directly toward it without reaching or passing it.","Starting 85 ft from a stationary cone, Maya walked 12 ft directly away from it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.
numeric_aligned_v1_1__name_0__obj_cone__compact__num_01__unit_inches,compact,name_0,obj_cone,num_01,unit_inches,numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_01__unit_inches,numeric_aligned_v1_1__name_0__obj_cone__compact__farther__num_01__unit_inches,"Starting 85 inches from a stationary cone, Maya walked 12 inches directly toward it without reaching or passing it.","Starting 85 inches from a stationary cone, Maya walked 12 inches directly away from it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.
numeric_aligned_v1_1__name_0__obj_cone__compact__num_02__unit_metres,compact,name_0,obj_cone,num_02,unit_metres,numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_02__unit_metres,numeric_aligned_v1_1__name_0__obj_cone__compact__farther__num_02__unit_metres,"Starting 30 metres from a stationary cone, Maya walked 6 metres directly toward it without reaching or passing it.","Starting 30 metres from a stationary cone, Maya walked 6 metres directly away from it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.
numeric_aligned_v1_1__name_0__obj_cone__compact__num_02__unit_ft,compact,name_0,obj_cone,num_02,unit_ft,numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_02__unit_ft,numeric_aligned_v1_1__name_0__obj_cone__compact__farther__num_02__unit_ft,"Starting 30 ft from a stationary cone, Maya walked 6 ft directly toward it without reaching or passing it.","Starting 30 ft from a stationary cone, Maya walked 6 ft directly away from it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.
numeric_aligned_v1_1__name_0__obj_cone__compact__num_02__unit_inches,compact,name_0,obj_cone,num_02,unit_inches,numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_02__unit_inches,numeric_aligned_v1_1__name_0__obj_cone__compact__farther__num_02__unit_inches,"Starting 30 inches from a stationary cone, Maya walked 6 inches directly toward it without reaching or passing it.","Starting 30 inches from a stationary cone, Maya walked 6 inches directly away from it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.
numeric_aligned_v1_1__name_0__obj_cone__compact__num_03__unit_metres,compact,name_0,obj_cone,num_03,unit_metres,numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_03__unit_metres,numeric_aligned_v1_1__name_0__obj_cone__compact__farther__num_03__unit_metres,"Starting 35 metres from a stationary cone, Maya walked 4 metres directly toward it without reaching or passing it.","Starting 35 metres from a stationary cone, Maya walked 4 metres directly away from it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.
numeric_aligned_v1_1__name_0__obj_cone__compact__num_03__unit_ft,compact,name_0,obj_cone,num_03,unit_ft,numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_03__unit_ft,numeric_aligned_v1_1__name_0__obj_cone__compact__farther__num_03__unit_ft,"Starting 35 ft from a stationary cone, Maya walked 4 ft directly toward it without reaching or passing it.","Starting 35 ft from a stationary cone, Maya walked 4 ft directly away from it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.
numeric_aligned_v1_1__name_0__obj_cone__compact__num_03__unit_inches,compact,name_0,obj_cone,num_03,unit_inches,numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_03__unit_inches,numeric_aligned_v1_1__name_0__obj_cone__compact__farther__num_03__unit_inches,"Starting 35 inches from a stationary cone, Maya walked 4 inches directly toward it without reaching or passing it.","Starting 35 inches from a stationary cone, Maya walked 4 inches directly away from it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.
numeric_aligned_v1_1__name_0__obj_cone__compact__num_04__unit_metres,compact,name_0,obj_cone,num_04,unit_metres,numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_04__unit_metres,numeric_aligned_v1_1__name_0__obj_cone__compact__farther__num_04__unit_metres,"Starting 53 metres from a stationary cone, Maya walked 32 metres directly toward it without reaching or passing it.","Starting 53 metres from a stationary cone, Maya walked 32 metres directly away from it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.
numeric_aligned_v1_1__name_0__obj_cone__compact__num_04__unit_ft,compact,name_0,obj_cone,num_04,unit_ft,numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_04__unit_ft,numeric_aligned_v1_1__name_0__obj_cone__compact__farther__num_04__unit_ft,"Starting 53 ft from a stationary cone, Maya walked 32 ft directly toward it without reaching or passing it.","Starting 53 ft from a stationary cone, Maya walked 32 ft directly away from it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.
numeric_aligned_v1_1__name_0__obj_cone__compact__num_04__unit_inches,compact,name_0,obj_cone,num_04,unit_inches,numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_04__unit_inches,numeric_aligned_v1_1__name_0__obj_cone__compact__farther__num_04__unit_inches,"Starting 53 inches from a stationary cone, Maya walked 32 inches directly toward it without reaching or passing it.","Starting 53 inches from a stationary cone, Maya walked 32 inches directly away from it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.
numeric_aligned_v1_1__name_0__obj_cone__compact__num_05__unit_metres,compact,name_0,obj_cone,num_05,unit_metres,numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_05__unit_metres,numeric_aligned_v1_1__name_0__obj_cone__compact__farther__num_05__unit_metres,"Starting 54 metres from a stationary cone, Maya walked 32 metres directly toward it without reaching or passing it.","Starting 54 metres from a stationary cone, Maya walked 32 metres directly away from it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.
numeric_aligned_v1_1__name_0__obj_cone__compact__num_05__unit_ft,compact,name_0,obj_cone,num_05,unit_ft,numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_05__unit_ft,numeric_aligned_v1_1__name_0__obj_cone__compact__farther__num_05__unit_ft,"Starting 54 ft from a stationary cone, Maya walked 32 ft directly toward it without reaching or passing it.","Starting 54 ft from a stationary cone, Maya walked 32 ft directly away from it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.
