contrast,method,grouping,group,n_contexts,n_correct,accuracy,mean_gold_margin,predicted_closer,predicted_farther,predicted_unchanged,predicted_tie
closer_vs_farther,raw,overall,all,5184,2582,0.498070987654321,-0.006543587801265128,4616,568,0,0
closer_vs_farther,pmi,overall,all,5184,2483,0.47897376543209874,-0.006543587801265128,881,4303,0,0
closer_vs_unchanged,raw,overall,all,5184,2592,0.5,0.0239877855796137,0,0,5184,0
closer_vs_unchanged,pmi,overall,all,5184,2658,0.5127314814814815,0.0239877855796137,5114,0,70,0
farther_vs_unchanged,raw,overall,all,5184,2592,0.5,0.014428456164436576,0,0,5184,0
farther_vs_unchanged,pmi,overall,all,5184,2592,0.5,0.014428456164436576,0,5184,0,0
closer_vs_farther,raw,length_band,compact,1728,865,0.5005787037037037,0.0010693156056933934,1257,471,0,0
closer_vs_farther,pmi,length_band,compact,1728,862,0.4988425925925926,0.0010693156056933934,74,1654,0,0
closer_vs_farther,raw,length_band,standard,1728,853,0.49363425925925924,-0.013920299087961515,1687,41,0,0
closer_vs_farther,pmi,length_band,standard,1728,803,0.46469907407407407,-0.013920299087961515,237,1491,0,0
closer_vs_farther,raw,length_band,expanded,1728,864,0.5,-0.006779779921527262,1672,56,0,0
closer_vs_farther,pmi,length_band,expanded,1728,818,0.47337962962962965,-0.006779779921527262,570,1158,0,0
closer_vs_unchanged,raw,length_band,compact,1728,864,0.5,0.03483708258028383,0,0,1728,0
closer_vs_unchanged,pmi,length_band,compact,1728,931,0.5387731481481481,0.03483708258028383,1661,0,67,0
closer_vs_unchanged,raw,length_band,standard,1728,864,0.5,0.021253271925228613,0,0,1728,0
closer_vs_unchanged,pmi,length_band,standard,1728,863,0.4994212962962963,0.021253271925228613,1725,0,3,0
closer_vs_unchanged,raw,length_band,expanded,1728,864,0.5,0.015873002233328642,0,0,1728,0
closer_vs_unchanged,pmi,length_band,expanded,1728,864,0.5,0.015873002233328642,1728,0,0,0
farther_vs_unchanged,raw,length_band,compact,1728,864,0.5,0.029606096032592986,0,0,1728,0
farther_vs_unchanged,pmi,length_band,compact,1728,864,0.5,0.029606096032592986,0,1728,0,0
farther_vs_unchanged,raw,length_band,standard,1728,864,0.5,0.01124472343535335,0,0,1728,0
farther_vs_unchanged,pmi,length_band,standard,1728,864,0.5,0.01124472343535335,0,1728,0,0
farther_vs_unchanged,raw,length_band,expanded,1728,864,0.5,0.002434549025363392,0,0,1728,0
farther_vs_unchanged,pmi,length_band,expanded,1728,864,0.5,0.002434549025363392,0,1728,0,0
closer_vs_farther,raw,description_family,explicit,2592,1293,0.4988425925925926,-0.0025900688804226155,2081,511,0,0
closer_vs_farther,pmi,description_family,explicit,2592,1279,0.49344135802469136,-0.0025900688804226155,237,2355,0,0
closer_vs_farther,raw,description_family,situation,2592,1289,0.4972993827160494,-0.01049710672210764,2535,57,0,0
closer_vs_farther,pmi,description_family,situation,2592,1204,0.4645061728395062,-0.01049710672210764,644,1948,0,0
closer_vs_unchanged,raw,description_family,explicit,2592,1296,0.5,0.013052916177261023,0,0,2592,0
closer_vs_unchanged,pmi,description_family,explicit,2592,1296,0.5,0.013052916177261023,2592,0,0,0
closer_vs_unchanged,raw,description_family,situation,2592,1296,0.5,0.034922654981966374,0,0,2592,0
closer_vs_unchanged,pmi,description_family,situation,2592,1362,0.5254629629629629,0.034922654981966374,2522,0,70,0
farther_vs_unchanged,raw,description_family,explicit,2592,1296,0.5,0.018299112027442013,0,0,2592,0
farther_vs_unchanged,pmi,description_family,explicit,2592,1296,0.5,0.018299112027442013,0,2592,0,0
farther_vs_unchanged,raw,description_family,situation,2592,1296,0.5,0.010557800301431138,0,0,2592,0
farther_vs_unchanged,pmi,description_family,situation,2592,1296,0.5,0.010557800301431138,0,2592,0,0
closer_vs_farther,raw,description_family+length_band,explicit|compact,864,430,0.4976851851851852,-0.00035849048031700984,438,426,0,0
closer_vs_farther,pmi,description_family+length_band,explicit|compact,864,432,0.5,-0.00035849048031700984,0,864,0,0
closer_vs_farther,raw,description_family+length_band,explicit|standard,864,431,0.4988425925925926,-0.0042125606150538834,835,29,0,0
closer_vs_farther,pmi,description_family+length_band,explicit|standard,864,426,0.4930555555555556,-0.0042125606150538834,114,750,0,0
closer_vs_farther,raw,description_family+length_band,explicit|expanded,864,432,0.5,-0.003199155545896954,808,56,0,0
closer_vs_farther,pmi,description_family+length_band,explicit|expanded,864,421,0.48726851851851855,-0.003199155545896954,123,741,0,0
closer_vs_farther,raw,description_family+length_band,situation|compact,864,435,0.5034722222222222,0.0024971216917037964,819,45,0,0
closer_vs_farther,pmi,description_family+length_band,situation|compact,864,430,0.4976851851851852,0.0024971216917037964,74,790,0,0
closer_vs_farther,raw,description_family+length_band,situation|standard,864,422,0.48842592592592593,-0.023628037560869147,852,12,0,0
closer_vs_farther,pmi,description_family+length_band,situation|standard,864,377,0.4363425925925926,-0.023628037560869147,123,741,0,0
closer_vs_farther,raw,description_family+length_band,situation|expanded,864,432,0.5,-0.01036040429715757,864,0,0,0
closer_vs_farther,pmi,description_family+length_band,situation|expanded,864,397,0.45949074074074076,-0.01036040429715757,447,417,0,0
closer_vs_unchanged,raw,description_family+length_band,explicit|compact,864,432,0.5,0.014902286783412651,0,0,864,0
closer_vs_unchanged,pmi,description_family+length_band,explicit|compact,864,432,0.5,0.014902286783412651,864,0,0,0
closer_vs_unchanged,raw,description_family+length_band,explicit|standard,864,432,0.5,0.027252461899209907,0,0,864,0
closer_vs_unchanged,pmi,description_family+length_band,explicit|standard,864,432,0.5,0.027252461899209907,864,0,0,0
closer_vs_unchanged,raw,description_family+length_band,explicit|expanded,864,432,0.5,-0.0029960001508394876,0,0,864,0
closer_vs_unchanged,pmi,description_family+length_band,explicit|expanded,864,432,0.5,-0.0029960001508394876,864,0,0,0
closer_vs_unchanged,raw,description_family+length_band,situation|compact,864,432,0.5,0.05477187837715502,0,0,864,0
closer_vs_unchanged,pmi,description_family+length_band,situation|compact,864,499,0.5775462962962963,0.05477187837715502,797,0,67,0
closer_vs_unchanged,raw,description_family+length_band,situation|standard,864,432,0.5,0.015254081951247321,0,0,864,0
closer_vs_unchanged,pmi,description_family+length_band,situation|standard,864,431,0.4988425925925926,0.015254081951247321,861,0,3,0
closer_vs_unchanged,raw,description_family+length_band,situation|expanded,864,432,0.5,0.034742004617496776,0,0,864,0
closer_vs_unchanged,pmi,description_family+length_band,situation|expanded,864,432,0.5,0.034742004617496776,864,0,0,0
farther_vs_unchanged,raw,description_family+length_band,explicit|compact,864,432,0.5,0.021593397000321635,0,0,864,0
farther_vs_unchanged,pmi,description_family+length_band,explicit|compact,864,432,0.5,0.021593397000321635,0,864,0,0
farther_vs_unchanged,raw,description_family+length_band,explicit|standard,864,432,0.5,0.02988882859547933,0,0,864,0
farther_vs_unchanged,pmi,description_family+length_band,explicit|standard,864,432,0.5,0.02988882859547933,0,864,0,0
farther_vs_unchanged,raw,description_family+length_band,explicit|expanded,864,432,0.5,0.0034151104865250766,0,0,864,0
farther_vs_unchanged,pmi,description_family+length_band,explicit|expanded,864,432,0.5,0.0034151104865250766,0,864,0,0
farther_vs_unchanged,raw,description_family+length_band,situation|compact,864,432,0.5,0.03761879506486433,0,0,864,0
farther_vs_unchanged,pmi,description_family+length_band,situation|compact,864,432,0.5,0.03761879506486433,0,864,0,0
farther_vs_unchanged,raw,description_family+length_band,situation|standard,864,432,0.5,-0.00739938172477263,0,0,864,0
farther_vs_unchanged,pmi,description_family+length_band,situation|standard,864,432,0.5,-0.00739938172477263,0,864,0,0
farther_vs_unchanged,raw,description_family+length_band,situation|expanded,864,432,0.5,0.0014539875642017083,0,0,864,0
farther_vs_unchanged,pmi,description_family+length_band,situation|expanded,864,432,0.5,0.0014539875642017083,0,864,0,0
closer_vs_farther,raw,condition_id+length_band,explicit_distance|compact,864,430,0.4976851851851852,-0.00035849048031700984,438,426,0,0
closer_vs_farther,pmi,condition_id+length_band,explicit_distance|compact,864,432,0.5,-0.00035849048031700984,0,864,0,0
closer_vs_farther,raw,condition_id+length_band,explicit_distance|standard,864,431,0.4988425925925926,-0.0042125606150538834,835,29,0,0
closer_vs_farther,pmi,condition_id+length_band,explicit_distance|standard,864,426,0.4930555555555556,-0.0042125606150538834,114,750,0,0
closer_vs_farther,raw,condition_id+length_band,explicit_distance|expanded,864,432,0.5,-0.003199155545896954,808,56,0,0
closer_vs_farther,pmi,condition_id+length_band,explicit_distance|expanded,864,421,0.48726851851851855,-0.003199155545896954,123,741,0,0
closer_vs_farther,raw,condition_id+length_band,movement_description|compact,864,435,0.5034722222222222,0.0024971216917037964,819,45,0,0
closer_vs_farther,pmi,condition_id+length_band,movement_description|compact,864,430,0.4976851851851852,0.0024971216917037964,74,790,0,0
closer_vs_farther,raw,condition_id+length_band,movement_description|standard,864,422,0.48842592592592593,-0.023628037560869147,852,12,0,0
closer_vs_farther,pmi,condition_id+length_band,movement_description|standard,864,377,0.4363425925925926,-0.023628037560869147,123,741,0,0
closer_vs_farther,raw,condition_id+length_band,movement_description|expanded,864,432,0.5,-0.01036040429715757,864,0,0,0
closer_vs_farther,pmi,condition_id+length_band,movement_description|expanded,864,397,0.45949074074074076,-0.01036040429715757,447,417,0,0
closer_vs_unchanged,raw,condition_id+length_band,explicit_distance|compact,864,432,0.5,0.014902286783412651,0,0,864,0
closer_vs_unchanged,pmi,condition_id+length_band,explicit_distance|compact,864,432,0.5,0.014902286783412651,864,0,0,0
closer_vs_unchanged,raw,condition_id+length_band,explicit_distance|standard,864,432,0.5,0.027252461899209907,0,0,864,0
closer_vs_unchanged,pmi,condition_id+length_band,explicit_distance|standard,864,432,0.5,0.027252461899209907,864,0,0,0
closer_vs_unchanged,raw,condition_id+length_band,explicit_distance|expanded,864,432,0.5,-0.0029960001508394876,0,0,864,0
closer_vs_unchanged,pmi,condition_id+length_band,explicit_distance|expanded,864,432,0.5,-0.0029960001508394876,864,0,0,0
closer_vs_unchanged,raw,condition_id+length_band,movement_description|compact,432,0,0.0,-0.4750489101365761,0,0,432,0
closer_vs_unchanged,pmi,condition_id+length_band,movement_description|compact,432,432,1.0,0.3025874191964114,432,0,0,0
closer_vs_unchanged,raw,condition_id+length_band,movement_description|standard,432,0,0.0,-0.4530586144990391,0,0,432,0
closer_vs_unchanged,pmi,condition_id+length_band,movement_description|standard,432,430,0.9953703703703703,0.32457771483394837,430,0,2,0
closer_vs_unchanged,raw,condition_id+length_band,movement_description|expanded,432,0,0.0,-0.3756557432589708,0,0,432,0
closer_vs_unchanged,pmi,condition_id+length_band,movement_description|expanded,432,432,1.0,0.4019805860740167,432,0,0,0
closer_vs_unchanged,raw,condition_id+length_band,orientation_control|compact,432,432,1.0,0.5845926668908861,0,0,432,0
closer_vs_unchanged,pmi,condition_id+length_band,orientation_control|compact,432,67,0.1550925925925926,-0.19304366244210136,365,0,67,0
closer_vs_unchanged,raw,condition_id+length_band,orientation_control|standard,432,432,1.0,0.4835667784015338,0,0,432,0
closer_vs_unchanged,pmi,condition_id+length_band,orientation_control|standard,432,1,0.0023148148148148147,-0.2940695509314537,431,0,1,0
closer_vs_unchanged,raw,condition_id+length_band,orientation_control|expanded,432,432,1.0,0.4451397524939643,0,0,432,0
closer_vs_unchanged,pmi,condition_id+length_band,orientation_control|expanded,432,0,0.0,-0.3324965768390232,432,0,0,0
farther_vs_unchanged,raw,condition_id+length_band,explicit_distance|compact,864,432,0.5,0.021593397000321635,0,0,864,0
farther_vs_unchanged,pmi,condition_id+length_band,explicit_distance|compact,864,432,0.5,0.021593397000321635,0,864,0,0
farther_vs_unchanged,raw,condition_id+length_band,explicit_distance|standard,864,432,0.5,0.02988882859547933,0,0,864,0
farther_vs_unchanged,pmi,condition_id+length_band,explicit_distance|standard,864,432,0.5,0.02988882859547933,0,864,0,0
farther_vs_unchanged,raw,condition_id+length_band,explicit_distance|expanded,864,432,0.5,0.0034151104865250766,0,0,864,0
farther_vs_unchanged,pmi,condition_id+length_band,explicit_distance|expanded,864,432,0.5,0.0034151104865250766,0,864,0,0
farther_vs_unchanged,raw,condition_id+length_band,movement_description|compact,432,0,0.0,-0.5618145303041847,0,0,432,0
