score_reduction,grouping,group,n_probes,completion_choice_accuracy,close_accuracy,far_accuracy,paired_success,context_sensitivity_accuracy,context_sensitivity_paired_success,exact_ties,near_ties_1e6
mean,all,all,72,0.7569444444444444,0.9861111111111112,0.5277777777777778,0.5138888888888888,0.8263888888888888,0.6527777777777778,0,0
mean,direction,word_to_definition,54,0.8425925925925926,0.9814814814814815,0.7037037037037037,0.6851851851851852,0.8240740740740741,0.6481481481481481,0,0
mean,direction,definition_to_word,18,0.5,1.0,0.0,0.0,0.8333333333333334,0.6666666666666666,0,0
mean,direction+adjective_pair_id,word_to_definition|adj_0,27,0.8703703703703703,0.9629629629629629,0.7777777777777778,0.7407407407407407,0.8333333333333334,0.6666666666666666,0,0
mean,direction+adjective_pair_id,word_to_definition|adj_1,27,0.8148148148148148,1.0,0.6296296296296297,0.6296296296296297,0.8148148148148148,0.6296296296296297,0,0
mean,direction+adjective_pair_id,definition_to_word|adj_0,9,0.5,1.0,0.0,0.0,0.8333333333333334,0.6666666666666666,0,0
mean,direction+adjective_pair_id,definition_to_word|adj_1,9,0.5,1.0,0.0,0.0,0.8333333333333334,0.6666666666666666,0,0
mean,direction+modifier_id,word_to_definition|mod_0,18,0.8333333333333334,1.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666,0,0
mean,direction+modifier_id,word_to_definition|mod_1,18,0.8611111111111112,1.0,0.7222222222222222,0.7222222222222222,0.8055555555555556,0.6111111111111112,0,0
mean,direction+modifier_id,word_to_definition|mod_2,18,0.8333333333333334,0.9444444444444444,0.7222222222222222,0.6666666666666666,0.8333333333333334,0.6666666666666666,0,0
mean,direction+modifier_id,definition_to_word|mod_0,6,0.5,1.0,0.0,0.0,0.8333333333333334,0.6666666666666666,0,0
mean,direction+modifier_id,definition_to_word|mod_1,6,0.5,1.0,0.0,0.0,0.8333333333333334,0.6666666666666666,0,0
mean,direction+modifier_id,definition_to_word|mod_2,6,0.5,1.0,0.0,0.0,0.8333333333333334,0.6666666666666666,0,0
mean,direction+definition_structure_id,word_to_definition|def_0,18,0.75,1.0,0.5,0.5,0.7222222222222222,0.4444444444444444,0,0
mean,direction+definition_structure_id,word_to_definition|def_1,18,0.8333333333333334,1.0,0.6666666666666666,0.6666666666666666,0.9166666666666666,0.8333333333333334,0,0
mean,direction+definition_structure_id,word_to_definition|def_2,18,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.8888888888888888,0.8333333333333334,0.6666666666666666,0,0
mean,direction+definition_structure_id,definition_to_word|def_0,6,0.5,1.0,0.0,0.0,1.0,1.0,0,0
mean,direction+definition_structure_id,definition_to_word|def_1,6,0.5,1.0,0.0,0.0,1.0,1.0,0,0
mean,direction+definition_structure_id,definition_to_word|def_2,6,0.5,1.0,0.0,0.0,0.5,0.0,0,0
mean,direction+context_stem_id,word_to_definition|ctx_0,18,1.0,1.0,1.0,1.0,0.8888888888888888,0.7777777777777778,0,0
mean,direction+context_stem_id,word_to_definition|ctx_1,18,0.8888888888888888,0.9444444444444444,0.8333333333333334,0.7777777777777778,0.8055555555555556,0.6111111111111112,0,0
mean,direction+context_stem_id,word_to_definition|ctx_2,18,0.6388888888888888,1.0,0.2777777777777778,0.2777777777777778,0.7777777777777778,0.5555555555555556,0,0
mean,direction+context_stem_id,definition_to_word|None,18,0.5,1.0,0.0,0.0,0.8333333333333334,0.6666666666666666,0,0
mean,direction+adjective_pair_id+modifier_id,word_to_definition|adj_0|mod_0,9,0.8888888888888888,1.0,0.7777777777777778,0.7777777777777778,0.8333333333333334,0.6666666666666666,0,0
mean,direction+adjective_pair_id+modifier_id,word_to_definition|adj_1|mod_0,9,0.7777777777777778,1.0,0.5555555555555556,0.5555555555555556,0.8333333333333334,0.6666666666666666,0,0
mean,direction+adjective_pair_id+modifier_id,word_to_definition|adj_0|mod_1,9,0.8888888888888888,1.0,0.7777777777777778,0.7777777777777778,0.8333333333333334,0.6666666666666666,0,0
mean,direction+adjective_pair_id+modifier_id,word_to_definition|adj_1|mod_1,9,0.8333333333333334,1.0,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.5555555555555556,0,0
mean,direction+adjective_pair_id+modifier_id,word_to_definition|adj_0|mod_2,9,0.8333333333333334,0.8888888888888888,0.7777777777777778,0.6666666666666666,0.8333333333333334,0.6666666666666666,0,0
mean,direction+adjective_pair_id+modifier_id,word_to_definition|adj_1|mod_2,9,0.8333333333333334,1.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666,0,0
mean,direction+adjective_pair_id+modifier_id,definition_to_word|adj_0|mod_0,3,0.5,1.0,0.0,0.0,0.8333333333333334,0.6666666666666666,0,0
mean,direction+adjective_pair_id+modifier_id,definition_to_word|adj_1|mod_0,3,0.5,1.0,0.0,0.0,0.8333333333333334,0.6666666666666666,0,0
mean,direction+adjective_pair_id+modifier_id,definition_to_word|adj_0|mod_1,3,0.5,1.0,0.0,0.0,0.8333333333333334,0.6666666666666666,0,0
mean,direction+adjective_pair_id+modifier_id,definition_to_word|adj_1|mod_1,3,0.5,1.0,0.0,0.0,0.8333333333333334,0.6666666666666666,0,0
mean,direction+adjective_pair_id+modifier_id,definition_to_word|adj_0|mod_2,3,0.5,1.0,0.0,0.0,0.8333333333333334,0.6666666666666666,0,0
mean,direction+adjective_pair_id+modifier_id,definition_to_word|adj_1|mod_2,3,0.5,1.0,0.0,0.0,0.8333333333333334,0.6666666666666666,0,0
sum,all,all,72,0.7569444444444444,0.9861111111111112,0.5277777777777778,0.5138888888888888,0.8263888888888888,0.6527777777777778,0,0
sum,direction,word_to_definition,54,0.8425925925925926,0.9814814814814815,0.7037037037037037,0.6851851851851852,0.8240740740740741,0.6481481481481481,0,0
sum,direction,definition_to_word,18,0.5,1.0,0.0,0.0,0.8333333333333334,0.6666666666666666,0,0
sum,direction+adjective_pair_id,word_to_definition|adj_0,27,0.8703703703703703,0.9629629629629629,0.7777777777777778,0.7407407407407407,0.8333333333333334,0.6666666666666666,0,0
sum,direction+adjective_pair_id,word_to_definition|adj_1,27,0.8148148148148148,1.0,0.6296296296296297,0.6296296296296297,0.8148148148148148,0.6296296296296297,0,0
sum,direction+adjective_pair_id,definition_to_word|adj_0,9,0.5,1.0,0.0,0.0,0.8333333333333334,0.6666666666666666,0,0
sum,direction+adjective_pair_id,definition_to_word|adj_1,9,0.5,1.0,0.0,0.0,0.8333333333333334,0.6666666666666666,0,0
sum,direction+modifier_id,word_to_definition|mod_0,18,0.8333333333333334,1.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666,0,0
sum,direction+modifier_id,word_to_definition|mod_1,18,0.8611111111111112,1.0,0.7222222222222222,0.7222222222222222,0.8055555555555556,0.6111111111111112,0,0
sum,direction+modifier_id,word_to_definition|mod_2,18,0.8333333333333334,0.9444444444444444,0.7222222222222222,0.6666666666666666,0.8333333333333334,0.6666666666666666,0,0
sum,direction+modifier_id,definition_to_word|mod_0,6,0.5,1.0,0.0,0.0,0.8333333333333334,0.6666666666666666,0,0
sum,direction+modifier_id,definition_to_word|mod_1,6,0.5,1.0,0.0,0.0,0.8333333333333334,0.6666666666666666,0,0
sum,direction+modifier_id,definition_to_word|mod_2,6,0.5,1.0,0.0,0.0,0.8333333333333334,0.6666666666666666,0,0
sum,direction+definition_structure_id,word_to_definition|def_0,18,0.75,1.0,0.5,0.5,0.7222222222222222,0.4444444444444444,0,0
sum,direction+definition_structure_id,word_to_definition|def_1,18,0.8333333333333334,1.0,0.6666666666666666,0.6666666666666666,0.9166666666666666,0.8333333333333334,0,0
sum,direction+definition_structure_id,word_to_definition|def_2,18,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.8888888888888888,0.8333333333333334,0.6666666666666666,0,0
sum,direction+definition_structure_id,definition_to_word|def_0,6,0.5,1.0,0.0,0.0,1.0,1.0,0,0
sum,direction+definition_structure_id,definition_to_word|def_1,6,0.5,1.0,0.0,0.0,1.0,1.0,0,0
sum,direction+definition_structure_id,definition_to_word|def_2,6,0.5,1.0,0.0,0.0,0.5,0.0,0,0
sum,direction+context_stem_id,word_to_definition|ctx_0,18,1.0,1.0,1.0,1.0,0.8888888888888888,0.7777777777777778,0,0
sum,direction+context_stem_id,word_to_definition|ctx_1,18,0.8888888888888888,0.9444444444444444,0.8333333333333334,0.7777777777777778,0.8055555555555556,0.6111111111111112,0,0
sum,direction+context_stem_id,word_to_definition|ctx_2,18,0.6388888888888888,1.0,0.2777777777777778,0.2777777777777778,0.7777777777777778,0.5555555555555556,0,0
sum,direction+context_stem_id,definition_to_word|None,18,0.5,1.0,0.0,0.0,0.8333333333333334,0.6666666666666666,0,0
sum,direction+adjective_pair_id+modifier_id,word_to_definition|adj_0|mod_0,9,0.8888888888888888,1.0,0.7777777777777778,0.7777777777777778,0.8333333333333334,0.6666666666666666,0,0
sum,direction+adjective_pair_id+modifier_id,word_to_definition|adj_1|mod_0,9,0.7777777777777778,1.0,0.5555555555555556,0.5555555555555556,0.8333333333333334,0.6666666666666666,0,0
sum,direction+adjective_pair_id+modifier_id,word_to_definition|adj_0|mod_1,9,0.8888888888888888,1.0,0.7777777777777778,0.7777777777777778,0.8333333333333334,0.6666666666666666,0,0
sum,direction+adjective_pair_id+modifier_id,word_to_definition|adj_1|mod_1,9,0.8333333333333334,1.0,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.5555555555555556,0,0
sum,direction+adjective_pair_id+modifier_id,word_to_definition|adj_0|mod_2,9,0.8333333333333334,0.8888888888888888,0.7777777777777778,0.6666666666666666,0.8333333333333334,0.6666666666666666,0,0
sum,direction+adjective_pair_id+modifier_id,word_to_definition|adj_1|mod_2,9,0.8333333333333334,1.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666,0,0
sum,direction+adjective_pair_id+modifier_id,definition_to_word|adj_0|mod_0,3,0.5,1.0,0.0,0.0,0.8333333333333334,0.6666666666666666,0,0
sum,direction+adjective_pair_id+modifier_id,definition_to_word|adj_1|mod_0,3,0.5,1.0,0.0,0.0,0.8333333333333334,0.6666666666666666,0,0
sum,direction+adjective_pair_id+modifier_id,definition_to_word|adj_0|mod_1,3,0.5,1.0,0.0,0.0,0.8333333333333334,0.6666666666666666,0,0
sum,direction+adjective_pair_id+modifier_id,definition_to_word|adj_1|mod_1,3,0.5,1.0,0.0,0.0,0.8333333333333334,0.6666666666666666,0,0
sum,direction+adjective_pair_id+modifier_id,definition_to_word|adj_0|mod_2,3,0.5,1.0,0.0,0.0,0.8333333333333334,0.6666666666666666,0,0
sum,direction+adjective_pair_id+modifier_id,definition_to_word|adj_1|mod_2,3,0.5,1.0,0.0,0.0,0.8333333333333334,0.6666666666666666,0,0
