grouping,group,n_pairs,n_judgments,binary_accuracy,left_gold_accuracy,right_gold_accuracy,both_correct_fraction,left_word_chosen_fraction,context_sensitivity_accuracy,exact_choice_ties
event_family,static_placement,576,1152,0.4895833333333333,0.5520833333333334,0.4270833333333333,0.029513888888888888,0.07465277777777778,0.4782986111111111,0
event_family,target_crosses,384,768,0.50390625,0.5130208333333334,0.4947916666666667,0.010416666666666666,0.01953125,0.5182291666666666,0
event_family,reference_crosses,384,768,0.49609375,0.5286458333333334,0.4635416666666667,0.0,0.032552083333333336,0.4921875,0
event_family,target_moves_without_crossing,384,768,0.50390625,0.5234375,0.484375,0.020833333333333332,0.022135416666666668,0.515625,0
event_family,both_move,576,1152,0.5078125,0.5295138888888888,0.4861111111111111,0.026041666666666668,0.03211805555555555,0.5026041666666666,0
event_family,direct_label_control,96,192,0.5208333333333334,0.5416666666666666,0.5,0.5,0.4791666666666667,0.515625,0
event_family+evidence_type,static_placement|named_positions,144,288,0.5104166666666666,0.5138888888888888,0.5069444444444444,0.027777777777777776,0.024305555555555556,0.46875,0
event_family+evidence_type,static_placement|numbered_left_to_right,144,288,0.5,0.5972222222222222,0.4027777777777778,0.041666666666666664,0.1111111111111111,0.4826388888888889,0
event_family+evidence_type,static_placement|numbered_right_to_left,144,288,0.4756944444444444,0.5694444444444444,0.3819444444444444,0.020833333333333332,0.09375,0.4965277777777778,0
event_family+evidence_type,static_placement|lettered_positions,144,288,0.4722222222222222,0.5277777777777778,0.4166666666666667,0.027777777777777776,0.06944444444444445,0.4652777777777778,0
event_family+evidence_type,target_crosses|named_positions,96,192,0.5104166666666666,0.5,0.5208333333333334,0.020833333333333332,0.020833333333333332,0.53125,0
event_family+evidence_type,target_crosses|numbered_left_to_right,96,192,0.5052083333333334,0.5208333333333334,0.4895833333333333,0.010416666666666666,0.015625,0.4947916666666667,0
event_family+evidence_type,target_crosses|numbered_right_to_left,96,192,0.5,0.5208333333333334,0.4791666666666667,0.0,0.020833333333333332,0.53125,0
event_family+evidence_type,target_crosses|lettered_positions,96,192,0.5,0.5104166666666666,0.4895833333333333,0.010416666666666666,0.020833333333333332,0.515625,0
event_family+evidence_type,reference_crosses|named_positions,96,192,0.4895833333333333,0.5208333333333334,0.4583333333333333,0.0,0.03125,0.5104166666666666,0
event_family+evidence_type,reference_crosses|numbered_left_to_right,96,192,0.5,0.53125,0.46875,0.0,0.03125,0.4895833333333333,0
event_family+evidence_type,reference_crosses|numbered_right_to_left,96,192,0.5,0.53125,0.46875,0.0,0.03125,0.5052083333333334,0
event_family+evidence_type,reference_crosses|lettered_positions,96,192,0.4947916666666667,0.53125,0.4583333333333333,0.0,0.036458333333333336,0.4635416666666667,0
event_family+evidence_type,target_moves_without_crossing|named_positions,96,192,0.5,0.5,0.5,0.010416666666666666,0.010416666666666666,0.5729166666666666,0
event_family+evidence_type,target_moves_without_crossing|numbered_left_to_right,96,192,0.5260416666666666,0.5625,0.4895833333333333,0.052083333333333336,0.036458333333333336,0.5,0
event_family+evidence_type,target_moves_without_crossing|numbered_right_to_left,96,192,0.4947916666666667,0.5208333333333334,0.46875,0.010416666666666666,0.026041666666666668,0.5104166666666666,0
event_family+evidence_type,target_moves_without_crossing|lettered_positions,96,192,0.4947916666666667,0.5104166666666666,0.4791666666666667,0.010416666666666666,0.015625,0.4791666666666667,0
event_family+evidence_type,both_move|named_positions,144,288,0.5173611111111112,0.5555555555555556,0.4791666666666667,0.04861111111111111,0.0798611111111111,0.4930555555555556,0
event_family+evidence_type,both_move|numbered_left_to_right,144,288,0.5034722222222222,0.5138888888888888,0.4930555555555556,0.013888888888888888,0.010416666666666666,0.53125,0
event_family+evidence_type,both_move|numbered_right_to_left,144,288,0.5069444444444444,0.5208333333333334,0.4930555555555556,0.020833333333333332,0.013888888888888888,0.4861111111111111,0
event_family+evidence_type,both_move|lettered_positions,144,288,0.5034722222222222,0.5277777777777778,0.4791666666666667,0.020833333333333332,0.024305555555555556,0.5,0
event_family+evidence_type,direct_label_control|direct_label_plain,48,96,0.5416666666666666,0.5833333333333334,0.5,0.5,0.4583333333333333,0.53125,0
event_family+evidence_type,direct_label_control|direct_label_positioned,48,96,0.5,0.5,0.5,0.5,0.5,0.5,0
event_family+event_subtype,static_placement|outer_positions,192,384,0.5,0.6145833333333334,0.3854166666666667,0.03125,0.125,0.4817708333333333,0
event_family+event_subtype,static_placement|inner_positions,192,384,0.5078125,0.515625,0.5,0.026041666666666668,0.0234375,0.4921875,0
event_family+event_subtype,static_placement|off_center_reference,192,384,0.4609375,0.5260416666666666,0.3958333333333333,0.03125,0.07552083333333333,0.4609375,0
event_family+event_subtype,target_crosses|full_crossing,192,384,0.5052083333333334,0.5260416666666666,0.484375,0.015625,0.03125,0.5234375,0
event_family+event_subtype,target_crosses|inner_crossing,192,384,0.5026041666666666,0.5,0.5052083333333334,0.005208333333333333,0.0078125,0.5130208333333334,0
event_family+event_subtype,reference_crosses|full_crossing,192,384,0.5,0.5520833333333334,0.4479166666666667,0.0,0.052083333333333336,0.4973958333333333,0
event_family+event_subtype,reference_crosses|inner_crossing,192,384,0.4921875,0.5052083333333334,0.4791666666666667,0.0,0.013020833333333334,0.4869791666666667,0
event_family+event_subtype,target_moves_without_crossing|rightward_motion,192,384,0.5052083333333334,0.5208333333333334,0.4895833333333333,0.020833333333333332,0.020833333333333332,0.5208333333333334,0
event_family+event_subtype,target_moves_without_crossing|leftward_motion,192,384,0.5026041666666666,0.5260416666666666,0.4791666666666667,0.020833333333333332,0.0234375,0.5104166666666666,0
event_family+event_subtype,both_move|order_preserved_right,192,384,0.515625,0.5364583333333334,0.4947916666666667,0.036458333333333336,0.03125,0.5,0
event_family+event_subtype,both_move|order_preserved_left,192,384,0.5026041666666666,0.5208333333333334,0.484375,0.020833333333333332,0.0234375,0.5182291666666666,0
event_family+event_subtype,both_move|order_reversed,192,384,0.5052083333333334,0.53125,0.4791666666666667,0.020833333333333332,0.041666666666666664,0.4895833333333333,0
event_family+event_subtype,direct_label_control|plain,48,96,0.5416666666666666,0.5833333333333334,0.5,0.5,0.4583333333333333,0.53125,0
event_family+event_subtype,direct_label_control|positioned,48,96,0.5,0.5,0.5,0.5,0.5,0.5,0
event_family+length_band,static_placement|compact,192,384,0.4869791666666667,0.5260416666666666,0.4479166666666667,0.010416666666666666,0.0390625,0.4895833333333333,0
event_family+length_band,static_placement|standard,192,384,0.4817708333333333,0.5520833333333334,0.4114583333333333,0.020833333333333332,0.08072916666666667,0.484375,0
event_family+length_band,static_placement|expanded,192,384,0.5,0.578125,0.421875,0.057291666666666664,0.10416666666666667,0.4609375,0
event_family+length_band,target_crosses|compact,128,256,0.5,0.5,0.5,0.0,0.0,0.51171875,0
event_family+length_band,target_crosses|standard,128,256,0.5078125,0.5234375,0.4921875,0.015625,0.015625,0.5234375,0
event_family+length_band,target_crosses|expanded,128,256,0.50390625,0.515625,0.4921875,0.015625,0.04296875,0.51953125,0
event_family+length_band,reference_crosses|compact,128,256,0.49609375,0.5234375,0.46875,0.0,0.02734375,0.49609375,0
event_family+length_band,reference_crosses|standard,128,256,0.49609375,0.5234375,0.46875,0.0,0.02734375,0.48828125,0
event_family+length_band,reference_crosses|expanded,128,256,0.49609375,0.5390625,0.453125,0.0,0.04296875,0.4921875,0
event_family+length_band,target_moves_without_crossing|compact,128,256,0.5,0.5,0.5,0.0,0.0,0.515625,0
event_family+length_band,target_moves_without_crossing|standard,128,256,0.50390625,0.515625,0.4921875,0.015625,0.01171875,0.51171875,0
event_family+length_band,target_moves_without_crossing|expanded,128,256,0.5078125,0.5546875,0.4609375,0.046875,0.0546875,0.51953125,0
event_family+length_band,both_move|compact,192,384,0.5026041666666666,0.5104166666666666,0.4947916666666667,0.005208333333333333,0.0078125,0.5130208333333334,0
event_family+length_band,both_move|standard,192,384,0.5078125,0.515625,0.5,0.015625,0.013020833333333334,0.4973958333333333,0
event_family+length_band,both_move|expanded,192,384,0.5130208333333334,0.5625,0.4635416666666667,0.057291666666666664,0.07552083333333333,0.4973958333333333,0
event_family+length_band,direct_label_control|compact,32,64,0.515625,0.53125,0.5,0.5,0.484375,0.515625,0
event_family+length_band,direct_label_control|standard,32,64,0.53125,0.5625,0.5,0.5,0.46875,0.515625,0
event_family+length_band,direct_label_control|expanded,32,64,0.515625,0.53125,0.5,0.5,0.484375,0.515625,0
event_family+context_entity_order,static_placement|target_first,288,576,0.4618055555555556,0.5625,0.3611111111111111,0.010416666666666666,0.10069444444444445,0.4791666666666667,0
event_family+context_entity_order,static_placement|reference_first,288,576,0.5173611111111112,0.5416666666666666,0.4930555555555556,0.04861111111111111,0.04861111111111111,0.4774305555555556,0
event_family+context_entity_order,target_crosses|target_first,192,384,0.5,0.5,0.5,0.0,0.0,0.5260416666666666,0
event_family+context_entity_order,target_crosses|reference_first,192,384,0.5078125,0.5260416666666666,0.4895833333333333,0.020833333333333332,0.0390625,0.5104166666666666,0
event_family+context_entity_order,reference_crosses|target_first,192,384,0.4921875,0.5572916666666666,0.4270833333333333,0.0,0.06510416666666667,0.4895833333333333,0
event_family+context_entity_order,reference_crosses|reference_first,192,384,0.5,0.5,0.5,0.0,0.0,0.4947916666666667,0
event_family+context_entity_order,target_moves_without_crossing|target_first,192,384,0.5026041666666666,0.5260416666666666,0.4791666666666667,0.015625,0.0234375,0.515625,0
event_family+context_entity_order,target_moves_without_crossing|reference_first,192,384,0.5052083333333334,0.5208333333333334,0.4895833333333333,0.026041666666666668,0.020833333333333332,0.515625,0
