probe_id,scene_id,length_band,query_frame,axis,event_family,initial_facing,context1_final_facing,context2_final_facing,context1_action,context2_action,observer_start_position,observer_end_position,object_start_position,object_end_position,object_cardinal_relation,gold_relation_context1,gold_relation_context2,expected_relation_change,Context1,Context2,Target1,Target2,correct_target_for_context1,correct_target_for_context2,description_structure,object_description
face_north__object_east__compact__cardinal,face_north__object_east,compact,cardinal,east_west,observer_turn,north,north,south,no_turn,half_turn,"[0, 0]","[0, 0]","[1, 0]","[1, 0]",east,east,east,False,"Observer B faces north. Object A is east of B. B keeps facing the same direction. Neither changes location. At the end, to summarize the relationship:","Observer B faces north. Object A is east of B. B turns halfway around in place. Neither changes location. At the end, to summarize the relationship:",Object A is east of observer B.,Object A is west of observer B.,Target1,Target1,original,object_A
face_north__object_east__compact__observer_relative,face_north__object_east,compact,observer_relative,east_west,observer_turn,north,north,south,no_turn,half_turn,"[0, 0]","[0, 0]","[1, 0]","[1, 0]",east,right,left,True,"Observer B faces north. Object A is east of B. B keeps facing the same direction. Neither changes location. At the end, to summarize the relationship:","Observer B faces north. Object A is east of B. B turns halfway around in place. Neither changes location. At the end, to summarize the relationship:",Object A is on observer B's left side.,Object A is on observer B's right side.,Target2,Target1,original,object_A
face_north__object_east__standard__cardinal,face_north__object_east,standard,cardinal,east_west,observer_turn,north,north,south,no_turn,half_turn,"[0, 0]","[0, 0]","[1, 0]","[1, 0]",east,east,east,False,"Observer B initially faces north. Object A is positioned east of B. B does not turn and keeps facing the initial direction. Object A stays fixed, and B remains at the same location. At the end, to summarize the relationship:","Observer B initially faces north. Object A is positioned east of B. B makes a half-turn in place, ending facing the opposite direction. Object A stays fixed, and B remains at the same location. At the end, to summarize the relationship:",Object A is east of observer B.,Object A is west of observer B.,Target1,Target1,original,object_A
face_north__object_east__standard__observer_relative,face_north__object_east,standard,observer_relative,east_west,observer_turn,north,north,south,no_turn,half_turn,"[0, 0]","[0, 0]","[1, 0]","[1, 0]",east,right,left,True,"Observer B initially faces north. Object A is positioned east of B. B does not turn and keeps facing the initial direction. Object A stays fixed, and B remains at the same location. At the end, to summarize the relationship:","Observer B initially faces north. Object A is positioned east of B. B makes a half-turn in place, ending facing the opposite direction. Object A stays fixed, and B remains at the same location. At the end, to summarize the relationship:",Object A is on observer B's left side.,Object A is on observer B's right side.,Target2,Target1,original,object_A
face_north__object_east__expanded__cardinal,face_north__object_east,expanded,cardinal,east_west,observer_turn,north,north,south,no_turn,half_turn,"[0, 0]","[0, 0]","[1, 0]","[1, 0]",east,east,east,False,"At the start of the scene, observer B faces north. Object A occupies a fixed position east of B. B remains at that location without turning, continuing to face the initial direction. Throughout the scene, object A stays at its initial position. There is no change in either location. At the end, to summarize the relationship:","At the start of the scene, observer B faces north. Object A occupies a fixed position east of B. B turns halfway around without leaving that location, ending facing the opposite direction. Throughout the scene, object A stays at its initial position. There is no change in either location. At the end, to summarize the relationship:",Object A is east of observer B.,Object A is west of observer B.,Target1,Target1,original,object_A
face_north__object_east__expanded__observer_relative,face_north__object_east,expanded,observer_relative,east_west,observer_turn,north,north,south,no_turn,half_turn,"[0, 0]","[0, 0]","[1, 0]","[1, 0]",east,right,left,True,"At the start of the scene, observer B faces north. Object A occupies a fixed position east of B. B remains at that location without turning, continuing to face the initial direction. Throughout the scene, object A stays at its initial position. There is no change in either location. At the end, to summarize the relationship:","At the start of the scene, observer B faces north. Object A occupies a fixed position east of B. B turns halfway around without leaving that location, ending facing the opposite direction. Throughout the scene, object A stays at its initial position. There is no change in either location. At the end, to summarize the relationship:",Object A is on observer B's left side.,Object A is on observer B's right side.,Target2,Target1,original,object_A
face_north__object_west__compact__cardinal,face_north__object_west,compact,cardinal,east_west,observer_turn,north,north,south,no_turn,half_turn,"[0, 0]","[0, 0]","[-1, 0]","[-1, 0]",west,west,west,False,"Observer B faces north. Object A is west of B. B keeps facing the same direction. Neither changes location. At the end, to summarize the relationship:","Observer B faces north. Object A is west of B. B turns halfway around in place. Neither changes location. At the end, to summarize the relationship:",Object A is east of observer B.,Object A is west of observer B.,Target2,Target2,original,object_A
face_north__object_west__compact__observer_relative,face_north__object_west,compact,observer_relative,east_west,observer_turn,north,north,south,no_turn,half_turn,"[0, 0]","[0, 0]","[-1, 0]","[-1, 0]",west,left,right,True,"Observer B faces north. Object A is west of B. B keeps facing the same direction. Neither changes location. At the end, to summarize the relationship:","Observer B faces north. Object A is west of B. B turns halfway around in place. Neither changes location. At the end, to summarize the relationship:",Object A is on observer B's left side.,Object A is on observer B's right side.,Target1,Target2,original,object_A
face_north__object_west__standard__cardinal,face_north__object_west,standard,cardinal,east_west,observer_turn,north,north,south,no_turn,half_turn,"[0, 0]","[0, 0]","[-1, 0]","[-1, 0]",west,west,west,False,"Observer B initially faces north. Object A is positioned west of B. B does not turn and keeps facing the initial direction. Object A stays fixed, and B remains at the same location. At the end, to summarize the relationship:","Observer B initially faces north. Object A is positioned west of B. B makes a half-turn in place, ending facing the opposite direction. Object A stays fixed, and B remains at the same location. At the end, to summarize the relationship:",Object A is east of observer B.,Object A is west of observer B.,Target2,Target2,original,object_A
face_north__object_west__standard__observer_relative,face_north__object_west,standard,observer_relative,east_west,observer_turn,north,north,south,no_turn,half_turn,"[0, 0]","[0, 0]","[-1, 0]","[-1, 0]",west,left,right,True,"Observer B initially faces north. Object A is positioned west of B. B does not turn and keeps facing the initial direction. Object A stays fixed, and B remains at the same location. At the end, to summarize the relationship:","Observer B initially faces north. Object A is positioned west of B. B makes a half-turn in place, ending facing the opposite direction. Object A stays fixed, and B remains at the same location. At the end, to summarize the relationship:",Object A is on observer B's left side.,Object A is on observer B's right side.,Target1,Target2,original,object_A
