probe_id,probe_version,scene_id,scene_role,name_id,object_id,condition_id,context_structure,context_entity_order,target_order,reverses_context_entity_order,evidence_type,setting,assumption,include_in_primary_scene_summary,gold_requires_unstated_worn_shoes,Context1,Context2,Target1,Target2,Context1_word_count,Context1_token_count,Context2_word_count,Context2_token_count,Target1_word_count,Target1_token_count,Target2_word_count,Target2_token_count,source_probe_id,source_probe_version,probe_type,source_scene_id,source_assumption,source_close_evidence_type,close_evidence_type,far_evidence_type,close_context_structure,far_context_structure,mode,wording_family_id,adjective_pair_id,close_target_repeats_context,far_target_repeats_context
between_feet__name_0__obj_ball__physical_placement__person_first,1.0,between_feet,main,name_0,obj_ball,physical_placement,object_subject,object_first,person_first,True,body_part,gym,Body-part location anchors the object to the person.,True,False,The ball is between Maya's feet.,The ball is across the full length of a long gym from Maya.,Maya is close to the ball.,Maya is far from the ball.,7,8,13,14,6,8,6,8,between_feet__name_0__obj_ball__physical_placement__person_first,1.0,close_far_symmetric_wording,between_feet,Body-part location anchors the object to the person.,body_part,body_part,large_space_separation,object_subject,object_subject,original_baseline,original_placement,none,False,False
between_feet__name_0__obj_ball__physical_placement__person_first__close_direct_labels,1.0,between_feet,main,name_0,obj_ball,physical_placement,object_subject,object_first,person_first,True,body_part,gym,Close is stated or paraphrased directly; source placement wording is replaced.,True,False,The ball is close to Maya.,The ball is across the full length of a long gym from Maya.,Maya is close to the ball.,Maya is far from the ball.,6,7,13,14,6,8,6,8,between_feet__name_0__obj_ball__physical_placement__person_first,1.0,close_far_symmetric_wording,between_feet,Body-part location anchors the object to the person.,body_part,explicit_relation,large_space_separation,object_subject,object_subject,close_only,direct_labels,close_far,False,False
paired__name_0__obj_ball__object_subject__person_first__direct_labels,1.0,generic_wording,wording_control,name_0,obj_ball,physical_placement,object_subject,object_first,person_first,True,body_part,unspecified,Both distance relations are stated or paraphrased; no source placement or setting is specified.,False,False,The ball is close to Maya.,The ball is far from Maya.,Maya is close to the ball.,Maya is far from the ball.,6,7,6,7,6,8,6,8,,,close_far_symmetric_wording,,,,explicit_relation,explicit_relation,object_subject,object_subject,symmetric_pair,direct_labels,close_far,False,False
between_feet__name_0__obj_ball__physical_placement__person_first__close_proximity_synonyms,1.0,between_feet,main,name_0,obj_ball,physical_placement,object_subject,object_first,person_first,True,body_part,gym,Close is stated or paraphrased directly; source placement wording is replaced.,True,False,The ball is near Maya.,The ball is across the full length of a long gym from Maya.,Maya is close to the ball.,Maya is far from the ball.,5,6,13,14,6,8,6,8,between_feet__name_0__obj_ball__physical_placement__person_first,1.0,close_far_symmetric_wording,between_feet,Body-part location anchors the object to the person.,body_part,proximity_synonym,large_space_separation,object_subject,object_subject,close_only,proximity_synonyms,near_distant,False,False
paired__name_0__obj_ball__object_subject__person_first__proximity_synonyms,1.0,generic_wording,wording_control,name_0,obj_ball,physical_placement,object_subject,object_first,person_first,True,body_part,unspecified,Both distance relations are stated or paraphrased; no source placement or setting is specified.,False,False,The ball is near Maya.,The ball is distant from Maya.,Maya is close to the ball.,Maya is far from the ball.,5,6,6,7,6,8,6,8,,,close_far_symmetric_wording,,,,proximity_synonym,proximity_synonym,object_subject,object_subject,symmetric_pair,proximity_synonyms,near_distant,False,False
between_feet__name_0__obj_ball__physical_placement__person_first__close_distance_short_long,1.0,between_feet,main,name_0,obj_ball,physical_placement,object_subject,object_first,person_first,True,body_part,gym,Close is stated or paraphrased directly; source placement wording is replaced.,True,False,The ball and Maya are separated by a short distance.,The ball is across the full length of a long gym from Maya.,Maya is close to the ball.,Maya is far from the ball.,10,11,13,14,6,8,6,8,between_feet__name_0__obj_ball__physical_placement__person_first,1.0,close_far_symmetric_wording,between_feet,Body-part location anchors the object to the person.,body_part,distance_magnitude_phrase,large_space_separation,coordinated_entities,object_subject,close_only,distance_short_long,short_long,False,False
paired__name_0__obj_ball__object_subject__person_first__distance_short_long,1.0,generic_wording,wording_control,name_0,obj_ball,physical_placement,object_subject,object_first,person_first,True,body_part,unspecified,Both distance relations are stated or paraphrased; no source placement or setting is specified.,False,False,The ball and Maya are separated by a short distance.,The ball and Maya are separated by a long distance.,Maya is close to the ball.,Maya is far from the ball.,10,11,10,11,6,8,6,8,,,close_far_symmetric_wording,,,,distance_magnitude_phrase,distance_magnitude_phrase,coordinated_entities,coordinated_entities,symmetric_pair,distance_short_long,short_long,False,False
between_feet__name_0__obj_ball__physical_placement__person_first__close_distance_small_large,1.0,between_feet,main,name_0,obj_ball,physical_placement,object_subject,object_first,person_first,True,body_part,gym,Close is stated or paraphrased directly; source placement wording is replaced.,True,False,The ball and Maya are separated by a small distance.,The ball is across the full length of a long gym from Maya.,Maya is close to the ball.,Maya is far from the ball.,10,11,13,14,6,8,6,8,between_feet__name_0__obj_ball__physical_placement__person_first,1.0,close_far_symmetric_wording,between_feet,Body-part location anchors the object to the person.,body_part,distance_magnitude_phrase,large_space_separation,coordinated_entities,object_subject,close_only,distance_small_large,small_large,False,False
paired__name_0__obj_ball__object_subject__person_first__distance_small_large,1.0,generic_wording,wording_control,name_0,obj_ball,physical_placement,object_subject,object_first,person_first,True,body_part,unspecified,Both distance relations are stated or paraphrased; no source placement or setting is specified.,False,False,The ball and Maya are separated by a small distance.,The ball and Maya are separated by a large distance.,Maya is close to the ball.,Maya is far from the ball.,10,11,10,11,6,8,6,8,,,close_far_symmetric_wording,,,,distance_magnitude_phrase,distance_magnitude_phrase,coordinated_entities,coordinated_entities,symmetric_pair,distance_small_large,small_large,False,False
between_feet__name_0__obj_ball__physical_placement__object_first,1.0,between_feet,main,name_0,obj_ball,physical_placement,object_subject,object_first,object_first,False,body_part,gym,Body-part location anchors the object to the person.,True,False,The ball is between Maya's feet.,The ball is across the full length of a long gym from Maya.,The ball is close to Maya.,The ball is far from Maya.,7,8,13,14,6,7,6,7,between_feet__name_0__obj_ball__physical_placement__object_first,1.0,close_far_symmetric_wording,between_feet,Body-part location anchors the object to the person.,body_part,body_part,large_space_separation,object_subject,object_subject,original_baseline,original_placement,none,False,False
between_feet__name_0__obj_ball__physical_placement__object_first__close_direct_labels,1.0,between_feet,main,name_0,obj_ball,physical_placement,object_subject,object_first,object_first,False,body_part,gym,Close is stated or paraphrased directly; source placement wording is replaced.,True,False,The ball is close to Maya.,The ball is across the full length of a long gym from Maya.,The ball is close to Maya.,The ball is far from Maya.,6,7,13,14,6,7,6,7,between_feet__name_0__obj_ball__physical_placement__object_first,1.0,close_far_symmetric_wording,between_feet,Body-part location anchors the object to the person.,body_part,explicit_relation,large_space_separation,object_subject,object_subject,close_only,direct_labels,close_far,True,False
paired__name_0__obj_ball__object_subject__object_first__direct_labels,1.0,generic_wording,wording_control,name_0,obj_ball,physical_placement,object_subject,object_first,object_first,False,body_part,unspecified,Both distance relations are stated or paraphrased; no source placement or setting is specified.,False,False,The ball is close to Maya.,The ball is far from Maya.,The ball is close to Maya.,The ball is far from Maya.,6,7,6,7,6,7,6,7,,,close_far_symmetric_wording,,,,explicit_relation,explicit_relation,object_subject,object_subject,symmetric_pair,direct_labels,close_far,True,True
between_feet__name_0__obj_ball__physical_placement__object_first__close_proximity_synonyms,1.0,between_feet,main,name_0,obj_ball,physical_placement,object_subject,object_first,object_first,False,body_part,gym,Close is stated or paraphrased directly; source placement wording is replaced.,True,False,The ball is near Maya.,The ball is across the full length of a long gym from Maya.,The ball is close to Maya.,The ball is far from Maya.,5,6,13,14,6,7,6,7,between_feet__name_0__obj_ball__physical_placement__object_first,1.0,close_far_symmetric_wording,between_feet,Body-part location anchors the object to the person.,body_part,proximity_synonym,large_space_separation,object_subject,object_subject,close_only,proximity_synonyms,near_distant,False,False
