matched_group_id,outcome,unit_id,length_band,explicit_probe_id,situation_probe_id,initial_distance,final_distance,match_type
name_0__obj_cone__num_00__compact,closer,unit_metres,compact,name_0__obj_cone__num_00__explicit_distance__closer__compact,name_0__obj_cone__num_00__movement_description__closer__compact,18,13,same_entities_endpoints_and_targets
name_0__obj_cone__num_00,closer,unit_metres,standard,name_0__obj_cone__num_00__explicit_distance__closer,name_0__obj_cone__num_00__movement_description__closer,18,13,same_entities_endpoints_and_targets
name_0__obj_cone__num_00__expanded,closer,unit_metres,expanded,name_0__obj_cone__num_00__explicit_distance__closer__expanded,name_0__obj_cone__num_00__movement_description__closer__expanded,18,13,same_entities_endpoints_and_targets
name_0__obj_cone__num_00__compact,farther,unit_metres,compact,name_0__obj_cone__num_00__explicit_distance__farther__compact,name_0__obj_cone__num_00__movement_description__farther__compact,18,23,same_entities_endpoints_and_targets
name_0__obj_cone__num_00,farther,unit_metres,standard,name_0__obj_cone__num_00__explicit_distance__farther,name_0__obj_cone__num_00__movement_description__farther,18,23,same_entities_endpoints_and_targets
name_0__obj_cone__num_00__expanded,farther,unit_metres,expanded,name_0__obj_cone__num_00__explicit_distance__farther__expanded,name_0__obj_cone__num_00__movement_description__farther__expanded,18,23,same_entities_endpoints_and_targets
name_0__obj_cone__num_00__compact,unchanged,unit_metres,compact,name_0__obj_cone__num_00__explicit_distance__unchanged__compact,name_0__obj_cone__num_00__orientation_control__unchanged__compact,18,18,same_entities_endpoints_and_targets
name_0__obj_cone__num_00,unchanged,unit_metres,standard,name_0__obj_cone__num_00__explicit_distance__unchanged,name_0__obj_cone__num_00__orientation_control__unchanged,18,18,same_entities_endpoints_and_targets
name_0__obj_cone__num_00__expanded,unchanged,unit_metres,expanded,name_0__obj_cone__num_00__explicit_distance__unchanged__expanded,name_0__obj_cone__num_00__orientation_control__unchanged__expanded,18,18,same_entities_endpoints_and_targets
name_0__obj_cone__num_01__compact,closer,unit_metres,compact,name_0__obj_cone__num_01__explicit_distance__closer__compact,name_0__obj_cone__num_01__movement_description__closer__compact,85,73,same_entities_endpoints_and_targets
name_0__obj_cone__num_01,closer,unit_metres,standard,name_0__obj_cone__num_01__explicit_distance__closer,name_0__obj_cone__num_01__movement_description__closer,85,73,same_entities_endpoints_and_targets
name_0__obj_cone__num_01__expanded,closer,unit_metres,expanded,name_0__obj_cone__num_01__explicit_distance__closer__expanded,name_0__obj_cone__num_01__movement_description__closer__expanded,85,73,same_entities_endpoints_and_targets
name_0__obj_cone__num_01__compact,farther,unit_metres,compact,name_0__obj_cone__num_01__explicit_distance__farther__compact,name_0__obj_cone__num_01__movement_description__farther__compact,85,97,same_entities_endpoints_and_targets
name_0__obj_cone__num_01,farther,unit_metres,standard,name_0__obj_cone__num_01__explicit_distance__farther,name_0__obj_cone__num_01__movement_description__farther,85,97,same_entities_endpoints_and_targets
name_0__obj_cone__num_01__expanded,farther,unit_metres,expanded,name_0__obj_cone__num_01__explicit_distance__farther__expanded,name_0__obj_cone__num_01__movement_description__farther__expanded,85,97,same_entities_endpoints_and_targets
name_0__obj_cone__num_01__compact,unchanged,unit_metres,compact,name_0__obj_cone__num_01__explicit_distance__unchanged__compact,name_0__obj_cone__num_01__orientation_control__unchanged__compact,85,85,same_entities_endpoints_and_targets
name_0__obj_cone__num_01,unchanged,unit_metres,standard,name_0__obj_cone__num_01__explicit_distance__unchanged,name_0__obj_cone__num_01__orientation_control__unchanged,85,85,same_entities_endpoints_and_targets
name_0__obj_cone__num_01__expanded,unchanged,unit_metres,expanded,name_0__obj_cone__num_01__explicit_distance__unchanged__expanded,name_0__obj_cone__num_01__orientation_control__unchanged__expanded,85,85,same_entities_endpoints_and_targets
name_0__obj_cone__num_02__compact,closer,unit_metres,compact,name_0__obj_cone__num_02__explicit_distance__closer__compact,name_0__obj_cone__num_02__movement_description__closer__compact,30,24,same_entities_endpoints_and_targets
name_0__obj_cone__num_02,closer,unit_metres,standard,name_0__obj_cone__num_02__explicit_distance__closer,name_0__obj_cone__num_02__movement_description__closer,30,24,same_entities_endpoints_and_targets
name_0__obj_cone__num_02__expanded,closer,unit_metres,expanded,name_0__obj_cone__num_02__explicit_distance__closer__expanded,name_0__obj_cone__num_02__movement_description__closer__expanded,30,24,same_entities_endpoints_and_targets
name_0__obj_cone__num_02__compact,farther,unit_metres,compact,name_0__obj_cone__num_02__explicit_distance__farther__compact,name_0__obj_cone__num_02__movement_description__farther__compact,30,36,same_entities_endpoints_and_targets
name_0__obj_cone__num_02,farther,unit_metres,standard,name_0__obj_cone__num_02__explicit_distance__farther,name_0__obj_cone__num_02__movement_description__farther,30,36,same_entities_endpoints_and_targets
name_0__obj_cone__num_02__expanded,farther,unit_metres,expanded,name_0__obj_cone__num_02__explicit_distance__farther__expanded,name_0__obj_cone__num_02__movement_description__farther__expanded,30,36,same_entities_endpoints_and_targets
name_0__obj_cone__num_02__compact,unchanged,unit_metres,compact,name_0__obj_cone__num_02__explicit_distance__unchanged__compact,name_0__obj_cone__num_02__orientation_control__unchanged__compact,30,30,same_entities_endpoints_and_targets
name_0__obj_cone__num_02,unchanged,unit_metres,standard,name_0__obj_cone__num_02__explicit_distance__unchanged,name_0__obj_cone__num_02__orientation_control__unchanged,30,30,same_entities_endpoints_and_targets
name_0__obj_cone__num_02__expanded,unchanged,unit_metres,expanded,name_0__obj_cone__num_02__explicit_distance__unchanged__expanded,name_0__obj_cone__num_02__orientation_control__unchanged__expanded,30,30,same_entities_endpoints_and_targets
name_0__obj_cone__num_03__compact,closer,unit_metres,compact,name_0__obj_cone__num_03__explicit_distance__closer__compact,name_0__obj_cone__num_03__movement_description__closer__compact,35,31,same_entities_endpoints_and_targets
name_0__obj_cone__num_03,closer,unit_metres,standard,name_0__obj_cone__num_03__explicit_distance__closer,name_0__obj_cone__num_03__movement_description__closer,35,31,same_entities_endpoints_and_targets
name_0__obj_cone__num_03__expanded,closer,unit_metres,expanded,name_0__obj_cone__num_03__explicit_distance__closer__expanded,name_0__obj_cone__num_03__movement_description__closer__expanded,35,31,same_entities_endpoints_and_targets
name_0__obj_cone__num_03__compact,farther,unit_metres,compact,name_0__obj_cone__num_03__explicit_distance__farther__compact,name_0__obj_cone__num_03__movement_description__farther__compact,35,39,same_entities_endpoints_and_targets
name_0__obj_cone__num_03,farther,unit_metres,standard,name_0__obj_cone__num_03__explicit_distance__farther,name_0__obj_cone__num_03__movement_description__farther,35,39,same_entities_endpoints_and_targets
name_0__obj_cone__num_03__expanded,farther,unit_metres,expanded,name_0__obj_cone__num_03__explicit_distance__farther__expanded,name_0__obj_cone__num_03__movement_description__farther__expanded,35,39,same_entities_endpoints_and_targets
name_0__obj_cone__num_03__compact,unchanged,unit_metres,compact,name_0__obj_cone__num_03__explicit_distance__unchanged__compact,name_0__obj_cone__num_03__orientation_control__unchanged__compact,35,35,same_entities_endpoints_and_targets
name_0__obj_cone__num_03,unchanged,unit_metres,standard,name_0__obj_cone__num_03__explicit_distance__unchanged,name_0__obj_cone__num_03__orientation_control__unchanged,35,35,same_entities_endpoints_and_targets
name_0__obj_cone__num_03__expanded,unchanged,unit_metres,expanded,name_0__obj_cone__num_03__explicit_distance__unchanged__expanded,name_0__obj_cone__num_03__orientation_control__unchanged__expanded,35,35,same_entities_endpoints_and_targets
name_0__obj_cone__num_04__compact,closer,unit_metres,compact,name_0__obj_cone__num_04__explicit_distance__closer__compact,name_0__obj_cone__num_04__movement_description__closer__compact,53,21,same_entities_endpoints_and_targets
name_0__obj_cone__num_04,closer,unit_metres,standard,name_0__obj_cone__num_04__explicit_distance__closer,name_0__obj_cone__num_04__movement_description__closer,53,21,same_entities_endpoints_and_targets
name_0__obj_cone__num_04__expanded,closer,unit_metres,expanded,name_0__obj_cone__num_04__explicit_distance__closer__expanded,name_0__obj_cone__num_04__movement_description__closer__expanded,53,21,same_entities_endpoints_and_targets
