control,base_probe_id,variant_probe_id
query_frame,face_north__object_east__compact__cardinal,face_north__object_east__compact__observer_relative
length_band,face_north__object_east__compact__cardinal,face_north__object_east__standard__cardinal
length_band,face_north__object_east__compact__cardinal,face_north__object_east__expanded__cardinal
description_structure,face_north__object_east__compact__cardinal,face_north__object_east__compact__cardinal__fixed_flag
length_band,face_north__object_east__compact__observer_relative,face_north__object_east__standard__observer_relative
length_band,face_north__object_east__compact__observer_relative,face_north__object_east__expanded__observer_relative
description_structure,face_north__object_east__compact__observer_relative,face_north__object_east__compact__observer_relative__fixed_flag
query_frame,face_north__object_east__standard__cardinal,face_north__object_east__standard__observer_relative
description_structure,face_north__object_east__standard__cardinal,face_north__object_east__standard__cardinal__fixed_flag
description_structure,face_north__object_east__standard__observer_relative,face_north__object_east__standard__observer_relative__fixed_flag
query_frame,face_north__object_east__expanded__cardinal,face_north__object_east__expanded__observer_relative
description_structure,face_north__object_east__expanded__cardinal,face_north__object_east__expanded__cardinal__fixed_flag
description_structure,face_north__object_east__expanded__observer_relative,face_north__object_east__expanded__observer_relative__fixed_flag
query_frame,face_north__object_west__compact__cardinal,face_north__object_west__compact__observer_relative
length_band,face_north__object_west__compact__cardinal,face_north__object_west__standard__cardinal
length_band,face_north__object_west__compact__cardinal,face_north__object_west__expanded__cardinal
description_structure,face_north__object_west__compact__cardinal,face_north__object_west__compact__cardinal__fixed_flag
length_band,face_north__object_west__compact__observer_relative,face_north__object_west__standard__observer_relative
length_band,face_north__object_west__compact__observer_relative,face_north__object_west__expanded__observer_relative
description_structure,face_north__object_west__compact__observer_relative,face_north__object_west__compact__observer_relative__fixed_flag
query_frame,face_north__object_west__standard__cardinal,face_north__object_west__standard__observer_relative
description_structure,face_north__object_west__standard__cardinal,face_north__object_west__standard__cardinal__fixed_flag
description_structure,face_north__object_west__standard__observer_relative,face_north__object_west__standard__observer_relative__fixed_flag
query_frame,face_north__object_west__expanded__cardinal,face_north__object_west__expanded__observer_relative
description_structure,face_north__object_west__expanded__cardinal,face_north__object_west__expanded__cardinal__fixed_flag
description_structure,face_north__object_west__expanded__observer_relative,face_north__object_west__expanded__observer_relative__fixed_flag
query_frame,face_east__object_north__compact__cardinal,face_east__object_north__compact__observer_relative
length_band,face_east__object_north__compact__cardinal,face_east__object_north__standard__cardinal
length_band,face_east__object_north__compact__cardinal,face_east__object_north__expanded__cardinal
description_structure,face_east__object_north__compact__cardinal,face_east__object_north__compact__cardinal__fixed_flag
length_band,face_east__object_north__compact__observer_relative,face_east__object_north__standard__observer_relative
length_band,face_east__object_north__compact__observer_relative,face_east__object_north__expanded__observer_relative
description_structure,face_east__object_north__compact__observer_relative,face_east__object_north__compact__observer_relative__fixed_flag
query_frame,face_east__object_north__standard__cardinal,face_east__object_north__standard__observer_relative
description_structure,face_east__object_north__standard__cardinal,face_east__object_north__standard__cardinal__fixed_flag
description_structure,face_east__object_north__standard__observer_relative,face_east__object_north__standard__observer_relative__fixed_flag
query_frame,face_east__object_north__expanded__cardinal,face_east__object_north__expanded__observer_relative
description_structure,face_east__object_north__expanded__cardinal,face_east__object_north__expanded__cardinal__fixed_flag
description_structure,face_east__object_north__expanded__observer_relative,face_east__object_north__expanded__observer_relative__fixed_flag
query_frame,face_east__object_south__compact__cardinal,face_east__object_south__compact__observer_relative
length_band,face_east__object_south__compact__cardinal,face_east__object_south__standard__cardinal
length_band,face_east__object_south__compact__cardinal,face_east__object_south__expanded__cardinal
description_structure,face_east__object_south__compact__cardinal,face_east__object_south__compact__cardinal__fixed_flag
length_band,face_east__object_south__compact__observer_relative,face_east__object_south__standard__observer_relative
length_band,face_east__object_south__compact__observer_relative,face_east__object_south__expanded__observer_relative
description_structure,face_east__object_south__compact__observer_relative,face_east__object_south__compact__observer_relative__fixed_flag
query_frame,face_east__object_south__standard__cardinal,face_east__object_south__standard__observer_relative
description_structure,face_east__object_south__standard__cardinal,face_east__object_south__standard__cardinal__fixed_flag
description_structure,face_east__object_south__standard__observer_relative,face_east__object_south__standard__observer_relative__fixed_flag
query_frame,face_east__object_south__expanded__cardinal,face_east__object_south__expanded__observer_relative
description_structure,face_east__object_south__expanded__cardinal,face_east__object_south__expanded__cardinal__fixed_flag
description_structure,face_east__object_south__expanded__observer_relative,face_east__object_south__expanded__observer_relative__fixed_flag
query_frame,face_south__object_east__compact__cardinal,face_south__object_east__compact__observer_relative
length_band,face_south__object_east__compact__cardinal,face_south__object_east__standard__cardinal
length_band,face_south__object_east__compact__cardinal,face_south__object_east__expanded__cardinal
description_structure,face_south__object_east__compact__cardinal,face_south__object_east__compact__cardinal__fixed_flag
length_band,face_south__object_east__compact__observer_relative,face_south__object_east__standard__observer_relative
length_band,face_south__object_east__compact__observer_relative,face_south__object_east__expanded__observer_relative
description_structure,face_south__object_east__compact__observer_relative,face_south__object_east__compact__observer_relative__fixed_flag
query_frame,face_south__object_east__standard__cardinal,face_south__object_east__standard__observer_relative
description_structure,face_south__object_east__standard__cardinal,face_south__object_east__standard__cardinal__fixed_flag
description_structure,face_south__object_east__standard__observer_relative,face_south__object_east__standard__observer_relative__fixed_flag
query_frame,face_south__object_east__expanded__cardinal,face_south__object_east__expanded__observer_relative
description_structure,face_south__object_east__expanded__cardinal,face_south__object_east__expanded__cardinal__fixed_flag
description_structure,face_south__object_east__expanded__observer_relative,face_south__object_east__expanded__observer_relative__fixed_flag
query_frame,face_south__object_west__compact__cardinal,face_south__object_west__compact__observer_relative
length_band,face_south__object_west__compact__cardinal,face_south__object_west__standard__cardinal
length_band,face_south__object_west__compact__cardinal,face_south__object_west__expanded__cardinal
description_structure,face_south__object_west__compact__cardinal,face_south__object_west__compact__cardinal__fixed_flag
length_band,face_south__object_west__compact__observer_relative,face_south__object_west__standard__observer_relative
length_band,face_south__object_west__compact__observer_relative,face_south__object_west__expanded__observer_relative
description_structure,face_south__object_west__compact__observer_relative,face_south__object_west__compact__observer_relative__fixed_flag
query_frame,face_south__object_west__standard__cardinal,face_south__object_west__standard__observer_relative
description_structure,face_south__object_west__standard__cardinal,face_south__object_west__standard__cardinal__fixed_flag
description_structure,face_south__object_west__standard__observer_relative,face_south__object_west__standard__observer_relative__fixed_flag
query_frame,face_south__object_west__expanded__cardinal,face_south__object_west__expanded__observer_relative
description_structure,face_south__object_west__expanded__cardinal,face_south__object_west__expanded__cardinal__fixed_flag
description_structure,face_south__object_west__expanded__observer_relative,face_south__object_west__expanded__observer_relative__fixed_flag
query_frame,face_west__object_north__compact__cardinal,face_west__object_north__compact__observer_relative
length_band,face_west__object_north__compact__cardinal,face_west__object_north__standard__cardinal
length_band,face_west__object_north__compact__cardinal,face_west__object_north__expanded__cardinal
description_structure,face_west__object_north__compact__cardinal,face_west__object_north__compact__cardinal__fixed_flag
length_band,face_west__object_north__compact__observer_relative,face_west__object_north__standard__observer_relative
length_band,face_west__object_north__compact__observer_relative,face_west__object_north__expanded__observer_relative
description_structure,face_west__object_north__compact__observer_relative,face_west__object_north__compact__observer_relative__fixed_flag
query_frame,face_west__object_north__standard__cardinal,face_west__object_north__standard__observer_relative
description_structure,face_west__object_north__standard__cardinal,face_west__object_north__standard__cardinal__fixed_flag
description_structure,face_west__object_north__standard__observer_relative,face_west__object_north__standard__observer_relative__fixed_flag
query_frame,face_west__object_north__expanded__cardinal,face_west__object_north__expanded__observer_relative
description_structure,face_west__object_north__expanded__cardinal,face_west__object_north__expanded__cardinal__fixed_flag
description_structure,face_west__object_north__expanded__observer_relative,face_west__object_north__expanded__observer_relative__fixed_flag
query_frame,face_west__object_south__compact__cardinal,face_west__object_south__compact__observer_relative
length_band,face_west__object_south__compact__cardinal,face_west__object_south__standard__cardinal
length_band,face_west__object_south__compact__cardinal,face_west__object_south__expanded__cardinal
description_structure,face_west__object_south__compact__cardinal,face_west__object_south__compact__cardinal__fixed_flag
length_band,face_west__object_south__compact__observer_relative,face_west__object_south__standard__observer_relative
length_band,face_west__object_south__compact__observer_relative,face_west__object_south__expanded__observer_relative
description_structure,face_west__object_south__compact__observer_relative,face_west__object_south__compact__observer_relative__fixed_flag
query_frame,face_west__object_south__standard__cardinal,face_west__object_south__standard__observer_relative
description_structure,face_west__object_south__standard__cardinal,face_west__object_south__standard__cardinal__fixed_flag
description_structure,face_west__object_south__standard__observer_relative,face_west__object_south__standard__observer_relative__fixed_flag
query_frame,face_west__object_south__expanded__cardinal,face_west__object_south__expanded__observer_relative
description_structure,face_west__object_south__expanded__cardinal,face_west__object_south__expanded__cardinal__fixed_flag
description_structure,face_west__object_south__expanded__observer_relative,face_west__object_south__expanded__observer_relative__fixed_flag
query_frame,face_north__object_east__compact__cardinal__fixed_flag,face_north__object_east__compact__observer_relative__fixed_flag
length_band,face_north__object_east__compact__cardinal__fixed_flag,face_north__object_east__standard__cardinal__fixed_flag
length_band,face_north__object_east__compact__cardinal__fixed_flag,face_north__object_east__expanded__cardinal__fixed_flag
length_band,face_north__object_east__compact__observer_relative__fixed_flag,face_north__object_east__standard__observer_relative__fixed_flag
length_band,face_north__object_east__compact__observer_relative__fixed_flag,face_north__object_east__expanded__observer_relative__fixed_flag
