grouping,group,n_pairs,n_judgments,raw_accuracy,raw_close_accuracy,raw_far_accuracy,raw_both_correct,raw_exact_ties,pmi_accuracy,pmi_close_accuracy,pmi_far_accuracy,pmi_both_correct,pmi_exact_ties,context_accuracy,context_close_accuracy,context_far_accuracy,context_both_correct,context_exact_ties,raw_close_choice_fraction
overall,all,200,400,0.7,0.855,0.545,0.48,0,0.605,0.545,0.665,0.285,0,0.655,0.92,0.39,0.325,0,0.655
condition_id,direct_label,40,80,0.975,0.95,1.0,0.95,0,0.85,0.7,1.0,0.7,0,1.0,1.0,1.0,1.0,0,0.475
condition_id,proximity_paraphrase,40,80,0.9,0.8,1.0,0.8,0,0.6625,0.325,1.0,0.325,0,0.7375,1.0,0.475,0.475,0,0.4
condition_id,physical_placement,40,80,0.5625,0.9,0.225,0.2,0,0.525,0.575,0.475,0.125,0,0.5125,1.0,0.025,0.025,0,0.8375
condition_id,physical_placement_fronted,40,80,0.525,0.75,0.3,0.25,0,0.425,0.425,0.425,0.075,0,0.5,1.0,0.0,0.0,0,0.725
condition_id,physical_placement_person_subject,40,80,0.5375,0.875,0.2,0.2,0,0.5625,0.7,0.425,0.2,0,0.525,0.6,0.45,0.125,0,0.8375
target_order,person_first,100,200,0.785,0.89,0.68,0.59,0,0.64,0.36,0.92,0.29,0,0.695,0.88,0.51,0.39,0,0.605
target_order,object_first,100,200,0.615,0.82,0.41,0.37,0,0.57,0.73,0.41,0.28,0,0.615,0.96,0.27,0.26,0,0.705
condition_id+target_order,direct_label|person_first,20,40,0.95,0.9,1.0,0.9,0,0.775,0.55,1.0,0.55,0,1.0,1.0,1.0,1.0,0,0.45
condition_id+target_order,direct_label|object_first,20,40,1.0,1.0,1.0,1.0,0,0.925,0.85,1.0,0.85,0,1.0,1.0,1.0,1.0,0,0.5
condition_id+target_order,proximity_paraphrase|person_first,20,40,0.875,0.75,1.0,0.75,0,0.55,0.1,1.0,0.1,0,0.825,1.0,0.65,0.65,0,0.375
condition_id+target_order,proximity_paraphrase|object_first,20,40,0.925,0.85,1.0,0.85,0,0.775,0.55,1.0,0.55,0,0.65,1.0,0.3,0.3,0,0.425
condition_id+target_order,physical_placement|person_first,20,40,0.675,0.9,0.45,0.4,0,0.625,0.3,0.95,0.25,0,0.525,1.0,0.05,0.05,0,0.725
condition_id+target_order,physical_placement|object_first,20,40,0.45,0.9,0.0,0.0,0,0.425,0.85,0.0,0.0,0,0.5,1.0,0.0,0.0,0,0.95
condition_id+target_order,physical_placement_fronted|person_first,20,40,0.725,0.9,0.55,0.5,0,0.55,0.25,0.85,0.15,0,0.5,1.0,0.0,0.0,0,0.675
condition_id+target_order,physical_placement_fronted|object_first,20,40,0.325,0.6,0.05,0.0,0,0.3,0.6,0.0,0.0,0,0.5,1.0,0.0,0.0,0,0.775
condition_id+target_order,physical_placement_person_subject|person_first,20,40,0.7,1.0,0.4,0.4,0,0.7,0.6,0.8,0.4,0,0.625,0.4,0.85,0.25,0,0.8
condition_id+target_order,physical_placement_person_subject|object_first,20,40,0.375,0.75,0.0,0.0,0,0.425,0.8,0.05,0.0,0,0.425,0.8,0.05,0.0,0,0.875
condition_id+target_order+object_id,direct_label|person_first|obj_ball,4,8,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,0,0.5
condition_id+target_order+object_id,direct_label|object_first|obj_ball,4,8,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,0,0.5
condition_id+target_order+object_id,proximity_paraphrase|person_first|obj_ball,4,8,1.0,1.0,1.0,1.0,0,0.625,0.25,1.0,0.25,0,0.5,1.0,0.0,0.0,0,0.5
condition_id+target_order+object_id,proximity_paraphrase|object_first|obj_ball,4,8,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,0,0.625,1.0,0.25,0.25,0,0.5
condition_id+target_order+object_id,physical_placement|person_first|obj_ball,4,8,0.625,1.0,0.25,0.25,0,0.625,0.25,1.0,0.25,0,0.5,1.0,0.0,0.0,0,0.875
condition_id+target_order+object_id,physical_placement|object_first|obj_ball,4,8,0.375,0.75,0.0,0.0,0,0.5,1.0,0.0,0.0,0,0.5,1.0,0.0,0.0,0,0.875
condition_id+target_order+object_id,physical_placement_fronted|person_first|obj_ball,4,8,0.875,1.0,0.75,0.75,0,0.625,0.25,1.0,0.25,0,0.5,1.0,0.0,0.0,0,0.625
condition_id+target_order+object_id,physical_placement_fronted|object_first|obj_ball,4,8,0.375,0.5,0.25,0.0,0,0.375,0.75,0.0,0.0,0,0.5,1.0,0.0,0.0,0,0.625
condition_id+target_order+object_id,physical_placement_person_subject|person_first|obj_ball,4,8,0.75,1.0,0.5,0.5,0,0.75,0.5,1.0,0.5,0,0.625,1.0,0.25,0.25,0,0.75
condition_id+target_order+object_id,physical_placement_person_subject|object_first|obj_ball,4,8,0.375,0.75,0.0,0.0,0,0.375,0.75,0.0,0.0,0,0.25,0.25,0.25,0.0,0,0.875
condition_id+target_order+object_id,direct_label|person_first|obj_bag,4,8,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,0,0.5
condition_id+target_order+object_id,direct_label|object_first|obj_bag,4,8,1.0,1.0,1.0,1.0,0,0.875,0.75,1.0,0.75,0,1.0,1.0,1.0,1.0,0,0.5
condition_id+target_order+object_id,proximity_paraphrase|person_first|obj_bag,4,8,0.875,0.75,1.0,0.75,0,0.5,0.0,1.0,0.0,0,0.875,1.0,0.75,0.75,0,0.375
condition_id+target_order+object_id,proximity_paraphrase|object_first|obj_bag,4,8,1.0,1.0,1.0,1.0,0,0.75,0.5,1.0,0.5,0,0.625,1.0,0.25,0.25,0,0.5
condition_id+target_order+object_id,physical_placement|person_first|obj_bag,4,8,0.625,1.0,0.25,0.25,0,0.75,0.5,1.0,0.5,0,0.5,1.0,0.0,0.0,0,0.875
condition_id+target_order+object_id,physical_placement|object_first|obj_bag,4,8,0.5,1.0,0.0,0.0,0,0.5,1.0,0.0,0.0,0,0.5,1.0,0.0,0.0,0,1.0
condition_id+target_order+object_id,physical_placement_fronted|person_first|obj_bag,4,8,0.625,1.0,0.25,0.25,0,0.625,0.5,0.75,0.25,0,0.5,1.0,0.0,0.0,0,0.875
condition_id+target_order+object_id,physical_placement_fronted|object_first|obj_bag,4,8,0.375,0.75,0.0,0.0,0,0.375,0.75,0.0,0.0,0,0.5,1.0,0.0,0.0,0,0.875
condition_id+target_order+object_id,physical_placement_person_subject|person_first|obj_bag,4,8,0.5,1.0,0.0,0.0,0,0.75,0.75,0.75,0.5,0,0.625,0.25,1.0,0.25,0,1.0
condition_id+target_order+object_id,physical_placement_person_subject|object_first|obj_bag,4,8,0.375,0.75,0.0,0.0,0,0.375,0.75,0.0,0.0,0,0.5,1.0,0.0,0.0,0,0.875
condition_id+target_order+object_id,direct_label|person_first|obj_book,4,8,0.875,0.75,1.0,0.75,0,0.75,0.5,1.0,0.5,0,1.0,1.0,1.0,1.0,0,0.375
condition_id+target_order+object_id,direct_label|object_first|obj_book,4,8,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,0,0.5
condition_id+target_order+object_id,proximity_paraphrase|person_first|obj_book,4,8,0.875,0.75,1.0,0.75,0,0.5,0.0,1.0,0.0,0,1.0,1.0,1.0,1.0,0,0.375
condition_id+target_order+object_id,proximity_paraphrase|object_first|obj_book,4,8,0.75,0.5,1.0,0.5,0,0.625,0.25,1.0,0.25,0,0.875,1.0,0.75,0.75,0,0.25
condition_id+target_order+object_id,physical_placement|person_first|obj_book,4,8,1.0,1.0,1.0,1.0,0,0.75,0.5,1.0,0.5,0,0.5,1.0,0.0,0.0,0,0.5
condition_id+target_order+object_id,physical_placement|object_first|obj_book,4,8,0.5,1.0,0.0,0.0,0,0.5,1.0,0.0,0.0,0,0.5,1.0,0.0,0.0,0,1.0
condition_id+target_order+object_id,physical_placement_fronted|person_first|obj_book,4,8,1.0,1.0,1.0,1.0,0,0.5,0.25,0.75,0.0,0,0.5,1.0,0.0,0.0,0,0.5
condition_id+target_order+object_id,physical_placement_fronted|object_first|obj_book,4,8,0.375,0.75,0.0,0.0,0,0.375,0.75,0.0,0.0,0,0.5,1.0,0.0,0.0,0,0.875
condition_id+target_order+object_id,physical_placement_person_subject|person_first|obj_book,4,8,0.75,1.0,0.5,0.5,0,0.875,1.0,0.75,0.75,0,0.75,0.5,1.0,0.5,0,0.75
condition_id+target_order+object_id,physical_placement_person_subject|object_first|obj_book,4,8,0.375,0.75,0.0,0.0,0,0.375,0.75,0.0,0.0,0,0.5,1.0,0.0,0.0,0,0.875
condition_id+target_order+object_id,direct_label|person_first|obj_cone,4,8,1.0,1.0,1.0,1.0,0,0.5,0.0,1.0,0.0,0,1.0,1.0,1.0,1.0,0,0.5
condition_id+target_order+object_id,direct_label|object_first|obj_cone,4,8,1.0,1.0,1.0,1.0,0,0.75,0.5,1.0,0.5,0,1.0,1.0,1.0,1.0,0,0.5
condition_id+target_order+object_id,proximity_paraphrase|person_first|obj_cone,4,8,0.875,0.75,1.0,0.75,0,0.5,0.0,1.0,0.0,0,0.75,1.0,0.5,0.5,0,0.375
condition_id+target_order+object_id,proximity_paraphrase|object_first|obj_cone,4,8,1.0,1.0,1.0,1.0,0,0.75,0.5,1.0,0.5,0,0.625,1.0,0.25,0.25,0,0.5
condition_id+target_order+object_id,physical_placement|person_first|obj_cone,4,8,0.5,0.75,0.25,0.25,0,0.5,0.0,1.0,0.0,0,0.625,1.0,0.25,0.25,0,0.75
condition_id+target_order+object_id,physical_placement|object_first|obj_cone,4,8,0.375,0.75,0.0,0.0,0,0.25,0.5,0.0,0.0,0,0.5,1.0,0.0,0.0,0,0.875
condition_id+target_order+object_id,physical_placement_fronted|person_first|obj_cone,4,8,0.625,0.75,0.5,0.25,0,0.5,0.0,1.0,0.0,0,0.5,1.0,0.0,0.0,0,0.625
condition_id+target_order+object_id,physical_placement_fronted|object_first|obj_cone,4,8,0.25,0.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.5,1.0,0.0,0.0,0,0.75
condition_id+target_order+object_id,physical_placement_person_subject|person_first|obj_cone,4,8,1.0,1.0,1.0,1.0,0,0.625,0.25,1.0,0.25,0,0.625,0.25,1.0,0.25,0,0.5
condition_id+target_order+object_id,physical_placement_person_subject|object_first|obj_cone,4,8,0.375,0.75,0.0,0.0,0,0.5,0.75,0.25,0.0,0,0.5,1.0,0.0,0.0,0,0.875
condition_id+target_order+object_id,direct_label|person_first|obj_helmet,4,8,0.875,0.75,1.0,0.75,0,0.625,0.25,1.0,0.25,0,1.0,1.0,1.0,1.0,0,0.375
condition_id+target_order+object_id,direct_label|object_first|obj_helmet,4,8,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,0,0.5
condition_id+target_order+object_id,proximity_paraphrase|person_first|obj_helmet,4,8,0.75,0.5,1.0,0.5,0,0.625,0.25,1.0,0.25,0,1.0,1.0,1.0,1.0,0,0.25
condition_id+target_order+object_id,proximity_paraphrase|object_first|obj_helmet,4,8,0.875,0.75,1.0,0.75,0,0.75,0.5,1.0,0.5,0,0.5,1.0,0.0,0.0,0,0.375
condition_id+target_order+object_id,physical_placement|person_first|obj_helmet,4,8,0.625,0.75,0.5,0.25,0,0.5,0.25,0.75,0.0,0,0.5,1.0,0.0,0.0,0,0.625
condition_id+target_order+object_id,physical_placement|object_first|obj_helmet,4,8,0.5,1.0,0.0,0.0,0,0.375,0.75,0.0,0.0,0,0.5,1.0,0.0,0.0,0,1.0
condition_id+target_order+object_id,physical_placement_fronted|person_first|obj_helmet,4,8,0.5,0.75,0.25,0.25,0,0.5,0.25,0.75,0.25,0,0.5,1.0,0.0,0.0,0,0.75
condition_id+target_order+object_id,physical_placement_fronted|object_first|obj_helmet,4,8,0.25,0.5,0.0,0.0,0,0.375,0.75,0.0,0.0,0,0.5,1.0,0.0,0.0,0,0.75
condition_id+target_order+object_id,physical_placement_person_subject|person_first|obj_helmet,4,8,0.5,1.0,0.0,0.0,0,0.5,0.5,0.5,0.0,0,0.5,0.0,1.0,0.0,0,1.0
condition_id+target_order+object_id,physical_placement_person_subject|object_first|obj_helmet,4,8,0.375,0.75,0.0,0.0,0,0.5,1.0,0.0,0.0,0,0.375,0.75,0.0,0.0,0,0.875
condition_id+target_order+name_id,direct_label|person_first|name_0,5,10,0.8,0.6,1.0,0.6,0,0.8,0.6,1.0,0.6,0,1.0,1.0,1.0,1.0,0,0.3
condition_id+target_order+name_id,direct_label|object_first|name_0,5,10,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,0,0.5
condition_id+target_order+name_id,proximity_paraphrase|person_first|name_0,5,10,0.6,0.2,1.0,0.2,0,0.5,0.0,1.0,0.0,0,0.7,1.0,0.4,0.4,0,0.1
condition_id+target_order+name_id,proximity_paraphrase|object_first|name_0,5,10,0.9,0.8,1.0,0.8,0,1.0,1.0,1.0,1.0,0,0.5,1.0,0.0,0.0,0,0.4
condition_id+target_order+name_id,physical_placement|person_first|name_0,5,10,0.9,0.8,1.0,0.8,0,0.8,0.6,1.0,0.6,0,0.5,1.0,0.0,0.0,0,0.4
