grouping,group,n_pairs,n_judgments,choice_accuracy,above_gold_accuracy,below_gold_accuracy,both_correct_fraction,above_chosen_fraction,context_sensitivity_accuracy,exact_choice_ties
probe_family+direction,literal_definition|word_to_definition,24,48,0.5625,1.0,0.125,0.125,0.9375,0.8333333333333334,0
probe_family+direction,literal_definition|definition_to_word,40,80,0.6125,0.975,0.25,0.25,0.8625,0.6375,0
probe_family+direction,lexical_synonym|word_to_synonym,6,12,1.0,1.0,1.0,1.0,0.5,0.9166666666666666,0
probe_family+direction,lexical_synonym|synonym_to_word,10,20,0.4,0.7,0.1,0.1,0.8,0.55,0
probe_family+direction+design_block,literal_definition|word_to_definition|base,24,48,0.5625,1.0,0.125,0.125,0.9375,0.8333333333333334,0
probe_family+direction+design_block,literal_definition|definition_to_word|base,8,16,0.4375,0.875,0.0,0.0,0.9375,0.5,0
probe_family+direction+design_block,lexical_synonym|word_to_synonym|base,6,12,1.0,1.0,1.0,1.0,0.5,0.9166666666666666,0
probe_family+direction+design_block,lexical_synonym|synonym_to_word|base,2,4,0.5,1.0,0.0,0.0,1.0,0.75,0
probe_family+direction+design_block,literal_definition|definition_to_word|entity_order_extension,32,64,0.65625,1.0,0.3125,0.3125,0.84375,0.671875,0
probe_family+direction+design_block,lexical_synonym|synonym_to_word|entity_order_extension,8,16,0.375,0.625,0.125,0.125,0.75,0.5,0
probe_family+direction+phrase_pair_id,literal_definition|word_to_definition|vertical_higher_lower,6,12,0.5,1.0,0.0,0.0,1.0,0.8333333333333334,0
probe_family+direction+phrase_pair_id,literal_definition|word_to_definition|greater_lesser_height,6,12,0.5,1.0,0.0,0.0,1.0,0.75,0
probe_family+direction+phrase_pair_id,literal_definition|word_to_definition|higher_up_lower_down,6,12,0.5,1.0,0.0,0.0,1.0,0.9166666666666666,0
probe_family+direction+phrase_pair_id,literal_definition|word_to_definition|higher_lower,6,12,0.75,1.0,0.5,0.5,0.75,0.8333333333333334,0
probe_family+direction+phrase_pair_id,literal_definition|definition_to_word|vertical_higher_lower,10,20,0.6,1.0,0.2,0.2,0.9,0.7,0
probe_family+direction+phrase_pair_id,literal_definition|definition_to_word|greater_lesser_height,10,20,0.7,1.0,0.4,0.4,0.8,0.7,0
probe_family+direction+phrase_pair_id,literal_definition|definition_to_word|higher_up_lower_down,10,20,0.6,1.0,0.2,0.2,0.9,0.6,0
probe_family+direction+phrase_pair_id,literal_definition|definition_to_word|higher_lower,10,20,0.55,0.9,0.2,0.2,0.85,0.55,0
probe_family+direction+phrase_pair_id,lexical_synonym|word_to_synonym|over_under,6,12,1.0,1.0,1.0,1.0,0.5,0.9166666666666666,0
probe_family+direction+phrase_pair_id,lexical_synonym|synonym_to_word|over_under,10,20,0.4,0.7,0.1,0.1,0.8,0.55,0
probe_family+direction+definition_structure_id,literal_definition|word_to_definition|generic,12,24,0.5416666666666666,1.0,0.08333333333333333,0.08333333333333333,0.9583333333333334,0.875,0
probe_family+direction+definition_structure_id,literal_definition|word_to_definition|ordered,12,24,0.5833333333333334,1.0,0.16666666666666666,0.16666666666666666,0.9166666666666666,0.7916666666666666,0
probe_family+direction+definition_structure_id,literal_definition|definition_to_word|generic,4,8,0.375,0.75,0.0,0.0,0.875,0.375,0
probe_family+direction+definition_structure_id,literal_definition|definition_to_word|ordered,4,8,0.5,1.0,0.0,0.0,1.0,0.625,0
probe_family+direction+definition_structure_id,lexical_synonym|word_to_synonym|generic,3,6,1.0,1.0,1.0,1.0,0.5,1.0,0
probe_family+direction+definition_structure_id,lexical_synonym|word_to_synonym|ordered,3,6,1.0,1.0,1.0,1.0,0.5,0.8333333333333334,0
probe_family+direction+definition_structure_id,lexical_synonym|synonym_to_word|generic,1,2,0.5,1.0,0.0,0.0,1.0,0.5,0
probe_family+direction+definition_structure_id,lexical_synonym|synonym_to_word|ordered,1,2,0.5,1.0,0.0,0.0,1.0,1.0,0
probe_family+direction+definition_structure_id,literal_definition|definition_to_word|entity_plain,16,32,0.6875,1.0,0.375,0.375,0.8125,0.75,0
probe_family+direction+definition_structure_id,literal_definition|definition_to_word|entity_positioned,16,32,0.625,1.0,0.25,0.25,0.875,0.59375,0
probe_family+direction+definition_structure_id,lexical_synonym|synonym_to_word|entity_plain,4,8,0.375,0.75,0.0,0.0,0.875,0.5,0
probe_family+direction+definition_structure_id,lexical_synonym|synonym_to_word|entity_positioned,4,8,0.375,0.5,0.25,0.25,0.625,0.5,0
probe_family+direction+context_stem_id,literal_definition|word_to_definition|short,8,16,0.5625,1.0,0.125,0.125,0.9375,0.5625,0
probe_family+direction+context_stem_id,literal_definition|word_to_definition|medium,8,16,0.5625,1.0,0.125,0.125,0.9375,1.0,0
probe_family+direction+context_stem_id,literal_definition|word_to_definition|long,8,16,0.5625,1.0,0.125,0.125,0.9375,0.9375,0
probe_family+direction+context_stem_id,literal_definition|definition_to_word|,40,80,0.6125,0.975,0.25,0.25,0.8625,0.6375,0
probe_family+direction+context_stem_id,lexical_synonym|word_to_synonym|short,2,4,1.0,1.0,1.0,1.0,0.5,0.75,0
probe_family+direction+context_stem_id,lexical_synonym|word_to_synonym|medium,2,4,1.0,1.0,1.0,1.0,0.5,1.0,0
probe_family+direction+context_stem_id,lexical_synonym|word_to_synonym|long,2,4,1.0,1.0,1.0,1.0,0.5,1.0,0
probe_family+direction+context_stem_id,lexical_synonym|synonym_to_word|,10,20,0.4,0.7,0.1,0.1,0.8,0.55,0
probe_family+direction+design_block+context_entity_order,literal_definition|word_to_definition|base|not_applicable,24,48,0.5625,1.0,0.125,0.125,0.9375,0.8333333333333334,0
probe_family+direction+design_block+context_entity_order,literal_definition|definition_to_word|base|generic,4,8,0.375,0.75,0.0,0.0,0.875,0.375,0
probe_family+direction+design_block+context_entity_order,literal_definition|definition_to_word|base|first_subject,4,8,0.5,1.0,0.0,0.0,1.0,0.625,0
probe_family+direction+design_block+context_entity_order,lexical_synonym|word_to_synonym|base|not_applicable,6,12,1.0,1.0,1.0,1.0,0.5,0.9166666666666666,0
probe_family+direction+design_block+context_entity_order,lexical_synonym|synonym_to_word|base|generic,1,2,0.5,1.0,0.0,0.0,1.0,0.5,0
probe_family+direction+design_block+context_entity_order,lexical_synonym|synonym_to_word|base|first_subject,1,2,0.5,1.0,0.0,0.0,1.0,1.0,0
probe_family+direction+design_block+context_entity_order,literal_definition|definition_to_word|entity_order_extension|first_subject,16,32,0.53125,1.0,0.0625,0.0625,0.96875,0.5625,0
probe_family+direction+design_block+context_entity_order,literal_definition|definition_to_word|entity_order_extension|second_subject,16,32,0.78125,1.0,0.5625,0.5625,0.71875,0.78125,0
probe_family+direction+design_block+context_entity_order,lexical_synonym|synonym_to_word|entity_order_extension|first_subject,4,8,0.625,1.0,0.25,0.25,0.875,0.875,0
probe_family+direction+design_block+context_entity_order,lexical_synonym|synonym_to_word|entity_order_extension|second_subject,4,8,0.125,0.25,0.0,0.0,0.625,0.125,0
probe_family+direction+design_block+entity_noun_id,literal_definition|word_to_definition|base|,24,48,0.5625,1.0,0.125,0.125,0.9375,0.8333333333333334,0
probe_family+direction+design_block+entity_noun_id,literal_definition|definition_to_word|base|,8,16,0.4375,0.875,0.0,0.0,0.9375,0.5,0
probe_family+direction+design_block+entity_noun_id,lexical_synonym|word_to_synonym|base|,6,12,1.0,1.0,1.0,1.0,0.5,0.9166666666666666,0
probe_family+direction+design_block+entity_noun_id,lexical_synonym|synonym_to_word|base|,2,4,0.5,1.0,0.0,0.0,1.0,0.75,0
probe_family+direction+design_block+entity_noun_id,literal_definition|definition_to_word|entity_order_extension|object,16,32,0.75,1.0,0.5,0.5,0.75,0.65625,0
probe_family+direction+design_block+entity_noun_id,literal_definition|definition_to_word|entity_order_extension|item,16,32,0.5625,1.0,0.125,0.125,0.9375,0.6875,0
probe_family+direction+design_block+entity_noun_id,lexical_synonym|synonym_to_word|entity_order_extension|object,4,8,0.375,0.75,0.0,0.0,0.875,0.375,0
probe_family+direction+design_block+entity_noun_id,lexical_synonym|synonym_to_word|entity_order_extension|item,4,8,0.375,0.5,0.25,0.25,0.625,0.625,0
