probe_id,probe_version,scene_id,scene_role,name_id,object_id,condition_id,context_structure,context_entity_order,target_order,reverses_context_entity_order,evidence_type,setting,assumption,include_in_primary_scene_summary,gold_requires_unstated_worn_shoes,Context1,Context2,Target1,Target2,Context1_word_count,Context1_token_count,Context2_word_count,Context2_token_count,Target1_word_count,Target1_token_count,Target2_word_count,Target2_token_count
between_feet__name_0__obj_ball__physical_placement__person_first,1.0,between_feet,main,name_0,obj_ball,physical_placement,object_subject,object_first,person_first,True,body_part,gym,Body-part location anchors the object to the person.,True,False,The ball is between Maya's feet.,The ball is across the full length of a long gym from Maya.,Maya is close to the ball.,Maya is far from the ball.,7,8,13,14,6,8,6,8
between_feet__name_0__obj_ball__physical_placement__object_first,1.0,between_feet,main,name_0,obj_ball,physical_placement,object_subject,object_first,object_first,False,body_part,gym,Body-part location anchors the object to the person.,True,False,The ball is between Maya's feet.,The ball is across the full length of a long gym from Maya.,The ball is close to Maya.,The ball is far from Maya.,7,8,13,14,6,7,6,7
between_feet__name_0__obj_ball__physical_placement_fronted__person_first,1.0,between_feet,main,name_0,obj_ball,physical_placement_fronted,fronted_location,person_first,person_first,False,body_part,gym,Body-part location anchors the object to the person.,True,False,Between Maya's feet is the ball.,Across the full length of a long gym from Maya is the ball.,Maya is close to the ball.,Maya is far from the ball.,7,8,13,14,6,8,6,8
between_feet__name_0__obj_ball__physical_placement_fronted__object_first,1.0,between_feet,main,name_0,obj_ball,physical_placement_fronted,fronted_location,person_first,object_first,True,body_part,gym,Body-part location anchors the object to the person.,True,False,Between Maya's feet is the ball.,Across the full length of a long gym from Maya is the ball.,The ball is close to Maya.,The ball is far from Maya.,7,8,13,14,6,7,6,7
between_feet__name_0__obj_ball__physical_placement_person_subject__person_first,1.0,between_feet,main,name_0,obj_ball,physical_placement_person_subject,person_subject,person_first,person_first,False,body_part,gym,Body-part location anchors the object to the person.,True,False,Maya has the ball between their feet.,Maya is across the full length of a long gym from the ball.,Maya is close to the ball.,Maya is far from the ball.,7,9,13,15,6,8,6,8
between_feet__name_0__obj_ball__physical_placement_person_subject__object_first,1.0,between_feet,main,name_0,obj_ball,physical_placement_person_subject,person_subject,person_first,object_first,True,body_part,gym,Body-part location anchors the object to the person.,True,False,Maya has the ball between their feet.,Maya is across the full length of a long gym from the ball.,The ball is close to Maya.,The ball is far from Maya.,7,9,13,15,6,7,6,7
between_feet__name_0__obj_bag__physical_placement__person_first,1.0,between_feet,main,name_0,obj_bag,physical_placement,object_subject,object_first,person_first,True,body_part,gym,Body-part location anchors the object to the person.,True,False,The bag is between Maya's feet.,The bag is across the full length of a long gym from Maya.,Maya is close to the bag.,Maya is far from the bag.,7,8,13,14,6,8,6,8
between_feet__name_0__obj_bag__physical_placement__object_first,1.0,between_feet,main,name_0,obj_bag,physical_placement,object_subject,object_first,object_first,False,body_part,gym,Body-part location anchors the object to the person.,True,False,The bag is between Maya's feet.,The bag is across the full length of a long gym from Maya.,The bag is close to Maya.,The bag is far from Maya.,7,8,13,14,6,7,6,7
between_feet__name_0__obj_bag__physical_placement_fronted__person_first,1.0,between_feet,main,name_0,obj_bag,physical_placement_fronted,fronted_location,person_first,person_first,False,body_part,gym,Body-part location anchors the object to the person.,True,False,Between Maya's feet is the bag.,Across the full length of a long gym from Maya is the bag.,Maya is close to the bag.,Maya is far from the bag.,7,8,13,14,6,8,6,8
between_feet__name_0__obj_bag__physical_placement_fronted__object_first,1.0,between_feet,main,name_0,obj_bag,physical_placement_fronted,fronted_location,person_first,object_first,True,body_part,gym,Body-part location anchors the object to the person.,True,False,Between Maya's feet is the bag.,Across the full length of a long gym from Maya is the bag.,The bag is close to Maya.,The bag is far from Maya.,7,8,13,14,6,7,6,7
between_feet__name_0__obj_bag__physical_placement_person_subject__person_first,1.0,between_feet,main,name_0,obj_bag,physical_placement_person_subject,person_subject,person_first,person_first,False,body_part,gym,Body-part location anchors the object to the person.,True,False,Maya has the bag between their feet.,Maya is across the full length of a long gym from the bag.,Maya is close to the bag.,Maya is far from the bag.,7,9,13,15,6,8,6,8
between_feet__name_0__obj_bag__physical_placement_person_subject__object_first,1.0,between_feet,main,name_0,obj_bag,physical_placement_person_subject,person_subject,person_first,object_first,True,body_part,gym,Body-part location anchors the object to the person.,True,False,Maya has the bag between their feet.,Maya is across the full length of a long gym from the bag.,The bag is close to Maya.,The bag is far from Maya.,7,9,13,15,6,7,6,7
between_feet__name_0__obj_book__physical_placement__person_first,1.0,between_feet,main,name_0,obj_book,physical_placement,object_subject,object_first,person_first,True,body_part,gym,Body-part location anchors the object to the person.,True,False,The book is between Maya's feet.,The book is across the full length of a long gym from Maya.,Maya is close to the book.,Maya is far from the book.,7,8,13,14,6,8,6,8
between_feet__name_0__obj_book__physical_placement__object_first,1.0,between_feet,main,name_0,obj_book,physical_placement,object_subject,object_first,object_first,False,body_part,gym,Body-part location anchors the object to the person.,True,False,The book is between Maya's feet.,The book is across the full length of a long gym from Maya.,The book is close to Maya.,The book is far from Maya.,7,8,13,14,6,7,6,7
between_feet__name_0__obj_book__physical_placement_fronted__person_first,1.0,between_feet,main,name_0,obj_book,physical_placement_fronted,fronted_location,person_first,person_first,False,body_part,gym,Body-part location anchors the object to the person.,True,False,Between Maya's feet is the book.,Across the full length of a long gym from Maya is the book.,Maya is close to the book.,Maya is far from the book.,7,8,13,14,6,8,6,8
between_feet__name_0__obj_book__physical_placement_fronted__object_first,1.0,between_feet,main,name_0,obj_book,physical_placement_fronted,fronted_location,person_first,object_first,True,body_part,gym,Body-part location anchors the object to the person.,True,False,Between Maya's feet is the book.,Across the full length of a long gym from Maya is the book.,The book is close to Maya.,The book is far from Maya.,7,8,13,14,6,7,6,7
between_feet__name_0__obj_book__physical_placement_person_subject__person_first,1.0,between_feet,main,name_0,obj_book,physical_placement_person_subject,person_subject,person_first,person_first,False,body_part,gym,Body-part location anchors the object to the person.,True,False,Maya has the book between their feet.,Maya is across the full length of a long gym from the book.,Maya is close to the book.,Maya is far from the book.,7,9,13,15,6,8,6,8
between_feet__name_0__obj_book__physical_placement_person_subject__object_first,1.0,between_feet,main,name_0,obj_book,physical_placement_person_subject,person_subject,person_first,object_first,True,body_part,gym,Body-part location anchors the object to the person.,True,False,Maya has the book between their feet.,Maya is across the full length of a long gym from the book.,The book is close to Maya.,The book is far from Maya.,7,9,13,15,6,7,6,7
between_feet__name_0__obj_cone__physical_placement__person_first,1.0,between_feet,main,name_0,obj_cone,physical_placement,object_subject,object_first,person_first,True,body_part,gym,Body-part location anchors the object to the person.,True,False,The cone is between Maya's feet.,The cone is across the full length of a long gym from Maya.,Maya is close to the cone.,Maya is far from the cone.,7,8,13,14,6,8,6,8
between_feet__name_0__obj_cone__physical_placement__object_first,1.0,between_feet,main,name_0,obj_cone,physical_placement,object_subject,object_first,object_first,False,body_part,gym,Body-part location anchors the object to the person.,True,False,The cone is between Maya's feet.,The cone is across the full length of a long gym from Maya.,The cone is close to Maya.,The cone is far from Maya.,7,8,13,14,6,7,6,7
between_feet__name_0__obj_cone__physical_placement_fronted__person_first,1.0,between_feet,main,name_0,obj_cone,physical_placement_fronted,fronted_location,person_first,person_first,False,body_part,gym,Body-part location anchors the object to the person.,True,False,Between Maya's feet is the cone.,Across the full length of a long gym from Maya is the cone.,Maya is close to the cone.,Maya is far from the cone.,7,8,13,14,6,8,6,8
between_feet__name_0__obj_cone__physical_placement_fronted__object_first,1.0,between_feet,main,name_0,obj_cone,physical_placement_fronted,fronted_location,person_first,object_first,True,body_part,gym,Body-part location anchors the object to the person.,True,False,Between Maya's feet is the cone.,Across the full length of a long gym from Maya is the cone.,The cone is close to Maya.,The cone is far from Maya.,7,8,13,14,6,7,6,7
between_feet__name_0__obj_cone__physical_placement_person_subject__person_first,1.0,between_feet,main,name_0,obj_cone,physical_placement_person_subject,person_subject,person_first,person_first,False,body_part,gym,Body-part location anchors the object to the person.,True,False,Maya has the cone between their feet.,Maya is across the full length of a long gym from the cone.,Maya is close to the cone.,Maya is far from the cone.,7,9,13,15,6,8,6,8
between_feet__name_0__obj_cone__physical_placement_person_subject__object_first,1.0,between_feet,main,name_0,obj_cone,physical_placement_person_subject,person_subject,person_first,object_first,True,body_part,gym,Body-part location anchors the object to the person.,True,False,Maya has the cone between their feet.,Maya is across the full length of a long gym from the cone.,The cone is close to Maya.,The cone is far from Maya.,7,9,13,15,6,7,6,7
between_feet__name_1__obj_ball__physical_placement__person_first,1.0,between_feet,main,name_1,obj_ball,physical_placement,object_subject,object_first,person_first,True,body_part,gym,Body-part location anchors the object to the person.,True,False,The ball is between Jesse's feet.,The ball is across the full length of a long gym from Jesse.,Jesse is close to the ball.,Jesse is far from the ball.,7,8,13,14,6,8,6,8
between_feet__name_1__obj_ball__physical_placement__object_first,1.0,between_feet,main,name_1,obj_ball,physical_placement,object_subject,object_first,object_first,False,body_part,gym,Body-part location anchors the object to the person.,True,False,The ball is between Jesse's feet.,The ball is across the full length of a long gym from Jesse.,The ball is close to Jesse.,The ball is far from Jesse.,7,8,13,14,6,7,6,7
between_feet__name_1__obj_ball__physical_placement_fronted__person_first,1.0,between_feet,main,name_1,obj_ball,physical_placement_fronted,fronted_location,person_first,person_first,False,body_part,gym,Body-part location anchors the object to the person.,True,False,Between Jesse's feet is the ball.,Across the full length of a long gym from Jesse is the ball.,Jesse is close to the ball.,Jesse is far from the ball.,7,8,13,14,6,8,6,8
between_feet__name_1__obj_ball__physical_placement_fronted__object_first,1.0,between_feet,main,name_1,obj_ball,physical_placement_fronted,fronted_location,person_first,object_first,True,body_part,gym,Body-part location anchors the object to the person.,True,False,Between Jesse's feet is the ball.,Across the full length of a long gym from Jesse is the ball.,The ball is close to Jesse.,The ball is far from Jesse.,7,8,13,14,6,7,6,7
between_feet__name_1__obj_ball__physical_placement_person_subject__person_first,1.0,between_feet,main,name_1,obj_ball,physical_placement_person_subject,person_subject,person_first,person_first,False,body_part,gym,Body-part location anchors the object to the person.,True,False,Jesse has the ball between their feet.,Jesse is across the full length of a long gym from the ball.,Jesse is close to the ball.,Jesse is far from the ball.,7,9,13,15,6,8,6,8
between_feet__name_1__obj_ball__physical_placement_person_subject__object_first,1.0,between_feet,main,name_1,obj_ball,physical_placement_person_subject,person_subject,person_first,object_first,True,body_part,gym,Body-part location anchors the object to the person.,True,False,Jesse has the ball between their feet.,Jesse is across the full length of a long gym from the ball.,The ball is close to Jesse.,The ball is far from Jesse.,7,9,13,15,6,7,6,7
between_feet__name_1__obj_bag__physical_placement__person_first,1.0,between_feet,main,name_1,obj_bag,physical_placement,object_subject,object_first,person_first,True,body_part,gym,Body-part location anchors the object to the person.,True,False,The bag is between Jesse's feet.,The bag is across the full length of a long gym from Jesse.,Jesse is close to the bag.,Jesse is far from the bag.,7,8,13,14,6,8,6,8
between_feet__name_1__obj_bag__physical_placement__object_first,1.0,between_feet,main,name_1,obj_bag,physical_placement,object_subject,object_first,object_first,False,body_part,gym,Body-part location anchors the object to the person.,True,False,The bag is between Jesse's feet.,The bag is across the full length of a long gym from Jesse.,The bag is close to Jesse.,The bag is far from Jesse.,7,8,13,14,6,7,6,7
between_feet__name_1__obj_bag__physical_placement_fronted__person_first,1.0,between_feet,main,name_1,obj_bag,physical_placement_fronted,fronted_location,person_first,person_first,False,body_part,gym,Body-part location anchors the object to the person.,True,False,Between Jesse's feet is the bag.,Across the full length of a long gym from Jesse is the bag.,Jesse is close to the bag.,Jesse is far from the bag.,7,8,13,14,6,8,6,8
between_feet__name_1__obj_bag__physical_placement_fronted__object_first,1.0,between_feet,main,name_1,obj_bag,physical_placement_fronted,fronted_location,person_first,object_first,True,body_part,gym,Body-part location anchors the object to the person.,True,False,Between Jesse's feet is the bag.,Across the full length of a long gym from Jesse is the bag.,The bag is close to Jesse.,The bag is far from Jesse.,7,8,13,14,6,7,6,7
between_feet__name_1__obj_bag__physical_placement_person_subject__person_first,1.0,between_feet,main,name_1,obj_bag,physical_placement_person_subject,person_subject,person_first,person_first,False,body_part,gym,Body-part location anchors the object to the person.,True,False,Jesse has the bag between their feet.,Jesse is across the full length of a long gym from the bag.,Jesse is close to the bag.,Jesse is far from the bag.,7,9,13,15,6,8,6,8
between_feet__name_1__obj_bag__physical_placement_person_subject__object_first,1.0,between_feet,main,name_1,obj_bag,physical_placement_person_subject,person_subject,person_first,object_first,True,body_part,gym,Body-part location anchors the object to the person.,True,False,Jesse has the bag between their feet.,Jesse is across the full length of a long gym from the bag.,The bag is close to Jesse.,The bag is far from Jesse.,7,9,13,15,6,7,6,7
between_feet__name_1__obj_book__physical_placement__person_first,1.0,between_feet,main,name_1,obj_book,physical_placement,object_subject,object_first,person_first,True,body_part,gym,Body-part location anchors the object to the person.,True,False,The book is between Jesse's feet.,The book is across the full length of a long gym from Jesse.,Jesse is close to the book.,Jesse is far from the book.,7,8,13,14,6,8,6,8
between_feet__name_1__obj_book__physical_placement__object_first,1.0,between_feet,main,name_1,obj_book,physical_placement,object_subject,object_first,object_first,False,body_part,gym,Body-part location anchors the object to the person.,True,False,The book is between Jesse's feet.,The book is across the full length of a long gym from Jesse.,The book is close to Jesse.,The book is far from Jesse.,7,8,13,14,6,7,6,7
between_feet__name_1__obj_book__physical_placement_fronted__person_first,1.0,between_feet,main,name_1,obj_book,physical_placement_fronted,fronted_location,person_first,person_first,False,body_part,gym,Body-part location anchors the object to the person.,True,False,Between Jesse's feet is the book.,Across the full length of a long gym from Jesse is the book.,Jesse is close to the book.,Jesse is far from the book.,7,8,13,14,6,8,6,8
between_feet__name_1__obj_book__physical_placement_fronted__object_first,1.0,between_feet,main,name_1,obj_book,physical_placement_fronted,fronted_location,person_first,object_first,True,body_part,gym,Body-part location anchors the object to the person.,True,False,Between Jesse's feet is the book.,Across the full length of a long gym from Jesse is the book.,The book is close to Jesse.,The book is far from Jesse.,7,8,13,14,6,7,6,7
between_feet__name_1__obj_book__physical_placement_person_subject__person_first,1.0,between_feet,main,name_1,obj_book,physical_placement_person_subject,person_subject,person_first,person_first,False,body_part,gym,Body-part location anchors the object to the person.,True,False,Jesse has the book between their feet.,Jesse is across the full length of a long gym from the book.,Jesse is close to the book.,Jesse is far from the book.,7,9,13,15,6,8,6,8
between_feet__name_1__obj_book__physical_placement_person_subject__object_first,1.0,between_feet,main,name_1,obj_book,physical_placement_person_subject,person_subject,person_first,object_first,True,body_part,gym,Body-part location anchors the object to the person.,True,False,Jesse has the book between their feet.,Jesse is across the full length of a long gym from the book.,The book is close to Jesse.,The book is far from Jesse.,7,9,13,15,6,7,6,7
between_feet__name_1__obj_cone__physical_placement__person_first,1.0,between_feet,main,name_1,obj_cone,physical_placement,object_subject,object_first,person_first,True,body_part,gym,Body-part location anchors the object to the person.,True,False,The cone is between Jesse's feet.,The cone is across the full length of a long gym from Jesse.,Jesse is close to the cone.,Jesse is far from the cone.,7,8,13,14,6,8,6,8
between_feet__name_1__obj_cone__physical_placement__object_first,1.0,between_feet,main,name_1,obj_cone,physical_placement,object_subject,object_first,object_first,False,body_part,gym,Body-part location anchors the object to the person.,True,False,The cone is between Jesse's feet.,The cone is across the full length of a long gym from Jesse.,The cone is close to Jesse.,The cone is far from Jesse.,7,8,13,14,6,7,6,7
between_feet__name_1__obj_cone__physical_placement_fronted__person_first,1.0,between_feet,main,name_1,obj_cone,physical_placement_fronted,fronted_location,person_first,person_first,False,body_part,gym,Body-part location anchors the object to the person.,True,False,Between Jesse's feet is the cone.,Across the full length of a long gym from Jesse is the cone.,Jesse is close to the cone.,Jesse is far from the cone.,7,8,13,14,6,8,6,8
between_feet__name_1__obj_cone__physical_placement_fronted__object_first,1.0,between_feet,main,name_1,obj_cone,physical_placement_fronted,fronted_location,person_first,object_first,True,body_part,gym,Body-part location anchors the object to the person.,True,False,Between Jesse's feet is the cone.,Across the full length of a long gym from Jesse is the cone.,The cone is close to Jesse.,The cone is far from Jesse.,7,8,13,14,6,7,6,7
between_feet__name_1__obj_cone__physical_placement_person_subject__person_first,1.0,between_feet,main,name_1,obj_cone,physical_placement_person_subject,person_subject,person_first,person_first,False,body_part,gym,Body-part location anchors the object to the person.,True,False,Jesse has the cone between their feet.,Jesse is across the full length of a long gym from the cone.,Jesse is close to the cone.,Jesse is far from the cone.,7,9,13,15,6,8,6,8
between_feet__name_1__obj_cone__physical_placement_person_subject__object_first,1.0,between_feet,main,name_1,obj_cone,physical_placement_person_subject,person_subject,person_first,object_first,True,body_part,gym,Body-part location anchors the object to the person.,True,False,Jesse has the cone between their feet.,Jesse is across the full length of a long gym from the cone.,The cone is close to Jesse.,The cone is far from Jesse.,7,9,13,15,6,7,6,7
between_feet__name_2__obj_ball__physical_placement__person_first,1.0,between_feet,main,name_2,obj_ball,physical_placement,object_subject,object_first,person_first,True,body_part,gym,Body-part location anchors the object to the person.,True,False,The ball is between Li's feet.,The ball is across the full length of a long gym from Li.,Li is close to the ball.,Li is far from the ball.,7,8,13,14,6,7,6,7
between_feet__name_2__obj_ball__physical_placement__object_first,1.0,between_feet,main,name_2,obj_ball,physical_placement,object_subject,object_first,object_first,False,body_part,gym,Body-part location anchors the object to the person.,True,False,The ball is between Li's feet.,The ball is across the full length of a long gym from Li.,The ball is close to Li.,The ball is far from Li.,7,8,13,14,6,7,6,7
between_feet__name_2__obj_ball__physical_placement_fronted__person_first,1.0,between_feet,main,name_2,obj_ball,physical_placement_fronted,fronted_location,person_first,person_first,False,body_part,gym,Body-part location anchors the object to the person.,True,False,Between Li's feet is the ball.,Across the full length of a long gym from Li is the ball.,Li is close to the ball.,Li is far from the ball.,7,8,13,14,6,7,6,7
between_feet__name_2__obj_ball__physical_placement_fronted__object_first,1.0,between_feet,main,name_2,obj_ball,physical_placement_fronted,fronted_location,person_first,object_first,True,body_part,gym,Body-part location anchors the object to the person.,True,False,Between Li's feet is the ball.,Across the full length of a long gym from Li is the ball.,The ball is close to Li.,The ball is far from Li.,7,8,13,14,6,7,6,7
between_feet__name_2__obj_ball__physical_placement_person_subject__person_first,1.0,between_feet,main,name_2,obj_ball,physical_placement_person_subject,person_subject,person_first,person_first,False,body_part,gym,Body-part location anchors the object to the person.,True,False,Li has the ball between their feet.,Li is across the full length of a long gym from the ball.,Li is close to the ball.,Li is far from the ball.,7,8,13,14,6,7,6,7
between_feet__name_2__obj_ball__physical_placement_person_subject__object_first,1.0,between_feet,main,name_2,obj_ball,physical_placement_person_subject,person_subject,person_first,object_first,True,body_part,gym,Body-part location anchors the object to the person.,True,False,Li has the ball between their feet.,Li is across the full length of a long gym from the ball.,The ball is close to Li.,The ball is far from Li.,7,8,13,14,6,7,6,7
