probe_id,probe_type,probe_version,matched_group_id,length_match_id,condition_id,template_id,length_band,evidence_type,numeric_information,trajectory_constraint_id,object_stationary,passes_object,reference_stationarity,no_overshoot_status,interpretation_basis,template_family,name_id,name,object_id,object,outcome,direction,correct_target,Context,Target1,Target2,Context_word_count,Context_char_count,Context_token_count,Target1_word_count,Target1_char_count,Target1_token_count,Target1_conditional_token_count,Target2_word_count,Target2_char_count,Target2_token_count,Target2_conditional_token_count,probe_row_index,numeric_case_id,unit_id,initial_distance,movement_distance,final_distance
numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_00__unit_metres,closer_farther_non_numeric_movement,1.3,numeric_aligned_v1_1__name_0__obj_cone__compact__num_00__unit_metres,numeric_aligned_v1_1__name_0__obj_cone__closer__num_00__unit_metres,numeric_aligned_movement,aligned_compact,compact,directed_movement_inference,specific,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_cone,cone,closer,toward,Target1,"Starting 18 metres from a stationary cone, Maya walked 5 metres directly toward it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,19,114,21,9,43,11,10,9,46,11,10,0,num_00,unit_metres,18,5,13
numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_00__unit_ft,closer_farther_non_numeric_movement,1.3,numeric_aligned_v1_1__name_0__obj_cone__compact__num_00__unit_ft,numeric_aligned_v1_1__name_0__obj_cone__closer__num_00__unit_ft,numeric_aligned_movement,aligned_compact,compact,directed_movement_inference,specific,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_cone,cone,closer,toward,Target1,"Starting 18 ft from a stationary cone, Maya walked 5 ft directly toward it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,19,106,21,9,43,11,10,9,46,11,10,1,num_00,unit_ft,18,5,13
numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_00__unit_inches,closer_farther_non_numeric_movement,1.3,numeric_aligned_v1_1__name_0__obj_cone__compact__num_00__unit_inches,numeric_aligned_v1_1__name_0__obj_cone__closer__num_00__unit_inches,numeric_aligned_movement,aligned_compact,compact,directed_movement_inference,specific,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_cone,cone,closer,toward,Target1,"Starting 18 inches from a stationary cone, Maya walked 5 inches directly toward it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,19,114,21,9,43,11,10,9,46,11,10,2,num_00,unit_inches,18,5,13
numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_01__unit_metres,closer_farther_non_numeric_movement,1.3,numeric_aligned_v1_1__name_0__obj_cone__compact__num_01__unit_metres,numeric_aligned_v1_1__name_0__obj_cone__closer__num_01__unit_metres,numeric_aligned_movement,aligned_compact,compact,directed_movement_inference,specific,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_cone,cone,closer,toward,Target1,"Starting 85 metres from a stationary cone, Maya walked 12 metres directly toward it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,19,115,21,9,43,11,10,9,46,11,10,3,num_01,unit_metres,85,12,73
numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_01__unit_ft,closer_farther_non_numeric_movement,1.3,numeric_aligned_v1_1__name_0__obj_cone__compact__num_01__unit_ft,numeric_aligned_v1_1__name_0__obj_cone__closer__num_01__unit_ft,numeric_aligned_movement,aligned_compact,compact,directed_movement_inference,specific,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_cone,cone,closer,toward,Target1,"Starting 85 ft from a stationary cone, Maya walked 12 ft directly toward it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,19,107,21,9,43,11,10,9,46,11,10,4,num_01,unit_ft,85,12,73
numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_01__unit_inches,closer_farther_non_numeric_movement,1.3,numeric_aligned_v1_1__name_0__obj_cone__compact__num_01__unit_inches,numeric_aligned_v1_1__name_0__obj_cone__closer__num_01__unit_inches,numeric_aligned_movement,aligned_compact,compact,directed_movement_inference,specific,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_cone,cone,closer,toward,Target1,"Starting 85 inches from a stationary cone, Maya walked 12 inches directly toward it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,19,115,21,9,43,11,10,9,46,11,10,5,num_01,unit_inches,85,12,73
numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_02__unit_metres,closer_farther_non_numeric_movement,1.3,numeric_aligned_v1_1__name_0__obj_cone__compact__num_02__unit_metres,numeric_aligned_v1_1__name_0__obj_cone__closer__num_02__unit_metres,numeric_aligned_movement,aligned_compact,compact,directed_movement_inference,specific,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_cone,cone,closer,toward,Target1,"Starting 30 metres from a stationary cone, Maya walked 6 metres directly toward it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,19,114,21,9,43,11,10,9,46,11,10,6,num_02,unit_metres,30,6,24
numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_02__unit_ft,closer_farther_non_numeric_movement,1.3,numeric_aligned_v1_1__name_0__obj_cone__compact__num_02__unit_ft,numeric_aligned_v1_1__name_0__obj_cone__closer__num_02__unit_ft,numeric_aligned_movement,aligned_compact,compact,directed_movement_inference,specific,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_cone,cone,closer,toward,Target1,"Starting 30 ft from a stationary cone, Maya walked 6 ft directly toward it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,19,106,21,9,43,11,10,9,46,11,10,7,num_02,unit_ft,30,6,24
numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_02__unit_inches,closer_farther_non_numeric_movement,1.3,numeric_aligned_v1_1__name_0__obj_cone__compact__num_02__unit_inches,numeric_aligned_v1_1__name_0__obj_cone__closer__num_02__unit_inches,numeric_aligned_movement,aligned_compact,compact,directed_movement_inference,specific,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_cone,cone,closer,toward,Target1,"Starting 30 inches from a stationary cone, Maya walked 6 inches directly toward it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,19,114,21,9,43,11,10,9,46,11,10,8,num_02,unit_inches,30,6,24
numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_03__unit_metres,closer_farther_non_numeric_movement,1.3,numeric_aligned_v1_1__name_0__obj_cone__compact__num_03__unit_metres,numeric_aligned_v1_1__name_0__obj_cone__closer__num_03__unit_metres,numeric_aligned_movement,aligned_compact,compact,directed_movement_inference,specific,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_cone,cone,closer,toward,Target1,"Starting 35 metres from a stationary cone, Maya walked 4 metres directly toward it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,19,114,21,9,43,11,10,9,46,11,10,9,num_03,unit_metres,35,4,31
numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_03__unit_ft,closer_farther_non_numeric_movement,1.3,numeric_aligned_v1_1__name_0__obj_cone__compact__num_03__unit_ft,numeric_aligned_v1_1__name_0__obj_cone__closer__num_03__unit_ft,numeric_aligned_movement,aligned_compact,compact,directed_movement_inference,specific,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_cone,cone,closer,toward,Target1,"Starting 35 ft from a stationary cone, Maya walked 4 ft directly toward it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,19,106,21,9,43,11,10,9,46,11,10,10,num_03,unit_ft,35,4,31
numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_03__unit_inches,closer_farther_non_numeric_movement,1.3,numeric_aligned_v1_1__name_0__obj_cone__compact__num_03__unit_inches,numeric_aligned_v1_1__name_0__obj_cone__closer__num_03__unit_inches,numeric_aligned_movement,aligned_compact,compact,directed_movement_inference,specific,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_cone,cone,closer,toward,Target1,"Starting 35 inches from a stationary cone, Maya walked 4 inches directly toward it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,19,114,21,9,43,11,10,9,46,11,10,11,num_03,unit_inches,35,4,31
numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_04__unit_metres,closer_farther_non_numeric_movement,1.3,numeric_aligned_v1_1__name_0__obj_cone__compact__num_04__unit_metres,numeric_aligned_v1_1__name_0__obj_cone__closer__num_04__unit_metres,numeric_aligned_movement,aligned_compact,compact,directed_movement_inference,specific,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_cone,cone,closer,toward,Target1,"Starting 53 metres from a stationary cone, Maya walked 32 metres directly toward it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,19,115,21,9,43,11,10,9,46,11,10,12,num_04,unit_metres,53,32,21
numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_04__unit_ft,closer_farther_non_numeric_movement,1.3,numeric_aligned_v1_1__name_0__obj_cone__compact__num_04__unit_ft,numeric_aligned_v1_1__name_0__obj_cone__closer__num_04__unit_ft,numeric_aligned_movement,aligned_compact,compact,directed_movement_inference,specific,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_cone,cone,closer,toward,Target1,"Starting 53 ft from a stationary cone, Maya walked 32 ft directly toward it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,19,107,21,9,43,11,10,9,46,11,10,13,num_04,unit_ft,53,32,21
numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_04__unit_inches,closer_farther_non_numeric_movement,1.3,numeric_aligned_v1_1__name_0__obj_cone__compact__num_04__unit_inches,numeric_aligned_v1_1__name_0__obj_cone__closer__num_04__unit_inches,numeric_aligned_movement,aligned_compact,compact,directed_movement_inference,specific,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_cone,cone,closer,toward,Target1,"Starting 53 inches from a stationary cone, Maya walked 32 inches directly toward it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,19,115,21,9,43,11,10,9,46,11,10,14,num_04,unit_inches,53,32,21
