control,base_probe_id,variant_probe_id
persistence_cue,north_south__static__not_applicable__not_applicable__implicit,north_south__static__not_applicable__not_applicable__explicit
axis,north_south__static__not_applicable__not_applicable__implicit,east_west__static__not_applicable__not_applicable__implicit
observer_turn_invariance,north_south__static__not_applicable__not_applicable__implicit,north_south__observer_turn__not_applicable__not_applicable__implicit
axis,north_south__static__not_applicable__not_applicable__explicit,east_west__static__not_applicable__not_applicable__explicit
observer_turn_invariance,north_south__static__not_applicable__not_applicable__explicit,north_south__observer_turn__not_applicable__not_applicable__explicit
movement_verb,north_south__target_crosses__moves__toward__implicit,north_south__target_crosses__heads__toward__implicit
preposition,north_south__target_crosses__moves__toward__implicit,north_south__target_crosses__moves__to__implicit
persistence_cue,north_south__target_crosses__moves__toward__implicit,north_south__target_crosses__moves__toward__explicit
axis,north_south__target_crosses__moves__toward__implicit,east_west__target_crosses__moves__toward__implicit
movement_verb,north_south__target_crosses__moves__to__implicit,north_south__target_crosses__heads__to__implicit
axis,north_south__target_crosses__moves__to__implicit,east_west__target_crosses__moves__to__implicit
preposition,north_south__target_crosses__heads__toward__implicit,north_south__target_crosses__heads__to__implicit
axis,north_south__target_crosses__heads__toward__implicit,east_west__target_crosses__heads__toward__implicit
axis,north_south__target_crosses__heads__to__implicit,east_west__target_crosses__heads__to__implicit
axis,north_south__target_crosses__moves__toward__explicit,east_west__target_crosses__moves__toward__explicit
movement_verb,north_south__reference_crosses__moves__toward__implicit,north_south__reference_crosses__heads__toward__implicit
preposition,north_south__reference_crosses__moves__toward__implicit,north_south__reference_crosses__moves__to__implicit
persistence_cue,north_south__reference_crosses__moves__toward__implicit,north_south__reference_crosses__moves__toward__explicit
axis,north_south__reference_crosses__moves__toward__implicit,east_west__reference_crosses__moves__toward__implicit
movement_verb,north_south__reference_crosses__moves__to__implicit,north_south__reference_crosses__heads__to__implicit
axis,north_south__reference_crosses__moves__to__implicit,east_west__reference_crosses__moves__to__implicit
preposition,north_south__reference_crosses__heads__toward__implicit,north_south__reference_crosses__heads__to__implicit
axis,north_south__reference_crosses__heads__toward__implicit,east_west__reference_crosses__heads__toward__implicit
axis,north_south__reference_crosses__heads__to__implicit,east_west__reference_crosses__heads__to__implicit
axis,north_south__reference_crosses__moves__toward__explicit,east_west__reference_crosses__moves__toward__explicit
movement_verb,north_south__toward_without_crossing__moves__toward__implicit,north_south__toward_without_crossing__heads__toward__implicit
persistence_cue,north_south__toward_without_crossing__moves__toward__implicit,north_south__toward_without_crossing__moves__toward__explicit
axis,north_south__toward_without_crossing__moves__toward__implicit,east_west__toward_without_crossing__moves__toward__implicit
axis,north_south__toward_without_crossing__heads__toward__implicit,east_west__toward_without_crossing__heads__toward__implicit
axis,north_south__toward_without_crossing__moves__toward__explicit,east_west__toward_without_crossing__moves__toward__explicit
movement_verb,north_south__away__moves__not_applicable__implicit,north_south__away__heads__not_applicable__implicit
persistence_cue,north_south__away__moves__not_applicable__implicit,north_south__away__moves__not_applicable__explicit
axis,north_south__away__moves__not_applicable__implicit,east_west__away__moves__not_applicable__implicit
axis,north_south__away__heads__not_applicable__implicit,east_west__away__heads__not_applicable__implicit
axis,north_south__away__moves__not_applicable__explicit,east_west__away__moves__not_applicable__explicit
movement_verb,north_south__both_equal__moves__not_applicable__not_applicable,north_south__both_equal__heads__not_applicable__not_applicable
axis,north_south__both_equal__moves__not_applicable__not_applicable,east_west__both_equal__moves__not_applicable__not_applicable
axis,north_south__both_equal__heads__not_applicable__not_applicable,east_west__both_equal__heads__not_applicable__not_applicable
axis,north_south__swap__not_applicable__not_applicable__not_applicable,east_west__swap__not_applicable__not_applicable__not_applicable
persistence_cue,north_south__observer_turn__not_applicable__not_applicable__implicit,north_south__observer_turn__not_applicable__not_applicable__explicit
axis,north_south__observer_turn__not_applicable__not_applicable__implicit,east_west__observer_turn__not_applicable__not_applicable__implicit
axis,north_south__observer_turn__not_applicable__not_applicable__explicit,east_west__observer_turn__not_applicable__not_applicable__explicit
persistence_cue,east_west__static__not_applicable__not_applicable__implicit,east_west__static__not_applicable__not_applicable__explicit
observer_turn_invariance,east_west__static__not_applicable__not_applicable__implicit,east_west__observer_turn__not_applicable__not_applicable__implicit
observer_turn_invariance,east_west__static__not_applicable__not_applicable__explicit,east_west__observer_turn__not_applicable__not_applicable__explicit
movement_verb,east_west__target_crosses__moves__toward__implicit,east_west__target_crosses__heads__toward__implicit
preposition,east_west__target_crosses__moves__toward__implicit,east_west__target_crosses__moves__to__implicit
persistence_cue,east_west__target_crosses__moves__toward__implicit,east_west__target_crosses__moves__toward__explicit
movement_verb,east_west__target_crosses__moves__to__implicit,east_west__target_crosses__heads__to__implicit
preposition,east_west__target_crosses__heads__toward__implicit,east_west__target_crosses__heads__to__implicit
movement_verb,east_west__reference_crosses__moves__toward__implicit,east_west__reference_crosses__heads__toward__implicit
preposition,east_west__reference_crosses__moves__toward__implicit,east_west__reference_crosses__moves__to__implicit
persistence_cue,east_west__reference_crosses__moves__toward__implicit,east_west__reference_crosses__moves__toward__explicit
movement_verb,east_west__reference_crosses__moves__to__implicit,east_west__reference_crosses__heads__to__implicit
preposition,east_west__reference_crosses__heads__toward__implicit,east_west__reference_crosses__heads__to__implicit
movement_verb,east_west__toward_without_crossing__moves__toward__implicit,east_west__toward_without_crossing__heads__toward__implicit
persistence_cue,east_west__toward_without_crossing__moves__toward__implicit,east_west__toward_without_crossing__moves__toward__explicit
movement_verb,east_west__away__moves__not_applicable__implicit,east_west__away__heads__not_applicable__implicit
persistence_cue,east_west__away__moves__not_applicable__implicit,east_west__away__moves__not_applicable__explicit
movement_verb,east_west__both_equal__moves__not_applicable__not_applicable,east_west__both_equal__heads__not_applicable__not_applicable
persistence_cue,east_west__observer_turn__not_applicable__not_applicable__implicit,east_west__observer_turn__not_applicable__not_applicable__explicit
