length_match_id,reference_probe_id,variant_probe_id,variant_length_band
non_numeric_v1_1__name_0__obj_cone__closer,non_numeric_v1_1__name_0__obj_cone__standard__closer,non_numeric_v1_1__name_0__obj_cone__compact__closer,compact
non_numeric_v1_1__name_0__obj_cone__closer,non_numeric_v1_1__name_0__obj_cone__standard__closer,non_numeric_v1_1__name_0__obj_cone__expanded__closer,expanded
non_numeric_v1_1__name_0__obj_cone__farther,non_numeric_v1_1__name_0__obj_cone__standard__farther,non_numeric_v1_1__name_0__obj_cone__compact__farther,compact
non_numeric_v1_1__name_0__obj_cone__farther,non_numeric_v1_1__name_0__obj_cone__standard__farther,non_numeric_v1_1__name_0__obj_cone__expanded__farther,expanded
non_numeric_v1_1__name_0__obj_flag__closer,non_numeric_v1_1__name_0__obj_flag__standard__closer,non_numeric_v1_1__name_0__obj_flag__compact__closer,compact
non_numeric_v1_1__name_0__obj_flag__closer,non_numeric_v1_1__name_0__obj_flag__standard__closer,non_numeric_v1_1__name_0__obj_flag__expanded__closer,expanded
non_numeric_v1_1__name_0__obj_flag__farther,non_numeric_v1_1__name_0__obj_flag__standard__farther,non_numeric_v1_1__name_0__obj_flag__compact__farther,compact
non_numeric_v1_1__name_0__obj_flag__farther,non_numeric_v1_1__name_0__obj_flag__standard__farther,non_numeric_v1_1__name_0__obj_flag__expanded__farther,expanded
non_numeric_v1_1__name_0__obj_bicycle__closer,non_numeric_v1_1__name_0__obj_bicycle__standard__closer,non_numeric_v1_1__name_0__obj_bicycle__compact__closer,compact
non_numeric_v1_1__name_0__obj_bicycle__closer,non_numeric_v1_1__name_0__obj_bicycle__standard__closer,non_numeric_v1_1__name_0__obj_bicycle__expanded__closer,expanded
non_numeric_v1_1__name_0__obj_bicycle__farther,non_numeric_v1_1__name_0__obj_bicycle__standard__farther,non_numeric_v1_1__name_0__obj_bicycle__compact__farther,compact
non_numeric_v1_1__name_0__obj_bicycle__farther,non_numeric_v1_1__name_0__obj_bicycle__standard__farther,non_numeric_v1_1__name_0__obj_bicycle__expanded__farther,expanded
non_numeric_v1_1__name_0__obj_bench__closer,non_numeric_v1_1__name_0__obj_bench__standard__closer,non_numeric_v1_1__name_0__obj_bench__compact__closer,compact
non_numeric_v1_1__name_0__obj_bench__closer,non_numeric_v1_1__name_0__obj_bench__standard__closer,non_numeric_v1_1__name_0__obj_bench__expanded__closer,expanded
non_numeric_v1_1__name_0__obj_bench__farther,non_numeric_v1_1__name_0__obj_bench__standard__farther,non_numeric_v1_1__name_0__obj_bench__compact__farther,compact
non_numeric_v1_1__name_0__obj_bench__farther,non_numeric_v1_1__name_0__obj_bench__standard__farther,non_numeric_v1_1__name_0__obj_bench__expanded__farther,expanded
non_numeric_v1_1__name_0__obj_mailbox__closer,non_numeric_v1_1__name_0__obj_mailbox__standard__closer,non_numeric_v1_1__name_0__obj_mailbox__compact__closer,compact
non_numeric_v1_1__name_0__obj_mailbox__closer,non_numeric_v1_1__name_0__obj_mailbox__standard__closer,non_numeric_v1_1__name_0__obj_mailbox__expanded__closer,expanded
non_numeric_v1_1__name_0__obj_mailbox__farther,non_numeric_v1_1__name_0__obj_mailbox__standard__farther,non_numeric_v1_1__name_0__obj_mailbox__compact__farther,compact
non_numeric_v1_1__name_0__obj_mailbox__farther,non_numeric_v1_1__name_0__obj_mailbox__standard__farther,non_numeric_v1_1__name_0__obj_mailbox__expanded__farther,expanded
non_numeric_v1_1__name_1__obj_cone__closer,non_numeric_v1_1__name_1__obj_cone__standard__closer,non_numeric_v1_1__name_1__obj_cone__compact__closer,compact
non_numeric_v1_1__name_1__obj_cone__closer,non_numeric_v1_1__name_1__obj_cone__standard__closer,non_numeric_v1_1__name_1__obj_cone__expanded__closer,expanded
non_numeric_v1_1__name_1__obj_cone__farther,non_numeric_v1_1__name_1__obj_cone__standard__farther,non_numeric_v1_1__name_1__obj_cone__compact__farther,compact
non_numeric_v1_1__name_1__obj_cone__farther,non_numeric_v1_1__name_1__obj_cone__standard__farther,non_numeric_v1_1__name_1__obj_cone__expanded__farther,expanded
non_numeric_v1_1__name_1__obj_flag__closer,non_numeric_v1_1__name_1__obj_flag__standard__closer,non_numeric_v1_1__name_1__obj_flag__compact__closer,compact
non_numeric_v1_1__name_1__obj_flag__closer,non_numeric_v1_1__name_1__obj_flag__standard__closer,non_numeric_v1_1__name_1__obj_flag__expanded__closer,expanded
non_numeric_v1_1__name_1__obj_flag__farther,non_numeric_v1_1__name_1__obj_flag__standard__farther,non_numeric_v1_1__name_1__obj_flag__compact__farther,compact
non_numeric_v1_1__name_1__obj_flag__farther,non_numeric_v1_1__name_1__obj_flag__standard__farther,non_numeric_v1_1__name_1__obj_flag__expanded__farther,expanded
non_numeric_v1_1__name_1__obj_bicycle__closer,non_numeric_v1_1__name_1__obj_bicycle__standard__closer,non_numeric_v1_1__name_1__obj_bicycle__compact__closer,compact
non_numeric_v1_1__name_1__obj_bicycle__closer,non_numeric_v1_1__name_1__obj_bicycle__standard__closer,non_numeric_v1_1__name_1__obj_bicycle__expanded__closer,expanded
non_numeric_v1_1__name_1__obj_bicycle__farther,non_numeric_v1_1__name_1__obj_bicycle__standard__farther,non_numeric_v1_1__name_1__obj_bicycle__compact__farther,compact
non_numeric_v1_1__name_1__obj_bicycle__farther,non_numeric_v1_1__name_1__obj_bicycle__standard__farther,non_numeric_v1_1__name_1__obj_bicycle__expanded__farther,expanded
non_numeric_v1_1__name_1__obj_bench__closer,non_numeric_v1_1__name_1__obj_bench__standard__closer,non_numeric_v1_1__name_1__obj_bench__compact__closer,compact
non_numeric_v1_1__name_1__obj_bench__closer,non_numeric_v1_1__name_1__obj_bench__standard__closer,non_numeric_v1_1__name_1__obj_bench__expanded__closer,expanded
non_numeric_v1_1__name_1__obj_bench__farther,non_numeric_v1_1__name_1__obj_bench__standard__farther,non_numeric_v1_1__name_1__obj_bench__compact__farther,compact
non_numeric_v1_1__name_1__obj_bench__farther,non_numeric_v1_1__name_1__obj_bench__standard__farther,non_numeric_v1_1__name_1__obj_bench__expanded__farther,expanded
non_numeric_v1_1__name_1__obj_mailbox__closer,non_numeric_v1_1__name_1__obj_mailbox__standard__closer,non_numeric_v1_1__name_1__obj_mailbox__compact__closer,compact
non_numeric_v1_1__name_1__obj_mailbox__closer,non_numeric_v1_1__name_1__obj_mailbox__standard__closer,non_numeric_v1_1__name_1__obj_mailbox__expanded__closer,expanded
non_numeric_v1_1__name_1__obj_mailbox__farther,non_numeric_v1_1__name_1__obj_mailbox__standard__farther,non_numeric_v1_1__name_1__obj_mailbox__compact__farther,compact
non_numeric_v1_1__name_1__obj_mailbox__farther,non_numeric_v1_1__name_1__obj_mailbox__standard__farther,non_numeric_v1_1__name_1__obj_mailbox__expanded__farther,expanded
non_numeric_v1_1__name_2__obj_cone__closer,non_numeric_v1_1__name_2__obj_cone__standard__closer,non_numeric_v1_1__name_2__obj_cone__compact__closer,compact
non_numeric_v1_1__name_2__obj_cone__closer,non_numeric_v1_1__name_2__obj_cone__standard__closer,non_numeric_v1_1__name_2__obj_cone__expanded__closer,expanded
non_numeric_v1_1__name_2__obj_cone__farther,non_numeric_v1_1__name_2__obj_cone__standard__farther,non_numeric_v1_1__name_2__obj_cone__compact__farther,compact
non_numeric_v1_1__name_2__obj_cone__farther,non_numeric_v1_1__name_2__obj_cone__standard__farther,non_numeric_v1_1__name_2__obj_cone__expanded__farther,expanded
non_numeric_v1_1__name_2__obj_flag__closer,non_numeric_v1_1__name_2__obj_flag__standard__closer,non_numeric_v1_1__name_2__obj_flag__compact__closer,compact
non_numeric_v1_1__name_2__obj_flag__closer,non_numeric_v1_1__name_2__obj_flag__standard__closer,non_numeric_v1_1__name_2__obj_flag__expanded__closer,expanded
non_numeric_v1_1__name_2__obj_flag__farther,non_numeric_v1_1__name_2__obj_flag__standard__farther,non_numeric_v1_1__name_2__obj_flag__compact__farther,compact
non_numeric_v1_1__name_2__obj_flag__farther,non_numeric_v1_1__name_2__obj_flag__standard__farther,non_numeric_v1_1__name_2__obj_flag__expanded__farther,expanded
non_numeric_v1_1__name_2__obj_bicycle__closer,non_numeric_v1_1__name_2__obj_bicycle__standard__closer,non_numeric_v1_1__name_2__obj_bicycle__compact__closer,compact
non_numeric_v1_1__name_2__obj_bicycle__closer,non_numeric_v1_1__name_2__obj_bicycle__standard__closer,non_numeric_v1_1__name_2__obj_bicycle__expanded__closer,expanded
non_numeric_v1_1__name_2__obj_bicycle__farther,non_numeric_v1_1__name_2__obj_bicycle__standard__farther,non_numeric_v1_1__name_2__obj_bicycle__compact__farther,compact
non_numeric_v1_1__name_2__obj_bicycle__farther,non_numeric_v1_1__name_2__obj_bicycle__standard__farther,non_numeric_v1_1__name_2__obj_bicycle__expanded__farther,expanded
non_numeric_v1_1__name_2__obj_bench__closer,non_numeric_v1_1__name_2__obj_bench__standard__closer,non_numeric_v1_1__name_2__obj_bench__compact__closer,compact
non_numeric_v1_1__name_2__obj_bench__closer,non_numeric_v1_1__name_2__obj_bench__standard__closer,non_numeric_v1_1__name_2__obj_bench__expanded__closer,expanded
non_numeric_v1_1__name_2__obj_bench__farther,non_numeric_v1_1__name_2__obj_bench__standard__farther,non_numeric_v1_1__name_2__obj_bench__compact__farther,compact
non_numeric_v1_1__name_2__obj_bench__farther,non_numeric_v1_1__name_2__obj_bench__standard__farther,non_numeric_v1_1__name_2__obj_bench__expanded__farther,expanded
non_numeric_v1_1__name_2__obj_mailbox__closer,non_numeric_v1_1__name_2__obj_mailbox__standard__closer,non_numeric_v1_1__name_2__obj_mailbox__compact__closer,compact
non_numeric_v1_1__name_2__obj_mailbox__closer,non_numeric_v1_1__name_2__obj_mailbox__standard__closer,non_numeric_v1_1__name_2__obj_mailbox__expanded__closer,expanded
non_numeric_v1_1__name_2__obj_mailbox__farther,non_numeric_v1_1__name_2__obj_mailbox__standard__farther,non_numeric_v1_1__name_2__obj_mailbox__compact__farther,compact
non_numeric_v1_1__name_2__obj_mailbox__farther,non_numeric_v1_1__name_2__obj_mailbox__standard__farther,non_numeric_v1_1__name_2__obj_mailbox__expanded__farther,expanded
non_numeric_v1_1__name_3__obj_cone__closer,non_numeric_v1_1__name_3__obj_cone__standard__closer,non_numeric_v1_1__name_3__obj_cone__compact__closer,compact
non_numeric_v1_1__name_3__obj_cone__closer,non_numeric_v1_1__name_3__obj_cone__standard__closer,non_numeric_v1_1__name_3__obj_cone__expanded__closer,expanded
non_numeric_v1_1__name_3__obj_cone__farther,non_numeric_v1_1__name_3__obj_cone__standard__farther,non_numeric_v1_1__name_3__obj_cone__compact__farther,compact
non_numeric_v1_1__name_3__obj_cone__farther,non_numeric_v1_1__name_3__obj_cone__standard__farther,non_numeric_v1_1__name_3__obj_cone__expanded__farther,expanded
non_numeric_v1_1__name_3__obj_flag__closer,non_numeric_v1_1__name_3__obj_flag__standard__closer,non_numeric_v1_1__name_3__obj_flag__compact__closer,compact
non_numeric_v1_1__name_3__obj_flag__closer,non_numeric_v1_1__name_3__obj_flag__standard__closer,non_numeric_v1_1__name_3__obj_flag__expanded__closer,expanded
non_numeric_v1_1__name_3__obj_flag__farther,non_numeric_v1_1__name_3__obj_flag__standard__farther,non_numeric_v1_1__name_3__obj_flag__compact__farther,compact
non_numeric_v1_1__name_3__obj_flag__farther,non_numeric_v1_1__name_3__obj_flag__standard__farther,non_numeric_v1_1__name_3__obj_flag__expanded__farther,expanded
non_numeric_v1_1__name_3__obj_bicycle__closer,non_numeric_v1_1__name_3__obj_bicycle__standard__closer,non_numeric_v1_1__name_3__obj_bicycle__compact__closer,compact
non_numeric_v1_1__name_3__obj_bicycle__closer,non_numeric_v1_1__name_3__obj_bicycle__standard__closer,non_numeric_v1_1__name_3__obj_bicycle__expanded__closer,expanded
non_numeric_v1_1__name_3__obj_bicycle__farther,non_numeric_v1_1__name_3__obj_bicycle__standard__farther,non_numeric_v1_1__name_3__obj_bicycle__compact__farther,compact
