reference_probe_id,variant_probe_id,control,wording_family_id,source_scene_id,context_structure,target_order
between_feet__name_0__obj_ball__physical_placement__person_first,between_feet__name_0__obj_ball__physical_placement__person_first__close_direct_labels,close_evidence_only,direct_labels,between_feet,object_subject,person_first
between_feet__name_0__obj_ball__physical_placement__person_first__close_direct_labels,paired__name_0__obj_ball__object_subject__person_first__direct_labels,far_evidence_only_given_close,direct_labels,between_feet,object_subject,person_first
between_feet__name_0__obj_ball__physical_placement__person_first,between_feet__name_0__obj_ball__physical_placement__person_first__close_proximity_synonyms,close_evidence_only,proximity_synonyms,between_feet,object_subject,person_first
between_feet__name_0__obj_ball__physical_placement__person_first__close_proximity_synonyms,paired__name_0__obj_ball__object_subject__person_first__proximity_synonyms,far_evidence_only_given_close,proximity_synonyms,between_feet,object_subject,person_first
between_feet__name_0__obj_ball__physical_placement__person_first,between_feet__name_0__obj_ball__physical_placement__person_first__close_distance_short_long,close_evidence_only,distance_short_long,between_feet,object_subject,person_first
between_feet__name_0__obj_ball__physical_placement__person_first__close_distance_short_long,paired__name_0__obj_ball__object_subject__person_first__distance_short_long,far_evidence_only_given_close,distance_short_long,between_feet,object_subject,person_first
between_feet__name_0__obj_ball__physical_placement__person_first,between_feet__name_0__obj_ball__physical_placement__person_first__close_distance_small_large,close_evidence_only,distance_small_large,between_feet,object_subject,person_first
between_feet__name_0__obj_ball__physical_placement__person_first__close_distance_small_large,paired__name_0__obj_ball__object_subject__person_first__distance_small_large,far_evidence_only_given_close,distance_small_large,between_feet,object_subject,person_first
between_feet__name_0__obj_ball__physical_placement__object_first,between_feet__name_0__obj_ball__physical_placement__object_first__close_direct_labels,close_evidence_only,direct_labels,between_feet,object_subject,object_first
between_feet__name_0__obj_ball__physical_placement__object_first__close_direct_labels,paired__name_0__obj_ball__object_subject__object_first__direct_labels,far_evidence_only_given_close,direct_labels,between_feet,object_subject,object_first
between_feet__name_0__obj_ball__physical_placement__object_first,between_feet__name_0__obj_ball__physical_placement__object_first__close_proximity_synonyms,close_evidence_only,proximity_synonyms,between_feet,object_subject,object_first
between_feet__name_0__obj_ball__physical_placement__object_first__close_proximity_synonyms,paired__name_0__obj_ball__object_subject__object_first__proximity_synonyms,far_evidence_only_given_close,proximity_synonyms,between_feet,object_subject,object_first
between_feet__name_0__obj_ball__physical_placement__object_first,between_feet__name_0__obj_ball__physical_placement__object_first__close_distance_short_long,close_evidence_only,distance_short_long,between_feet,object_subject,object_first
between_feet__name_0__obj_ball__physical_placement__object_first__close_distance_short_long,paired__name_0__obj_ball__object_subject__object_first__distance_short_long,far_evidence_only_given_close,distance_short_long,between_feet,object_subject,object_first
between_feet__name_0__obj_ball__physical_placement__object_first,between_feet__name_0__obj_ball__physical_placement__object_first__close_distance_small_large,close_evidence_only,distance_small_large,between_feet,object_subject,object_first
between_feet__name_0__obj_ball__physical_placement__object_first__close_distance_small_large,paired__name_0__obj_ball__object_subject__object_first__distance_small_large,far_evidence_only_given_close,distance_small_large,between_feet,object_subject,object_first
between_feet__name_0__obj_ball__physical_placement_fronted__person_first,between_feet__name_0__obj_ball__physical_placement_fronted__person_first__close_direct_labels,close_evidence_only,direct_labels,between_feet,fronted_location,person_first
between_feet__name_0__obj_ball__physical_placement_fronted__person_first__close_direct_labels,paired__name_0__obj_ball__fronted_location__person_first__direct_labels,far_evidence_only_given_close,direct_labels,between_feet,fronted_location,person_first
between_feet__name_0__obj_ball__physical_placement_fronted__person_first,between_feet__name_0__obj_ball__physical_placement_fronted__person_first__close_proximity_synonyms,close_evidence_only,proximity_synonyms,between_feet,fronted_location,person_first
between_feet__name_0__obj_ball__physical_placement_fronted__person_first__close_proximity_synonyms,paired__name_0__obj_ball__fronted_location__person_first__proximity_synonyms,far_evidence_only_given_close,proximity_synonyms,between_feet,fronted_location,person_first
between_feet__name_0__obj_ball__physical_placement_fronted__person_first,between_feet__name_0__obj_ball__physical_placement_fronted__person_first__close_distance_short_long,close_evidence_only,distance_short_long,between_feet,fronted_location,person_first
between_feet__name_0__obj_ball__physical_placement_fronted__person_first__close_distance_short_long,paired__name_0__obj_ball__fronted_location__person_first__distance_short_long,far_evidence_only_given_close,distance_short_long,between_feet,fronted_location,person_first
between_feet__name_0__obj_ball__physical_placement_fronted__person_first,between_feet__name_0__obj_ball__physical_placement_fronted__person_first__close_distance_small_large,close_evidence_only,distance_small_large,between_feet,fronted_location,person_first
between_feet__name_0__obj_ball__physical_placement_fronted__person_first__close_distance_small_large,paired__name_0__obj_ball__fronted_location__person_first__distance_small_large,far_evidence_only_given_close,distance_small_large,between_feet,fronted_location,person_first
between_feet__name_0__obj_ball__physical_placement_fronted__object_first,between_feet__name_0__obj_ball__physical_placement_fronted__object_first__close_direct_labels,close_evidence_only,direct_labels,between_feet,fronted_location,object_first
between_feet__name_0__obj_ball__physical_placement_fronted__object_first__close_direct_labels,paired__name_0__obj_ball__fronted_location__object_first__direct_labels,far_evidence_only_given_close,direct_labels,between_feet,fronted_location,object_first
between_feet__name_0__obj_ball__physical_placement_fronted__object_first,between_feet__name_0__obj_ball__physical_placement_fronted__object_first__close_proximity_synonyms,close_evidence_only,proximity_synonyms,between_feet,fronted_location,object_first
between_feet__name_0__obj_ball__physical_placement_fronted__object_first__close_proximity_synonyms,paired__name_0__obj_ball__fronted_location__object_first__proximity_synonyms,far_evidence_only_given_close,proximity_synonyms,between_feet,fronted_location,object_first
between_feet__name_0__obj_ball__physical_placement_fronted__object_first,between_feet__name_0__obj_ball__physical_placement_fronted__object_first__close_distance_short_long,close_evidence_only,distance_short_long,between_feet,fronted_location,object_first
between_feet__name_0__obj_ball__physical_placement_fronted__object_first__close_distance_short_long,paired__name_0__obj_ball__fronted_location__object_first__distance_short_long,far_evidence_only_given_close,distance_short_long,between_feet,fronted_location,object_first
between_feet__name_0__obj_ball__physical_placement_fronted__object_first,between_feet__name_0__obj_ball__physical_placement_fronted__object_first__close_distance_small_large,close_evidence_only,distance_small_large,between_feet,fronted_location,object_first
between_feet__name_0__obj_ball__physical_placement_fronted__object_first__close_distance_small_large,paired__name_0__obj_ball__fronted_location__object_first__distance_small_large,far_evidence_only_given_close,distance_small_large,between_feet,fronted_location,object_first
between_feet__name_0__obj_ball__physical_placement_person_subject__person_first,between_feet__name_0__obj_ball__physical_placement_person_subject__person_first__close_direct_labels,close_evidence_only,direct_labels,between_feet,person_subject,person_first
between_feet__name_0__obj_ball__physical_placement_person_subject__person_first__close_direct_labels,paired__name_0__obj_ball__person_subject__person_first__direct_labels,far_evidence_only_given_close,direct_labels,between_feet,person_subject,person_first
between_feet__name_0__obj_ball__physical_placement_person_subject__person_first,between_feet__name_0__obj_ball__physical_placement_person_subject__person_first__close_proximity_synonyms,close_evidence_only,proximity_synonyms,between_feet,person_subject,person_first
between_feet__name_0__obj_ball__physical_placement_person_subject__person_first__close_proximity_synonyms,paired__name_0__obj_ball__person_subject__person_first__proximity_synonyms,far_evidence_only_given_close,proximity_synonyms,between_feet,person_subject,person_first
between_feet__name_0__obj_ball__physical_placement_person_subject__person_first,between_feet__name_0__obj_ball__physical_placement_person_subject__person_first__close_distance_short_long,close_evidence_only,distance_short_long,between_feet,person_subject,person_first
between_feet__name_0__obj_ball__physical_placement_person_subject__person_first__close_distance_short_long,paired__name_0__obj_ball__person_subject__person_first__distance_short_long,far_evidence_only_given_close,distance_short_long,between_feet,person_subject,person_first
between_feet__name_0__obj_ball__physical_placement_person_subject__person_first,between_feet__name_0__obj_ball__physical_placement_person_subject__person_first__close_distance_small_large,close_evidence_only,distance_small_large,between_feet,person_subject,person_first
between_feet__name_0__obj_ball__physical_placement_person_subject__person_first__close_distance_small_large,paired__name_0__obj_ball__person_subject__person_first__distance_small_large,far_evidence_only_given_close,distance_small_large,between_feet,person_subject,person_first
between_feet__name_0__obj_ball__physical_placement_person_subject__object_first,between_feet__name_0__obj_ball__physical_placement_person_subject__object_first__close_direct_labels,close_evidence_only,direct_labels,between_feet,person_subject,object_first
between_feet__name_0__obj_ball__physical_placement_person_subject__object_first__close_direct_labels,paired__name_0__obj_ball__person_subject__object_first__direct_labels,far_evidence_only_given_close,direct_labels,between_feet,person_subject,object_first
between_feet__name_0__obj_ball__physical_placement_person_subject__object_first,between_feet__name_0__obj_ball__physical_placement_person_subject__object_first__close_proximity_synonyms,close_evidence_only,proximity_synonyms,between_feet,person_subject,object_first
between_feet__name_0__obj_ball__physical_placement_person_subject__object_first__close_proximity_synonyms,paired__name_0__obj_ball__person_subject__object_first__proximity_synonyms,far_evidence_only_given_close,proximity_synonyms,between_feet,person_subject,object_first
between_feet__name_0__obj_ball__physical_placement_person_subject__object_first,between_feet__name_0__obj_ball__physical_placement_person_subject__object_first__close_distance_short_long,close_evidence_only,distance_short_long,between_feet,person_subject,object_first
between_feet__name_0__obj_ball__physical_placement_person_subject__object_first__close_distance_short_long,paired__name_0__obj_ball__person_subject__object_first__distance_short_long,far_evidence_only_given_close,distance_short_long,between_feet,person_subject,object_first
between_feet__name_0__obj_ball__physical_placement_person_subject__object_first,between_feet__name_0__obj_ball__physical_placement_person_subject__object_first__close_distance_small_large,close_evidence_only,distance_small_large,between_feet,person_subject,object_first
between_feet__name_0__obj_ball__physical_placement_person_subject__object_first__close_distance_small_large,paired__name_0__obj_ball__person_subject__object_first__distance_small_large,far_evidence_only_given_close,distance_small_large,between_feet,person_subject,object_first
between_feet__name_0__obj_bag__physical_placement__person_first,between_feet__name_0__obj_bag__physical_placement__person_first__close_direct_labels,close_evidence_only,direct_labels,between_feet,object_subject,person_first
between_feet__name_0__obj_bag__physical_placement__person_first__close_direct_labels,paired__name_0__obj_bag__object_subject__person_first__direct_labels,far_evidence_only_given_close,direct_labels,between_feet,object_subject,person_first
between_feet__name_0__obj_bag__physical_placement__person_first,between_feet__name_0__obj_bag__physical_placement__person_first__close_proximity_synonyms,close_evidence_only,proximity_synonyms,between_feet,object_subject,person_first
between_feet__name_0__obj_bag__physical_placement__person_first__close_proximity_synonyms,paired__name_0__obj_bag__object_subject__person_first__proximity_synonyms,far_evidence_only_given_close,proximity_synonyms,between_feet,object_subject,person_first
between_feet__name_0__obj_bag__physical_placement__person_first,between_feet__name_0__obj_bag__physical_placement__person_first__close_distance_short_long,close_evidence_only,distance_short_long,between_feet,object_subject,person_first
between_feet__name_0__obj_bag__physical_placement__person_first__close_distance_short_long,paired__name_0__obj_bag__object_subject__person_first__distance_short_long,far_evidence_only_given_close,distance_short_long,between_feet,object_subject,person_first
between_feet__name_0__obj_bag__physical_placement__person_first,between_feet__name_0__obj_bag__physical_placement__person_first__close_distance_small_large,close_evidence_only,distance_small_large,between_feet,object_subject,person_first
between_feet__name_0__obj_bag__physical_placement__person_first__close_distance_small_large,paired__name_0__obj_bag__object_subject__person_first__distance_small_large,far_evidence_only_given_close,distance_small_large,between_feet,object_subject,person_first
between_feet__name_0__obj_bag__physical_placement__object_first,between_feet__name_0__obj_bag__physical_placement__object_first__close_direct_labels,close_evidence_only,direct_labels,between_feet,object_subject,object_first
between_feet__name_0__obj_bag__physical_placement__object_first__close_direct_labels,paired__name_0__obj_bag__object_subject__object_first__direct_labels,far_evidence_only_given_close,direct_labels,between_feet,object_subject,object_first
between_feet__name_0__obj_bag__physical_placement__object_first,between_feet__name_0__obj_bag__physical_placement__object_first__close_proximity_synonyms,close_evidence_only,proximity_synonyms,between_feet,object_subject,object_first
between_feet__name_0__obj_bag__physical_placement__object_first__close_proximity_synonyms,paired__name_0__obj_bag__object_subject__object_first__proximity_synonyms,far_evidence_only_given_close,proximity_synonyms,between_feet,object_subject,object_first
between_feet__name_0__obj_bag__physical_placement__object_first,between_feet__name_0__obj_bag__physical_placement__object_first__close_distance_short_long,close_evidence_only,distance_short_long,between_feet,object_subject,object_first
between_feet__name_0__obj_bag__physical_placement__object_first__close_distance_short_long,paired__name_0__obj_bag__object_subject__object_first__distance_short_long,far_evidence_only_given_close,distance_short_long,between_feet,object_subject,object_first
between_feet__name_0__obj_bag__physical_placement__object_first,between_feet__name_0__obj_bag__physical_placement__object_first__close_distance_small_large,close_evidence_only,distance_small_large,between_feet,object_subject,object_first
between_feet__name_0__obj_bag__physical_placement__object_first__close_distance_small_large,paired__name_0__obj_bag__object_subject__object_first__distance_small_large,far_evidence_only_given_close,distance_small_large,between_feet,object_subject,object_first
between_feet__name_0__obj_bag__physical_placement_fronted__person_first,between_feet__name_0__obj_bag__physical_placement_fronted__person_first__close_direct_labels,close_evidence_only,direct_labels,between_feet,fronted_location,person_first
between_feet__name_0__obj_bag__physical_placement_fronted__person_first__close_direct_labels,paired__name_0__obj_bag__fronted_location__person_first__direct_labels,far_evidence_only_given_close,direct_labels,between_feet,fronted_location,person_first
between_feet__name_0__obj_bag__physical_placement_fronted__person_first,between_feet__name_0__obj_bag__physical_placement_fronted__person_first__close_proximity_synonyms,close_evidence_only,proximity_synonyms,between_feet,fronted_location,person_first
between_feet__name_0__obj_bag__physical_placement_fronted__person_first__close_proximity_synonyms,paired__name_0__obj_bag__fronted_location__person_first__proximity_synonyms,far_evidence_only_given_close,proximity_synonyms,between_feet,fronted_location,person_first
between_feet__name_0__obj_bag__physical_placement_fronted__person_first,between_feet__name_0__obj_bag__physical_placement_fronted__person_first__close_distance_short_long,close_evidence_only,distance_short_long,between_feet,fronted_location,person_first
between_feet__name_0__obj_bag__physical_placement_fronted__person_first__close_distance_short_long,paired__name_0__obj_bag__fronted_location__person_first__distance_short_long,far_evidence_only_given_close,distance_short_long,between_feet,fronted_location,person_first
between_feet__name_0__obj_bag__physical_placement_fronted__person_first,between_feet__name_0__obj_bag__physical_placement_fronted__person_first__close_distance_small_large,close_evidence_only,distance_small_large,between_feet,fronted_location,person_first
between_feet__name_0__obj_bag__physical_placement_fronted__person_first__close_distance_small_large,paired__name_0__obj_bag__fronted_location__person_first__distance_small_large,far_evidence_only_given_close,distance_small_large,between_feet,fronted_location,person_first
between_feet__name_0__obj_bag__physical_placement_fronted__object_first,between_feet__name_0__obj_bag__physical_placement_fronted__object_first__close_direct_labels,close_evidence_only,direct_labels,between_feet,fronted_location,object_first
between_feet__name_0__obj_bag__physical_placement_fronted__object_first__close_direct_labels,paired__name_0__obj_bag__fronted_location__object_first__direct_labels,far_evidence_only_given_close,direct_labels,between_feet,fronted_location,object_first
between_feet__name_0__obj_bag__physical_placement_fronted__object_first,between_feet__name_0__obj_bag__physical_placement_fronted__object_first__close_proximity_synonyms,close_evidence_only,proximity_synonyms,between_feet,fronted_location,object_first
between_feet__name_0__obj_bag__physical_placement_fronted__object_first__close_proximity_synonyms,paired__name_0__obj_bag__fronted_location__object_first__proximity_synonyms,far_evidence_only_given_close,proximity_synonyms,between_feet,fronted_location,object_first
between_feet__name_0__obj_bag__physical_placement_fronted__object_first,between_feet__name_0__obj_bag__physical_placement_fronted__object_first__close_distance_short_long,close_evidence_only,distance_short_long,between_feet,fronted_location,object_first
between_feet__name_0__obj_bag__physical_placement_fronted__object_first__close_distance_short_long,paired__name_0__obj_bag__fronted_location__object_first__distance_short_long,far_evidence_only_given_close,distance_short_long,between_feet,fronted_location,object_first
between_feet__name_0__obj_bag__physical_placement_fronted__object_first,between_feet__name_0__obj_bag__physical_placement_fronted__object_first__close_distance_small_large,close_evidence_only,distance_small_large,between_feet,fronted_location,object_first
between_feet__name_0__obj_bag__physical_placement_fronted__object_first__close_distance_small_large,paired__name_0__obj_bag__fronted_location__object_first__distance_small_large,far_evidence_only_given_close,distance_small_large,between_feet,fronted_location,object_first
between_feet__name_0__obj_bag__physical_placement_person_subject__person_first,between_feet__name_0__obj_bag__physical_placement_person_subject__person_first__close_direct_labels,close_evidence_only,direct_labels,between_feet,person_subject,person_first
between_feet__name_0__obj_bag__physical_placement_person_subject__person_first__close_direct_labels,paired__name_0__obj_bag__person_subject__person_first__direct_labels,far_evidence_only_given_close,direct_labels,between_feet,person_subject,person_first
between_feet__name_0__obj_bag__physical_placement_person_subject__person_first,between_feet__name_0__obj_bag__physical_placement_person_subject__person_first__close_proximity_synonyms,close_evidence_only,proximity_synonyms,between_feet,person_subject,person_first
