probe_id,probe_version,direction,definition_variant_id,context_stem_id,context_structure_label,definition_structure_id,modifier_id,modifier,adjective_pair_id,close_adjective,far_adjective,label_target_id,Domain,ConceptA,ConceptB,ContextType,ContextDiff,TargetDiff,Context1,Context2,Target1,Target2,correct_target_for_context1,correct_target_for_context2,Context1_word_count,Context1_char_count,Context2_word_count,Context2_char_count,Target1_word_count,Target1_char_count,Target2_word_count,Target2_char_count,probe_row_index,task_form,naming_context_id,matched_original_probe_id
definition_to_word__name_0__def_0_mod_0_adj_0,1.1,definition_to_word,def_0_mod_0_adj_0,,compact,def_0,mod_0,relatively,adj_0,small,large,label_word_0,spatial-relations,close,far,direct,antonym,concept swap,A relatively small distance is described by the word,A relatively large distance is described by the word,close.,far.,Target1,Target2,9,52,9,52,1,6,1,4,72,explicit_naming,name_0,definition_to_word__label_0__def_0_mod_0_adj_0
definition_to_word__name_0__def_0_mod_0_adj_1,1.1,definition_to_word,def_0_mod_0_adj_1,,compact,def_0,mod_0,relatively,adj_1,short,long,label_word_0,spatial-relations,close,far,direct,antonym,concept swap,A relatively short distance is described by the word,A relatively long distance is described by the word,close.,far.,Target1,Target2,9,52,9,51,1,6,1,4,73,explicit_naming,name_0,definition_to_word__label_0__def_0_mod_0_adj_1
definition_to_word__name_0__def_0_mod_1_adj_0,1.1,definition_to_word,def_0_mod_1_adj_0,,compact,def_0,mod_1,comparatively,adj_0,small,large,label_word_0,spatial-relations,close,far,direct,antonym,concept swap,A comparatively small distance is described by the word,A comparatively large distance is described by the word,close.,far.,Target1,Target2,9,55,9,55,1,6,1,4,74,explicit_naming,name_0,definition_to_word__label_0__def_0_mod_1_adj_0
definition_to_word__name_0__def_0_mod_1_adj_1,1.1,definition_to_word,def_0_mod_1_adj_1,,compact,def_0,mod_1,comparatively,adj_1,short,long,label_word_0,spatial-relations,close,far,direct,antonym,concept swap,A comparatively short distance is described by the word,A comparatively long distance is described by the word,close.,far.,Target1,Target2,9,55,9,54,1,6,1,4,75,explicit_naming,name_0,definition_to_word__label_0__def_0_mod_1_adj_1
definition_to_word__name_0__def_0_mod_2_adj_0,1.1,definition_to_word,def_0_mod_2_adj_0,,compact,def_0,mod_2,fairly,adj_0,small,large,label_word_0,spatial-relations,close,far,direct,antonym,concept swap,A fairly small distance is described by the word,A fairly large distance is described by the word,close.,far.,Target1,Target2,9,48,9,48,1,6,1,4,76,explicit_naming,name_0,definition_to_word__label_0__def_0_mod_2_adj_0
definition_to_word__name_0__def_0_mod_2_adj_1,1.1,definition_to_word,def_0_mod_2_adj_1,,compact,def_0,mod_2,fairly,adj_1,short,long,label_word_0,spatial-relations,close,far,direct,antonym,concept swap,A fairly short distance is described by the word,A fairly long distance is described by the word,close.,far.,Target1,Target2,9,48,9,47,1,6,1,4,77,explicit_naming,name_0,definition_to_word__label_0__def_0_mod_2_adj_1
definition_to_word__name_1__def_1_mod_0_adj_0,1.1,definition_to_word,def_1_mod_0_adj_0,,medium,def_1,mod_0,relatively,adj_0,small,large,label_word_0,spatial-relations,close,far,direct,antonym,concept swap,A relatively small distance between objects is described by the word,A relatively large distance between objects is described by the word,close.,far.,Target1,Target2,11,68,11,68,1,6,1,4,78,explicit_naming,name_1,definition_to_word__label_0__def_1_mod_0_adj_0
definition_to_word__name_1__def_1_mod_0_adj_1,1.1,definition_to_word,def_1_mod_0_adj_1,,medium,def_1,mod_0,relatively,adj_1,short,long,label_word_0,spatial-relations,close,far,direct,antonym,concept swap,A relatively short distance between objects is described by the word,A relatively long distance between objects is described by the word,close.,far.,Target1,Target2,11,68,11,67,1,6,1,4,79,explicit_naming,name_1,definition_to_word__label_0__def_1_mod_0_adj_1
definition_to_word__name_1__def_1_mod_1_adj_0,1.1,definition_to_word,def_1_mod_1_adj_0,,medium,def_1,mod_1,comparatively,adj_0,small,large,label_word_0,spatial-relations,close,far,direct,antonym,concept swap,A comparatively small distance between objects is described by the word,A comparatively large distance between objects is described by the word,close.,far.,Target1,Target2,11,71,11,71,1,6,1,4,80,explicit_naming,name_1,definition_to_word__label_0__def_1_mod_1_adj_0
definition_to_word__name_1__def_1_mod_1_adj_1,1.1,definition_to_word,def_1_mod_1_adj_1,,medium,def_1,mod_1,comparatively,adj_1,short,long,label_word_0,spatial-relations,close,far,direct,antonym,concept swap,A comparatively short distance between objects is described by the word,A comparatively long distance between objects is described by the word,close.,far.,Target1,Target2,11,71,11,70,1,6,1,4,81,explicit_naming,name_1,definition_to_word__label_0__def_1_mod_1_adj_1
