probe_id,probe_version,probe_family,event_family,event_subtype,case_id,object_pair_id,target_object,reference_object,evidence_type,length_band,context_entity_order,target_entity_order,target1_relation_word,target2_relation_word,target_motion_above,target_motion_below,reference_motion_above,reference_motion_below,Context1,Context2,Target1,Target2,correct_target_for_context1,correct_target_for_context2,target_start_above,target_end_above,reference_start_above,reference_end_above,target_start_below,target_end_below,reference_start_below,reference_end_below,Context1_word_count,Context2_word_count,Target1_word_count,Target2_word_count
static_outer__ball_cone__named_shelves__compact__target_first__target_first,1.3,applied,static_placement,outer_shelves,static_outer,ball_cone,ball,cone,named_shelves,compact,target_first,target_first,above,below,still,still,still,still,"The rack's shelves run from bottom through lower, middle, and upper to top. The ball is on the top shelf. The cone is on the bottom shelf.","The rack's shelves run from bottom through lower, middle, and upper to top. The ball is on the bottom shelf. The cone is on the top shelf.",The ball is above the cone.,The ball is below the cone.,Target1,Target2,5,5,1,1,1,1,5,5,28,28,6,6
static_outer__ball_cone__named_shelves__compact__target_first__reference_first,1.3,applied,static_placement,outer_shelves,static_outer,ball_cone,ball,cone,named_shelves,compact,target_first,reference_first,below,above,still,still,still,still,"The rack's shelves run from bottom through lower, middle, and upper to top. The ball is on the top shelf. The cone is on the bottom shelf.","The rack's shelves run from bottom through lower, middle, and upper to top. The ball is on the bottom shelf. The cone is on the top shelf.",The cone is below the ball.,The cone is above the ball.,Target1,Target2,5,5,1,1,1,1,5,5,28,28,6,6
static_outer__ball_cone__named_shelves__compact__reference_first__target_first,1.3,applied,static_placement,outer_shelves,static_outer,ball_cone,ball,cone,named_shelves,compact,reference_first,target_first,above,below,still,still,still,still,"The rack's shelves run from bottom through lower, middle, and upper to top. The cone is on the bottom shelf. The ball is on the top shelf.","The rack's shelves run from bottom through lower, middle, and upper to top. The cone is on the top shelf. The ball is on the bottom shelf.",The ball is above the cone.,The ball is below the cone.,Target1,Target2,5,5,1,1,1,1,5,5,28,28,6,6
static_outer__ball_cone__named_shelves__compact__reference_first__reference_first,1.3,applied,static_placement,outer_shelves,static_outer,ball_cone,ball,cone,named_shelves,compact,reference_first,reference_first,below,above,still,still,still,still,"The rack's shelves run from bottom through lower, middle, and upper to top. The cone is on the bottom shelf. The ball is on the top shelf.","The rack's shelves run from bottom through lower, middle, and upper to top. The cone is on the top shelf. The ball is on the bottom shelf.",The cone is below the ball.,The cone is above the ball.,Target1,Target2,5,5,1,1,1,1,5,5,28,28,6,6
static_outer__ball_cone__named_shelves__standard__target_first__target_first,1.3,applied,static_placement,outer_shelves,static_outer,ball_cone,ball,cone,named_shelves,standard,target_first,target_first,above,below,still,still,still,still,"In the room, a five-tier rack has bottom, lower, middle, upper, and top shelves, in that vertical order. The ball is on the top shelf. The cone is on the bottom shelf.","In the room, a five-tier rack has bottom, lower, middle, upper, and top shelves, in that vertical order. The ball is on the bottom shelf. The cone is on the top shelf.",The ball is above the cone.,The ball is below the cone.,Target1,Target2,5,5,1,1,1,1,5,5,33,33,6,6
static_outer__ball_cone__named_shelves__standard__target_first__reference_first,1.3,applied,static_placement,outer_shelves,static_outer,ball_cone,ball,cone,named_shelves,standard,target_first,reference_first,below,above,still,still,still,still,"In the room, a five-tier rack has bottom, lower, middle, upper, and top shelves, in that vertical order. The ball is on the top shelf. The cone is on the bottom shelf.","In the room, a five-tier rack has bottom, lower, middle, upper, and top shelves, in that vertical order. The ball is on the bottom shelf. The cone is on the top shelf.",The cone is below the ball.,The cone is above the ball.,Target1,Target2,5,5,1,1,1,1,5,5,33,33,6,6
static_outer__ball_cone__named_shelves__standard__reference_first__target_first,1.3,applied,static_placement,outer_shelves,static_outer,ball_cone,ball,cone,named_shelves,standard,reference_first,target_first,above,below,still,still,still,still,"In the room, a five-tier rack has bottom, lower, middle, upper, and top shelves, in that vertical order. The cone is on the bottom shelf. The ball is on the top shelf.","In the room, a five-tier rack has bottom, lower, middle, upper, and top shelves, in that vertical order. The cone is on the top shelf. The ball is on the bottom shelf.",The ball is above the cone.,The ball is below the cone.,Target1,Target2,5,5,1,1,1,1,5,5,33,33,6,6
static_outer__ball_cone__named_shelves__standard__reference_first__reference_first,1.3,applied,static_placement,outer_shelves,static_outer,ball_cone,ball,cone,named_shelves,standard,reference_first,reference_first,below,above,still,still,still,still,"In the room, a five-tier rack has bottom, lower, middle, upper, and top shelves, in that vertical order. The cone is on the bottom shelf. The ball is on the top shelf.","In the room, a five-tier rack has bottom, lower, middle, upper, and top shelves, in that vertical order. The cone is on the top shelf. The ball is on the bottom shelf.",The cone is below the ball.,The cone is above the ball.,Target1,Target2,5,5,1,1,1,1,5,5,33,33,6,6
static_outer__ball_cone__named_shelves__expanded__target_first__target_first,1.3,applied,static_placement,outer_shelves,static_outer,ball_cone,ball,cone,named_shelves,expanded,target_first,target_first,above,below,still,still,still,still,"In the room, a fixed five-tier rack has bottom, lower, middle, upper, and top shelves, in that vertical order. Each shelf stays at its level throughout the scene. The ball is on the top shelf. The cone is on the bottom shelf.","In the room, a fixed five-tier rack has bottom, lower, middle, upper, and top shelves, in that vertical order. Each shelf stays at its level throughout the scene. The ball is on the bottom shelf. The cone is on the top shelf.",The ball is above the cone.,The ball is below the cone.,Target1,Target2,5,5,1,1,1,1,5,5,43,43,6,6
static_outer__ball_cone__named_shelves__expanded__target_first__reference_first,1.3,applied,static_placement,outer_shelves,static_outer,ball_cone,ball,cone,named_shelves,expanded,target_first,reference_first,below,above,still,still,still,still,"In the room, a fixed five-tier rack has bottom, lower, middle, upper, and top shelves, in that vertical order. Each shelf stays at its level throughout the scene. The ball is on the top shelf. The cone is on the bottom shelf.","In the room, a fixed five-tier rack has bottom, lower, middle, upper, and top shelves, in that vertical order. Each shelf stays at its level throughout the scene. The ball is on the bottom shelf. The cone is on the top shelf.",The cone is below the ball.,The cone is above the ball.,Target1,Target2,5,5,1,1,1,1,5,5,43,43,6,6
