probe_type,probe_version,name_id,name,object_id,object,Target1,Target2,Target3,probe_id,condition_id,event_family,direct_label_match_id,evidence_type,numeric_information,template_id,context_entity_order,length_band,length_match_id,entity_order_match_id,reference_order_id,outcome,correct_target,event_id,distance_trajectory_id,numeric_case_id,unit_id,initial_distance,final_distance,movement_distance,person_before,person_after,object_before,object_after,person_moves,object_moves,object_stationary,passes_reference,target_relation_repeated,Context,Context_word_count,Context_token_count,Target1_word_count,Target1_token_count,Target2_word_count,Target2_token_count,Target3_word_count,Target3_token_count,probe_row_index,unit
closer_farther_event_extension,1.2,name_0,Maya,obj_cone,cone,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,name_0__obj_cone__direct_person_first__closer,direct_label,direct_relation_control,name_0__obj_cone__closer,explicit_comparative_label,absent,direct_person_first,person_first,direct,,,person_relative_to_object,closer,Target1,,,,,,,,,,,,,,,,True,"Compared with before, Maya is now closer to the cone.",10,12,9,11,9,11,12,14,0,
closer_farther_event_extension,1.2,name_0,Maya,obj_cone,cone,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,name_0__obj_cone__direct_object_first__closer,direct_label,direct_relation_control,name_0__obj_cone__closer,explicit_comparative_label,absent,direct_object_first,object_first,direct,,,person_relative_to_object,closer,Target1,,,,,,,,,,,,,,,,True,"Compared with before, the cone is now closer to Maya.",10,12,9,11,9,11,12,14,1,
closer_farther_event_extension,1.2,name_0,Maya,obj_cone,cone,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,name_0__obj_cone__direct_person_first__farther,direct_label,direct_relation_control,name_0__obj_cone__farther,explicit_comparative_label,absent,direct_person_first,person_first,direct,,,person_relative_to_object,farther,Target2,,,,,,,,,,,,,,,,True,"Compared with before, Maya is now farther from the cone.",10,12,9,11,9,11,12,14,2,
closer_farther_event_extension,1.2,name_0,Maya,obj_cone,cone,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,name_0__obj_cone__direct_object_first__farther,direct_label,direct_relation_control,name_0__obj_cone__farther,explicit_comparative_label,absent,direct_object_first,object_first,direct,,,person_relative_to_object,farther,Target2,,,,,,,,,,,,,,,,True,"Compared with before, the cone is now farther from Maya.",10,12,9,11,9,11,12,14,3,
closer_farther_event_extension,1.2,name_0,Maya,obj_cone,cone,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,name_0__obj_cone__direct_person_first__unchanged,direct_label,direct_relation_control,name_0__obj_cone__unchanged,explicit_comparative_label,absent,direct_person_first,person_first,direct,,,person_relative_to_object,unchanged,Target3,,,,,,,,,,,,,,,,True,"Compared with before, Maya is now at the same distance from the cone.",13,15,9,11,9,11,12,14,4,
closer_farther_event_extension,1.2,name_0,Maya,obj_cone,cone,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,name_0__obj_cone__direct_object_first__unchanged,direct_label,direct_relation_control,name_0__obj_cone__unchanged,explicit_comparative_label,absent,direct_object_first,object_first,direct,,,person_relative_to_object,unchanged,Target3,,,,,,,,,,,,,,,,True,"Compared with before, the cone is now at the same distance from Maya.",13,15,9,11,9,11,12,14,5,
closer_farther_event_extension,1.2,name_0,Maya,obj_cone,cone,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,name_0__obj_cone__reference_object_moves__closer__non_numeric__compact,reference_object_moves,reference_object_moves,name_0__obj_cone__closer,movement_situation,absent,reference_object_moves__non_numeric__compact,object_first,compact,name_0__obj_cone__reference_object_moves__closer__non_numeric__object_first,name_0__obj_cone__reference_object_moves__closer__non_numeric__compact,person_relative_to_object,closer,Target1,name_0__obj_cone__reference_object_moves__closer__non_numeric,,,,,,,,,,,False,True,False,False,False,The cone began some distance from Maya and moved directly toward Maya without crossing Maya's position; Maya stayed still.,20,22,9,11,9,11,12,14,6,
closer_farther_event_extension,1.2,name_0,Maya,obj_cone,cone,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,name_0__obj_cone__reference_object_moves__closer__non_numeric__compact__person_first,reference_object_moves,reference_object_moves,name_0__obj_cone__closer,movement_situation,absent,reference_object_moves__non_numeric__compact__person_first,person_first,compact,name_0__obj_cone__reference_object_moves__closer__non_numeric__person_first,name_0__obj_cone__reference_object_moves__closer__non_numeric__compact,person_relative_to_object,closer,Target1,name_0__obj_cone__reference_object_moves__closer__non_numeric,,,,,,,,,,,False,True,False,False,False,Maya stayed still; the cone began some distance from Maya and moved directly toward Maya without crossing Maya's position.,20,23,9,11,9,11,12,14,7,
closer_farther_event_extension,1.2,name_0,Maya,obj_cone,cone,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,name_0__obj_cone__reference_object_moves__closer__non_numeric,reference_object_moves,reference_object_moves,name_0__obj_cone__closer,movement_situation,absent,reference_object_moves__non_numeric,person_first,standard,name_0__obj_cone__reference_object_moves__closer__non_numeric__person_first,name_0__obj_cone__reference_object_moves__closer__non_numeric__standard,person_relative_to_object,closer,Target1,name_0__obj_cone__reference_object_moves__closer__non_numeric,,,,,,,,,,,False,True,False,False,False,"Initially, Maya and the cone were some distance apart. Maya remained in place. The cone was moved directly toward Maya without crossing Maya's position.",25,29,9,11,9,11,12,14,8,
closer_farther_event_extension,1.2,name_0,Maya,obj_cone,cone,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,name_0__obj_cone__reference_object_moves__closer__non_numeric__object_first,reference_object_moves,reference_object_moves,name_0__obj_cone__closer,movement_situation,absent,reference_object_moves__non_numeric__object_first,object_first,standard,name_0__obj_cone__reference_object_moves__closer__non_numeric__object_first,name_0__obj_cone__reference_object_moves__closer__non_numeric__standard,person_relative_to_object,closer,Target1,name_0__obj_cone__reference_object_moves__closer__non_numeric,,,,,,,,,,,False,True,False,False,False,"Initially, the cone and Maya were some distance apart. The cone was moved directly toward Maya without crossing Maya's position. Maya remained in place.",25,29,9,11,9,11,12,14,9,
closer_farther_event_extension,1.2,name_0,Maya,obj_cone,cone,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,name_0__obj_cone__reference_object_moves__closer__non_numeric__expanded,reference_object_moves,reference_object_moves,name_0__obj_cone__closer,movement_situation,absent,reference_object_moves__non_numeric__expanded,person_first,expanded,name_0__obj_cone__reference_object_moves__closer__non_numeric__person_first,name_0__obj_cone__reference_object_moves__closer__non_numeric__expanded,person_relative_to_object,closer,Target1,name_0__obj_cone__reference_object_moves__closer__non_numeric,,,,,,,,,,,False,True,False,False,False,"At the start, Maya and the cone were some distance apart. Maya remained in exactly the same position throughout. From its starting position, the cone was moved in a straight line directly toward Maya, without crossing Maya's position.",39,45,9,11,9,11,12,14,10,
closer_farther_event_extension,1.2,name_0,Maya,obj_cone,cone,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,name_0__obj_cone__reference_object_moves__closer__non_numeric__expanded__object_first,reference_object_moves,reference_object_moves,name_0__obj_cone__closer,movement_situation,absent,reference_object_moves__non_numeric__expanded__object_first,object_first,expanded,name_0__obj_cone__reference_object_moves__closer__non_numeric__object_first,name_0__obj_cone__reference_object_moves__closer__non_numeric__expanded,person_relative_to_object,closer,Target1,name_0__obj_cone__reference_object_moves__closer__non_numeric,,,,,,,,,,,False,True,False,False,False,"At the start, the cone and Maya were some distance apart. From its starting position, the cone was moved in a straight line directly toward Maya, without crossing Maya's position. Maya remained in exactly the same position throughout.",39,45,9,11,9,11,12,14,11,
closer_farther_event_extension,1.2,name_0,Maya,obj_cone,cone,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,name_0__obj_cone__reference_object_moves__farther__non_numeric__compact,reference_object_moves,reference_object_moves,name_0__obj_cone__farther,movement_situation,absent,reference_object_moves__non_numeric__compact,object_first,compact,name_0__obj_cone__reference_object_moves__farther__non_numeric__object_first,name_0__obj_cone__reference_object_moves__farther__non_numeric__compact,person_relative_to_object,farther,Target2,name_0__obj_cone__reference_object_moves__farther__non_numeric,,,,,,,,,,,False,True,False,,False,The cone began some distance from Maya and moved directly away from Maya without crossing Maya's position; Maya stayed still.,21,23,9,11,9,11,12,14,12,
closer_farther_event_extension,1.2,name_0,Maya,obj_cone,cone,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,name_0__obj_cone__reference_object_moves__farther__non_numeric__compact__person_first,reference_object_moves,reference_object_moves,name_0__obj_cone__farther,movement_situation,absent,reference_object_moves__non_numeric__compact__person_first,person_first,compact,name_0__obj_cone__reference_object_moves__farther__non_numeric__person_first,name_0__obj_cone__reference_object_moves__farther__non_numeric__compact,person_relative_to_object,farther,Target2,name_0__obj_cone__reference_object_moves__farther__non_numeric,,,,,,,,,,,False,True,False,,False,Maya stayed still; the cone began some distance from Maya and moved directly away from Maya without crossing Maya's position.,21,24,9,11,9,11,12,14,13,
closer_farther_event_extension,1.2,name_0,Maya,obj_cone,cone,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,name_0__obj_cone__reference_object_moves__farther__non_numeric,reference_object_moves,reference_object_moves,name_0__obj_cone__farther,movement_situation,absent,reference_object_moves__non_numeric,person_first,standard,name_0__obj_cone__reference_object_moves__farther__non_numeric__person_first,name_0__obj_cone__reference_object_moves__farther__non_numeric__standard,person_relative_to_object,farther,Target2,name_0__obj_cone__reference_object_moves__farther__non_numeric,,,,,,,,,,,False,True,False,,False,"Initially, Maya and the cone were some distance apart. Maya remained in place. The cone was moved directly away from Maya without crossing Maya's position.",26,30,9,11,9,11,12,14,14,
closer_farther_event_extension,1.2,name_0,Maya,obj_cone,cone,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,name_0__obj_cone__reference_object_moves__farther__non_numeric__object_first,reference_object_moves,reference_object_moves,name_0__obj_cone__farther,movement_situation,absent,reference_object_moves__non_numeric__object_first,object_first,standard,name_0__obj_cone__reference_object_moves__farther__non_numeric__object_first,name_0__obj_cone__reference_object_moves__farther__non_numeric__standard,person_relative_to_object,farther,Target2,name_0__obj_cone__reference_object_moves__farther__non_numeric,,,,,,,,,,,False,True,False,,False,"Initially, the cone and Maya were some distance apart. The cone was moved directly away from Maya without crossing Maya's position. Maya remained in place.",26,30,9,11,9,11,12,14,15,
closer_farther_event_extension,1.2,name_0,Maya,obj_cone,cone,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,name_0__obj_cone__reference_object_moves__farther__non_numeric__expanded,reference_object_moves,reference_object_moves,name_0__obj_cone__farther,movement_situation,absent,reference_object_moves__non_numeric__expanded,person_first,expanded,name_0__obj_cone__reference_object_moves__farther__non_numeric__person_first,name_0__obj_cone__reference_object_moves__farther__non_numeric__expanded,person_relative_to_object,farther,Target2,name_0__obj_cone__reference_object_moves__farther__non_numeric,,,,,,,,,,,False,True,False,,False,"At the start, Maya and the cone were some distance apart. Maya remained in exactly the same position throughout. From its starting position, the cone was moved in a straight line directly away from Maya, without crossing Maya's position.",40,46,9,11,9,11,12,14,16,
closer_farther_event_extension,1.2,name_0,Maya,obj_cone,cone,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,name_0__obj_cone__reference_object_moves__farther__non_numeric__expanded__object_first,reference_object_moves,reference_object_moves,name_0__obj_cone__farther,movement_situation,absent,reference_object_moves__non_numeric__expanded__object_first,object_first,expanded,name_0__obj_cone__reference_object_moves__farther__non_numeric__object_first,name_0__obj_cone__reference_object_moves__farther__non_numeric__expanded,person_relative_to_object,farther,Target2,name_0__obj_cone__reference_object_moves__farther__non_numeric,,,,,,,,,,,False,True,False,,False,"At the start, the cone and Maya were some distance apart. From its starting position, the cone was moved in a straight line directly away from Maya, without crossing Maya's position. Maya remained in exactly the same position throughout.",40,46,9,11,9,11,12,14,17,
closer_farther_event_extension,1.2,name_0,Maya,obj_cone,cone,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,name_0__obj_cone__both_move_same_separation__unchanged__non_numeric__compact,both_move_same_separation,both_move_same_separation,name_0__obj_cone__unchanged,movement_situation,absent,both_move_same_separation__non_numeric__compact,person_first,compact,name_0__obj_cone__both_move_same_separation__unchanged__non_numeric__person_first,name_0__obj_cone__both_move_same_separation__unchanged__non_numeric__compact,person_relative_to_object,unchanged,Target3,name_0__obj_cone__both_move_same_separation__unchanged__non_numeric,,,,,,,,,,,True,True,False,,False,"Starting some distance apart, Maya and the cone each moved equally far right.",13,15,9,11,9,11,12,14,18,
closer_farther_event_extension,1.2,name_0,Maya,obj_cone,cone,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,name_0__obj_cone__both_move_same_separation__unchanged__non_numeric__compact__object_first,both_move_same_separation,both_move_same_separation,name_0__obj_cone__unchanged,movement_situation,absent,both_move_same_separation__non_numeric__compact__object_first,object_first,compact,name_0__obj_cone__both_move_same_separation__unchanged__non_numeric__object_first,name_0__obj_cone__both_move_same_separation__unchanged__non_numeric__compact,person_relative_to_object,unchanged,Target3,name_0__obj_cone__both_move_same_separation__unchanged__non_numeric,,,,,,,,,,,True,True,False,,False,"Starting some distance apart, the cone and Maya each moved equally far right.",13,15,9,11,9,11,12,14,19,
closer_farther_event_extension,1.2,name_0,Maya,obj_cone,cone,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,name_0__obj_cone__both_move_same_separation__unchanged__non_numeric,both_move_same_separation,both_move_same_separation,name_0__obj_cone__unchanged,movement_situation,absent,both_move_same_separation__non_numeric,person_first,standard,name_0__obj_cone__both_move_same_separation__unchanged__non_numeric__person_first,name_0__obj_cone__both_move_same_separation__unchanged__non_numeric__standard,person_relative_to_object,unchanged,Target3,name_0__obj_cone__both_move_same_separation__unchanged__non_numeric,,,,,,,,,,,True,True,False,,False,"Initially, Maya and the cone were some distance apart. Maya and the cone each moved the same distance to the right.",21,24,9,11,9,11,12,14,20,
closer_farther_event_extension,1.2,name_0,Maya,obj_cone,cone,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,name_0__obj_cone__both_move_same_separation__unchanged__non_numeric__object_first,both_move_same_separation,both_move_same_separation,name_0__obj_cone__unchanged,movement_situation,absent,both_move_same_separation__non_numeric__object_first,object_first,standard,name_0__obj_cone__both_move_same_separation__unchanged__non_numeric__object_first,name_0__obj_cone__both_move_same_separation__unchanged__non_numeric__standard,person_relative_to_object,unchanged,Target3,name_0__obj_cone__both_move_same_separation__unchanged__non_numeric,,,,,,,,,,,True,True,False,,False,"Initially, the cone and Maya were some distance apart. The cone and Maya each moved the same distance to the right.",21,24,9,11,9,11,12,14,21,
closer_farther_event_extension,1.2,name_0,Maya,obj_cone,cone,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,name_0__obj_cone__both_move_same_separation__unchanged__non_numeric__expanded,both_move_same_separation,both_move_same_separation,name_0__obj_cone__unchanged,movement_situation,absent,both_move_same_separation__non_numeric__expanded,person_first,expanded,name_0__obj_cone__both_move_same_separation__unchanged__non_numeric__person_first,name_0__obj_cone__both_move_same_separation__unchanged__non_numeric__expanded,person_relative_to_object,unchanged,Target3,name_0__obj_cone__both_move_same_separation__unchanged__non_numeric,,,,,,,,,,,True,True,False,,False,"At the beginning, Maya and the cone were some distance apart. From that starting arrangement, Maya moved to the right by some distance, and the cone also moved to the right by exactly the same distance.",36,41,9,11,9,11,12,14,22,
closer_farther_event_extension,1.2,name_0,Maya,obj_cone,cone,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,name_0__obj_cone__both_move_same_separation__unchanged__non_numeric__expanded__object_first,both_move_same_separation,both_move_same_separation,name_0__obj_cone__unchanged,movement_situation,absent,both_move_same_separation__non_numeric__expanded__object_first,object_first,expanded,name_0__obj_cone__both_move_same_separation__unchanged__non_numeric__object_first,name_0__obj_cone__both_move_same_separation__unchanged__non_numeric__expanded,person_relative_to_object,unchanged,Target3,name_0__obj_cone__both_move_same_separation__unchanged__non_numeric,,,,,,,,,,,True,True,False,,False,"At the beginning, the cone and Maya were some distance apart. From that starting arrangement, the cone moved to the right by some distance, and Maya also moved to the right by exactly the same distance.",36,41,9,11,9,11,12,14,23,
closer_farther_event_extension,1.2,name_0,Maya,obj_cone,cone,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,name_0__obj_cone__num_00__unit_ft__reference_object_moves__closer__compact,reference_object_moves,reference_object_moves,name_0__obj_cone__closer,movement_situation,specific,reference_object_moves__numeric__compact,object_first,compact,name_0__obj_cone__num_00__unit_ft__reference_object_moves__closer__object_first,name_0__obj_cone__num_00__unit_ft__reference_object_moves__closer__compact,person_relative_to_object,closer,Target1,name_0__obj_cone__num_00__unit_ft__reference_object_moves__closer,name_0__obj_cone__num_00__unit_ft__closer,num_00,unit_ft,18,13,5,0,0,18,13,False,True,False,False,False,"The cone, 18 ft from Maya, moved 5 ft directly toward Maya without crossing Maya's position; Maya stayed still.",20,24,9,11,9,11,12,14,42,feet
