probe_type,probe_version,name_id,name,object_id,object,Target1,Target2,Target3,probe_id,condition_id,event_family,direct_label_match_id,evidence_type,numeric_information,template_id,context_entity_order,length_band,length_match_id,entity_order_match_id,reference_order_id,outcome,correct_target,event_id,distance_trajectory_id,numeric_case_id,unit_id,initial_distance,final_distance,movement_distance,person_before,person_after,object_before,object_after,person_moves,object_moves,object_stationary,passes_reference,target_relation_repeated,Context,Context_word_count,Context_token_count,Target1_word_count,Target1_token_count,Target2_word_count,Target2_token_count,Target3_word_count,Target3_token_count,probe_row_index
closer_farther_event_extension,1.2,name_0,Maya,obj_cone,cone,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,name_0__obj_cone__direct_person_first__closer,direct_label,direct_relation_control,name_0__obj_cone__closer,explicit_comparative_label,absent,direct_person_first,person_first,direct,,,person_relative_to_object,closer,Target1,,,,,,,,,,,,,,,,True,"Compared with before, Maya is now closer to the cone.",10,12,9,11,9,11,12,14,0
closer_farther_event_extension,1.2,name_0,Maya,obj_cone,cone,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,name_0__obj_cone__direct_object_first__closer,direct_label,direct_relation_control,name_0__obj_cone__closer,explicit_comparative_label,absent,direct_object_first,object_first,direct,,,person_relative_to_object,closer,Target1,,,,,,,,,,,,,,,,True,"Compared with before, the cone is now closer to Maya.",10,12,9,11,9,11,12,14,1
closer_farther_event_extension,1.2,name_0,Maya,obj_cone,cone,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,name_0__obj_cone__direct_person_first__farther,direct_label,direct_relation_control,name_0__obj_cone__farther,explicit_comparative_label,absent,direct_person_first,person_first,direct,,,person_relative_to_object,farther,Target2,,,,,,,,,,,,,,,,True,"Compared with before, Maya is now farther from the cone.",10,12,9,11,9,11,12,14,2
closer_farther_event_extension,1.2,name_0,Maya,obj_cone,cone,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,name_0__obj_cone__direct_object_first__farther,direct_label,direct_relation_control,name_0__obj_cone__farther,explicit_comparative_label,absent,direct_object_first,object_first,direct,,,person_relative_to_object,farther,Target2,,,,,,,,,,,,,,,,True,"Compared with before, the cone is now farther from Maya.",10,12,9,11,9,11,12,14,3
closer_farther_event_extension,1.2,name_0,Maya,obj_cone,cone,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,name_0__obj_cone__direct_person_first__unchanged,direct_label,direct_relation_control,name_0__obj_cone__unchanged,explicit_comparative_label,absent,direct_person_first,person_first,direct,,,person_relative_to_object,unchanged,Target3,,,,,,,,,,,,,,,,True,"Compared with before, Maya is now at the same distance from the cone.",13,15,9,11,9,11,12,14,4
closer_farther_event_extension,1.2,name_0,Maya,obj_cone,cone,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,name_0__obj_cone__direct_object_first__unchanged,direct_label,direct_relation_control,name_0__obj_cone__unchanged,explicit_comparative_label,absent,direct_object_first,object_first,direct,,,person_relative_to_object,unchanged,Target3,,,,,,,,,,,,,,,,True,"Compared with before, the cone is now at the same distance from Maya.",13,15,9,11,9,11,12,14,5
closer_farther_event_extension,1.2,name_0,Maya,obj_flag,flag,Maya is now closer to the flag than before.,Maya is now farther from the flag than before.,Maya is now at the same distance from the flag as before.,name_0__obj_flag__direct_person_first__closer,direct_label,direct_relation_control,name_0__obj_flag__closer,explicit_comparative_label,absent,direct_person_first,person_first,direct,,,person_relative_to_object,closer,Target1,,,,,,,,,,,,,,,,True,"Compared with before, Maya is now closer to the flag.",10,12,9,11,9,11,12,14,672
closer_farther_event_extension,1.2,name_0,Maya,obj_flag,flag,Maya is now closer to the flag than before.,Maya is now farther from the flag than before.,Maya is now at the same distance from the flag as before.,name_0__obj_flag__direct_object_first__closer,direct_label,direct_relation_control,name_0__obj_flag__closer,explicit_comparative_label,absent,direct_object_first,object_first,direct,,,person_relative_to_object,closer,Target1,,,,,,,,,,,,,,,,True,"Compared with before, the flag is now closer to Maya.",10,12,9,11,9,11,12,14,673
closer_farther_event_extension,1.2,name_0,Maya,obj_flag,flag,Maya is now closer to the flag than before.,Maya is now farther from the flag than before.,Maya is now at the same distance from the flag as before.,name_0__obj_flag__direct_person_first__farther,direct_label,direct_relation_control,name_0__obj_flag__farther,explicit_comparative_label,absent,direct_person_first,person_first,direct,,,person_relative_to_object,farther,Target2,,,,,,,,,,,,,,,,True,"Compared with before, Maya is now farther from the flag.",10,12,9,11,9,11,12,14,674
closer_farther_event_extension,1.2,name_0,Maya,obj_flag,flag,Maya is now closer to the flag than before.,Maya is now farther from the flag than before.,Maya is now at the same distance from the flag as before.,name_0__obj_flag__direct_object_first__farther,direct_label,direct_relation_control,name_0__obj_flag__farther,explicit_comparative_label,absent,direct_object_first,object_first,direct,,,person_relative_to_object,farther,Target2,,,,,,,,,,,,,,,,True,"Compared with before, the flag is now farther from Maya.",10,12,9,11,9,11,12,14,675
closer_farther_event_extension,1.2,name_0,Maya,obj_flag,flag,Maya is now closer to the flag than before.,Maya is now farther from the flag than before.,Maya is now at the same distance from the flag as before.,name_0__obj_flag__direct_person_first__unchanged,direct_label,direct_relation_control,name_0__obj_flag__unchanged,explicit_comparative_label,absent,direct_person_first,person_first,direct,,,person_relative_to_object,unchanged,Target3,,,,,,,,,,,,,,,,True,"Compared with before, Maya is now at the same distance from the flag.",13,15,9,11,9,11,12,14,676
closer_farther_event_extension,1.2,name_0,Maya,obj_flag,flag,Maya is now closer to the flag than before.,Maya is now farther from the flag than before.,Maya is now at the same distance from the flag as before.,name_0__obj_flag__direct_object_first__unchanged,direct_label,direct_relation_control,name_0__obj_flag__unchanged,explicit_comparative_label,absent,direct_object_first,object_first,direct,,,person_relative_to_object,unchanged,Target3,,,,,,,,,,,,,,,,True,"Compared with before, the flag is now at the same distance from Maya.",13,15,9,11,9,11,12,14,677
closer_farther_event_extension,1.2,name_0,Maya,obj_bicycle,bicycle,Maya is now closer to the bicycle than before.,Maya is now farther from the bicycle than before.,Maya is now at the same distance from the bicycle as before.,name_0__obj_bicycle__direct_person_first__closer,direct_label,direct_relation_control,name_0__obj_bicycle__closer,explicit_comparative_label,absent,direct_person_first,person_first,direct,,,person_relative_to_object,closer,Target1,,,,,,,,,,,,,,,,True,"Compared with before, Maya is now closer to the bicycle.",10,12,9,11,9,11,12,14,1344
closer_farther_event_extension,1.2,name_0,Maya,obj_bicycle,bicycle,Maya is now closer to the bicycle than before.,Maya is now farther from the bicycle than before.,Maya is now at the same distance from the bicycle as before.,name_0__obj_bicycle__direct_object_first__closer,direct_label,direct_relation_control,name_0__obj_bicycle__closer,explicit_comparative_label,absent,direct_object_first,object_first,direct,,,person_relative_to_object,closer,Target1,,,,,,,,,,,,,,,,True,"Compared with before, the bicycle is now closer to Maya.",10,12,9,11,9,11,12,14,1345
closer_farther_event_extension,1.2,name_0,Maya,obj_bicycle,bicycle,Maya is now closer to the bicycle than before.,Maya is now farther from the bicycle than before.,Maya is now at the same distance from the bicycle as before.,name_0__obj_bicycle__direct_person_first__farther,direct_label,direct_relation_control,name_0__obj_bicycle__farther,explicit_comparative_label,absent,direct_person_first,person_first,direct,,,person_relative_to_object,farther,Target2,,,,,,,,,,,,,,,,True,"Compared with before, Maya is now farther from the bicycle.",10,12,9,11,9,11,12,14,1346
closer_farther_event_extension,1.2,name_0,Maya,obj_bicycle,bicycle,Maya is now closer to the bicycle than before.,Maya is now farther from the bicycle than before.,Maya is now at the same distance from the bicycle as before.,name_0__obj_bicycle__direct_object_first__farther,direct_label,direct_relation_control,name_0__obj_bicycle__farther,explicit_comparative_label,absent,direct_object_first,object_first,direct,,,person_relative_to_object,farther,Target2,,,,,,,,,,,,,,,,True,"Compared with before, the bicycle is now farther from Maya.",10,12,9,11,9,11,12,14,1347
closer_farther_event_extension,1.2,name_0,Maya,obj_bicycle,bicycle,Maya is now closer to the bicycle than before.,Maya is now farther from the bicycle than before.,Maya is now at the same distance from the bicycle as before.,name_0__obj_bicycle__direct_person_first__unchanged,direct_label,direct_relation_control,name_0__obj_bicycle__unchanged,explicit_comparative_label,absent,direct_person_first,person_first,direct,,,person_relative_to_object,unchanged,Target3,,,,,,,,,,,,,,,,True,"Compared with before, Maya is now at the same distance from the bicycle.",13,15,9,11,9,11,12,14,1348
closer_farther_event_extension,1.2,name_0,Maya,obj_bicycle,bicycle,Maya is now closer to the bicycle than before.,Maya is now farther from the bicycle than before.,Maya is now at the same distance from the bicycle as before.,name_0__obj_bicycle__direct_object_first__unchanged,direct_label,direct_relation_control,name_0__obj_bicycle__unchanged,explicit_comparative_label,absent,direct_object_first,object_first,direct,,,person_relative_to_object,unchanged,Target3,,,,,,,,,,,,,,,,True,"Compared with before, the bicycle is now at the same distance from Maya.",13,15,9,11,9,11,12,14,1349
closer_farther_event_extension,1.2,name_1,Jesse,obj_cone,cone,Jesse is now closer to the cone than before.,Jesse is now farther from the cone than before.,Jesse is now at the same distance from the cone as before.,name_1__obj_cone__direct_person_first__closer,direct_label,direct_relation_control,name_1__obj_cone__closer,explicit_comparative_label,absent,direct_person_first,person_first,direct,,,person_relative_to_object,closer,Target1,,,,,,,,,,,,,,,,True,"Compared with before, Jesse is now closer to the cone.",10,12,9,11,9,11,12,14,2016
closer_farther_event_extension,1.2,name_1,Jesse,obj_cone,cone,Jesse is now closer to the cone than before.,Jesse is now farther from the cone than before.,Jesse is now at the same distance from the cone as before.,name_1__obj_cone__direct_object_first__closer,direct_label,direct_relation_control,name_1__obj_cone__closer,explicit_comparative_label,absent,direct_object_first,object_first,direct,,,person_relative_to_object,closer,Target1,,,,,,,,,,,,,,,,True,"Compared with before, the cone is now closer to Jesse.",10,12,9,11,9,11,12,14,2017
closer_farther_event_extension,1.2,name_1,Jesse,obj_cone,cone,Jesse is now closer to the cone than before.,Jesse is now farther from the cone than before.,Jesse is now at the same distance from the cone as before.,name_1__obj_cone__direct_person_first__farther,direct_label,direct_relation_control,name_1__obj_cone__farther,explicit_comparative_label,absent,direct_person_first,person_first,direct,,,person_relative_to_object,farther,Target2,,,,,,,,,,,,,,,,True,"Compared with before, Jesse is now farther from the cone.",10,12,9,11,9,11,12,14,2018
closer_farther_event_extension,1.2,name_1,Jesse,obj_cone,cone,Jesse is now closer to the cone than before.,Jesse is now farther from the cone than before.,Jesse is now at the same distance from the cone as before.,name_1__obj_cone__direct_object_first__farther,direct_label,direct_relation_control,name_1__obj_cone__farther,explicit_comparative_label,absent,direct_object_first,object_first,direct,,,person_relative_to_object,farther,Target2,,,,,,,,,,,,,,,,True,"Compared with before, the cone is now farther from Jesse.",10,12,9,11,9,11,12,14,2019
closer_farther_event_extension,1.2,name_1,Jesse,obj_cone,cone,Jesse is now closer to the cone than before.,Jesse is now farther from the cone than before.,Jesse is now at the same distance from the cone as before.,name_1__obj_cone__direct_person_first__unchanged,direct_label,direct_relation_control,name_1__obj_cone__unchanged,explicit_comparative_label,absent,direct_person_first,person_first,direct,,,person_relative_to_object,unchanged,Target3,,,,,,,,,,,,,,,,True,"Compared with before, Jesse is now at the same distance from the cone.",13,15,9,11,9,11,12,14,2020
closer_farther_event_extension,1.2,name_1,Jesse,obj_cone,cone,Jesse is now closer to the cone than before.,Jesse is now farther from the cone than before.,Jesse is now at the same distance from the cone as before.,name_1__obj_cone__direct_object_first__unchanged,direct_label,direct_relation_control,name_1__obj_cone__unchanged,explicit_comparative_label,absent,direct_object_first,object_first,direct,,,person_relative_to_object,unchanged,Target3,,,,,,,,,,,,,,,,True,"Compared with before, the cone is now at the same distance from Jesse.",13,15,9,11,9,11,12,14,2021
closer_farther_event_extension,1.2,name_1,Jesse,obj_flag,flag,Jesse is now closer to the flag than before.,Jesse is now farther from the flag than before.,Jesse is now at the same distance from the flag as before.,name_1__obj_flag__direct_person_first__closer,direct_label,direct_relation_control,name_1__obj_flag__closer,explicit_comparative_label,absent,direct_person_first,person_first,direct,,,person_relative_to_object,closer,Target1,,,,,,,,,,,,,,,,True,"Compared with before, Jesse is now closer to the flag.",10,12,9,11,9,11,12,14,2688
closer_farther_event_extension,1.2,name_1,Jesse,obj_flag,flag,Jesse is now closer to the flag than before.,Jesse is now farther from the flag than before.,Jesse is now at the same distance from the flag as before.,name_1__obj_flag__direct_object_first__closer,direct_label,direct_relation_control,name_1__obj_flag__closer,explicit_comparative_label,absent,direct_object_first,object_first,direct,,,person_relative_to_object,closer,Target1,,,,,,,,,,,,,,,,True,"Compared with before, the flag is now closer to Jesse.",10,12,9,11,9,11,12,14,2689
closer_farther_event_extension,1.2,name_1,Jesse,obj_flag,flag,Jesse is now closer to the flag than before.,Jesse is now farther from the flag than before.,Jesse is now at the same distance from the flag as before.,name_1__obj_flag__direct_person_first__farther,direct_label,direct_relation_control,name_1__obj_flag__farther,explicit_comparative_label,absent,direct_person_first,person_first,direct,,,person_relative_to_object,farther,Target2,,,,,,,,,,,,,,,,True,"Compared with before, Jesse is now farther from the flag.",10,12,9,11,9,11,12,14,2690
closer_farther_event_extension,1.2,name_1,Jesse,obj_flag,flag,Jesse is now closer to the flag than before.,Jesse is now farther from the flag than before.,Jesse is now at the same distance from the flag as before.,name_1__obj_flag__direct_object_first__farther,direct_label,direct_relation_control,name_1__obj_flag__farther,explicit_comparative_label,absent,direct_object_first,object_first,direct,,,person_relative_to_object,farther,Target2,,,,,,,,,,,,,,,,True,"Compared with before, the flag is now farther from Jesse.",10,12,9,11,9,11,12,14,2691
closer_farther_event_extension,1.2,name_1,Jesse,obj_flag,flag,Jesse is now closer to the flag than before.,Jesse is now farther from the flag than before.,Jesse is now at the same distance from the flag as before.,name_1__obj_flag__direct_person_first__unchanged,direct_label,direct_relation_control,name_1__obj_flag__unchanged,explicit_comparative_label,absent,direct_person_first,person_first,direct,,,person_relative_to_object,unchanged,Target3,,,,,,,,,,,,,,,,True,"Compared with before, Jesse is now at the same distance from the flag.",13,15,9,11,9,11,12,14,2692
closer_farther_event_extension,1.2,name_1,Jesse,obj_flag,flag,Jesse is now closer to the flag than before.,Jesse is now farther from the flag than before.,Jesse is now at the same distance from the flag as before.,name_1__obj_flag__direct_object_first__unchanged,direct_label,direct_relation_control,name_1__obj_flag__unchanged,explicit_comparative_label,absent,direct_object_first,object_first,direct,,,person_relative_to_object,unchanged,Target3,,,,,,,,,,,,,,,,True,"Compared with before, the flag is now at the same distance from Jesse.",13,15,9,11,9,11,12,14,2693
closer_farther_event_extension,1.2,name_1,Jesse,obj_bicycle,bicycle,Jesse is now closer to the bicycle than before.,Jesse is now farther from the bicycle than before.,Jesse is now at the same distance from the bicycle as before.,name_1__obj_bicycle__direct_person_first__closer,direct_label,direct_relation_control,name_1__obj_bicycle__closer,explicit_comparative_label,absent,direct_person_first,person_first,direct,,,person_relative_to_object,closer,Target1,,,,,,,,,,,,,,,,True,"Compared with before, Jesse is now closer to the bicycle.",10,12,9,11,9,11,12,14,3360
closer_farther_event_extension,1.2,name_1,Jesse,obj_bicycle,bicycle,Jesse is now closer to the bicycle than before.,Jesse is now farther from the bicycle than before.,Jesse is now at the same distance from the bicycle as before.,name_1__obj_bicycle__direct_object_first__closer,direct_label,direct_relation_control,name_1__obj_bicycle__closer,explicit_comparative_label,absent,direct_object_first,object_first,direct,,,person_relative_to_object,closer,Target1,,,,,,,,,,,,,,,,True,"Compared with before, the bicycle is now closer to Jesse.",10,12,9,11,9,11,12,14,3361
closer_farther_event_extension,1.2,name_1,Jesse,obj_bicycle,bicycle,Jesse is now closer to the bicycle than before.,Jesse is now farther from the bicycle than before.,Jesse is now at the same distance from the bicycle as before.,name_1__obj_bicycle__direct_person_first__farther,direct_label,direct_relation_control,name_1__obj_bicycle__farther,explicit_comparative_label,absent,direct_person_first,person_first,direct,,,person_relative_to_object,farther,Target2,,,,,,,,,,,,,,,,True,"Compared with before, Jesse is now farther from the bicycle.",10,12,9,11,9,11,12,14,3362
closer_farther_event_extension,1.2,name_1,Jesse,obj_bicycle,bicycle,Jesse is now closer to the bicycle than before.,Jesse is now farther from the bicycle than before.,Jesse is now at the same distance from the bicycle as before.,name_1__obj_bicycle__direct_object_first__farther,direct_label,direct_relation_control,name_1__obj_bicycle__farther,explicit_comparative_label,absent,direct_object_first,object_first,direct,,,person_relative_to_object,farther,Target2,,,,,,,,,,,,,,,,True,"Compared with before, the bicycle is now farther from Jesse.",10,12,9,11,9,11,12,14,3363
closer_farther_event_extension,1.2,name_1,Jesse,obj_bicycle,bicycle,Jesse is now closer to the bicycle than before.,Jesse is now farther from the bicycle than before.,Jesse is now at the same distance from the bicycle as before.,name_1__obj_bicycle__direct_person_first__unchanged,direct_label,direct_relation_control,name_1__obj_bicycle__unchanged,explicit_comparative_label,absent,direct_person_first,person_first,direct,,,person_relative_to_object,unchanged,Target3,,,,,,,,,,,,,,,,True,"Compared with before, Jesse is now at the same distance from the bicycle.",13,15,9,11,9,11,12,14,3364
closer_farther_event_extension,1.2,name_1,Jesse,obj_bicycle,bicycle,Jesse is now closer to the bicycle than before.,Jesse is now farther from the bicycle than before.,Jesse is now at the same distance from the bicycle as before.,name_1__obj_bicycle__direct_object_first__unchanged,direct_label,direct_relation_control,name_1__obj_bicycle__unchanged,explicit_comparative_label,absent,direct_object_first,object_first,direct,,,person_relative_to_object,unchanged,Target3,,,,,,,,,,,,,,,,True,"Compared with before, the bicycle is now at the same distance from Jesse.",13,15,9,11,9,11,12,14,3365
