probe_version,probe_family,case_id,scene_cluster_id,event_family,event_subtype,evidence_format,entity_pair_id,target_entity,reference_entity,target_entity_order,context_entity_order,facing_direction,anchor,reference_frame,length_band,definition_present,answer_bridge_present,headline_eligible,source_seed_ids,facing_fixed,initial_relation_explicit,final_relation_explicit,geometry_precision,pair_type,Target1,target1_relation_word,Target2,target2_relation_word,probe_id,Context1,context1_target_start,context1_target_end,context1_reference_start,context1_reference_end,context1_reference_facing_start,context1_reference_facing_end,context1_reference_motion_relative_to_initial_facing,context1_initial_relation,context1_gold_relation,context1_relation_changed,correct_target_for_context1,Context2,context2_target_start,context2_target_end,context2_reference_start,context2_reference_end,context2_reference_facing_start,context2_reference_facing_end,context2_reference_motion_relative_to_initial_facing,context2_initial_relation,context2_gold_relation,context2_relation_changed,correct_target_for_context2,Context1_word_count,Context2_word_count,Target1_word_count,Target2_word_count
2.0,event,static_adjacent,static_adjacent,static_placement,adjacent,numeric,a_b,A,B,target_first,target_first,increasing,none,observer_relative,compact,False,False,True,"[""static_adjacent""]",True,False,False,exact_positions,opposite_initial_positions,A is in front of B.,front,A is behind B.,behind,event__static_adjacent__numeric__a_b__target_first__target_first__increasing__none,B faces increasing position numbers. A stays at 3. B stays at 2.,3,3,2,2,1,1,still,front,front,False,Target1,B faces increasing position numbers. A stays at 3. B stays at 4.,3,3,4,4,1,1,still,behind,behind,False,Target2,13,13,6,4
2.0,event,static_adjacent,static_adjacent,static_placement,adjacent,numeric,a_b,A,B,target_first,target_first,decreasing,none,observer_relative,compact,False,False,True,"[""static_adjacent""]",True,False,False,exact_positions,opposite_initial_positions,A is in front of B.,front,A is behind B.,behind,event__static_adjacent__numeric__a_b__target_first__target_first__decreasing__none,B faces decreasing position numbers. A stays at 3. B stays at 2.,3,3,2,2,-1,-1,still,behind,behind,False,Target2,B faces decreasing position numbers. A stays at 3. B stays at 4.,3,3,4,4,-1,-1,still,front,front,False,Target1,13,13,6,4
2.0,event,static_adjacent,static_adjacent,static_placement,adjacent,numeric,a_b,A,B,reference_first,target_first,increasing,none,observer_relative,compact,False,False,True,"[""static_adjacent""]",True,False,False,exact_positions,opposite_initial_positions,In front of B is A.,front,Behind B is A.,behind,event__static_adjacent__numeric__a_b__reference_first__target_first__increasing__none,B faces increasing position numbers. A stays at 3. B stays at 2.,3,3,2,2,1,1,still,front,front,False,Target1,B faces increasing position numbers. A stays at 3. B stays at 4.,3,3,4,4,1,1,still,behind,behind,False,Target2,13,13,6,4
2.0,event,static_adjacent,static_adjacent,static_placement,adjacent,numeric,a_b,A,B,reference_first,target_first,decreasing,none,observer_relative,compact,False,False,True,"[""static_adjacent""]",True,False,False,exact_positions,opposite_initial_positions,In front of B is A.,front,Behind B is A.,behind,event__static_adjacent__numeric__a_b__reference_first__target_first__decreasing__none,B faces decreasing position numbers. A stays at 3. B stays at 2.,3,3,2,2,-1,-1,still,behind,behind,False,Target2,B faces decreasing position numbers. A stays at 3. B stays at 4.,3,3,4,4,-1,-1,still,front,front,False,Target1,13,13,6,4
2.0,event,static_adjacent,static_adjacent,static_placement,adjacent,numeric,a_b,A,B,target_first,reference_first,increasing,none,observer_relative,compact,False,False,True,"[""static_adjacent""]",True,False,False,exact_positions,opposite_initial_positions,A is in front of B.,front,A is behind B.,behind,event__static_adjacent__numeric__a_b__target_first__reference_first__increasing__none,B faces increasing position numbers. B stays at 2. A stays at 3.,3,3,2,2,1,1,still,front,front,False,Target1,B faces increasing position numbers. B stays at 4. A stays at 3.,3,3,4,4,1,1,still,behind,behind,False,Target2,13,13,6,4
2.0,event,static_adjacent,static_adjacent,static_placement,adjacent,numeric,a_b,A,B,target_first,reference_first,decreasing,none,observer_relative,compact,False,False,True,"[""static_adjacent""]",True,False,False,exact_positions,opposite_initial_positions,A is in front of B.,front,A is behind B.,behind,event__static_adjacent__numeric__a_b__target_first__reference_first__decreasing__none,B faces decreasing position numbers. B stays at 2. A stays at 3.,3,3,2,2,-1,-1,still,behind,behind,False,Target2,B faces decreasing position numbers. B stays at 4. A stays at 3.,3,3,4,4,-1,-1,still,front,front,False,Target1,13,13,6,4
2.0,event,static_adjacent,static_adjacent,static_placement,adjacent,numeric,a_b,A,B,reference_first,reference_first,increasing,none,observer_relative,compact,False,False,True,"[""static_adjacent""]",True,False,False,exact_positions,opposite_initial_positions,In front of B is A.,front,Behind B is A.,behind,event__static_adjacent__numeric__a_b__reference_first__reference_first__increasing__none,B faces increasing position numbers. B stays at 2. A stays at 3.,3,3,2,2,1,1,still,front,front,False,Target1,B faces increasing position numbers. B stays at 4. A stays at 3.,3,3,4,4,1,1,still,behind,behind,False,Target2,13,13,6,4
2.0,event,static_adjacent,static_adjacent,static_placement,adjacent,numeric,a_b,A,B,reference_first,reference_first,decreasing,none,observer_relative,compact,False,False,True,"[""static_adjacent""]",True,False,False,exact_positions,opposite_initial_positions,In front of B is A.,front,Behind B is A.,behind,event__static_adjacent__numeric__a_b__reference_first__reference_first__decreasing__none,B faces decreasing position numbers. B stays at 2. A stays at 3.,3,3,2,2,-1,-1,still,behind,behind,False,Target2,B faces decreasing position numbers. B stays at 4. A stays at 3.,3,3,4,4,-1,-1,still,front,front,False,Target1,13,13,6,4
2.0,event,static_adjacent,static_adjacent,static_placement,adjacent,numeric,maya_eli,Maya,Eli,target_first,target_first,increasing,none,observer_relative,compact,False,False,True,"[""static_adjacent""]",True,False,False,exact_positions,opposite_initial_positions,Maya is in front of Eli.,front,Maya is behind Eli.,behind,event__static_adjacent__numeric__maya_eli__target_first__target_first__increasing__none,Eli faces increasing position numbers. Maya stays at 3. Eli stays at 2.,3,3,2,2,1,1,still,front,front,False,Target1,Eli faces increasing position numbers. Maya stays at 3. Eli stays at 4.,3,3,4,4,1,1,still,behind,behind,False,Target2,13,13,6,4
2.0,event,static_adjacent,static_adjacent,static_placement,adjacent,numeric,maya_eli,Maya,Eli,target_first,target_first,decreasing,none,observer_relative,compact,False,False,True,"[""static_adjacent""]",True,False,False,exact_positions,opposite_initial_positions,Maya is in front of Eli.,front,Maya is behind Eli.,behind,event__static_adjacent__numeric__maya_eli__target_first__target_first__decreasing__none,Eli faces decreasing position numbers. Maya stays at 3. Eli stays at 2.,3,3,2,2,-1,-1,still,behind,behind,False,Target2,Eli faces decreasing position numbers. Maya stays at 3. Eli stays at 4.,3,3,4,4,-1,-1,still,front,front,False,Target1,13,13,6,4
