probe_family,phrase_pair_id,entity_noun_id,definition_structure_id,first_subject_probe_id,second_subject_probe_id
literal_definition,vertical_higher_lower,object,entity_plain,definition_to_word__entity_object_first_subject_plain__vertical_higher_lower,definition_to_word__entity_object_second_subject_plain__vertical_higher_lower
literal_definition,vertical_higher_lower,object,entity_positioned,definition_to_word__entity_object_first_subject_positioned__vertical_higher_lower,definition_to_word__entity_object_second_subject_positioned__vertical_higher_lower
literal_definition,vertical_higher_lower,item,entity_plain,definition_to_word__entity_item_first_subject_plain__vertical_higher_lower,definition_to_word__entity_item_second_subject_plain__vertical_higher_lower
literal_definition,vertical_higher_lower,item,entity_positioned,definition_to_word__entity_item_first_subject_positioned__vertical_higher_lower,definition_to_word__entity_item_second_subject_positioned__vertical_higher_lower
literal_definition,greater_lesser_height,object,entity_plain,definition_to_word__entity_object_first_subject_plain__greater_lesser_height,definition_to_word__entity_object_second_subject_plain__greater_lesser_height
literal_definition,greater_lesser_height,object,entity_positioned,definition_to_word__entity_object_first_subject_positioned__greater_lesser_height,definition_to_word__entity_object_second_subject_positioned__greater_lesser_height
literal_definition,greater_lesser_height,item,entity_plain,definition_to_word__entity_item_first_subject_plain__greater_lesser_height,definition_to_word__entity_item_second_subject_plain__greater_lesser_height
literal_definition,greater_lesser_height,item,entity_positioned,definition_to_word__entity_item_first_subject_positioned__greater_lesser_height,definition_to_word__entity_item_second_subject_positioned__greater_lesser_height
literal_definition,higher_up_lower_down,object,entity_plain,definition_to_word__entity_object_first_subject_plain__higher_up_lower_down,definition_to_word__entity_object_second_subject_plain__higher_up_lower_down
literal_definition,higher_up_lower_down,object,entity_positioned,definition_to_word__entity_object_first_subject_positioned__higher_up_lower_down,definition_to_word__entity_object_second_subject_positioned__higher_up_lower_down
literal_definition,higher_up_lower_down,item,entity_plain,definition_to_word__entity_item_first_subject_plain__higher_up_lower_down,definition_to_word__entity_item_second_subject_plain__higher_up_lower_down
literal_definition,higher_up_lower_down,item,entity_positioned,definition_to_word__entity_item_first_subject_positioned__higher_up_lower_down,definition_to_word__entity_item_second_subject_positioned__higher_up_lower_down
literal_definition,higher_lower,object,entity_plain,definition_to_word__entity_object_first_subject_plain__higher_lower,definition_to_word__entity_object_second_subject_plain__higher_lower
literal_definition,higher_lower,object,entity_positioned,definition_to_word__entity_object_first_subject_positioned__higher_lower,definition_to_word__entity_object_second_subject_positioned__higher_lower
literal_definition,higher_lower,item,entity_plain,definition_to_word__entity_item_first_subject_plain__higher_lower,definition_to_word__entity_item_second_subject_plain__higher_lower
literal_definition,higher_lower,item,entity_positioned,definition_to_word__entity_item_first_subject_positioned__higher_lower,definition_to_word__entity_item_second_subject_positioned__higher_lower
lexical_synonym,over_under,object,entity_plain,synonym_to_word__entity_object_first_subject_plain__over_under,synonym_to_word__entity_object_second_subject_plain__over_under
lexical_synonym,over_under,object,entity_positioned,synonym_to_word__entity_object_first_subject_positioned__over_under,synonym_to_word__entity_object_second_subject_positioned__over_under
lexical_synonym,over_under,item,entity_plain,synonym_to_word__entity_item_first_subject_plain__over_under,synonym_to_word__entity_item_second_subject_plain__over_under
lexical_synonym,over_under,item,entity_positioned,synonym_to_word__entity_item_first_subject_positioned__over_under,synonym_to_word__entity_item_second_subject_positioned__over_under
