probe_id,probe_version,event_family,event_subtype,outcome,correct_target,numeric_information,context_entity_order,name_id,name,object_id,object,numeric_case_id,unit_id,unit,initial_distance,final_distance,distance_change,distance_change_magnitude,movement_difference,person_before,person_after,object_before,object_after,person_movement,object_movement,both_entities_move,same_movement_direction,passes_other_entity,Context,Context_word_count,target_closer,target_farther,target_unchanged
name_0__obj_cone__non_numeric__person_first__closer,1.0,both_entities_move,same_direction_relative_displacement,closer,Maya is now closer to the cone than before.,absent,person_first,name_0,Maya,obj_cone,cone,,,,,,,,,,,,,,,True,True,False,"Maya began to the left of the cone. Both moved right, but Maya covered more ground without reaching the cone.",20,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.
name_0__obj_cone__non_numeric__person_first__farther,1.0,both_entities_move,same_direction_relative_displacement,farther,Maya is now farther from the cone than before.,absent,person_first,name_0,Maya,obj_cone,cone,,,,,,,,,,,,,,,True,True,False,"Maya began to the left of the cone. Both moved right, but the cone covered more ground than Maya.",19,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.
name_0__obj_cone__non_numeric__person_first__unchanged,1.0,both_entities_move,same_direction_relative_displacement,unchanged,Maya is now at the same distance from the cone as before.,absent,person_first,name_0,Maya,obj_cone,cone,,,,,,,,,,,,,,,True,True,False,Maya began to the left of the cone. Both moved right by equal distances.,14,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.
name_0__obj_cone__num_00__unit_ft__person_first__closer,1.0,both_entities_move,same_direction_relative_displacement,closer,Maya is now closer to the cone than before.,specific,person_first,name_0,Maya,obj_cone,cone,num_00,unit_ft,feet,18,13,-5,5,5,0,6,18,19,6,1,True,True,False,"Maya began 18 ft to the left of the cone. Maya moved 6 ft right, and the cone moved 1 ft right.",22,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.
name_0__obj_cone__num_00__unit_ft__person_first__farther,1.0,both_entities_move,same_direction_relative_displacement,farther,Maya is now farther from the cone than before.,specific,person_first,name_0,Maya,obj_cone,cone,num_00,unit_ft,feet,18,23,5,5,5,0,1,18,24,1,6,True,True,False,"Maya began 18 ft to the left of the cone. Maya moved 1 ft right, and the cone moved 6 ft right.",22,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.
name_0__obj_cone__num_00__unit_ft__person_first__unchanged,1.0,both_entities_move,same_direction_relative_displacement,unchanged,Maya is now at the same distance from the cone as before.,specific,person_first,name_0,Maya,obj_cone,cone,num_00,unit_ft,feet,18,18,0,0,0,0,6,18,24,6,6,True,True,False,"Maya began 18 ft to the left of the cone. Maya moved 6 ft right, and the cone moved 6 ft right.",22,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.
name_0__obj_cone__non_numeric__object_first__closer,1.0,both_entities_move,same_direction_relative_displacement,closer,Maya is now closer to the cone than before.,absent,object_first,name_0,Maya,obj_cone,cone,,,,,,,,,,,,,,,True,True,False,"The cone began to the right of Maya. Both moved right, but Maya covered more ground without reaching the cone.",20,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.
name_0__obj_cone__non_numeric__object_first__farther,1.0,both_entities_move,same_direction_relative_displacement,farther,Maya is now farther from the cone than before.,absent,object_first,name_0,Maya,obj_cone,cone,,,,,,,,,,,,,,,True,True,False,"The cone began to the right of Maya. Both moved right, but the cone covered more ground than Maya.",19,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.
name_0__obj_cone__non_numeric__object_first__unchanged,1.0,both_entities_move,same_direction_relative_displacement,unchanged,Maya is now at the same distance from the cone as before.,absent,object_first,name_0,Maya,obj_cone,cone,,,,,,,,,,,,,,,True,True,False,The cone began to the right of Maya. Both moved right by equal distances.,14,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.
name_0__obj_cone__num_00__unit_ft__object_first__closer,1.0,both_entities_move,same_direction_relative_displacement,closer,Maya is now closer to the cone than before.,specific,object_first,name_0,Maya,obj_cone,cone,num_00,unit_ft,feet,18,13,-5,5,5,0,6,18,19,6,1,True,True,False,"The cone began 18 ft to the right of Maya. The cone moved 1 ft right, and Maya moved 6 ft right.",22,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.
name_0__obj_cone__num_00__unit_ft__object_first__farther,1.0,both_entities_move,same_direction_relative_displacement,farther,Maya is now farther from the cone than before.,specific,object_first,name_0,Maya,obj_cone,cone,num_00,unit_ft,feet,18,23,5,5,5,0,1,18,24,1,6,True,True,False,"The cone began 18 ft to the right of Maya. The cone moved 6 ft right, and Maya moved 1 ft right.",22,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.
name_0__obj_cone__num_00__unit_ft__object_first__unchanged,1.0,both_entities_move,same_direction_relative_displacement,unchanged,Maya is now at the same distance from the cone as before.,specific,object_first,name_0,Maya,obj_cone,cone,num_00,unit_ft,feet,18,18,0,0,0,0,6,18,24,6,6,True,True,False,"The cone began 18 ft to the right of Maya. The cone moved 6 ft right, and Maya moved 6 ft right.",22,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.
