control,base_probe_id,variant_probe_id,event_family,case_id,object_pair_id,evidence_type,length_band
context_entity_order,static_outer__ball_cone__named_shelves__compact__target_first__target_first,static_outer__ball_cone__named_shelves__compact__reference_first__target_first,static_placement,static_outer,ball_cone,named_shelves,compact
target_entity_order,static_outer__ball_cone__named_shelves__compact__target_first__target_first,static_outer__ball_cone__named_shelves__compact__target_first__reference_first,static_placement,static_outer,ball_cone,named_shelves,compact
length_band,static_outer__ball_cone__named_shelves__compact__target_first__target_first,static_outer__ball_cone__named_shelves__standard__target_first__target_first,static_placement,static_outer,ball_cone,named_shelves,compact
length_band,static_outer__ball_cone__named_shelves__compact__target_first__target_first,static_outer__ball_cone__named_shelves__expanded__target_first__target_first,static_placement,static_outer,ball_cone,named_shelves,compact
evidence_type,static_outer__ball_cone__named_shelves__compact__target_first__target_first,static_outer__ball_cone__measured_height__compact__target_first__target_first,static_placement,static_outer,ball_cone,named_shelves,compact
evidence_type,static_outer__ball_cone__named_shelves__compact__target_first__target_first,static_outer__ball_cone__numbered_steps__compact__target_first__target_first,static_placement,static_outer,ball_cone,named_shelves,compact
evidence_type,static_outer__ball_cone__named_shelves__compact__target_first__target_first,static_outer__ball_cone__numbered_floors__compact__target_first__target_first,static_placement,static_outer,ball_cone,named_shelves,compact
context_entity_order,static_outer__ball_cone__named_shelves__compact__target_first__reference_first,static_outer__ball_cone__named_shelves__compact__reference_first__reference_first,static_placement,static_outer,ball_cone,named_shelves,compact
length_band,static_outer__ball_cone__named_shelves__compact__target_first__reference_first,static_outer__ball_cone__named_shelves__standard__target_first__reference_first,static_placement,static_outer,ball_cone,named_shelves,compact
length_band,static_outer__ball_cone__named_shelves__compact__target_first__reference_first,static_outer__ball_cone__named_shelves__expanded__target_first__reference_first,static_placement,static_outer,ball_cone,named_shelves,compact
evidence_type,static_outer__ball_cone__named_shelves__compact__target_first__reference_first,static_outer__ball_cone__measured_height__compact__target_first__reference_first,static_placement,static_outer,ball_cone,named_shelves,compact
evidence_type,static_outer__ball_cone__named_shelves__compact__target_first__reference_first,static_outer__ball_cone__numbered_steps__compact__target_first__reference_first,static_placement,static_outer,ball_cone,named_shelves,compact
evidence_type,static_outer__ball_cone__named_shelves__compact__target_first__reference_first,static_outer__ball_cone__numbered_floors__compact__target_first__reference_first,static_placement,static_outer,ball_cone,named_shelves,compact
target_entity_order,static_outer__ball_cone__named_shelves__compact__reference_first__target_first,static_outer__ball_cone__named_shelves__compact__reference_first__reference_first,static_placement,static_outer,ball_cone,named_shelves,compact
length_band,static_outer__ball_cone__named_shelves__compact__reference_first__target_first,static_outer__ball_cone__named_shelves__standard__reference_first__target_first,static_placement,static_outer,ball_cone,named_shelves,compact
length_band,static_outer__ball_cone__named_shelves__compact__reference_first__target_first,static_outer__ball_cone__named_shelves__expanded__reference_first__target_first,static_placement,static_outer,ball_cone,named_shelves,compact
evidence_type,static_outer__ball_cone__named_shelves__compact__reference_first__target_first,static_outer__ball_cone__measured_height__compact__reference_first__target_first,static_placement,static_outer,ball_cone,named_shelves,compact
evidence_type,static_outer__ball_cone__named_shelves__compact__reference_first__target_first,static_outer__ball_cone__numbered_steps__compact__reference_first__target_first,static_placement,static_outer,ball_cone,named_shelves,compact
evidence_type,static_outer__ball_cone__named_shelves__compact__reference_first__target_first,static_outer__ball_cone__numbered_floors__compact__reference_first__target_first,static_placement,static_outer,ball_cone,named_shelves,compact
length_band,static_outer__ball_cone__named_shelves__compact__reference_first__reference_first,static_outer__ball_cone__named_shelves__standard__reference_first__reference_first,static_placement,static_outer,ball_cone,named_shelves,compact
length_band,static_outer__ball_cone__named_shelves__compact__reference_first__reference_first,static_outer__ball_cone__named_shelves__expanded__reference_first__reference_first,static_placement,static_outer,ball_cone,named_shelves,compact
evidence_type,static_outer__ball_cone__named_shelves__compact__reference_first__reference_first,static_outer__ball_cone__measured_height__compact__reference_first__reference_first,static_placement,static_outer,ball_cone,named_shelves,compact
evidence_type,static_outer__ball_cone__named_shelves__compact__reference_first__reference_first,static_outer__ball_cone__numbered_steps__compact__reference_first__reference_first,static_placement,static_outer,ball_cone,named_shelves,compact
evidence_type,static_outer__ball_cone__named_shelves__compact__reference_first__reference_first,static_outer__ball_cone__numbered_floors__compact__reference_first__reference_first,static_placement,static_outer,ball_cone,named_shelves,compact
context_entity_order,static_outer__ball_cone__named_shelves__standard__target_first__target_first,static_outer__ball_cone__named_shelves__standard__reference_first__target_first,static_placement,static_outer,ball_cone,named_shelves,standard
target_entity_order,static_outer__ball_cone__named_shelves__standard__target_first__target_first,static_outer__ball_cone__named_shelves__standard__target_first__reference_first,static_placement,static_outer,ball_cone,named_shelves,standard
evidence_type,static_outer__ball_cone__named_shelves__standard__target_first__target_first,static_outer__ball_cone__measured_height__standard__target_first__target_first,static_placement,static_outer,ball_cone,named_shelves,standard
evidence_type,static_outer__ball_cone__named_shelves__standard__target_first__target_first,static_outer__ball_cone__numbered_steps__standard__target_first__target_first,static_placement,static_outer,ball_cone,named_shelves,standard
evidence_type,static_outer__ball_cone__named_shelves__standard__target_first__target_first,static_outer__ball_cone__numbered_floors__standard__target_first__target_first,static_placement,static_outer,ball_cone,named_shelves,standard
context_entity_order,static_outer__ball_cone__named_shelves__standard__target_first__reference_first,static_outer__ball_cone__named_shelves__standard__reference_first__reference_first,static_placement,static_outer,ball_cone,named_shelves,standard
evidence_type,static_outer__ball_cone__named_shelves__standard__target_first__reference_first,static_outer__ball_cone__measured_height__standard__target_first__reference_first,static_placement,static_outer,ball_cone,named_shelves,standard
evidence_type,static_outer__ball_cone__named_shelves__standard__target_first__reference_first,static_outer__ball_cone__numbered_steps__standard__target_first__reference_first,static_placement,static_outer,ball_cone,named_shelves,standard
evidence_type,static_outer__ball_cone__named_shelves__standard__target_first__reference_first,static_outer__ball_cone__numbered_floors__standard__target_first__reference_first,static_placement,static_outer,ball_cone,named_shelves,standard
target_entity_order,static_outer__ball_cone__named_shelves__standard__reference_first__target_first,static_outer__ball_cone__named_shelves__standard__reference_first__reference_first,static_placement,static_outer,ball_cone,named_shelves,standard
evidence_type,static_outer__ball_cone__named_shelves__standard__reference_first__target_first,static_outer__ball_cone__measured_height__standard__reference_first__target_first,static_placement,static_outer,ball_cone,named_shelves,standard
evidence_type,static_outer__ball_cone__named_shelves__standard__reference_first__target_first,static_outer__ball_cone__numbered_steps__standard__reference_first__target_first,static_placement,static_outer,ball_cone,named_shelves,standard
evidence_type,static_outer__ball_cone__named_shelves__standard__reference_first__target_first,static_outer__ball_cone__numbered_floors__standard__reference_first__target_first,static_placement,static_outer,ball_cone,named_shelves,standard
evidence_type,static_outer__ball_cone__named_shelves__standard__reference_first__reference_first,static_outer__ball_cone__measured_height__standard__reference_first__reference_first,static_placement,static_outer,ball_cone,named_shelves,standard
evidence_type,static_outer__ball_cone__named_shelves__standard__reference_first__reference_first,static_outer__ball_cone__numbered_steps__standard__reference_first__reference_first,static_placement,static_outer,ball_cone,named_shelves,standard
evidence_type,static_outer__ball_cone__named_shelves__standard__reference_first__reference_first,static_outer__ball_cone__numbered_floors__standard__reference_first__reference_first,static_placement,static_outer,ball_cone,named_shelves,standard
context_entity_order,static_outer__ball_cone__named_shelves__expanded__target_first__target_first,static_outer__ball_cone__named_shelves__expanded__reference_first__target_first,static_placement,static_outer,ball_cone,named_shelves,expanded
target_entity_order,static_outer__ball_cone__named_shelves__expanded__target_first__target_first,static_outer__ball_cone__named_shelves__expanded__target_first__reference_first,static_placement,static_outer,ball_cone,named_shelves,expanded
evidence_type,static_outer__ball_cone__named_shelves__expanded__target_first__target_first,static_outer__ball_cone__measured_height__expanded__target_first__target_first,static_placement,static_outer,ball_cone,named_shelves,expanded
evidence_type,static_outer__ball_cone__named_shelves__expanded__target_first__target_first,static_outer__ball_cone__numbered_steps__expanded__target_first__target_first,static_placement,static_outer,ball_cone,named_shelves,expanded
evidence_type,static_outer__ball_cone__named_shelves__expanded__target_first__target_first,static_outer__ball_cone__numbered_floors__expanded__target_first__target_first,static_placement,static_outer,ball_cone,named_shelves,expanded
context_entity_order,static_outer__ball_cone__named_shelves__expanded__target_first__reference_first,static_outer__ball_cone__named_shelves__expanded__reference_first__reference_first,static_placement,static_outer,ball_cone,named_shelves,expanded
evidence_type,static_outer__ball_cone__named_shelves__expanded__target_first__reference_first,static_outer__ball_cone__measured_height__expanded__target_first__reference_first,static_placement,static_outer,ball_cone,named_shelves,expanded
evidence_type,static_outer__ball_cone__named_shelves__expanded__target_first__reference_first,static_outer__ball_cone__numbered_steps__expanded__target_first__reference_first,static_placement,static_outer,ball_cone,named_shelves,expanded
evidence_type,static_outer__ball_cone__named_shelves__expanded__target_first__reference_first,static_outer__ball_cone__numbered_floors__expanded__target_first__reference_first,static_placement,static_outer,ball_cone,named_shelves,expanded
target_entity_order,static_outer__ball_cone__named_shelves__expanded__reference_first__target_first,static_outer__ball_cone__named_shelves__expanded__reference_first__reference_first,static_placement,static_outer,ball_cone,named_shelves,expanded
evidence_type,static_outer__ball_cone__named_shelves__expanded__reference_first__target_first,static_outer__ball_cone__measured_height__expanded__reference_first__target_first,static_placement,static_outer,ball_cone,named_shelves,expanded
evidence_type,static_outer__ball_cone__named_shelves__expanded__reference_first__target_first,static_outer__ball_cone__numbered_steps__expanded__reference_first__target_first,static_placement,static_outer,ball_cone,named_shelves,expanded
evidence_type,static_outer__ball_cone__named_shelves__expanded__reference_first__target_first,static_outer__ball_cone__numbered_floors__expanded__reference_first__target_first,static_placement,static_outer,ball_cone,named_shelves,expanded
evidence_type,static_outer__ball_cone__named_shelves__expanded__reference_first__reference_first,static_outer__ball_cone__measured_height__expanded__reference_first__reference_first,static_placement,static_outer,ball_cone,named_shelves,expanded
evidence_type,static_outer__ball_cone__named_shelves__expanded__reference_first__reference_first,static_outer__ball_cone__numbered_steps__expanded__reference_first__reference_first,static_placement,static_outer,ball_cone,named_shelves,expanded
evidence_type,static_outer__ball_cone__named_shelves__expanded__reference_first__reference_first,static_outer__ball_cone__numbered_floors__expanded__reference_first__reference_first,static_placement,static_outer,ball_cone,named_shelves,expanded
context_entity_order,static_outer__ball_cone__measured_height__compact__target_first__target_first,static_outer__ball_cone__measured_height__compact__reference_first__target_first,static_placement,static_outer,ball_cone,measured_height,compact
target_entity_order,static_outer__ball_cone__measured_height__compact__target_first__target_first,static_outer__ball_cone__measured_height__compact__target_first__reference_first,static_placement,static_outer,ball_cone,measured_height,compact
length_band,static_outer__ball_cone__measured_height__compact__target_first__target_first,static_outer__ball_cone__measured_height__standard__target_first__target_first,static_placement,static_outer,ball_cone,measured_height,compact
length_band,static_outer__ball_cone__measured_height__compact__target_first__target_first,static_outer__ball_cone__measured_height__expanded__target_first__target_first,static_placement,static_outer,ball_cone,measured_height,compact
context_entity_order,static_outer__ball_cone__measured_height__compact__target_first__reference_first,static_outer__ball_cone__measured_height__compact__reference_first__reference_first,static_placement,static_outer,ball_cone,measured_height,compact
length_band,static_outer__ball_cone__measured_height__compact__target_first__reference_first,static_outer__ball_cone__measured_height__standard__target_first__reference_first,static_placement,static_outer,ball_cone,measured_height,compact
length_band,static_outer__ball_cone__measured_height__compact__target_first__reference_first,static_outer__ball_cone__measured_height__expanded__target_first__reference_first,static_placement,static_outer,ball_cone,measured_height,compact
target_entity_order,static_outer__ball_cone__measured_height__compact__reference_first__target_first,static_outer__ball_cone__measured_height__compact__reference_first__reference_first,static_placement,static_outer,ball_cone,measured_height,compact
length_band,static_outer__ball_cone__measured_height__compact__reference_first__target_first,static_outer__ball_cone__measured_height__standard__reference_first__target_first,static_placement,static_outer,ball_cone,measured_height,compact
length_band,static_outer__ball_cone__measured_height__compact__reference_first__target_first,static_outer__ball_cone__measured_height__expanded__reference_first__target_first,static_placement,static_outer,ball_cone,measured_height,compact
length_band,static_outer__ball_cone__measured_height__compact__reference_first__reference_first,static_outer__ball_cone__measured_height__standard__reference_first__reference_first,static_placement,static_outer,ball_cone,measured_height,compact
length_band,static_outer__ball_cone__measured_height__compact__reference_first__reference_first,static_outer__ball_cone__measured_height__expanded__reference_first__reference_first,static_placement,static_outer,ball_cone,measured_height,compact
context_entity_order,static_outer__ball_cone__measured_height__standard__target_first__target_first,static_outer__ball_cone__measured_height__standard__reference_first__target_first,static_placement,static_outer,ball_cone,measured_height,standard
target_entity_order,static_outer__ball_cone__measured_height__standard__target_first__target_first,static_outer__ball_cone__measured_height__standard__target_first__reference_first,static_placement,static_outer,ball_cone,measured_height,standard
context_entity_order,static_outer__ball_cone__measured_height__standard__target_first__reference_first,static_outer__ball_cone__measured_height__standard__reference_first__reference_first,static_placement,static_outer,ball_cone,measured_height,standard
target_entity_order,static_outer__ball_cone__measured_height__standard__reference_first__target_first,static_outer__ball_cone__measured_height__standard__reference_first__reference_first,static_placement,static_outer,ball_cone,measured_height,standard
context_entity_order,static_outer__ball_cone__measured_height__expanded__target_first__target_first,static_outer__ball_cone__measured_height__expanded__reference_first__target_first,static_placement,static_outer,ball_cone,measured_height,expanded
target_entity_order,static_outer__ball_cone__measured_height__expanded__target_first__target_first,static_outer__ball_cone__measured_height__expanded__target_first__reference_first,static_placement,static_outer,ball_cone,measured_height,expanded
context_entity_order,static_outer__ball_cone__measured_height__expanded__target_first__reference_first,static_outer__ball_cone__measured_height__expanded__reference_first__reference_first,static_placement,static_outer,ball_cone,measured_height,expanded
target_entity_order,static_outer__ball_cone__measured_height__expanded__reference_first__target_first,static_outer__ball_cone__measured_height__expanded__reference_first__reference_first,static_placement,static_outer,ball_cone,measured_height,expanded
context_entity_order,static_outer__ball_cone__numbered_steps__compact__target_first__target_first,static_outer__ball_cone__numbered_steps__compact__reference_first__target_first,static_placement,static_outer,ball_cone,numbered_steps,compact
target_entity_order,static_outer__ball_cone__numbered_steps__compact__target_first__target_first,static_outer__ball_cone__numbered_steps__compact__target_first__reference_first,static_placement,static_outer,ball_cone,numbered_steps,compact
length_band,static_outer__ball_cone__numbered_steps__compact__target_first__target_first,static_outer__ball_cone__numbered_steps__standard__target_first__target_first,static_placement,static_outer,ball_cone,numbered_steps,compact
length_band,static_outer__ball_cone__numbered_steps__compact__target_first__target_first,static_outer__ball_cone__numbered_steps__expanded__target_first__target_first,static_placement,static_outer,ball_cone,numbered_steps,compact
context_entity_order,static_outer__ball_cone__numbered_steps__compact__target_first__reference_first,static_outer__ball_cone__numbered_steps__compact__reference_first__reference_first,static_placement,static_outer,ball_cone,numbered_steps,compact
length_band,static_outer__ball_cone__numbered_steps__compact__target_first__reference_first,static_outer__ball_cone__numbered_steps__standard__target_first__reference_first,static_placement,static_outer,ball_cone,numbered_steps,compact
length_band,static_outer__ball_cone__numbered_steps__compact__target_first__reference_first,static_outer__ball_cone__numbered_steps__expanded__target_first__reference_first,static_placement,static_outer,ball_cone,numbered_steps,compact
target_entity_order,static_outer__ball_cone__numbered_steps__compact__reference_first__target_first,static_outer__ball_cone__numbered_steps__compact__reference_first__reference_first,static_placement,static_outer,ball_cone,numbered_steps,compact
length_band,static_outer__ball_cone__numbered_steps__compact__reference_first__target_first,static_outer__ball_cone__numbered_steps__standard__reference_first__target_first,static_placement,static_outer,ball_cone,numbered_steps,compact
length_band,static_outer__ball_cone__numbered_steps__compact__reference_first__target_first,static_outer__ball_cone__numbered_steps__expanded__reference_first__target_first,static_placement,static_outer,ball_cone,numbered_steps,compact
length_band,static_outer__ball_cone__numbered_steps__compact__reference_first__reference_first,static_outer__ball_cone__numbered_steps__standard__reference_first__reference_first,static_placement,static_outer,ball_cone,numbered_steps,compact
