method,grouping,group,n_contexts,n_correct,accuracy,mean_gold_margin,predicted_closer,predicted_farther,predicted_unchanged,ties
raw,overall,all,8064,2714,0.3365575396825397,-0.16162520292259397,15,12,8037,0
pmi,overall,all,8064,2578,0.3196924603174603,-0.18068247672820847,425,7639,0,0
raw,condition_id,direct_label,72,50,0.6944444444444444,0.21023641029993692,15,12,45,0
pmi,condition_id,direct_label,72,47,0.6527777777777778,0.10050359865029652,28,44,0,0
raw,condition_id,reference_object_moves,5328,0,0.0,-0.4406316138065613,0,0,5328,0
pmi,condition_id,reference_object_moves,5328,2531,0.4750375375375375,-0.012128274250137914,299,5029,0,0
raw,condition_id,both_move_same_separation,2664,2664,1.0,0.38633730497446145,0,0,2664,0
pmi,condition_id,both_move_same_separation,2664,0,0.0,-0.5253905053432282,98,2566,0,0
raw,numeric_information,absent,288,122,0.4236111111111111,-0.08018130105402735,15,12,261,0
pmi,numeric_information,absent,288,118,0.4097222222222222,-0.14027121249172422,33,255,0,0
raw,numeric_information,specific,7776,2592,0.3333333333333333,-0.1646416437325409,0,0,7776,0
pmi,numeric_information,specific,7776,2460,0.31635802469135804,-0.18217919021844864,392,7384,0,0
raw,length_band,direct,72,50,0.6944444444444444,0.21023641029993692,15,12,45,0
pmi,length_band,direct,72,47,0.6527777777777778,0.10050359865029652,28,44,0,0
raw,length_band,compact,2664,888,0.3333333333333333,-0.23564834834577086,0,0,2664,0
pmi,length_band,compact,2664,872,0.32732732732732733,-0.17535404136052002,106,2558,0,0
raw,length_band,standard,2664,888,0.3333333333333333,-0.15726223122608196,0,0,2664,0
pmi,length_band,standard,2664,779,0.2924174174174174,-0.22862920715465201,217,2447,0,0
raw,length_band,expanded,2664,888,0.3333333333333333,-0.10201534306680834,0,0,2664,0
pmi,length_band,expanded,2664,880,0.3303303303303303,-0.1456638053283319,74,2590,0,0
raw,outcome,closer,2688,14,0.005208333333333333,-0.3985906754664722,14,0,2674,0
pmi,outcome,closer,2688,106,0.03943452380952381,-0.15979044715918245,106,2582,0,0
raw,outcome,farther,2688,12,0.004464285714285714,-0.4741174975587499,1,12,2675,0
pmi,outcome,farther,2688,2472,0.9196428571428571,0.14109500094006458,216,2472,0,0
raw,outcome,unchanged,2688,2688,1.0,0.3878325642574401,0,0,2688,0
pmi,outcome,unchanged,2688,0,0.0,-0.5233519839655075,103,2585,0,0
raw,condition_id+numeric_information,direct_label|absent,72,50,0.6944444444444444,0.21023641029993692,15,12,45,0
pmi,condition_id+numeric_information,direct_label|absent,72,47,0.6527777777777778,0.10050359865029652,28,44,0,0
raw,condition_id+numeric_information,reference_object_moves|absent,144,0,0.0,-0.4076480766137441,0,0,144,0
pmi,condition_id+numeric_information,reference_object_moves|absent,144,71,0.4930555555555556,-0.007285562654336293,5,139,0,0
raw,condition_id+numeric_information,both_move_same_separation|absent,72,72,1.0,0.2843345387114419,0,0,72,0
pmi,condition_id+numeric_information,both_move_same_separation|absent,72,0,0.0,-0.6470173233085208,0,72,0,0
raw,condition_id+numeric_information,reference_object_moves|specific,5184,0,0.0,-0.44154782317302843,0,0,5184,0
pmi,condition_id+numeric_information,reference_object_moves|specific,5184,2460,0.47453703703703703,-0.012262794016687959,294,4890,0,0
raw,condition_id+numeric_information,both_move_same_separation|specific,2592,2592,1.0,0.3891707151484342,0,0,2592,0
pmi,condition_id+numeric_information,both_move_same_separation|specific,2592,0,0.0,-0.52201198262197,98,2494,0,0
raw,condition_id+numeric_information+length_band,direct_label|absent|direct,72,50,0.6944444444444444,0.21023641029993692,15,12,45,0
pmi,condition_id+numeric_information+length_band,direct_label|absent|direct,72,47,0.6527777777777778,0.10050359865029652,28,44,0,0
raw,condition_id+numeric_information+length_band,reference_object_moves|absent|compact,48,0,0.0,-0.4698455135027568,0,0,48,0
pmi,condition_id+numeric_information+length_band,reference_object_moves|absent|compact,48,23,0.4791666666666667,-0.011373634139696756,1,47,0,0
raw,condition_id+numeric_information+length_band,reference_object_moves|absent|standard,48,0,0.0,-0.35344985624154407,0,0,48,0
pmi,condition_id+numeric_information+length_band,reference_object_moves|absent|standard,48,24,0.5,-0.0072041476766268415,4,44,0,0
raw,condition_id+numeric_information+length_band,reference_object_moves|absent|expanded,48,0,0.0,-0.39964886009693146,0,0,48,0
pmi,condition_id+numeric_information+length_band,reference_object_moves|absent|expanded,48,24,0.5,-0.0032789061466852822,0,48,0,0
raw,condition_id+numeric_information+length_band,both_move_same_separation|absent|compact,24,24,1.0,0.30988918244838715,0,0,24,0
pmi,condition_id+numeric_information+length_band,both_move_same_separation|absent|compact,24,0,0.0,-0.5966053356726965,0,24,0,0
raw,condition_id+numeric_information+length_band,both_move_same_separation|absent|standard,24,24,1.0,0.13995840152104697,0,0,24,0
pmi,condition_id+numeric_information+length_band,both_move_same_separation|absent|standard,24,0,0.0,-0.7990942299365997,0,24,0,0
raw,condition_id+numeric_information+length_band,both_move_same_separation|absent|expanded,24,24,1.0,0.40315603216489154,0,0,24,0
pmi,condition_id+numeric_information+length_band,both_move_same_separation|absent|expanded,24,0,0.0,-0.5453524043162664,0,24,0,0
raw,condition_id+numeric_information+length_band,reference_object_moves|specific|compact,1728,0,0.0,-0.5522577350752221,0,0,1728,0
pmi,condition_id+numeric_information+length_band,reference_object_moves|specific|compact,1728,849,0.4913194444444444,-0.011616759830050997,15,1713,0,0
raw,condition_id+numeric_information+length_band,reference_object_moves|specific|standard,1728,0,0.0,-0.37119991387482043,0,0,1728,0
