control,base_probe_id,variant_probe_id,axis,probe_family
wording,north_south__edge_forward_plain,north_south__edge_forward_paraphrase,north_south,direction_definition
mapping_direction,north_south__edge_forward_plain,north_south__edge_reverse_plain,north_south,direction_definition
expression_family,north_south__edge_forward_plain,north_south__movement_forward_plain,north_south,direction_definition
mapping_direction,north_south__edge_forward_paraphrase,north_south__edge_reverse_paraphrase,north_south,direction_definition
expression_family,north_south__edge_forward_paraphrase,north_south__movement_forward_paraphrase,north_south,direction_definition
wording,north_south__edge_reverse_plain,north_south__edge_reverse_paraphrase,north_south,direction_definition
expression_family,north_south__edge_reverse_plain,north_south__movement_reverse_plain,north_south,direction_definition
expression_family,north_south__edge_reverse_paraphrase,north_south__movement_reverse_paraphrase,north_south,direction_definition
wording,north_south__movement_forward_plain,north_south__movement_forward_paraphrase,north_south,direction_definition
mapping_direction,north_south__movement_forward_plain,north_south__movement_reverse_plain,north_south,direction_definition
mapping_direction,north_south__movement_forward_paraphrase,north_south__movement_reverse_paraphrase,north_south,direction_definition
wording,north_south__movement_reverse_plain,north_south__movement_reverse_paraphrase,north_south,direction_definition
wording,north_south__opposite_plain,north_south__opposite_other_way,north_south,opposite_direction
wording,north_south__opposite_plain,north_south__opposite_reversed,north_south,opposite_direction
wording,north_south__opposite_plain,north_south__opposite_turn,north_south,opposite_direction
wording,north_south__opposite_other_way,north_south__opposite_reversed,north_south,opposite_direction
wording,north_south__opposite_other_way,north_south__opposite_turn,north_south,opposite_direction
wording,north_south__opposite_reversed,north_south__opposite_turn,north_south,opposite_direction
wording,north_south__position_forward_plain,north_south__position_forward_paraphrase,north_south,relative_map_position
mapping_direction,north_south__position_forward_plain,north_south__position_reverse_plain,north_south,relative_map_position
reference_surface,north_south__position_forward_plain,north_south__position_forward_plain__globe,north_south,relative_map_position
mapping_direction,north_south__position_forward_paraphrase,north_south__position_reverse_paraphrase,north_south,relative_map_position
reference_surface,north_south__position_forward_paraphrase,north_south__position_forward_paraphrase__globe,north_south,relative_map_position
wording,north_south__position_reverse_plain,north_south__position_reverse_paraphrase,north_south,relative_map_position
reference_surface,north_south__position_reverse_plain,north_south__position_reverse_plain__globe,north_south,relative_map_position
reference_surface,north_south__position_reverse_paraphrase,north_south__position_reverse_paraphrase__globe,north_south,relative_map_position
wording,east_west__edge_forward_plain,east_west__edge_forward_paraphrase,east_west,direction_definition
mapping_direction,east_west__edge_forward_plain,east_west__edge_reverse_plain,east_west,direction_definition
expression_family,east_west__edge_forward_plain,east_west__movement_forward_plain,east_west,direction_definition
mapping_direction,east_west__edge_forward_paraphrase,east_west__edge_reverse_paraphrase,east_west,direction_definition
expression_family,east_west__edge_forward_paraphrase,east_west__movement_forward_paraphrase,east_west,direction_definition
wording,east_west__edge_reverse_plain,east_west__edge_reverse_paraphrase,east_west,direction_definition
expression_family,east_west__edge_reverse_plain,east_west__movement_reverse_plain,east_west,direction_definition
expression_family,east_west__edge_reverse_paraphrase,east_west__movement_reverse_paraphrase,east_west,direction_definition
wording,east_west__movement_forward_plain,east_west__movement_forward_paraphrase,east_west,direction_definition
mapping_direction,east_west__movement_forward_plain,east_west__movement_reverse_plain,east_west,direction_definition
mapping_direction,east_west__movement_forward_paraphrase,east_west__movement_reverse_paraphrase,east_west,direction_definition
wording,east_west__movement_reverse_plain,east_west__movement_reverse_paraphrase,east_west,direction_definition
wording,east_west__opposite_plain,east_west__opposite_other_way,east_west,opposite_direction
wording,east_west__opposite_plain,east_west__opposite_reversed,east_west,opposite_direction
wording,east_west__opposite_plain,east_west__opposite_turn,east_west,opposite_direction
wording,east_west__opposite_other_way,east_west__opposite_reversed,east_west,opposite_direction
wording,east_west__opposite_other_way,east_west__opposite_turn,east_west,opposite_direction
wording,east_west__opposite_reversed,east_west__opposite_turn,east_west,opposite_direction
wording,east_west__position_forward_plain,east_west__position_forward_paraphrase,east_west,relative_map_position
mapping_direction,east_west__position_forward_plain,east_west__position_reverse_plain,east_west,relative_map_position
reference_surface,east_west__position_forward_plain,east_west__position_forward_plain__globe,east_west,relative_map_position
mapping_direction,east_west__position_forward_paraphrase,east_west__position_reverse_paraphrase,east_west,relative_map_position
reference_surface,east_west__position_forward_paraphrase,east_west__position_forward_paraphrase__globe,east_west,relative_map_position
wording,east_west__position_reverse_plain,east_west__position_reverse_paraphrase,east_west,relative_map_position
reference_surface,east_west__position_reverse_plain,east_west__position_reverse_plain__globe,east_west,relative_map_position
reference_surface,east_west__position_reverse_paraphrase,east_west__position_reverse_paraphrase__globe,east_west,relative_map_position
wording,north_south__position_forward_plain__globe,north_south__position_forward_paraphrase__globe,north_south,relative_map_position
mapping_direction,north_south__position_forward_plain__globe,north_south__position_reverse_plain__globe,north_south,relative_map_position
mapping_direction,north_south__position_forward_paraphrase__globe,north_south__position_reverse_paraphrase__globe,north_south,relative_map_position
wording,north_south__position_reverse_plain__globe,north_south__position_reverse_paraphrase__globe,north_south,relative_map_position
wording,east_west__position_forward_plain__globe,east_west__position_forward_paraphrase__globe,east_west,relative_map_position
mapping_direction,east_west__position_forward_plain__globe,east_west__position_reverse_plain__globe,east_west,relative_map_position
mapping_direction,east_west__position_forward_paraphrase__globe,east_west__position_reverse_paraphrase__globe,east_west,relative_map_position
wording,east_west__position_reverse_plain__globe,east_west__position_reverse_paraphrase__globe,east_west,relative_map_position
wording,north_south__edge_alt_word_to_meaning_traveling_toward,north_south__edge_alt_word_to_meaning_going_toward,north_south,direction_definition
mapping_direction,north_south__edge_alt_word_to_meaning_traveling_toward,north_south__edge_alt_meaning_to_word_traveling_toward,north_south,direction_definition
wording,north_south__edge_alt_word_to_meaning_traveling_to,north_south__edge_alt_word_to_meaning_going_to,north_south,direction_definition
mapping_direction,north_south__edge_alt_word_to_meaning_traveling_to,north_south__edge_alt_meaning_to_word_traveling_to,north_south,direction_definition
mapping_direction,north_south__edge_alt_word_to_meaning_going_toward,north_south__edge_alt_meaning_to_word_going_toward,north_south,direction_definition
mapping_direction,north_south__edge_alt_word_to_meaning_going_to,north_south__edge_alt_meaning_to_word_going_to,north_south,direction_definition
wording,north_south__edge_alt_meaning_to_word_traveling_toward,north_south__edge_alt_meaning_to_word_going_toward,north_south,direction_definition
wording,north_south__edge_alt_meaning_to_word_traveling_to,north_south__edge_alt_meaning_to_word_going_to,north_south,direction_definition
wording,north_south__opposite_route_backward,north_south__opposite_route_return,north_south,opposite_direction
wording,north_south__opposite_route_backward,north_south__opposite_route_retrace,north_south,opposite_direction
wording,north_south__opposite_route_backward,north_south__opposite_route_reverse_route,north_south,opposite_direction
wording,north_south__opposite_route_return,north_south__opposite_route_retrace,north_south,opposite_direction
wording,north_south__opposite_route_return,north_south__opposite_route_reverse_route,north_south,opposite_direction
wording,north_south__opposite_route_retrace,north_south__opposite_route_reverse_route,north_south,opposite_direction
wording,east_west__edge_alt_word_to_meaning_traveling_toward,east_west__edge_alt_word_to_meaning_going_toward,east_west,direction_definition
mapping_direction,east_west__edge_alt_word_to_meaning_traveling_toward,east_west__edge_alt_meaning_to_word_traveling_toward,east_west,direction_definition
wording,east_west__edge_alt_word_to_meaning_traveling_to,east_west__edge_alt_word_to_meaning_going_to,east_west,direction_definition
mapping_direction,east_west__edge_alt_word_to_meaning_traveling_to,east_west__edge_alt_meaning_to_word_traveling_to,east_west,direction_definition
mapping_direction,east_west__edge_alt_word_to_meaning_going_toward,east_west__edge_alt_meaning_to_word_going_toward,east_west,direction_definition
mapping_direction,east_west__edge_alt_word_to_meaning_going_to,east_west__edge_alt_meaning_to_word_going_to,east_west,direction_definition
wording,east_west__edge_alt_meaning_to_word_traveling_toward,east_west__edge_alt_meaning_to_word_going_toward,east_west,direction_definition
wording,east_west__edge_alt_meaning_to_word_traveling_to,east_west__edge_alt_meaning_to_word_going_to,east_west,direction_definition
wording,east_west__opposite_route_backward,east_west__opposite_route_return,east_west,opposite_direction
wording,east_west__opposite_route_backward,east_west__opposite_route_retrace,east_west,opposite_direction
wording,east_west__opposite_route_backward,east_west__opposite_route_reverse_route,east_west,opposite_direction
wording,east_west__opposite_route_return,east_west__opposite_route_retrace,east_west,opposite_direction
wording,east_west__opposite_route_return,east_west__opposite_route_reverse_route,east_west,opposite_direction
wording,east_west__opposite_route_retrace,east_west__opposite_route_reverse_route,east_west,opposite_direction
wording,north_south__position_forward_plain__reciprocal_named,north_south__position_forward_paraphrase__reciprocal_named,north_south,relative_map_position
mapping_direction,north_south__position_forward_plain__reciprocal_named,north_south__position_reverse_plain__reciprocal_named,north_south,relative_map_position
reference_surface,north_south__position_forward_plain__reciprocal_named,north_south__position_forward_plain__globe__reciprocal_named,north_south,relative_map_position
mapping_direction,north_south__position_forward_paraphrase__reciprocal_named,north_south__position_reverse_paraphrase__reciprocal_named,north_south,relative_map_position
reference_surface,north_south__position_forward_paraphrase__reciprocal_named,north_south__position_forward_paraphrase__globe__reciprocal_named,north_south,relative_map_position
wording,north_south__position_reverse_plain__reciprocal_named,north_south__position_reverse_paraphrase__reciprocal_named,north_south,relative_map_position
reference_surface,north_south__position_reverse_plain__reciprocal_named,north_south__position_reverse_plain__globe__reciprocal_named,north_south,relative_map_position
reference_surface,north_south__position_reverse_paraphrase__reciprocal_named,north_south__position_reverse_paraphrase__globe__reciprocal_named,north_south,relative_map_position
wording,east_west__position_forward_plain__reciprocal_named,east_west__position_forward_paraphrase__reciprocal_named,east_west,relative_map_position
mapping_direction,east_west__position_forward_plain__reciprocal_named,east_west__position_reverse_plain__reciprocal_named,east_west,relative_map_position
reference_surface,east_west__position_forward_plain__reciprocal_named,east_west__position_forward_plain__globe__reciprocal_named,east_west,relative_map_position
mapping_direction,east_west__position_forward_paraphrase__reciprocal_named,east_west__position_reverse_paraphrase__reciprocal_named,east_west,relative_map_position
reference_surface,east_west__position_forward_paraphrase__reciprocal_named,east_west__position_forward_paraphrase__globe__reciprocal_named,east_west,relative_map_position
wording,east_west__position_reverse_plain__reciprocal_named,east_west__position_reverse_paraphrase__reciprocal_named,east_west,relative_map_position
reference_surface,east_west__position_reverse_plain__reciprocal_named,east_west__position_reverse_plain__globe__reciprocal_named,east_west,relative_map_position
reference_surface,east_west__position_reverse_paraphrase__reciprocal_named,east_west__position_reverse_paraphrase__globe__reciprocal_named,east_west,relative_map_position
wording,north_south__position_forward_plain__globe__reciprocal_named,north_south__position_forward_paraphrase__globe__reciprocal_named,north_south,relative_map_position
