probe_id,probe_version,direction,definition_variant_id,context_stem_id,context_structure_label,definition_structure_id,modifier_id,modifier,adjective_pair_id,close_adjective,far_adjective,label_target_id,Domain,ConceptA,ConceptB,ContextType,ContextDiff,TargetDiff,Context1,Context2,Target1,Target2,correct_target_for_context1,correct_target_for_context2,Context1_word_count,Context1_char_count,Context2_word_count,Context2_char_count,Target1_word_count,Target1_char_count,Target2_word_count,Target2_char_count,probe_row_index,task_form,naming_context_id,matched_original_probe_id
word_to_definition__ctx_0__def_0_mod_0_adj_0,1.0,word_to_definition,def_0_mod_0_adj_0,ctx_0,short,def_0,mod_0,relatively,adj_0,small,large,,spatial-relations,close,far,direct,antonym,concept swap,Close means that,Far means that,the distance is relatively small.,the distance is relatively large.,Target1,Target2,3,16,3,14,5,33,5,33,0,,,
word_to_definition__ctx_0__def_0_mod_0_adj_1,1.0,word_to_definition,def_0_mod_0_adj_1,ctx_0,short,def_0,mod_0,relatively,adj_1,short,long,,spatial-relations,close,far,direct,antonym,concept swap,Close means that,Far means that,the distance is relatively short.,the distance is relatively long.,Target1,Target2,3,16,3,14,5,33,5,32,1,,,
word_to_definition__ctx_0__def_0_mod_1_adj_0,1.0,word_to_definition,def_0_mod_1_adj_0,ctx_0,short,def_0,mod_1,comparatively,adj_0,small,large,,spatial-relations,close,far,direct,antonym,concept swap,Close means that,Far means that,the distance is comparatively small.,the distance is comparatively large.,Target1,Target2,3,16,3,14,5,36,5,36,2,,,
word_to_definition__ctx_0__def_0_mod_1_adj_1,1.0,word_to_definition,def_0_mod_1_adj_1,ctx_0,short,def_0,mod_1,comparatively,adj_1,short,long,,spatial-relations,close,far,direct,antonym,concept swap,Close means that,Far means that,the distance is comparatively short.,the distance is comparatively long.,Target1,Target2,3,16,3,14,5,36,5,35,3,,,
word_to_definition__ctx_0__def_0_mod_2_adj_0,1.0,word_to_definition,def_0_mod_2_adj_0,ctx_0,short,def_0,mod_2,fairly,adj_0,small,large,,spatial-relations,close,far,direct,antonym,concept swap,Close means that,Far means that,the distance is fairly small.,the distance is fairly large.,Target1,Target2,3,16,3,14,5,29,5,29,4,,,
word_to_definition__ctx_0__def_0_mod_2_adj_1,1.0,word_to_definition,def_0_mod_2_adj_1,ctx_0,short,def_0,mod_2,fairly,adj_1,short,long,,spatial-relations,close,far,direct,antonym,concept swap,Close means that,Far means that,the distance is fairly short.,the distance is fairly long.,Target1,Target2,3,16,3,14,5,29,5,28,5,,,
word_to_definition__ctx_0__def_1_mod_0_adj_0,1.0,word_to_definition,def_1_mod_0_adj_0,ctx_0,short,def_1,mod_0,relatively,adj_0,small,large,,spatial-relations,close,far,direct,antonym,concept swap,Close means that,Far means that,the distance between the objects is relatively small.,the distance between the objects is relatively large.,Target1,Target2,3,16,3,14,8,53,8,53,6,,,
word_to_definition__ctx_0__def_1_mod_0_adj_1,1.0,word_to_definition,def_1_mod_0_adj_1,ctx_0,short,def_1,mod_0,relatively,adj_1,short,long,,spatial-relations,close,far,direct,antonym,concept swap,Close means that,Far means that,the distance between the objects is relatively short.,the distance between the objects is relatively long.,Target1,Target2,3,16,3,14,8,53,8,52,7,,,
word_to_definition__ctx_0__def_1_mod_1_adj_0,1.0,word_to_definition,def_1_mod_1_adj_0,ctx_0,short,def_1,mod_1,comparatively,adj_0,small,large,,spatial-relations,close,far,direct,antonym,concept swap,Close means that,Far means that,the distance between the objects is comparatively small.,the distance between the objects is comparatively large.,Target1,Target2,3,16,3,14,8,56,8,56,8,,,
word_to_definition__ctx_0__def_1_mod_1_adj_1,1.0,word_to_definition,def_1_mod_1_adj_1,ctx_0,short,def_1,mod_1,comparatively,adj_1,short,long,,spatial-relations,close,far,direct,antonym,concept swap,Close means that,Far means that,the distance between the objects is comparatively short.,the distance between the objects is comparatively long.,Target1,Target2,3,16,3,14,8,56,8,55,9,,,
