pair_id,length_band,template_id,name_id,object_id,evidence_type,closer_probe_id,farther_probe_id,Context1,Context2,Target1,Target2
non_numeric_v1_1__name_0__obj_cone__compact,compact,aligned_compact,name_0,obj_cone,directed_movement_inference,non_numeric_v1_1__name_0__obj_cone__compact__closer,non_numeric_v1_1__name_0__obj_cone__compact__farther,"Starting some distance from a stationary cone, Maya walked some distance directly toward it without reaching or passing it.","Starting some distance from a stationary cone, Maya walked some distance directly away from it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.
non_numeric_v1_1__name_0__obj_cone__standard,standard,aligned_standard,name_0,obj_cone,directed_movement_inference,non_numeric_v1_1__name_0__obj_cone__standard__closer,non_numeric_v1_1__name_0__obj_cone__standard__farther,Maya was some distance from a stationary cone. Maya walked some distance directly toward the cone without reaching or passing it.,Maya was some distance from a stationary cone. Maya walked some distance directly away from the cone without reaching or passing it.,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.
non_numeric_v1_1__name_0__obj_cone__expanded,expanded,aligned_expanded,name_0,obj_cone,directed_movement_inference,non_numeric_v1_1__name_0__obj_cone__expanded__closer,non_numeric_v1_1__name_0__obj_cone__expanded__farther,"Initially, Maya was some distance from a cone that remained stationary. From that starting position, Maya walked some distance directly toward the cone without reaching or passing it.","Initially, Maya was some distance from a cone that remained stationary. From that starting position, Maya walked some distance directly away from the cone without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.
non_numeric_v1_1__name_0__obj_flag__compact,compact,aligned_compact,name_0,obj_flag,directed_movement_inference,non_numeric_v1_1__name_0__obj_flag__compact__closer,non_numeric_v1_1__name_0__obj_flag__compact__farther,"Starting some distance from a stationary flag, Maya walked some distance directly toward it without reaching or passing it.","Starting some distance from a stationary flag, Maya walked some distance directly away from it without reaching or passing it.",Maya is now closer to the flag than before.,Maya is now farther from the flag than before.
non_numeric_v1_1__name_0__obj_flag__standard,standard,aligned_standard,name_0,obj_flag,directed_movement_inference,non_numeric_v1_1__name_0__obj_flag__standard__closer,non_numeric_v1_1__name_0__obj_flag__standard__farther,Maya was some distance from a stationary flag. Maya walked some distance directly toward the flag without reaching or passing it.,Maya was some distance from a stationary flag. Maya walked some distance directly away from the flag without reaching or passing it.,Maya is now closer to the flag than before.,Maya is now farther from the flag than before.
non_numeric_v1_1__name_0__obj_flag__expanded,expanded,aligned_expanded,name_0,obj_flag,directed_movement_inference,non_numeric_v1_1__name_0__obj_flag__expanded__closer,non_numeric_v1_1__name_0__obj_flag__expanded__farther,"Initially, Maya was some distance from a flag that remained stationary. From that starting position, Maya walked some distance directly toward the flag without reaching or passing it.","Initially, Maya was some distance from a flag that remained stationary. From that starting position, Maya walked some distance directly away from the flag without reaching or passing it.",Maya is now closer to the flag than before.,Maya is now farther from the flag than before.
non_numeric_v1_1__name_0__obj_bicycle__compact,compact,aligned_compact,name_0,obj_bicycle,directed_movement_inference,non_numeric_v1_1__name_0__obj_bicycle__compact__closer,non_numeric_v1_1__name_0__obj_bicycle__compact__farther,"Starting some distance from a stationary bicycle, Maya walked some distance directly toward it without reaching or passing it.","Starting some distance from a stationary bicycle, Maya walked some distance directly away from it without reaching or passing it.",Maya is now closer to the bicycle than before.,Maya is now farther from the bicycle than before.
non_numeric_v1_1__name_0__obj_bicycle__standard,standard,aligned_standard,name_0,obj_bicycle,directed_movement_inference,non_numeric_v1_1__name_0__obj_bicycle__standard__closer,non_numeric_v1_1__name_0__obj_bicycle__standard__farther,Maya was some distance from a stationary bicycle. Maya walked some distance directly toward the bicycle without reaching or passing it.,Maya was some distance from a stationary bicycle. Maya walked some distance directly away from the bicycle without reaching or passing it.,Maya is now closer to the bicycle than before.,Maya is now farther from the bicycle than before.
non_numeric_v1_1__name_0__obj_bicycle__expanded,expanded,aligned_expanded,name_0,obj_bicycle,directed_movement_inference,non_numeric_v1_1__name_0__obj_bicycle__expanded__closer,non_numeric_v1_1__name_0__obj_bicycle__expanded__farther,"Initially, Maya was some distance from a bicycle that remained stationary. From that starting position, Maya walked some distance directly toward the bicycle without reaching or passing it.","Initially, Maya was some distance from a bicycle that remained stationary. From that starting position, Maya walked some distance directly away from the bicycle without reaching or passing it.",Maya is now closer to the bicycle than before.,Maya is now farther from the bicycle than before.
non_numeric_v1_1__name_0__obj_bench__compact,compact,aligned_compact,name_0,obj_bench,directed_movement_inference,non_numeric_v1_1__name_0__obj_bench__compact__closer,non_numeric_v1_1__name_0__obj_bench__compact__farther,"Starting some distance from a stationary bench, Maya walked some distance directly toward it without reaching or passing it.","Starting some distance from a stationary bench, Maya walked some distance directly away from it without reaching or passing it.",Maya is now closer to the bench than before.,Maya is now farther from the bench than before.
