numeric_probe_id,non_numeric_probe_id,original_numeric_probe_id,numeric_case_id,unit_id,length_band,outcome,match_type
numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_00__unit_metres,non_numeric_v1_1__name_0__obj_cone__compact__closer,name_0__obj_cone__num_00__movement_description__closer__compact,num_00,unit_metres,compact,closer,only_distance_phrases_differ_specific_values_vs_some_distance
numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_00__unit_ft,non_numeric_v1_1__name_0__obj_cone__compact__closer,name_0__obj_cone__num_00__unit_ft__movement_description__closer__compact,num_00,unit_ft,compact,closer,only_distance_phrases_differ_specific_values_vs_some_distance
numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_00__unit_inches,non_numeric_v1_1__name_0__obj_cone__compact__closer,name_0__obj_cone__num_00__unit_inches__movement_description__closer__compact,num_00,unit_inches,compact,closer,only_distance_phrases_differ_specific_values_vs_some_distance
numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_01__unit_metres,non_numeric_v1_1__name_0__obj_cone__compact__closer,name_0__obj_cone__num_01__movement_description__closer__compact,num_01,unit_metres,compact,closer,only_distance_phrases_differ_specific_values_vs_some_distance
numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_01__unit_ft,non_numeric_v1_1__name_0__obj_cone__compact__closer,name_0__obj_cone__num_01__unit_ft__movement_description__closer__compact,num_01,unit_ft,compact,closer,only_distance_phrases_differ_specific_values_vs_some_distance
numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_01__unit_inches,non_numeric_v1_1__name_0__obj_cone__compact__closer,name_0__obj_cone__num_01__unit_inches__movement_description__closer__compact,num_01,unit_inches,compact,closer,only_distance_phrases_differ_specific_values_vs_some_distance
numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_02__unit_metres,non_numeric_v1_1__name_0__obj_cone__compact__closer,name_0__obj_cone__num_02__movement_description__closer__compact,num_02,unit_metres,compact,closer,only_distance_phrases_differ_specific_values_vs_some_distance
numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_02__unit_ft,non_numeric_v1_1__name_0__obj_cone__compact__closer,name_0__obj_cone__num_02__unit_ft__movement_description__closer__compact,num_02,unit_ft,compact,closer,only_distance_phrases_differ_specific_values_vs_some_distance
numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_02__unit_inches,non_numeric_v1_1__name_0__obj_cone__compact__closer,name_0__obj_cone__num_02__unit_inches__movement_description__closer__compact,num_02,unit_inches,compact,closer,only_distance_phrases_differ_specific_values_vs_some_distance
numeric_aligned_v1_1__name_0__obj_cone__compact__closer__num_03__unit_metres,non_numeric_v1_1__name_0__obj_cone__compact__closer,name_0__obj_cone__num_03__movement_description__closer__compact,num_03,unit_metres,compact,closer,only_distance_phrases_differ_specific_values_vs_some_distance
