unit_match_id,reference_probe_id,variant_probe_id,reference_unit_id,variant_unit_id,match_type
name_0__obj_cone__num_00__explicit_distance__closer__compact,name_0__obj_cone__num_00__explicit_distance__closer__compact,name_0__obj_cone__num_00__unit_ft__explicit_distance__closer__compact,unit_metres,unit_ft,same_numbers_and_outcome_not_converted_physical_distance
name_0__obj_cone__num_00__explicit_distance__farther__compact,name_0__obj_cone__num_00__explicit_distance__farther__compact,name_0__obj_cone__num_00__unit_ft__explicit_distance__farther__compact,unit_metres,unit_ft,same_numbers_and_outcome_not_converted_physical_distance
name_0__obj_cone__num_00__explicit_distance__unchanged__compact,name_0__obj_cone__num_00__explicit_distance__unchanged__compact,name_0__obj_cone__num_00__unit_ft__explicit_distance__unchanged__compact,unit_metres,unit_ft,same_numbers_and_outcome_not_converted_physical_distance
name_0__obj_cone__num_00__explicit_distance__closer,name_0__obj_cone__num_00__explicit_distance__closer,name_0__obj_cone__num_00__unit_ft__explicit_distance__closer,unit_metres,unit_ft,same_numbers_and_outcome_not_converted_physical_distance
name_0__obj_cone__num_00__explicit_distance__farther,name_0__obj_cone__num_00__explicit_distance__farther,name_0__obj_cone__num_00__unit_ft__explicit_distance__farther,unit_metres,unit_ft,same_numbers_and_outcome_not_converted_physical_distance
name_0__obj_cone__num_00__explicit_distance__unchanged,name_0__obj_cone__num_00__explicit_distance__unchanged,name_0__obj_cone__num_00__unit_ft__explicit_distance__unchanged,unit_metres,unit_ft,same_numbers_and_outcome_not_converted_physical_distance
name_0__obj_cone__num_00__explicit_distance__closer__expanded,name_0__obj_cone__num_00__explicit_distance__closer__expanded,name_0__obj_cone__num_00__unit_ft__explicit_distance__closer__expanded,unit_metres,unit_ft,same_numbers_and_outcome_not_converted_physical_distance
name_0__obj_cone__num_00__explicit_distance__farther__expanded,name_0__obj_cone__num_00__explicit_distance__farther__expanded,name_0__obj_cone__num_00__unit_ft__explicit_distance__farther__expanded,unit_metres,unit_ft,same_numbers_and_outcome_not_converted_physical_distance
name_0__obj_cone__num_00__explicit_distance__unchanged__expanded,name_0__obj_cone__num_00__explicit_distance__unchanged__expanded,name_0__obj_cone__num_00__unit_ft__explicit_distance__unchanged__expanded,unit_metres,unit_ft,same_numbers_and_outcome_not_converted_physical_distance
name_0__obj_cone__num_00__movement_description__closer__compact,name_0__obj_cone__num_00__movement_description__closer__compact,name_0__obj_cone__num_00__unit_ft__movement_description__closer__compact,unit_metres,unit_ft,same_numbers_and_outcome_not_converted_physical_distance
name_0__obj_cone__num_00__movement_description__farther__compact,name_0__obj_cone__num_00__movement_description__farther__compact,name_0__obj_cone__num_00__unit_ft__movement_description__farther__compact,unit_metres,unit_ft,same_numbers_and_outcome_not_converted_physical_distance
name_0__obj_cone__num_00__movement_description__closer,name_0__obj_cone__num_00__movement_description__closer,name_0__obj_cone__num_00__unit_ft__movement_description__closer,unit_metres,unit_ft,same_numbers_and_outcome_not_converted_physical_distance
name_0__obj_cone__num_00__movement_description__farther,name_0__obj_cone__num_00__movement_description__farther,name_0__obj_cone__num_00__unit_ft__movement_description__farther,unit_metres,unit_ft,same_numbers_and_outcome_not_converted_physical_distance
name_0__obj_cone__num_00__movement_description__closer__expanded,name_0__obj_cone__num_00__movement_description__closer__expanded,name_0__obj_cone__num_00__unit_ft__movement_description__closer__expanded,unit_metres,unit_ft,same_numbers_and_outcome_not_converted_physical_distance
name_0__obj_cone__num_00__movement_description__farther__expanded,name_0__obj_cone__num_00__movement_description__farther__expanded,name_0__obj_cone__num_00__unit_ft__movement_description__farther__expanded,unit_metres,unit_ft,same_numbers_and_outcome_not_converted_physical_distance
name_0__obj_cone__num_00__orientation_control__unchanged__compact,name_0__obj_cone__num_00__orientation_control__unchanged__compact,name_0__obj_cone__num_00__unit_ft__orientation_control__unchanged__compact,unit_metres,unit_ft,same_numbers_and_outcome_not_converted_physical_distance
name_0__obj_cone__num_00__orientation_control__unchanged,name_0__obj_cone__num_00__orientation_control__unchanged,name_0__obj_cone__num_00__unit_ft__orientation_control__unchanged,unit_metres,unit_ft,same_numbers_and_outcome_not_converted_physical_distance
name_0__obj_cone__num_00__orientation_control__unchanged__expanded,name_0__obj_cone__num_00__orientation_control__unchanged__expanded,name_0__obj_cone__num_00__unit_ft__orientation_control__unchanged__expanded,unit_metres,unit_ft,same_numbers_and_outcome_not_converted_physical_distance
name_0__obj_cone__num_01__explicit_distance__closer__compact,name_0__obj_cone__num_01__explicit_distance__closer__compact,name_0__obj_cone__num_01__unit_ft__explicit_distance__closer__compact,unit_metres,unit_ft,same_numbers_and_outcome_not_converted_physical_distance
name_0__obj_cone__num_01__explicit_distance__farther__compact,name_0__obj_cone__num_01__explicit_distance__farther__compact,name_0__obj_cone__num_01__unit_ft__explicit_distance__farther__compact,unit_metres,unit_ft,same_numbers_and_outcome_not_converted_physical_distance
name_0__obj_cone__num_01__explicit_distance__unchanged__compact,name_0__obj_cone__num_01__explicit_distance__unchanged__compact,name_0__obj_cone__num_01__unit_ft__explicit_distance__unchanged__compact,unit_metres,unit_ft,same_numbers_and_outcome_not_converted_physical_distance
