component,reference_probe_id,variant_probe_id,reference_value,variant_value
name_id,person_gym__name_0__obj_ball__baseline,person_gym__name_1__obj_ball__baseline,name_0,name_1
name_id,person_gym__name_0__obj_ball__baseline,person_gym__name_2__obj_ball__baseline,name_0,name_2
name_id,person_gym__name_0__obj_ball__baseline,person_gym__name_3__obj_ball__baseline,name_0,name_3
name_id,person_gym__name_0__obj_ball__phrase_alternate,person_gym__name_1__obj_ball__phrase_alternate,name_0,name_1
name_id,person_gym__name_0__obj_ball__phrase_alternate,person_gym__name_2__obj_ball__phrase_alternate,name_0,name_2
name_id,person_gym__name_0__obj_ball__phrase_alternate,person_gym__name_3__obj_ball__phrase_alternate,name_0,name_3
name_id,person_gym__name_0__obj_ball__word_beside,person_gym__name_1__obj_ball__word_beside,name_0,name_1
name_id,person_gym__name_0__obj_ball__word_beside,person_gym__name_2__obj_ball__word_beside,name_0,name_2
name_id,person_gym__name_0__obj_ball__word_beside,person_gym__name_3__obj_ball__word_beside,name_0,name_3
name_id,person_gym__name_0__obj_ball__word_alongside,person_gym__name_1__obj_ball__word_alongside,name_0,name_1
name_id,person_gym__name_0__obj_ball__word_alongside,person_gym__name_2__obj_ball__word_alongside,name_0,name_2
name_id,person_gym__name_0__obj_ball__word_alongside,person_gym__name_3__obj_ball__word_alongside,name_0,name_3
name_id,person_gym__name_0__obj_ball__word_near,person_gym__name_1__obj_ball__word_near,name_0,name_1
name_id,person_gym__name_0__obj_ball__word_near,person_gym__name_2__obj_ball__word_near,name_0,name_2
name_id,person_gym__name_0__obj_ball__word_near,person_gym__name_3__obj_ball__word_near,name_0,name_3
name_id,person_gym__name_0__obj_ball__reference_reversed,person_gym__name_1__obj_ball__reference_reversed,name_0,name_1
name_id,person_gym__name_0__obj_ball__reference_reversed,person_gym__name_2__obj_ball__reference_reversed,name_0,name_2
name_id,person_gym__name_0__obj_ball__reference_reversed,person_gym__name_3__obj_ball__reference_reversed,name_0,name_3
name_id,person_gym__name_0__obj_ball__negate_close,person_gym__name_1__obj_ball__negate_close,name_0,name_1
name_id,person_gym__name_0__obj_ball__negate_close,person_gym__name_2__obj_ball__negate_close,name_0,name_2
name_id,person_gym__name_0__obj_ball__negate_close,person_gym__name_3__obj_ball__negate_close,name_0,name_3
name_id,person_gym__name_0__obj_ball__negate_far,person_gym__name_1__obj_ball__negate_far,name_0,name_1
name_id,person_gym__name_0__obj_ball__negate_far,person_gym__name_2__obj_ball__negate_far,name_0,name_2
name_id,person_gym__name_0__obj_ball__negate_far,person_gym__name_3__obj_ball__negate_far,name_0,name_3
name_id,person_gym__name_0__obj_ball__both_negated,person_gym__name_1__obj_ball__both_negated,name_0,name_1
name_id,person_gym__name_0__obj_ball__both_negated,person_gym__name_2__obj_ball__both_negated,name_0,name_2
name_id,person_gym__name_0__obj_ball__both_negated,person_gym__name_3__obj_ball__both_negated,name_0,name_3
name_id,person_gym__name_0__obj_bag__baseline,person_gym__name_1__obj_bag__baseline,name_0,name_1
name_id,person_gym__name_0__obj_bag__baseline,person_gym__name_2__obj_bag__baseline,name_0,name_2
name_id,person_gym__name_0__obj_bag__baseline,person_gym__name_3__obj_bag__baseline,name_0,name_3
name_id,person_gym__name_0__obj_bag__phrase_alternate,person_gym__name_1__obj_bag__phrase_alternate,name_0,name_1
name_id,person_gym__name_0__obj_bag__phrase_alternate,person_gym__name_2__obj_bag__phrase_alternate,name_0,name_2
name_id,person_gym__name_0__obj_bag__phrase_alternate,person_gym__name_3__obj_bag__phrase_alternate,name_0,name_3
name_id,person_gym__name_0__obj_bag__word_beside,person_gym__name_1__obj_bag__word_beside,name_0,name_1
name_id,person_gym__name_0__obj_bag__word_beside,person_gym__name_2__obj_bag__word_beside,name_0,name_2
name_id,person_gym__name_0__obj_bag__word_beside,person_gym__name_3__obj_bag__word_beside,name_0,name_3
name_id,person_gym__name_0__obj_bag__word_alongside,person_gym__name_1__obj_bag__word_alongside,name_0,name_1
name_id,person_gym__name_0__obj_bag__word_alongside,person_gym__name_2__obj_bag__word_alongside,name_0,name_2
name_id,person_gym__name_0__obj_bag__word_alongside,person_gym__name_3__obj_bag__word_alongside,name_0,name_3
name_id,person_gym__name_0__obj_bag__word_near,person_gym__name_1__obj_bag__word_near,name_0,name_1
name_id,person_gym__name_0__obj_bag__word_near,person_gym__name_2__obj_bag__word_near,name_0,name_2
name_id,person_gym__name_0__obj_bag__word_near,person_gym__name_3__obj_bag__word_near,name_0,name_3
name_id,person_gym__name_0__obj_bag__reference_reversed,person_gym__name_1__obj_bag__reference_reversed,name_0,name_1
name_id,person_gym__name_0__obj_bag__reference_reversed,person_gym__name_2__obj_bag__reference_reversed,name_0,name_2
name_id,person_gym__name_0__obj_bag__reference_reversed,person_gym__name_3__obj_bag__reference_reversed,name_0,name_3
name_id,person_gym__name_0__obj_bag__negate_close,person_gym__name_1__obj_bag__negate_close,name_0,name_1
name_id,person_gym__name_0__obj_bag__negate_close,person_gym__name_2__obj_bag__negate_close,name_0,name_2
name_id,person_gym__name_0__obj_bag__negate_close,person_gym__name_3__obj_bag__negate_close,name_0,name_3
name_id,person_gym__name_0__obj_bag__negate_far,person_gym__name_1__obj_bag__negate_far,name_0,name_1
name_id,person_gym__name_0__obj_bag__negate_far,person_gym__name_2__obj_bag__negate_far,name_0,name_2
name_id,person_gym__name_0__obj_bag__negate_far,person_gym__name_3__obj_bag__negate_far,name_0,name_3
name_id,person_gym__name_0__obj_bag__both_negated,person_gym__name_1__obj_bag__both_negated,name_0,name_1
name_id,person_gym__name_0__obj_bag__both_negated,person_gym__name_2__obj_bag__both_negated,name_0,name_2
name_id,person_gym__name_0__obj_bag__both_negated,person_gym__name_3__obj_bag__both_negated,name_0,name_3
name_id,person_dining__name_0__obj_book__baseline,person_dining__name_1__obj_book__baseline,name_0,name_1
name_id,person_dining__name_0__obj_book__baseline,person_dining__name_2__obj_book__baseline,name_0,name_2
name_id,person_dining__name_0__obj_book__baseline,person_dining__name_3__obj_book__baseline,name_0,name_3
name_id,person_dining__name_0__obj_book__phrase_alternate,person_dining__name_1__obj_book__phrase_alternate,name_0,name_1
name_id,person_dining__name_0__obj_book__phrase_alternate,person_dining__name_2__obj_book__phrase_alternate,name_0,name_2
name_id,person_dining__name_0__obj_book__phrase_alternate,person_dining__name_3__obj_book__phrase_alternate,name_0,name_3
