probe_id,probe_type,probe_version,matched_group_id,length_match_id,condition_id,template_id,length_band,evidence_type,numeric_information,trajectory_constraint_id,object_stationary,passes_object,reference_stationarity,no_overshoot_status,interpretation_basis,template_family,name_id,name,object_id,object,outcome,direction,correct_target,Context,Target1,Target2,Context_word_count,Context_char_count,Context_token_count,Target1_word_count,Target1_char_count,Target1_token_count,Target1_conditional_token_count,Target2_word_count,Target2_char_count,Target2_token_count,Target2_conditional_token_count,probe_row_index
non_numeric_v1_1__name_0__obj_cone__compact__closer,closer_farther_non_numeric_movement,1.3,non_numeric_v1_1__name_0__obj_cone__compact,non_numeric_v1_1__name_0__obj_cone__closer,non_numeric_movement,aligned_compact,compact,directed_movement_inference,absent,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_cone,cone,closer,toward,Target1,"Starting some distance from a stationary cone, Maya walked some distance directly toward it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,19,123,21,9,43,11,10,9,46,11,10,0
non_numeric_v1_1__name_0__obj_cone__compact__farther,closer_farther_non_numeric_movement,1.3,non_numeric_v1_1__name_0__obj_cone__compact,non_numeric_v1_1__name_0__obj_cone__farther,non_numeric_movement,aligned_compact,compact,directed_movement_inference,absent,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_cone,cone,farther,away from,Target2,"Starting some distance from a stationary cone, Maya walked some distance directly away from it without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,20,126,22,9,43,11,10,9,46,11,10,1
non_numeric_v1_1__name_0__obj_cone__standard__closer,closer_farther_non_numeric_movement,1.3,non_numeric_v1_1__name_0__obj_cone__standard,non_numeric_v1_1__name_0__obj_cone__closer,non_numeric_movement,aligned_standard,standard,directed_movement_inference,absent,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_cone,cone,closer,toward,Target1,Maya was some distance from a stationary cone. Maya walked some distance directly toward the cone without reaching or passing it.,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,21,129,24,9,43,11,10,9,46,11,10,2
non_numeric_v1_1__name_0__obj_cone__standard__farther,closer_farther_non_numeric_movement,1.3,non_numeric_v1_1__name_0__obj_cone__standard,non_numeric_v1_1__name_0__obj_cone__farther,non_numeric_movement,aligned_standard,standard,directed_movement_inference,absent,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_cone,cone,farther,away from,Target2,Maya was some distance from a stationary cone. Maya walked some distance directly away from the cone without reaching or passing it.,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,22,132,25,9,43,11,10,9,46,11,10,3
non_numeric_v1_1__name_0__obj_cone__expanded__closer,closer_farther_non_numeric_movement,1.3,non_numeric_v1_1__name_0__obj_cone__expanded,non_numeric_v1_1__name_0__obj_cone__closer,non_numeric_movement,aligned_expanded,expanded,directed_movement_inference,absent,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_cone,cone,closer,toward,Target1,"Initially, Maya was some distance from a cone that remained stationary. From that starting position, Maya walked some distance directly toward the cone without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,28,183,32,9,43,11,10,9,46,11,10,4
non_numeric_v1_1__name_0__obj_cone__expanded__farther,closer_farther_non_numeric_movement,1.3,non_numeric_v1_1__name_0__obj_cone__expanded,non_numeric_v1_1__name_0__obj_cone__farther,non_numeric_movement,aligned_expanded,expanded,directed_movement_inference,absent,without_reaching_or_passing,True,False,explicit,explicit,explicit_trajectory_constraints,aligned_distance_phrases,name_0,Maya,obj_cone,cone,farther,away from,Target2,"Initially, Maya was some distance from a cone that remained stationary. From that starting position, Maya walked some distance directly away from the cone without reaching or passing it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,29,186,33,9,43,11,10,9,46,11,10,5
non_numeric_v1_2__name_0__obj_cone__minimal_unqualified__closer,closer_farther_non_numeric_movement,1.3,non_numeric_v1_2__name_0__obj_cone__minimal_unqualified,,minimal_unqualified,minimal_unqualified,minimal,directed_movement_inference,absent,not_stated,,,assumed,assumed,ordinary_movement_reading_with_unstated_assumptions,minimal_movement,name_0,Maya,obj_cone,cone,closer,toward,Target1,Maya walked toward the cone.,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,5,28,7,9,43,11,10,9,46,11,10,120
non_numeric_v1_2__name_0__obj_cone__minimal_unqualified__farther,closer_farther_non_numeric_movement,1.3,non_numeric_v1_2__name_0__obj_cone__minimal_unqualified,,minimal_unqualified,minimal_unqualified,minimal,directed_movement_inference,absent,not_stated,,,assumed,assumed,ordinary_movement_reading_with_unstated_assumptions,minimal_movement,name_0,Maya,obj_cone,cone,farther,away from,Target2,Maya walked away from the cone.,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,6,31,8,9,43,11,10,9,46,11,10,121
non_numeric_v1_2__name_0__obj_cone__minimal_stationary__closer,closer_farther_non_numeric_movement,1.3,non_numeric_v1_2__name_0__obj_cone__minimal_stationary,,minimal_stationary,minimal_stationary,minimal_stationary,directed_movement_inference,absent,not_stated,True,,explicit,assumed,ordinary_movement_reading_with_unstated_assumptions,minimal_movement,name_0,Maya,obj_cone,cone,closer,toward,Target1,Maya walked toward the stationary cone.,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,6,39,8,9,43,11,10,9,46,11,10,122
non_numeric_v1_2__name_0__obj_cone__minimal_stationary__farther,closer_farther_non_numeric_movement,1.3,non_numeric_v1_2__name_0__obj_cone__minimal_stationary,,minimal_stationary,minimal_stationary,minimal_stationary,directed_movement_inference,absent,not_stated,True,,explicit,assumed,ordinary_movement_reading_with_unstated_assumptions,minimal_movement,name_0,Maya,obj_cone,cone,farther,away from,Target2,Maya walked away from the stationary cone.,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,7,42,9,9,43,11,10,9,46,11,10,123
