matched_group_id,scenario_id,scenario_family,setting_id,setting,entity_type,name_id,name,object_id,object,anchor_object_id,anchor_object,Domain,ConceptA,ConceptB,Target1,Target2,reference_order_id,target_negation_pattern_id,distance_standard_id,probe_id,probe_version,probe_type,original_baseline_probe_id,context_form_id,reference_form_id,condition_id,body_comparison_available,body_reference_type,body_reference,evidence_type,ContextType,ContextDiff,TargetDiff,prefix_text,close_location_sentence,far_location_sentence,Context1,Context2,correct_target_for_context1,correct_target_for_context2,close_evidence_type,far_evidence_type,Context1_word_count,Context1_char_count,Context2_word_count,Context2_char_count,Target1_word_count,Target1_char_count,Target2_word_count,Target2_char_count,probe_row_index
person_gym__name_0__obj_ball,person_gym,room_separation,person_gym,long gym,person_object,name_0,Maya,obj_ball,ball,,,spatial-relations,close,far,The ball is close to Maya.,The ball is far from Maya.,target_first,positive,ordinary_physical_separation,context_diagnostic__person_gym__name_0__obj_ball__placement__compact,1.0,close_far_context_and_body_reference,person_gym__name_0__obj_ball__baseline,compact,placement,placement__compact,True,worn_item,shoes,physical_arrangement,indirect,location phrase contrast,concept swap,,The ball rests immediately beside Maya's shoes.,The ball rests across the full length of a long gym from Maya.,The ball rests immediately beside Maya's shoes.,The ball rests across the full length of a long gym from Maya.,Target1,Target2,physical_arrangement,physical_arrangement,8,47,13,62,6,26,6,26,0
person_gym__name_0__obj_ball,person_gym,room_separation,person_gym,long gym,person_object,name_0,Maya,obj_ball,ball,,,spatial-relations,close,far,The ball is close to Maya.,The ball is far from Maya.,target_first,positive,ordinary_physical_separation,context_diagnostic__person_gym__name_0__obj_ball__placement__setting,1.0,close_far_context_and_body_reference,person_gym__name_0__obj_ball__baseline,setting,placement,placement__setting,True,worn_item,shoes,physical_arrangement,indirect,location phrase contrast,concept swap,Maya stands in a gym.,The ball rests immediately beside Maya's shoes.,The ball rests across the full length of a long gym from Maya.,Maya stands in a gym. The ball rests immediately beside Maya's shoes.,Maya stands in a gym. The ball rests across the full length of a long gym from Maya.,Target1,Target2,physical_arrangement,physical_arrangement,13,69,18,84,6,26,6,26,1
person_gym__name_0__obj_ball,person_gym,room_separation,person_gym,long gym,person_object,name_0,Maya,obj_ball,ball,,,spatial-relations,close,far,The ball is close to Maya.,The ball is far from Maya.,target_first,positive,ordinary_physical_separation,context_diagnostic__person_gym__name_0__obj_ball__placement__endpoint,1.0,close_far_context_and_body_reference,person_gym__name_0__obj_ball__baseline,endpoint,placement,placement__endpoint,True,worn_item,shoes,physical_arrangement,indirect,location phrase contrast,concept swap,Maya stands at one end of a long gym.,The ball rests immediately beside Maya's shoes.,The ball rests across the full length of a long gym from Maya.,Maya stands at one end of a long gym. The ball rests immediately beside Maya's shoes.,Maya stands at one end of a long gym. The ball rests across the full length of a long gym from Maya.,Target1,Target2,physical_arrangement,physical_arrangement,17,85,22,100,6,26,6,26,2
person_gym__name_0__obj_ball,person_gym,room_separation,person_gym,long gym,person_object,name_0,Maya,obj_ball,ball,,,spatial-relations,close,far,The ball is close to Maya.,The ball is far from Maya.,target_first,positive,ordinary_physical_separation,context_diagnostic__person_gym__name_0__obj_ball__person_direct__compact,1.0,close_far_context_and_body_reference,person_gym__name_0__obj_ball__baseline,compact,person_direct,person_direct__compact,True,,,proximity_word,mixed,location phrase contrast,concept swap,,The ball rests immediately beside Maya.,The ball rests across the full length of a long gym from Maya.,The ball rests immediately beside Maya.,The ball rests across the full length of a long gym from Maya.,Target1,Target2,proximity_word,physical_arrangement,6,39,13,62,6,26,6,26,3
person_gym__name_0__obj_ball,person_gym,room_separation,person_gym,long gym,person_object,name_0,Maya,obj_ball,ball,,,spatial-relations,close,far,The ball is close to Maya.,The ball is far from Maya.,target_first,positive,ordinary_physical_separation,context_diagnostic__person_gym__name_0__obj_ball__person_direct__setting,1.0,close_far_context_and_body_reference,person_gym__name_0__obj_ball__baseline,setting,person_direct,person_direct__setting,True,,,proximity_word,mixed,location phrase contrast,concept swap,Maya stands in a gym.,The ball rests immediately beside Maya.,The ball rests across the full length of a long gym from Maya.,Maya stands in a gym. The ball rests immediately beside Maya.,Maya stands in a gym. The ball rests across the full length of a long gym from Maya.,Target1,Target2,proximity_word,physical_arrangement,11,61,18,84,6,26,6,26,4
person_gym__name_0__obj_ball,person_gym,room_separation,person_gym,long gym,person_object,name_0,Maya,obj_ball,ball,,,spatial-relations,close,far,The ball is close to Maya.,The ball is far from Maya.,target_first,positive,ordinary_physical_separation,context_diagnostic__person_gym__name_0__obj_ball__person_direct__endpoint,1.0,close_far_context_and_body_reference,person_gym__name_0__obj_ball__baseline,endpoint,person_direct,person_direct__endpoint,True,,,proximity_word,mixed,location phrase contrast,concept swap,Maya stands at one end of a long gym.,The ball rests immediately beside Maya.,The ball rests across the full length of a long gym from Maya.,Maya stands at one end of a long gym. The ball rests immediately beside Maya.,Maya stands at one end of a long gym. The ball rests across the full length of a long gym from Maya.,Target1,Target2,proximity_word,physical_arrangement,15,77,22,100,6,26,6,26,5
person_dining__name_0__obj_book,person_dining,room_separation,person_dining,large dining room,person_object,name_0,Maya,obj_book,book,,,spatial-relations,close,far,The book is close to Maya.,The book is far from Maya.,target_first,positive,ordinary_physical_separation,context_diagnostic__person_dining__name_0__obj_book__placement__compact,1.0,close_far_context_and_body_reference,person_dining__name_0__obj_book__baseline,compact,placement,placement__compact,False,,,physical_arrangement,indirect,location phrase contrast,concept swap,,The book rests on the floor between the legs of the chair where Maya sits.,The book rests across the full length of a large dining room from Maya.,The book rests on the floor between the legs of the chair where Maya sits.,The book rests across the full length of a large dining room from Maya.,Target1,Target2,physical_arrangement,physical_arrangement,15,74,14,71,6,26,6,26,48
person_dining__name_0__obj_book,person_dining,room_separation,person_dining,large dining room,person_object,name_0,Maya,obj_book,book,,,spatial-relations,close,far,The book is close to Maya.,The book is far from Maya.,target_first,positive,ordinary_physical_separation,context_diagnostic__person_dining__name_0__obj_book__placement__setting,1.0,close_far_context_and_body_reference,person_dining__name_0__obj_book__baseline,setting,placement,placement__setting,False,,,physical_arrangement,indirect,location phrase contrast,concept swap,Maya sits on a chair in a dining room.,The book rests on the floor between the legs of the chair where Maya sits.,The book rests across the full length of a large dining room from Maya.,Maya sits on a chair in a dining room. The book rests on the floor between the legs of the chair where Maya sits.,Maya sits on a chair in a dining room. The book rests across the full length of a large dining room from Maya.,Target1,Target2,physical_arrangement,physical_arrangement,24,113,23,110,6,26,6,26,49
person_dining__name_0__obj_book,person_dining,room_separation,person_dining,large dining room,person_object,name_0,Maya,obj_book,book,,,spatial-relations,close,far,The book is close to Maya.,The book is far from Maya.,target_first,positive,ordinary_physical_separation,context_diagnostic__person_dining__name_0__obj_book__placement__endpoint,1.0,close_far_context_and_body_reference,person_dining__name_0__obj_book__baseline,endpoint,placement,placement__endpoint,False,,,physical_arrangement,indirect,location phrase contrast,concept swap,Maya sits on a chair at one end of a large dining room.,The book rests on the floor between the legs of the chair where Maya sits.,The book rests across the full length of a large dining room from Maya.,Maya sits on a chair at one end of a large dining room. The book rests on the floor between the legs of the chair where Maya sits.,Maya sits on a chair at one end of a large dining room. The book rests across the full length of a large dining room from Maya.,Target1,Target2,physical_arrangement,physical_arrangement,28,130,27,127,6,26,6,26,50
person_field__name_0__obj_ball,person_field,endpoints,person_field,large playing field,person_object,name_0,Maya,obj_ball,ball,,,spatial-relations,close,far,The ball is close to Maya.,The ball is far from Maya.,target_first,positive,ordinary_physical_separation,context_diagnostic__person_field__name_0__obj_ball__placement__compact,1.0,close_far_context_and_body_reference,person_field__name_0__obj_ball__baseline,compact,placement,placement__compact,True,body_part,feet,physical_arrangement,indirect,location phrase contrast,concept swap,,The ball rests immediately beside Maya's feet.,The entire length of a large playing field separates the ball from Maya.,The ball rests immediately beside Maya's feet.,The entire length of a large playing field separates the ball from Maya.,Target1,Target2,physical_arrangement,physical_arrangement,8,46,13,72,6,26,6,26,72
