probe_id,probe_version,scene_id,scene_role,name_id,object_id,condition_id,context_structure,context_entity_order,target_order,reverses_context_entity_order,evidence_type,setting,assumption,include_in_primary_scene_summary,gold_requires_unstated_worn_shoes,Context1,Context2,Target1,Target2,Context1_word_count,Context1_token_count,Context2_word_count,Context2_token_count,Target1_word_count,Target1_token_count,Target2_word_count,Target2_token_count
between_feet__name_0__obj_ball__physical_placement__person_first,1.0,between_feet,main,name_0,obj_ball,physical_placement,object_subject,object_first,person_first,True,body_part,gym,Body-part location anchors the object to the person.,True,False,The ball is between Maya's feet.,The ball is across the full length of a long gym from Maya.,Maya is close to the ball.,Maya is far from the ball.,7,8,13,14,6,8,6,8
between_feet__name_0__obj_ball__physical_placement__object_first,1.0,between_feet,main,name_0,obj_ball,physical_placement,object_subject,object_first,object_first,False,body_part,gym,Body-part location anchors the object to the person.,True,False,The ball is between Maya's feet.,The ball is across the full length of a long gym from Maya.,The ball is close to Maya.,The ball is far from Maya.,7,8,13,14,6,7,6,7
between_feet__name_0__obj_ball__physical_placement_fronted__person_first,1.0,between_feet,main,name_0,obj_ball,physical_placement_fronted,fronted_location,person_first,person_first,False,body_part,gym,Body-part location anchors the object to the person.,True,False,Between Maya's feet is the ball.,Across the full length of a long gym from Maya is the ball.,Maya is close to the ball.,Maya is far from the ball.,7,8,13,14,6,8,6,8
between_feet__name_0__obj_ball__physical_placement_fronted__object_first,1.0,between_feet,main,name_0,obj_ball,physical_placement_fronted,fronted_location,person_first,object_first,True,body_part,gym,Body-part location anchors the object to the person.,True,False,Between Maya's feet is the ball.,Across the full length of a long gym from Maya is the ball.,The ball is close to Maya.,The ball is far from Maya.,7,8,13,14,6,7,6,7
between_feet__name_0__obj_ball__physical_placement_person_subject__person_first,1.0,between_feet,main,name_0,obj_ball,physical_placement_person_subject,person_subject,person_first,person_first,False,body_part,gym,Body-part location anchors the object to the person.,True,False,Maya has the ball between their feet.,Maya is across the full length of a long gym from the ball.,Maya is close to the ball.,Maya is far from the ball.,7,9,13,15,6,8,6,8
between_feet__name_0__obj_ball__physical_placement_person_subject__object_first,1.0,between_feet,main,name_0,obj_ball,physical_placement_person_subject,person_subject,person_first,object_first,True,body_part,gym,Body-part location anchors the object to the person.,True,False,Maya has the ball between their feet.,Maya is across the full length of a long gym from the ball.,The ball is close to Maya.,The ball is far from Maya.,7,9,13,15,6,7,6,7
in_hand__name_0__obj_ball__physical_placement__person_first,1.0,in_hand,main,name_0,obj_ball,physical_placement,object_subject,object_first,person_first,True,held_object,courtyard,The object is held in the person's hand.,True,False,The ball is in Maya's hand.,The ball is across the full width of a large courtyard from Maya.,Maya is close to the ball.,Maya is far from the ball.,7,8,13,14,6,8,6,8
in_hand__name_0__obj_ball__physical_placement__object_first,1.0,in_hand,main,name_0,obj_ball,physical_placement,object_subject,object_first,object_first,False,held_object,courtyard,The object is held in the person's hand.,True,False,The ball is in Maya's hand.,The ball is across the full width of a large courtyard from Maya.,The ball is close to Maya.,The ball is far from Maya.,7,8,13,14,6,7,6,7
in_hand__name_0__obj_ball__physical_placement_fronted__person_first,1.0,in_hand,main,name_0,obj_ball,physical_placement_fronted,fronted_location,person_first,person_first,False,held_object,courtyard,The object is held in the person's hand.,True,False,In Maya's hand is the ball.,Across the full width of a large courtyard from Maya is the ball.,Maya is close to the ball.,Maya is far from the ball.,7,8,13,14,6,8,6,8
in_hand__name_0__obj_ball__physical_placement_fronted__object_first,1.0,in_hand,main,name_0,obj_ball,physical_placement_fronted,fronted_location,person_first,object_first,True,held_object,courtyard,The object is held in the person's hand.,True,False,In Maya's hand is the ball.,Across the full width of a large courtyard from Maya is the ball.,The ball is close to Maya.,The ball is far from Maya.,7,8,13,14,6,7,6,7
in_hand__name_0__obj_ball__physical_placement_person_subject__person_first,1.0,in_hand,main,name_0,obj_ball,physical_placement_person_subject,person_subject,person_first,person_first,False,held_object,courtyard,The object is held in the person's hand.,True,False,Maya holds the ball in their hand.,Maya is across the full width of a large courtyard from the ball.,Maya is close to the ball.,Maya is far from the ball.,7,9,13,15,6,8,6,8
in_hand__name_0__obj_ball__physical_placement_person_subject__object_first,1.0,in_hand,main,name_0,obj_ball,physical_placement_person_subject,person_subject,person_first,object_first,True,held_object,courtyard,The object is held in the person's hand.,True,False,Maya holds the ball in their hand.,Maya is across the full width of a large courtyard from the ball.,The ball is close to Maya.,The ball is far from Maya.,7,9,13,15,6,7,6,7
on_lap__name_0__obj_book__physical_placement__person_first,1.0,on_lap,main,name_0,obj_book,physical_placement,object_subject,object_first,person_first,True,body_part,auditorium,The object rests on the person's lap.,True,False,The book is on Maya's lap.,The book is across the full depth of a large auditorium from Maya.,Maya is close to the book.,Maya is far from the book.,7,8,13,15,6,8,6,8
on_lap__name_0__obj_book__physical_placement__object_first,1.0,on_lap,main,name_0,obj_book,physical_placement,object_subject,object_first,object_first,False,body_part,auditorium,The object rests on the person's lap.,True,False,The book is on Maya's lap.,The book is across the full depth of a large auditorium from Maya.,The book is close to Maya.,The book is far from Maya.,7,8,13,15,6,7,6,7
on_lap__name_0__obj_book__physical_placement_fronted__person_first,1.0,on_lap,main,name_0,obj_book,physical_placement_fronted,fronted_location,person_first,person_first,False,body_part,auditorium,The object rests on the person's lap.,True,False,On Maya's lap is the book.,Across the full depth of a large auditorium from Maya is the book.,Maya is close to the book.,Maya is far from the book.,7,8,13,15,6,8,6,8
on_lap__name_0__obj_book__physical_placement_fronted__object_first,1.0,on_lap,main,name_0,obj_book,physical_placement_fronted,fronted_location,person_first,object_first,True,body_part,auditorium,The object rests on the person's lap.,True,False,On Maya's lap is the book.,Across the full depth of a large auditorium from Maya is the book.,The book is close to Maya.,The book is far from Maya.,7,8,13,15,6,7,6,7
on_lap__name_0__obj_book__physical_placement_person_subject__person_first,1.0,on_lap,main,name_0,obj_book,physical_placement_person_subject,person_subject,person_first,person_first,False,body_part,auditorium,The object rests on the person's lap.,True,False,Maya has the book on their lap.,Maya is across the full depth of a large auditorium from the book.,Maya is close to the book.,Maya is far from the book.,7,9,13,16,6,8,6,8
on_lap__name_0__obj_book__physical_placement_person_subject__object_first,1.0,on_lap,main,name_0,obj_book,physical_placement_person_subject,person_subject,person_first,object_first,True,body_part,auditorium,The object rests on the person's lap.,True,False,Maya has the book on their lap.,Maya is across the full depth of a large auditorium from the book.,The book is close to Maya.,The book is far from Maya.,7,9,13,16,6,7,6,7
against_elbow__name_0__obj_ball__physical_placement__person_first,1.0,against_elbow,main,name_0,obj_ball,physical_placement,object_subject,object_first,person_first,True,body_contact,workshop,Against indicates contact with the person's elbow.,True,False,The ball is against Maya's elbow.,The ball is across the full length of a large workshop from Maya.,Maya is close to the ball.,Maya is far from the ball.,7,8,13,14,6,8,6,8
against_elbow__name_0__obj_ball__physical_placement__object_first,1.0,against_elbow,main,name_0,obj_ball,physical_placement,object_subject,object_first,object_first,False,body_contact,workshop,Against indicates contact with the person's elbow.,True,False,The ball is against Maya's elbow.,The ball is across the full length of a large workshop from Maya.,The ball is close to Maya.,The ball is far from Maya.,7,8,13,14,6,7,6,7
against_elbow__name_0__obj_ball__physical_placement_fronted__person_first,1.0,against_elbow,main,name_0,obj_ball,physical_placement_fronted,fronted_location,person_first,person_first,False,body_contact,workshop,Against indicates contact with the person's elbow.,True,False,Against Maya's elbow is the ball.,Across the full length of a large workshop from Maya is the ball.,Maya is close to the ball.,Maya is far from the ball.,7,8,13,14,6,8,6,8
against_elbow__name_0__obj_ball__physical_placement_fronted__object_first,1.0,against_elbow,main,name_0,obj_ball,physical_placement_fronted,fronted_location,person_first,object_first,True,body_contact,workshop,Against indicates contact with the person's elbow.,True,False,Against Maya's elbow is the ball.,Across the full length of a large workshop from Maya is the ball.,The ball is close to Maya.,The ball is far from Maya.,7,8,13,14,6,7,6,7
against_elbow__name_0__obj_ball__physical_placement_person_subject__person_first,1.0,against_elbow,main,name_0,obj_ball,physical_placement_person_subject,person_subject,person_first,person_first,False,body_contact,workshop,Against indicates contact with the person's elbow.,True,False,Maya has the ball against their elbow.,Maya is across the full length of a large workshop from the ball.,Maya is close to the ball.,Maya is far from the ball.,7,9,13,15,6,8,6,8
against_elbow__name_0__obj_ball__physical_placement_person_subject__object_first,1.0,against_elbow,main,name_0,obj_ball,physical_placement_person_subject,person_subject,person_first,object_first,True,body_contact,workshop,Against indicates contact with the person's elbow.,True,False,Maya has the ball against their elbow.,Maya is across the full length of a large workshop from the ball.,The ball is close to Maya.,The ball is far from Maya.,7,9,13,15,6,7,6,7
neighboring_seat__name_0__obj_bag__physical_placement__person_first,1.0,neighboring_seat,main,name_0,obj_bag,physical_placement,object_subject,object_first,person_first,True,adjacent_surface,waiting_room,The seat is immediately beside the person; this scene contains the proximity cue beside.,True,False,The bag is on the seat immediately beside Maya.,The bag is across the full width of a large waiting room from Maya.,Maya is close to the bag.,Maya is far from the bag.,9,10,14,15,6,8,6,8
neighboring_seat__name_0__obj_bag__physical_placement__object_first,1.0,neighboring_seat,main,name_0,obj_bag,physical_placement,object_subject,object_first,object_first,False,adjacent_surface,waiting_room,The seat is immediately beside the person; this scene contains the proximity cue beside.,True,False,The bag is on the seat immediately beside Maya.,The bag is across the full width of a large waiting room from Maya.,The bag is close to Maya.,The bag is far from Maya.,9,10,14,15,6,7,6,7
neighboring_seat__name_0__obj_bag__physical_placement_fronted__person_first,1.0,neighboring_seat,main,name_0,obj_bag,physical_placement_fronted,fronted_location,person_first,person_first,False,adjacent_surface,waiting_room,The seat is immediately beside the person; this scene contains the proximity cue beside.,True,False,On the seat immediately beside Maya is the bag.,Across the full width of a large waiting room from Maya is the bag.,Maya is close to the bag.,Maya is far from the bag.,9,10,14,15,6,8,6,8
neighboring_seat__name_0__obj_bag__physical_placement_fronted__object_first,1.0,neighboring_seat,main,name_0,obj_bag,physical_placement_fronted,fronted_location,person_first,object_first,True,adjacent_surface,waiting_room,The seat is immediately beside the person; this scene contains the proximity cue beside.,True,False,On the seat immediately beside Maya is the bag.,Across the full width of a large waiting room from Maya is the bag.,The bag is close to Maya.,The bag is far from Maya.,9,10,14,15,6,7,6,7
neighboring_seat__name_0__obj_bag__physical_placement_person_subject__person_first,1.0,neighboring_seat,main,name_0,obj_bag,physical_placement_person_subject,person_subject,person_first,person_first,False,adjacent_surface,waiting_room,The seat is immediately beside the person; this scene contains the proximity cue beside.,True,False,Maya sits immediately beside the seat holding the bag.,Maya is across the full width of a large waiting room from the bag.,Maya is close to the bag.,Maya is far from the bag.,9,11,14,16,6,8,6,8
neighboring_seat__name_0__obj_bag__physical_placement_person_subject__object_first,1.0,neighboring_seat,main,name_0,obj_bag,physical_placement_person_subject,person_subject,person_first,object_first,True,adjacent_surface,waiting_room,The seat is immediately beside the person; this scene contains the proximity cue beside.,True,False,Maya sits immediately beside the seat holding the bag.,Maya is across the full width of a large waiting room from the bag.,The bag is close to Maya.,The bag is far from Maya.,9,11,14,16,6,7,6,7
shared_floor_tile__name_0__obj_ball__physical_placement__person_first,1.0,shared_floor_tile,main,name_0,obj_ball,physical_placement,object_subject,object_first,person_first,True,shared_small_surface,hall,The small tile under the person's feet is their standing location.,True,False,The ball is on the small floor tile under Maya's feet.,The ball is across the full length of a large hall from Maya.,Maya is close to the ball.,Maya is far from the ball.,12,13,13,14,6,8,6,8
shared_floor_tile__name_0__obj_ball__physical_placement__object_first,1.0,shared_floor_tile,main,name_0,obj_ball,physical_placement,object_subject,object_first,object_first,False,shared_small_surface,hall,The small tile under the person's feet is their standing location.,True,False,The ball is on the small floor tile under Maya's feet.,The ball is across the full length of a large hall from Maya.,The ball is close to Maya.,The ball is far from Maya.,12,13,13,14,6,7,6,7
shared_floor_tile__name_0__obj_ball__physical_placement_fronted__person_first,1.0,shared_floor_tile,main,name_0,obj_ball,physical_placement_fronted,fronted_location,person_first,person_first,False,shared_small_surface,hall,The small tile under the person's feet is their standing location.,True,False,On the small floor tile under Maya's feet is the ball.,Across the full length of a large hall from Maya is the ball.,Maya is close to the ball.,Maya is far from the ball.,12,13,13,14,6,8,6,8
shared_floor_tile__name_0__obj_ball__physical_placement_fronted__object_first,1.0,shared_floor_tile,main,name_0,obj_ball,physical_placement_fronted,fronted_location,person_first,object_first,True,shared_small_surface,hall,The small tile under the person's feet is their standing location.,True,False,On the small floor tile under Maya's feet is the ball.,Across the full length of a large hall from Maya is the ball.,The ball is close to Maya.,The ball is far from Maya.,12,13,13,14,6,7,6,7
shared_floor_tile__name_0__obj_ball__physical_placement_person_subject__person_first,1.0,shared_floor_tile,main,name_0,obj_ball,physical_placement_person_subject,person_subject,person_first,person_first,False,shared_small_surface,hall,The small tile under the person's feet is their standing location.,True,False,Maya stands on the same small floor tile as the ball.,Maya is across the full length of a large hall from the ball.,Maya is close to the ball.,Maya is far from the ball.,11,13,13,15,6,8,6,8
shared_floor_tile__name_0__obj_ball__physical_placement_person_subject__object_first,1.0,shared_floor_tile,main,name_0,obj_ball,physical_placement_person_subject,person_subject,person_first,object_first,True,shared_small_surface,hall,The small tile under the person's feet is their standing location.,True,False,Maya stands on the same small floor tile as the ball.,Maya is across the full length of a large hall from the ball.,The ball is close to Maya.,The ball is far from Maya.,11,13,13,15,6,7,6,7
worn_jacket_pocket__name_0__obj_key__physical_placement__person_first,1.0,worn_jacket_pocket,main,name_0,obj_key,physical_placement,object_subject,object_first,person_first,True,explicit_worn_clothing,hallway,Wearing is stated explicitly; only pocket-sized objects are eligible.,True,False,The key is inside the pocket of the jacket Maya is wearing.,The key is across the full length of a long hallway from Maya.,Maya is close to the key.,Maya is far from the key.,12,13,13,14,6,8,6,8
worn_jacket_pocket__name_0__obj_key__physical_placement__object_first,1.0,worn_jacket_pocket,main,name_0,obj_key,physical_placement,object_subject,object_first,object_first,False,explicit_worn_clothing,hallway,Wearing is stated explicitly; only pocket-sized objects are eligible.,True,False,The key is inside the pocket of the jacket Maya is wearing.,The key is across the full length of a long hallway from Maya.,The key is close to Maya.,The key is far from Maya.,12,13,13,14,6,7,6,7
worn_jacket_pocket__name_0__obj_key__physical_placement_fronted__person_first,1.0,worn_jacket_pocket,main,name_0,obj_key,physical_placement_fronted,fronted_location,person_first,person_first,False,explicit_worn_clothing,hallway,Wearing is stated explicitly; only pocket-sized objects are eligible.,True,False,Inside the pocket of the jacket Maya is wearing is the key.,Across the full length of a long hallway from Maya is the key.,Maya is close to the key.,Maya is far from the key.,12,13,13,14,6,8,6,8
worn_jacket_pocket__name_0__obj_key__physical_placement_fronted__object_first,1.0,worn_jacket_pocket,main,name_0,obj_key,physical_placement_fronted,fronted_location,person_first,object_first,True,explicit_worn_clothing,hallway,Wearing is stated explicitly; only pocket-sized objects are eligible.,True,False,Inside the pocket of the jacket Maya is wearing is the key.,Across the full length of a long hallway from Maya is the key.,The key is close to Maya.,The key is far from Maya.,12,13,13,14,6,7,6,7
worn_jacket_pocket__name_0__obj_key__physical_placement_person_subject__person_first,1.0,worn_jacket_pocket,main,name_0,obj_key,physical_placement_person_subject,person_subject,person_first,person_first,False,explicit_worn_clothing,hallway,Wearing is stated explicitly; only pocket-sized objects are eligible.,True,False,Maya is wearing the jacket with the key inside its pocket.,Maya is across the full length of a long hallway from the key.,Maya is close to the key.,Maya is far from the key.,11,13,13,15,6,8,6,8
worn_jacket_pocket__name_0__obj_key__physical_placement_person_subject__object_first,1.0,worn_jacket_pocket,main,name_0,obj_key,physical_placement_person_subject,person_subject,person_first,object_first,True,explicit_worn_clothing,hallway,Wearing is stated explicitly; only pocket-sized objects are eligible.,True,False,Maya is wearing the jacket with the key inside its pocket.,Maya is across the full length of a long hallway from the key.,The key is close to Maya.,The key is far from Maya.,11,13,13,15,6,7,6,7
between_owned_shoes__name_0__obj_ball__physical_placement__person_first,1.0,between_owned_shoes,ambiguity_control,name_0,obj_ball,physical_placement,object_subject,object_first,person_first,True,owned_clothing_unanchored,gym,Close is the intended label only under an unstated worn-shoes assumption; ownership alone does not entail proximity to the person.,False,True,The ball is between Maya's shoes.,The ball is across the full length of a long gym from Maya.,Maya is close to the ball.,Maya is far from the ball.,7,8,13,14,6,8,6,8
between_owned_shoes__name_0__obj_ball__physical_placement__object_first,1.0,between_owned_shoes,ambiguity_control,name_0,obj_ball,physical_placement,object_subject,object_first,object_first,False,owned_clothing_unanchored,gym,Close is the intended label only under an unstated worn-shoes assumption; ownership alone does not entail proximity to the person.,False,True,The ball is between Maya's shoes.,The ball is across the full length of a long gym from Maya.,The ball is close to Maya.,The ball is far from Maya.,7,8,13,14,6,7,6,7
between_owned_shoes__name_0__obj_ball__physical_placement_fronted__person_first,1.0,between_owned_shoes,ambiguity_control,name_0,obj_ball,physical_placement_fronted,fronted_location,person_first,person_first,False,owned_clothing_unanchored,gym,Close is the intended label only under an unstated worn-shoes assumption; ownership alone does not entail proximity to the person.,False,True,Between Maya's shoes is the ball.,Across the full length of a long gym from Maya is the ball.,Maya is close to the ball.,Maya is far from the ball.,7,8,13,14,6,8,6,8
between_owned_shoes__name_0__obj_ball__physical_placement_fronted__object_first,1.0,between_owned_shoes,ambiguity_control,name_0,obj_ball,physical_placement_fronted,fronted_location,person_first,object_first,True,owned_clothing_unanchored,gym,Close is the intended label only under an unstated worn-shoes assumption; ownership alone does not entail proximity to the person.,False,True,Between Maya's shoes is the ball.,Across the full length of a long gym from Maya is the ball.,The ball is close to Maya.,The ball is far from Maya.,7,8,13,14,6,7,6,7
between_owned_shoes__name_0__obj_ball__physical_placement_person_subject__person_first,1.0,between_owned_shoes,ambiguity_control,name_0,obj_ball,physical_placement_person_subject,person_subject,person_first,person_first,False,owned_clothing_unanchored,gym,Close is the intended label only under an unstated worn-shoes assumption; ownership alone does not entail proximity to the person.,False,True,Maya has the ball between their shoes.,Maya is across the full length of a long gym from the ball.,Maya is close to the ball.,Maya is far from the ball.,7,9,13,15,6,8,6,8
between_owned_shoes__name_0__obj_ball__physical_placement_person_subject__object_first,1.0,between_owned_shoes,ambiguity_control,name_0,obj_ball,physical_placement_person_subject,person_subject,person_first,object_first,True,owned_clothing_unanchored,gym,Close is the intended label only under an unstated worn-shoes assumption; ownership alone does not entail proximity to the person.,False,True,Maya has the ball between their shoes.,Maya is across the full length of a long gym from the ball.,The ball is close to Maya.,The ball is far from Maya.,7,9,13,15,6,7,6,7
