probe_id,probe_version,probe_type,matched_group_id,condition_id,control,scenario_id,scenario_family,setting_id,setting,entity_type,name_id,name,object_id,object,anchor_object_id,anchor_object,phrase_pair_id,location_phrase_pair_id,evidence_type,semantic_match,reference_order_id,target_negation_pattern_id,sentence_structure_id,distance_standard_id,correct_target_for_context1,correct_target_for_context2,Domain,ConceptA,ConceptB,ContextType,ContextDiff,TargetDiff,Context1,Context2,Target1,Target2,Context1_word_count,Context1_char_count,Context2_word_count,Context2_char_count,Target1_word_count,Target1_char_count,Target2_word_count,Target2_char_count,probe_row_index
person_gym__name_0__obj_ball__baseline,1.0,close_far_situation,person_gym__name_0__obj_ball,baseline,baseline,person_gym,room_separation,person_gym,long gym,person_object,name_0,Maya,obj_ball,ball,,,placement_0,person_gym__placement_0,physical_arrangement,baseline,target_first,positive,anchor_setup_then_object_location,ordinary_physical_separation,Target1,Target2,spatial-relations,close,far,indirect,location phrase contrast,concept swap,Maya stands at one end of a long gym. The ball rests between Maya's shoes.,Maya stands at one end of a long gym. The ball rests at the other end of the gym from Maya.,The ball is close to Maya.,The ball is far from Maya.,16,74,21,91,6,26,6,26,0
person_gym__name_0__obj_ball__phrase_alternate,1.0,close_far_situation,person_gym__name_0__obj_ball,phrase_alternate,location_phrasing,person_gym,room_separation,person_gym,long gym,person_object,name_0,Maya,obj_ball,ball,,,placement_1,person_gym__placement_1,physical_arrangement,category_matched,target_first,positive,anchor_setup_then_object_location,ordinary_physical_separation,Target1,Target2,spatial-relations,close,far,indirect,location phrase contrast,concept swap,Maya stands at one end of a long gym. The ball rests immediately next to Maya's shoes.,Maya stands at one end of a long gym. The ball rests across the full length of the gym from Maya.,The ball is close to Maya.,The ball is far from Maya.,18,86,21,97,6,26,6,26,1
person_gym__name_0__obj_ball__word_beside,1.0,close_far_situation,person_gym__name_0__obj_ball,word_beside,evidence_wording,person_gym,room_separation,person_gym,long gym,person_object,name_0,Maya,obj_ball,ball,,,lex_beside,person_gym__lex_beside,proximity_word,category_matched,target_first,positive,anchor_setup_then_object_location,ordinary_physical_separation,Target1,Target2,spatial-relations,close,far,direct,location phrase contrast,concept swap,Maya stands at one end of a long gym. The ball is beside Maya.,Maya stands at one end of a long gym. The ball is far from Maya.,The ball is close to Maya.,The ball is far from Maya.,14,62,15,64,6,26,6,26,2
person_gym__name_0__obj_ball__word_alongside,1.0,close_far_situation,person_gym__name_0__obj_ball,word_alongside,evidence_wording,person_gym,room_separation,person_gym,long gym,person_object,name_0,Maya,obj_ball,ball,,,lex_alongside,person_gym__lex_alongside,proximity_word,category_matched,target_first,positive,anchor_setup_then_object_location,ordinary_physical_separation,Target1,Target2,spatial-relations,close,far,direct,location phrase contrast,concept swap,Maya stands at one end of a long gym. The ball is alongside Maya.,Maya stands at one end of a long gym. The ball is a long way from Maya.,The ball is close to Maya.,The ball is far from Maya.,14,65,17,71,6,26,6,26,3
person_gym__name_0__obj_ball__word_near,1.0,close_far_situation,person_gym__name_0__obj_ball,word_near,evidence_wording,person_gym,room_separation,person_gym,long gym,person_object,name_0,Maya,obj_ball,ball,,,lex_near,person_gym__lex_near,proximity_word,category_matched,target_first,positive,anchor_setup_then_object_location,ordinary_physical_separation,Target1,Target2,spatial-relations,close,far,direct,location phrase contrast,concept swap,Maya stands at one end of a long gym. The ball is near Maya.,Maya stands at one end of a long gym. The ball is a long distance from Maya.,The ball is close to Maya.,The ball is far from Maya.,14,60,17,76,6,26,6,26,4
person_gym__name_0__obj_ball__reference_reversed,1.0,close_far_situation,person_gym__name_0__obj_ball,reference_reversed,reference_reversal,person_gym,room_separation,person_gym,long gym,person_object,name_0,Maya,obj_ball,ball,,,placement_0,person_gym__placement_0,physical_arrangement,baseline,anchor_first,positive,anchor_setup_then_object_location,ordinary_physical_separation,Target1,Target2,spatial-relations,close,far,indirect,location phrase contrast,concept swap,Maya stands at one end of a long gym. The ball rests between Maya's shoes.,Maya stands at one end of a long gym. The ball rests at the other end of the gym from Maya.,Maya is close to the ball.,Maya is far from the ball.,16,74,21,91,6,26,6,26,5
person_gym__name_0__obj_ball__negate_close,1.0,close_far_situation,person_gym__name_0__obj_ball,negate_close,target_negation,person_gym,room_separation,person_gym,long gym,person_object,name_0,Maya,obj_ball,ball,,,placement_0,person_gym__placement_0,physical_arrangement,baseline,target_first,negate_close,anchor_setup_then_object_location,ordinary_physical_separation,Target1,Target2,spatial-relations,close,far,indirect,location phrase contrast,negation,Maya stands at one end of a long gym. The ball rests between Maya's shoes.,Maya stands at one end of a long gym. The ball rests at the other end of the gym from Maya.,The ball is close to Maya.,The ball is not close to Maya.,16,74,21,91,6,26,7,30,6
person_gym__name_0__obj_ball__negate_far,1.0,close_far_situation,person_gym__name_0__obj_ball,negate_far,target_negation,person_gym,room_separation,person_gym,long gym,person_object,name_0,Maya,obj_ball,ball,,,placement_0,person_gym__placement_0,physical_arrangement,baseline,target_first,negate_far,anchor_setup_then_object_location,ordinary_physical_separation,Target1,Target2,spatial-relations,close,far,indirect,location phrase contrast,negation,Maya stands at one end of a long gym. The ball rests between Maya's shoes.,Maya stands at one end of a long gym. The ball rests at the other end of the gym from Maya.,The ball is not far from Maya.,The ball is far from Maya.,16,74,21,91,7,30,6,26,7
person_gym__name_0__obj_ball__both_negated,1.0,close_far_situation,person_gym__name_0__obj_ball,both_negated,target_negation,person_gym,room_separation,person_gym,long gym,person_object,name_0,Maya,obj_ball,ball,,,placement_0,person_gym__placement_0,physical_arrangement,baseline,target_first,both_negated,anchor_setup_then_object_location,ordinary_physical_separation,Target1,Target2,spatial-relations,close,far,indirect,location phrase contrast,concept swap,Maya stands at one end of a long gym. The ball rests between Maya's shoes.,Maya stands at one end of a long gym. The ball rests at the other end of the gym from Maya.,The ball is not far from Maya.,The ball is not close to Maya.,16,74,21,91,7,30,7,30,8
person_gym__name_0__obj_bag__baseline,1.0,close_far_situation,person_gym__name_0__obj_bag,baseline,baseline,person_gym,room_separation,person_gym,long gym,person_object,name_0,Maya,obj_bag,bag,,,placement_0,person_gym__placement_0,physical_arrangement,baseline,target_first,positive,anchor_setup_then_object_location,ordinary_physical_separation,Target1,Target2,spatial-relations,close,far,indirect,location phrase contrast,concept swap,Maya stands at one end of a long gym. The bag rests between Maya's shoes.,Maya stands at one end of a long gym. The bag rests at the other end of the gym from Maya.,The bag is close to Maya.,The bag is far from Maya.,16,73,21,90,6,25,6,25,9
