probe_id,probe_version,probe_family,axis,case_id,scene_cluster_id,event_family,event_subtype,evidence_format,length_band,reference_frame,geometry_precision,initial_relation_explicit,final_relation_explicit,movement_verb,preposition,persistence_cue,requires_implicit_persistence,answer_bridge,Target1,Target2,target1_relation_word,target2_relation_word,Context1,context1_initial_relation,context1_gold_relation,context1_order_reversed,correct_target_for_context1,context1_target_start,context1_target_end,context1_reference_start,context1_reference_end,Context2,context2_initial_relation,context2_gold_relation,context2_order_reversed,correct_target_for_context2,context2_target_start,context2_target_end,context2_reference_start,context2_reference_end,Context1_word_count,Context2_word_count,Target1_word_count,Target2_word_count
north_south__static__not_applicable__not_applicable__implicit,1.0,control,north_south,static,north_south__static,static_placement,static,direct_initial_relation,minimal,absolute_cardinal,representative_ordinal,True,True,not_applicable,not_applicable,implicit,True,Final positions:,A is north of B.,A is south of B.,north,south,A is south of B. Final positions:,south,south,False,Target2,-2,-2,0,0,A is north of B. Final positions:,north,north,False,Target1,2,2,0,0,7,7,5,5
north_south__static__not_applicable__not_applicable__explicit,1.0,control,north_south,static,north_south__static,static_placement,static,direct_initial_relation,minimal,absolute_cardinal,representative_ordinal,True,True,not_applicable,not_applicable,explicit,False,Final positions:,A is north of B.,A is south of B.,north,south,A is south of B. Neither moves. Final positions:,south,south,False,Target2,-2,-2,0,0,A is north of B. Neither moves. Final positions:,north,north,False,Target1,2,2,0,0,9,9,5,5
north_south__target_crosses__moves__toward__implicit,1.0,event,north_south,target_crosses,north_south__target_crosses,target_crosses,target_crosses,direct_initial_relation,minimal,absolute_cardinal,representative_ordinal,True,False,moves,toward,implicit,True,Final positions:,A is north of B.,A is south of B.,north,south,A is south of B. A moves straight toward B and continues past B. Final positions:,south,north,True,Target1,-2,2,0,0,A is north of B. A moves straight toward B and continues past B. Final positions:,north,south,True,Target2,2,-2,0,0,16,16,5,5
north_south__target_crosses__moves__to__implicit,1.0,event,north_south,target_crosses,north_south__target_crosses,target_crosses,target_crosses,direct_initial_relation,minimal,absolute_cardinal,representative_ordinal,True,False,moves,to,implicit,True,Final positions:,A is north of B.,A is south of B.,north,south,A is south of B. A moves straight to B and continues past B. Final positions:,south,north,True,Target1,-2,2,0,0,A is north of B. A moves straight to B and continues past B. Final positions:,north,south,True,Target2,2,-2,0,0,16,16,5,5
north_south__target_crosses__heads__toward__implicit,1.0,event,north_south,target_crosses,north_south__target_crosses,target_crosses,target_crosses,direct_initial_relation,minimal,absolute_cardinal,representative_ordinal,True,False,heads,toward,implicit,True,Final positions:,A is north of B.,A is south of B.,north,south,A is south of B. A heads straight toward B and continues past B. Final positions:,south,north,True,Target1,-2,2,0,0,A is north of B. A heads straight toward B and continues past B. Final positions:,north,south,True,Target2,2,-2,0,0,16,16,5,5
north_south__target_crosses__heads__to__implicit,1.0,event,north_south,target_crosses,north_south__target_crosses,target_crosses,target_crosses,direct_initial_relation,minimal,absolute_cardinal,representative_ordinal,True,False,heads,to,implicit,True,Final positions:,A is north of B.,A is south of B.,north,south,A is south of B. A heads straight to B and continues past B. Final positions:,south,north,True,Target1,-2,2,0,0,A is north of B. A heads straight to B and continues past B. Final positions:,north,south,True,Target2,2,-2,0,0,16,16,5,5
north_south__target_crosses__moves__toward__explicit,1.0,event,north_south,target_crosses,north_south__target_crosses,target_crosses,target_crosses,direct_initial_relation,minimal,absolute_cardinal,representative_ordinal,True,False,moves,toward,explicit,False,Final positions:,A is north of B.,A is south of B.,north,south,A is south of B. A moves straight toward B and continues past B. B stays still. Final positions:,south,north,True,Target1,-2,2,0,0,A is north of B. A moves straight toward B and continues past B. B stays still. Final positions:,north,south,True,Target2,2,-2,0,0,19,19,5,5
north_south__reference_crosses__moves__toward__implicit,1.0,event,north_south,reference_crosses,north_south__reference_crosses,reference_crosses,reference_crosses,direct_initial_relation,minimal,absolute_cardinal,representative_ordinal,True,False,moves,toward,implicit,True,Final positions:,A is north of B.,A is south of B.,north,south,A is south of B. B moves straight toward A and continues past A. Final positions:,south,north,True,Target1,-2,-2,0,-4,A is north of B. B moves straight toward A and continues past A. Final positions:,north,south,True,Target2,2,2,0,4,16,16,5,5
north_south__reference_crosses__moves__to__implicit,1.0,event,north_south,reference_crosses,north_south__reference_crosses,reference_crosses,reference_crosses,direct_initial_relation,minimal,absolute_cardinal,representative_ordinal,True,False,moves,to,implicit,True,Final positions:,A is north of B.,A is south of B.,north,south,A is south of B. B moves straight to A and continues past A. Final positions:,south,north,True,Target1,-2,-2,0,-4,A is north of B. B moves straight to A and continues past A. Final positions:,north,south,True,Target2,2,2,0,4,16,16,5,5
north_south__reference_crosses__heads__toward__implicit,1.0,event,north_south,reference_crosses,north_south__reference_crosses,reference_crosses,reference_crosses,direct_initial_relation,minimal,absolute_cardinal,representative_ordinal,True,False,heads,toward,implicit,True,Final positions:,A is north of B.,A is south of B.,north,south,A is south of B. B heads straight toward A and continues past A. Final positions:,south,north,True,Target1,-2,-2,0,-4,A is north of B. B heads straight toward A and continues past A. Final positions:,north,south,True,Target2,2,2,0,4,16,16,5,5
