control,reference_probe_id,variant_probe_id,context_form_id,match_type
context_expansion,context_diagnostic__person_gym__name_0__obj_ball__placement__compact,context_diagnostic__person_gym__name_0__obj_ball__placement__setting,setting,identical_location_sentences_and_targets
context_expansion,context_diagnostic__person_gym__name_0__obj_ball__placement__compact,context_diagnostic__person_gym__name_0__obj_ball__placement__endpoint,endpoint,identical_location_sentences_and_targets
body_reference,context_diagnostic__person_gym__name_0__obj_ball__placement__compact,context_diagnostic__person_gym__name_0__obj_ball__person_direct__compact,compact,identical_far_context_and_targets
context_expansion,context_diagnostic__person_gym__name_0__obj_ball__person_direct__compact,context_diagnostic__person_gym__name_0__obj_ball__person_direct__setting,setting,identical_location_sentences_and_targets
body_reference,context_diagnostic__person_gym__name_0__obj_ball__placement__setting,context_diagnostic__person_gym__name_0__obj_ball__person_direct__setting,setting,identical_far_context_and_targets
context_expansion,context_diagnostic__person_gym__name_0__obj_ball__person_direct__compact,context_diagnostic__person_gym__name_0__obj_ball__person_direct__endpoint,endpoint,identical_location_sentences_and_targets
body_reference,context_diagnostic__person_gym__name_0__obj_ball__placement__endpoint,context_diagnostic__person_gym__name_0__obj_ball__person_direct__endpoint,endpoint,identical_far_context_and_targets
context_expansion,context_diagnostic__person_gym__name_0__obj_bag__placement__compact,context_diagnostic__person_gym__name_0__obj_bag__placement__setting,setting,identical_location_sentences_and_targets
context_expansion,context_diagnostic__person_gym__name_0__obj_bag__placement__compact,context_diagnostic__person_gym__name_0__obj_bag__placement__endpoint,endpoint,identical_location_sentences_and_targets
body_reference,context_diagnostic__person_gym__name_0__obj_bag__placement__compact,context_diagnostic__person_gym__name_0__obj_bag__person_direct__compact,compact,identical_far_context_and_targets
context_expansion,context_diagnostic__person_gym__name_0__obj_bag__person_direct__compact,context_diagnostic__person_gym__name_0__obj_bag__person_direct__setting,setting,identical_location_sentences_and_targets
body_reference,context_diagnostic__person_gym__name_0__obj_bag__placement__setting,context_diagnostic__person_gym__name_0__obj_bag__person_direct__setting,setting,identical_far_context_and_targets
context_expansion,context_diagnostic__person_gym__name_0__obj_bag__person_direct__compact,context_diagnostic__person_gym__name_0__obj_bag__person_direct__endpoint,endpoint,identical_location_sentences_and_targets
body_reference,context_diagnostic__person_gym__name_0__obj_bag__placement__endpoint,context_diagnostic__person_gym__name_0__obj_bag__person_direct__endpoint,endpoint,identical_far_context_and_targets
context_expansion,context_diagnostic__person_gym__name_1__obj_ball__placement__compact,context_diagnostic__person_gym__name_1__obj_ball__placement__setting,setting,identical_location_sentences_and_targets
context_expansion,context_diagnostic__person_gym__name_1__obj_ball__placement__compact,context_diagnostic__person_gym__name_1__obj_ball__placement__endpoint,endpoint,identical_location_sentences_and_targets
body_reference,context_diagnostic__person_gym__name_1__obj_ball__placement__compact,context_diagnostic__person_gym__name_1__obj_ball__person_direct__compact,compact,identical_far_context_and_targets
context_expansion,context_diagnostic__person_gym__name_1__obj_ball__person_direct__compact,context_diagnostic__person_gym__name_1__obj_ball__person_direct__setting,setting,identical_location_sentences_and_targets
body_reference,context_diagnostic__person_gym__name_1__obj_ball__placement__setting,context_diagnostic__person_gym__name_1__obj_ball__person_direct__setting,setting,identical_far_context_and_targets
context_expansion,context_diagnostic__person_gym__name_1__obj_ball__person_direct__compact,context_diagnostic__person_gym__name_1__obj_ball__person_direct__endpoint,endpoint,identical_location_sentences_and_targets
body_reference,context_diagnostic__person_gym__name_1__obj_ball__placement__endpoint,context_diagnostic__person_gym__name_1__obj_ball__person_direct__endpoint,endpoint,identical_far_context_and_targets
context_expansion,context_diagnostic__person_gym__name_1__obj_bag__placement__compact,context_diagnostic__person_gym__name_1__obj_bag__placement__setting,setting,identical_location_sentences_and_targets
context_expansion,context_diagnostic__person_gym__name_1__obj_bag__placement__compact,context_diagnostic__person_gym__name_1__obj_bag__placement__endpoint,endpoint,identical_location_sentences_and_targets
body_reference,context_diagnostic__person_gym__name_1__obj_bag__placement__compact,context_diagnostic__person_gym__name_1__obj_bag__person_direct__compact,compact,identical_far_context_and_targets
context_expansion,context_diagnostic__person_gym__name_1__obj_bag__person_direct__compact,context_diagnostic__person_gym__name_1__obj_bag__person_direct__setting,setting,identical_location_sentences_and_targets
body_reference,context_diagnostic__person_gym__name_1__obj_bag__placement__setting,context_diagnostic__person_gym__name_1__obj_bag__person_direct__setting,setting,identical_far_context_and_targets
context_expansion,context_diagnostic__person_gym__name_1__obj_bag__person_direct__compact,context_diagnostic__person_gym__name_1__obj_bag__person_direct__endpoint,endpoint,identical_location_sentences_and_targets
body_reference,context_diagnostic__person_gym__name_1__obj_bag__placement__endpoint,context_diagnostic__person_gym__name_1__obj_bag__person_direct__endpoint,endpoint,identical_far_context_and_targets
context_expansion,context_diagnostic__person_gym__name_2__obj_ball__placement__compact,context_diagnostic__person_gym__name_2__obj_ball__placement__setting,setting,identical_location_sentences_and_targets
context_expansion,context_diagnostic__person_gym__name_2__obj_ball__placement__compact,context_diagnostic__person_gym__name_2__obj_ball__placement__endpoint,endpoint,identical_location_sentences_and_targets
body_reference,context_diagnostic__person_gym__name_2__obj_ball__placement__compact,context_diagnostic__person_gym__name_2__obj_ball__person_direct__compact,compact,identical_far_context_and_targets
context_expansion,context_diagnostic__person_gym__name_2__obj_ball__person_direct__compact,context_diagnostic__person_gym__name_2__obj_ball__person_direct__setting,setting,identical_location_sentences_and_targets
body_reference,context_diagnostic__person_gym__name_2__obj_ball__placement__setting,context_diagnostic__person_gym__name_2__obj_ball__person_direct__setting,setting,identical_far_context_and_targets
context_expansion,context_diagnostic__person_gym__name_2__obj_ball__person_direct__compact,context_diagnostic__person_gym__name_2__obj_ball__person_direct__endpoint,endpoint,identical_location_sentences_and_targets
body_reference,context_diagnostic__person_gym__name_2__obj_ball__placement__endpoint,context_diagnostic__person_gym__name_2__obj_ball__person_direct__endpoint,endpoint,identical_far_context_and_targets
context_expansion,context_diagnostic__person_gym__name_2__obj_bag__placement__compact,context_diagnostic__person_gym__name_2__obj_bag__placement__setting,setting,identical_location_sentences_and_targets
context_expansion,context_diagnostic__person_gym__name_2__obj_bag__placement__compact,context_diagnostic__person_gym__name_2__obj_bag__placement__endpoint,endpoint,identical_location_sentences_and_targets
body_reference,context_diagnostic__person_gym__name_2__obj_bag__placement__compact,context_diagnostic__person_gym__name_2__obj_bag__person_direct__compact,compact,identical_far_context_and_targets
context_expansion,context_diagnostic__person_gym__name_2__obj_bag__person_direct__compact,context_diagnostic__person_gym__name_2__obj_bag__person_direct__setting,setting,identical_location_sentences_and_targets
body_reference,context_diagnostic__person_gym__name_2__obj_bag__placement__setting,context_diagnostic__person_gym__name_2__obj_bag__person_direct__setting,setting,identical_far_context_and_targets
context_expansion,context_diagnostic__person_gym__name_2__obj_bag__person_direct__compact,context_diagnostic__person_gym__name_2__obj_bag__person_direct__endpoint,endpoint,identical_location_sentences_and_targets
body_reference,context_diagnostic__person_gym__name_2__obj_bag__placement__endpoint,context_diagnostic__person_gym__name_2__obj_bag__person_direct__endpoint,endpoint,identical_far_context_and_targets
context_expansion,context_diagnostic__person_gym__name_3__obj_ball__placement__compact,context_diagnostic__person_gym__name_3__obj_ball__placement__setting,setting,identical_location_sentences_and_targets
context_expansion,context_diagnostic__person_gym__name_3__obj_ball__placement__compact,context_diagnostic__person_gym__name_3__obj_ball__placement__endpoint,endpoint,identical_location_sentences_and_targets
body_reference,context_diagnostic__person_gym__name_3__obj_ball__placement__compact,context_diagnostic__person_gym__name_3__obj_ball__person_direct__compact,compact,identical_far_context_and_targets
