probe_id,probe_version,probe_type,matched_group_id,condition_id,length_match_id,template_id,length_band,evidence_type,outcome,correct_target,name_id,name,object_id,object,numeric_case_id,unit,unit_id,unit_notation,unit_match_id,initial_distance,final_distance,signed_distance_change,movement_distance,object_stationary,passes_object,reference_order_id,wording_id,Context,Target1,Target2,Target3,Context_word_count,Context_char_count,Context_token_count,Target1_word_count,Target1_char_count,Target1_token_count,Target1_conditional_token_count,Target2_word_count,Target2_char_count,Target2_token_count,Target2_conditional_token_count,Target3_word_count,Target3_char_count,Target3_token_count,Target3_conditional_token_count,probe_row_index
name_0__obj_cone__num_00__explicit_distance__closer__compact,1.2,closer_farther_initial_conditions,name_0__obj_cone__num_00__compact,explicit_distance,name_0__obj_cone__num_00__explicit_distance__closer,distance_compact,compact,explicit_distance_comparison,closer,Target1,name_0,Maya,obj_cone,cone,num_00,metres,unit_metres,word,name_0__obj_cone__num_00__explicit_distance__closer__compact,18,13,-5,5,True,False,person_relative_to_object,closer_farther_same_distance,"Maya's distance from the stationary cone: initially 18 metres, now 13 metres.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,13,77,17,9,43,11,10,9,46,11,10,12,57,14,13,0
name_0__obj_cone__num_00__explicit_distance__farther__compact,1.2,closer_farther_initial_conditions,name_0__obj_cone__num_00__compact,explicit_distance,name_0__obj_cone__num_00__explicit_distance__farther,distance_compact,compact,explicit_distance_comparison,farther,Target2,name_0,Maya,obj_cone,cone,num_00,metres,unit_metres,word,name_0__obj_cone__num_00__explicit_distance__farther__compact,18,23,5,5,True,False,person_relative_to_object,closer_farther_same_distance,"Maya's distance from the stationary cone: initially 18 metres, now 23 metres.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,13,77,17,9,43,11,10,9,46,11,10,12,57,14,13,1
name_0__obj_cone__num_00__explicit_distance__unchanged__compact,1.2,closer_farther_initial_conditions,name_0__obj_cone__num_00__compact,explicit_distance,name_0__obj_cone__num_00__explicit_distance__unchanged,distance_compact,compact,explicit_distance_comparison,unchanged,Target3,name_0,Maya,obj_cone,cone,num_00,metres,unit_metres,word,name_0__obj_cone__num_00__explicit_distance__unchanged__compact,18,18,0,0,True,False,person_relative_to_object,closer_farther_same_distance,"Maya's distance from the stationary cone: initially 18 metres, now 18 metres.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,13,77,17,9,43,11,10,9,46,11,10,12,57,14,13,2
name_0__obj_cone__num_00__explicit_distance__closer,1.2,closer_farther_initial_conditions,name_0__obj_cone__num_00,explicit_distance,name_0__obj_cone__num_00__explicit_distance__closer,distance_standard,standard,explicit_distance_comparison,closer,Target1,name_0,Maya,obj_cone,cone,num_00,metres,unit_metres,word,name_0__obj_cone__num_00__explicit_distance__closer,18,13,-5,5,True,False,person_relative_to_object,closer_farther_same_distance,Maya was 18 metres from a stationary cone. Maya is now 13 metres from the cone.,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,16,79,19,9,43,11,10,9,46,11,10,12,57,14,13,3
name_0__obj_cone__num_00__explicit_distance__farther,1.2,closer_farther_initial_conditions,name_0__obj_cone__num_00,explicit_distance,name_0__obj_cone__num_00__explicit_distance__farther,distance_standard,standard,explicit_distance_comparison,farther,Target2,name_0,Maya,obj_cone,cone,num_00,metres,unit_metres,word,name_0__obj_cone__num_00__explicit_distance__farther,18,23,5,5,True,False,person_relative_to_object,closer_farther_same_distance,Maya was 18 metres from a stationary cone. Maya is now 23 metres from the cone.,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,16,79,19,9,43,11,10,9,46,11,10,12,57,14,13,4
name_0__obj_cone__num_00__explicit_distance__unchanged,1.2,closer_farther_initial_conditions,name_0__obj_cone__num_00,explicit_distance,name_0__obj_cone__num_00__explicit_distance__unchanged,distance_standard,standard,explicit_distance_comparison,unchanged,Target3,name_0,Maya,obj_cone,cone,num_00,metres,unit_metres,word,name_0__obj_cone__num_00__explicit_distance__unchanged,18,18,0,0,True,False,person_relative_to_object,closer_farther_same_distance,Maya was 18 metres from a stationary cone. Maya is now 18 metres from the cone.,Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,16,79,19,9,43,11,10,9,46,11,10,12,57,14,13,5
name_0__obj_cone__num_00__explicit_distance__closer__expanded,1.2,closer_farther_initial_conditions,name_0__obj_cone__num_00__expanded,explicit_distance,name_0__obj_cone__num_00__explicit_distance__closer,distance_expanded,expanded,explicit_distance_comparison,closer,Target1,name_0,Maya,obj_cone,cone,num_00,metres,unit_metres,word,name_0__obj_cone__num_00__explicit_distance__closer__expanded,18,13,-5,5,True,False,person_relative_to_object,closer_farther_same_distance,"Initially, Maya was 18 metres from a cone that remained stationary. The distance between Maya and that cone is now 13 metres.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,22,125,25,9,43,11,10,9,46,11,10,12,57,14,13,6
name_0__obj_cone__num_00__explicit_distance__farther__expanded,1.2,closer_farther_initial_conditions,name_0__obj_cone__num_00__expanded,explicit_distance,name_0__obj_cone__num_00__explicit_distance__farther,distance_expanded,expanded,explicit_distance_comparison,farther,Target2,name_0,Maya,obj_cone,cone,num_00,metres,unit_metres,word,name_0__obj_cone__num_00__explicit_distance__farther__expanded,18,23,5,5,True,False,person_relative_to_object,closer_farther_same_distance,"Initially, Maya was 18 metres from a cone that remained stationary. The distance between Maya and that cone is now 23 metres.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,22,125,25,9,43,11,10,9,46,11,10,12,57,14,13,7
name_0__obj_cone__num_00__explicit_distance__unchanged__expanded,1.2,closer_farther_initial_conditions,name_0__obj_cone__num_00__expanded,explicit_distance,name_0__obj_cone__num_00__explicit_distance__unchanged,distance_expanded,expanded,explicit_distance_comparison,unchanged,Target3,name_0,Maya,obj_cone,cone,num_00,metres,unit_metres,word,name_0__obj_cone__num_00__explicit_distance__unchanged__expanded,18,18,0,0,True,False,person_relative_to_object,closer_farther_same_distance,"Initially, Maya was 18 metres from a cone that remained stationary. The distance between Maya and that cone is now 18 metres.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,22,125,25,9,43,11,10,9,46,11,10,12,57,14,13,8
name_0__obj_cone__num_00__movement_description__closer__compact,1.2,closer_farther_initial_conditions,name_0__obj_cone__num_00__compact,movement_description,name_0__obj_cone__num_00__movement_description__closer,movement_compact,compact,directed_movement_inference,closer,Target1,name_0,Maya,obj_cone,cone,num_00,metres,unit_metres,word,name_0__obj_cone__num_00__movement_description__closer__compact,18,13,-5,5,True,False,person_relative_to_object,closer_farther_same_distance,"Starting 18 metres from a stationary cone, Maya walked 5 metres directly toward it.",Maya is now closer to the cone than before.,Maya is now farther from the cone than before.,Maya is now at the same distance from the cone as before.,14,83,16,9,43,11,10,9,46,11,10,12,57,14,13,9
