probe_id,probe_version,probe_family,design_block,direction,context_stem_id,definition_structure_id,entity_noun_id,entity_noun,context_entity_order,phrase_pair_id,phrase_register,above_phrase,below_phrase,Domain,ConceptA,ConceptB,ContextType,ContextDiff,TargetDiff,Context1,Context2,Target1,Target2,correct_target_for_context1,correct_target_for_context2,Context1_word_count,Context1_char_count,Context2_word_count,Context2_char_count,Target1_word_count,Target1_char_count,Target2_word_count,Target2_char_count,probe_row_index
word_to_definition__short__generic__vertical_higher_lower,1.2,literal_definition,base,word_to_definition,short,generic,,,not_applicable,vertical_higher_lower,explicit_vertical,vertically higher than,vertically lower than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,Above means that,Below means that,one object is vertically higher than another.,one object is vertically lower than another.,Target1,Target2,3,16,3,16,7,45,7,44,0
word_to_definition__short__ordered__vertical_higher_lower,1.2,literal_definition,base,word_to_definition,short,ordered,,,not_applicable,vertical_higher_lower,explicit_vertical,vertically higher than,vertically lower than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,Above means that,Below means that,the first object is vertically higher than the second.,the first object is vertically lower than the second.,Target1,Target2,3,16,3,16,9,54,9,53,1
word_to_definition__short__generic__greater_lesser_height,1.2,literal_definition,base,word_to_definition,short,generic,,,not_applicable,greater_lesser_height,height_comparison,at a greater height than,at a lesser height than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,Above means that,Below means that,one object is at a greater height than another.,one object is at a lesser height than another.,Target1,Target2,3,16,3,16,9,47,9,46,2
word_to_definition__short__ordered__greater_lesser_height,1.2,literal_definition,base,word_to_definition,short,ordered,,,not_applicable,greater_lesser_height,height_comparison,at a greater height than,at a lesser height than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,Above means that,Below means that,the first object is at a greater height than the second.,the first object is at a lesser height than the second.,Target1,Target2,3,16,3,16,11,56,11,55,3
word_to_definition__short__generic__higher_up_lower_down,1.2,literal_definition,base,word_to_definition,short,generic,,,not_applicable,higher_up_lower_down,colloquial,higher up than,lower down than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,Above means that,Below means that,one object is higher up than another.,one object is lower down than another.,Target1,Target2,3,16,3,16,7,37,7,38,4
word_to_definition__short__ordered__higher_up_lower_down,1.2,literal_definition,base,word_to_definition,short,ordered,,,not_applicable,higher_up_lower_down,colloquial,higher up than,lower down than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,Above means that,Below means that,the first object is higher up than the second.,the first object is lower down than the second.,Target1,Target2,3,16,3,16,9,46,9,47,5
word_to_definition__short__generic__higher_lower,1.2,literal_definition,base,word_to_definition,short,generic,,,not_applicable,higher_lower,everyday,higher than,lower than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,Above means that,Below means that,one object is higher than another.,one object is lower than another.,Target1,Target2,3,16,3,16,6,34,6,33,6
word_to_definition__short__ordered__higher_lower,1.2,literal_definition,base,word_to_definition,short,ordered,,,not_applicable,higher_lower,everyday,higher than,lower than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,Above means that,Below means that,the first object is higher than the second.,the first object is lower than the second.,Target1,Target2,3,16,3,16,8,43,8,42,7
word_to_definition__medium__generic__vertical_higher_lower,1.2,literal_definition,base,word_to_definition,medium,generic,,,not_applicable,vertical_higher_lower,explicit_vertical,vertically higher than,vertically lower than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,"In physical space, 'above' means that","In physical space, 'below' means that",one object is vertically higher than another.,one object is vertically lower than another.,Target1,Target2,6,37,6,37,7,45,7,44,8
word_to_definition__medium__ordered__vertical_higher_lower,1.2,literal_definition,base,word_to_definition,medium,ordered,,,not_applicable,vertical_higher_lower,explicit_vertical,vertically higher than,vertically lower than,spatial-relations,above,below,direct,vertical relation polarity,concept swap,"In physical space, 'above' means that","In physical space, 'below' means that",the first object is vertically higher than the second.,the first object is vertically lower than the second.,Target1,Target2,6,37,6,37,9,54,9,53,9
