dataset,grouping,group,pairs,accuracy,both_correct,context1_accuracy,context2_accuracy,first_answer_fraction,predictions_same_fraction,ties
definitions,axis+probe_family,north_south|direction_definition,16,0.71875,0.5625,0.6875,0.75,0.46875,0.3125,0
definitions,axis+probe_family,north_south|opposite_direction,8,0.875,0.875,0.875,0.875,0.5,0,0
definitions,axis+probe_family,north_south|relative_map_position,16,0.5,0.0625,0.6875,0.3125,0.6875,0.875,0
definitions,axis+probe_family,east_west|direction_definition,16,0.71875,0.4375,0.625,0.8125,0.40625,0.5625,0
definitions,axis+probe_family,east_west|opposite_direction,8,0.9375,0.875,0.875,1,0.4375,0.125,0
definitions,axis+probe_family,east_west|relative_map_position,16,0.4375,0,0.4375,0.4375,0.5,0.875,0
definitions,axis+probe_family+mapping_direction,north_south|direction_definition|word_to_meaning,8,0.75,0.625,0.625,0.875,0.375,0.25,0
definitions,axis+probe_family+mapping_direction,north_south|direction_definition|meaning_to_word,8,0.6875,0.5,0.75,0.625,0.5625,0.375,0
definitions,axis+probe_family+mapping_direction,north_south|opposite_direction|word_to_opposite,8,0.875,0.875,0.875,0.875,0.5,0,0
definitions,axis+probe_family+mapping_direction,north_south|relative_map_position|word_to_meaning,8,0.5,0,0.875,0.125,0.875,1,0
definitions,axis+probe_family+mapping_direction,north_south|relative_map_position|meaning_to_word,8,0.5,0.125,0.5,0.5,0.5,0.75,0
definitions,axis+probe_family+mapping_direction,east_west|direction_definition|word_to_meaning,8,0.6875,0.375,0.625,0.75,0.4375,0.625,0
definitions,axis+probe_family+mapping_direction,east_west|direction_definition|meaning_to_word,8,0.75,0.5,0.625,0.875,0.375,0.5,0
definitions,axis+probe_family+mapping_direction,east_west|opposite_direction|word_to_opposite,8,0.9375,0.875,0.875,1,0.4375,0.125,0
definitions,axis+probe_family+mapping_direction,east_west|relative_map_position|word_to_meaning,8,0.375,0,0.5,0.25,0.625,0.75,0
definitions,axis+probe_family+mapping_direction,east_west|relative_map_position|meaning_to_word,8,0.5,0,0.375,0.625,0.375,1,0
definitions,axis+probe_family+reference_surface,north_south|direction_definition|map,16,0.71875,0.5625,0.6875,0.75,0.46875,0.3125,0
definitions,axis+probe_family+reference_surface,north_south|opposite_direction|none,8,0.875,0.875,0.875,0.875,0.5,0,0
definitions,axis+probe_family+reference_surface,north_south|relative_map_position|map,8,0.5,0.125,0.75,0.25,0.75,0.75,0
definitions,axis+probe_family+reference_surface,east_west|direction_definition|map,16,0.71875,0.4375,0.625,0.8125,0.40625,0.5625,0
definitions,axis+probe_family+reference_surface,east_west|opposite_direction|none,8,0.9375,0.875,0.875,1,0.4375,0.125,0
definitions,axis+probe_family+reference_surface,east_west|relative_map_position|map,8,0.5,0,0.5,0.5,0.5,1,0
definitions,axis+probe_family+reference_surface,north_south|relative_map_position|globe,8,0.5,0,0.625,0.375,0.625,1,0
definitions,axis+probe_family+reference_surface,east_west|relative_map_position|globe,8,0.375,0,0.375,0.375,0.5,0.75,0
definitions,axis+wording_family+wording_id,north_south|map_edge|plain,2,0.75,0.5,1,0.5,0.75,0.5,0
