match_type,probe_id_a,probe_id_b,expected_gold_change,scene_cluster_id
context_entity_order,event__static_adjacent__numeric__a_b__target_first__reference_first__increasing__none,event__static_adjacent__numeric__a_b__target_first__target_first__increasing__none,False,static_adjacent
context_entity_order,event__static_adjacent__numeric__a_b__target_first__reference_first__decreasing__none,event__static_adjacent__numeric__a_b__target_first__target_first__decreasing__none,False,static_adjacent
context_entity_order,event__static_adjacent__numeric__a_b__reference_first__reference_first__increasing__none,event__static_adjacent__numeric__a_b__reference_first__target_first__increasing__none,False,static_adjacent
context_entity_order,event__static_adjacent__numeric__a_b__reference_first__reference_first__decreasing__none,event__static_adjacent__numeric__a_b__reference_first__target_first__decreasing__none,False,static_adjacent
context_entity_order,event__static_adjacent__numeric__maya_eli__target_first__reference_first__increasing__none,event__static_adjacent__numeric__maya_eli__target_first__target_first__increasing__none,False,static_adjacent
context_entity_order,event__static_adjacent__numeric__maya_eli__target_first__reference_first__decreasing__none,event__static_adjacent__numeric__maya_eli__target_first__target_first__decreasing__none,False,static_adjacent
context_entity_order,event__static_adjacent__numeric__maya_eli__reference_first__reference_first__increasing__none,event__static_adjacent__numeric__maya_eli__reference_first__target_first__increasing__none,False,static_adjacent
context_entity_order,event__static_adjacent__numeric__maya_eli__reference_first__reference_first__decreasing__none,event__static_adjacent__numeric__maya_eli__reference_first__target_first__decreasing__none,False,static_adjacent
context_entity_order,event__static_separated__numeric__a_b__target_first__reference_first__increasing__none,event__static_separated__numeric__a_b__target_first__target_first__increasing__none,False,static_separated
context_entity_order,event__static_separated__numeric__a_b__target_first__reference_first__decreasing__none,event__static_separated__numeric__a_b__target_first__target_first__decreasing__none,False,static_separated
context_entity_order,event__static_separated__numeric__a_b__reference_first__reference_first__increasing__none,event__static_separated__numeric__a_b__reference_first__target_first__increasing__none,False,static_separated
context_entity_order,event__static_separated__numeric__a_b__reference_first__reference_first__decreasing__none,event__static_separated__numeric__a_b__reference_first__target_first__decreasing__none,False,static_separated
context_entity_order,event__static_separated__numeric__maya_eli__target_first__reference_first__increasing__none,event__static_separated__numeric__maya_eli__target_first__target_first__increasing__none,False,static_separated
context_entity_order,event__static_separated__numeric__maya_eli__target_first__reference_first__decreasing__none,event__static_separated__numeric__maya_eli__target_first__target_first__decreasing__none,False,static_separated
context_entity_order,event__static_separated__numeric__maya_eli__reference_first__reference_first__increasing__none,event__static_separated__numeric__maya_eli__reference_first__target_first__increasing__none,False,static_separated
context_entity_order,event__static_separated__numeric__maya_eli__reference_first__reference_first__decreasing__none,event__static_separated__numeric__maya_eli__reference_first__target_first__decreasing__none,False,static_separated
context_entity_order,event__static_interior__numeric__a_b__target_first__reference_first__increasing__none,event__static_interior__numeric__a_b__target_first__target_first__increasing__none,False,static_interior
context_entity_order,event__static_interior__numeric__a_b__target_first__reference_first__decreasing__none,event__static_interior__numeric__a_b__target_first__target_first__decreasing__none,False,static_interior
context_entity_order,event__static_interior__numeric__a_b__reference_first__reference_first__increasing__none,event__static_interior__numeric__a_b__reference_first__target_first__increasing__none,False,static_interior
context_entity_order,event__static_interior__numeric__a_b__reference_first__reference_first__decreasing__none,event__static_interior__numeric__a_b__reference_first__target_first__decreasing__none,False,static_interior
context_entity_order,event__static_interior__numeric__maya_eli__target_first__reference_first__increasing__none,event__static_interior__numeric__maya_eli__target_first__target_first__increasing__none,False,static_interior
context_entity_order,event__static_interior__numeric__maya_eli__target_first__reference_first__decreasing__none,event__static_interior__numeric__maya_eli__target_first__target_first__decreasing__none,False,static_interior
context_entity_order,event__static_interior__numeric__maya_eli__reference_first__reference_first__increasing__none,event__static_interior__numeric__maya_eli__reference_first__target_first__increasing__none,False,static_interior
context_entity_order,event__static_interior__numeric__maya_eli__reference_first__reference_first__decreasing__none,event__static_interior__numeric__maya_eli__reference_first__target_first__decreasing__none,False,static_interior
context_entity_order,event__target_cross_forward__numeric__a_b__target_first__reference_first__increasing__none,event__target_cross_forward__numeric__a_b__target_first__target_first__increasing__none,False,target_cross_forward
context_entity_order,event__target_cross_forward__numeric__a_b__target_first__reference_first__decreasing__none,event__target_cross_forward__numeric__a_b__target_first__target_first__decreasing__none,False,target_cross_forward
context_entity_order,event__target_cross_forward__numeric__a_b__reference_first__reference_first__increasing__none,event__target_cross_forward__numeric__a_b__reference_first__target_first__increasing__none,False,target_cross_forward
context_entity_order,event__target_cross_forward__numeric__a_b__reference_first__reference_first__decreasing__none,event__target_cross_forward__numeric__a_b__reference_first__target_first__decreasing__none,False,target_cross_forward
context_entity_order,event__target_cross_forward__numeric__maya_eli__target_first__reference_first__increasing__none,event__target_cross_forward__numeric__maya_eli__target_first__target_first__increasing__none,False,target_cross_forward
context_entity_order,event__target_cross_forward__numeric__maya_eli__target_first__reference_first__decreasing__none,event__target_cross_forward__numeric__maya_eli__target_first__target_first__decreasing__none,False,target_cross_forward
context_entity_order,event__target_cross_forward__numeric__maya_eli__reference_first__reference_first__increasing__none,event__target_cross_forward__numeric__maya_eli__reference_first__target_first__increasing__none,False,target_cross_forward
context_entity_order,event__target_cross_forward__numeric__maya_eli__reference_first__reference_first__decreasing__none,event__target_cross_forward__numeric__maya_eli__reference_first__target_first__decreasing__none,False,target_cross_forward
context_entity_order,event__reference_cross_forward__numeric__a_b__target_first__reference_first__increasing__none,event__reference_cross_forward__numeric__a_b__target_first__target_first__increasing__none,False,reference_cross_forward
context_entity_order,event__reference_cross_forward__numeric__a_b__target_first__reference_first__decreasing__none,event__reference_cross_forward__numeric__a_b__target_first__target_first__decreasing__none,False,reference_cross_forward
context_entity_order,event__reference_cross_forward__numeric__a_b__reference_first__reference_first__increasing__none,event__reference_cross_forward__numeric__a_b__reference_first__target_first__increasing__none,False,reference_cross_forward
context_entity_order,event__reference_cross_forward__numeric__a_b__reference_first__reference_first__decreasing__none,event__reference_cross_forward__numeric__a_b__reference_first__target_first__decreasing__none,False,reference_cross_forward
context_entity_order,event__reference_cross_forward__numeric__maya_eli__target_first__reference_first__increasing__none,event__reference_cross_forward__numeric__maya_eli__target_first__target_first__increasing__none,False,reference_cross_forward
context_entity_order,event__reference_cross_forward__numeric__maya_eli__target_first__reference_first__decreasing__none,event__reference_cross_forward__numeric__maya_eli__target_first__target_first__decreasing__none,False,reference_cross_forward
context_entity_order,event__reference_cross_forward__numeric__maya_eli__reference_first__reference_first__increasing__none,event__reference_cross_forward__numeric__maya_eli__reference_first__target_first__increasing__none,False,reference_cross_forward
context_entity_order,event__reference_cross_forward__numeric__maya_eli__reference_first__reference_first__decreasing__none,event__reference_cross_forward__numeric__maya_eli__reference_first__target_first__decreasing__none,False,reference_cross_forward
context_entity_order,event__approach_without_crossing__numeric__a_b__target_first__reference_first__increasing__none,event__approach_without_crossing__numeric__a_b__target_first__target_first__increasing__none,False,approach_without_crossing
context_entity_order,event__approach_without_crossing__numeric__a_b__target_first__reference_first__decreasing__none,event__approach_without_crossing__numeric__a_b__target_first__target_first__decreasing__none,False,approach_without_crossing
context_entity_order,event__approach_without_crossing__numeric__a_b__reference_first__reference_first__increasing__none,event__approach_without_crossing__numeric__a_b__reference_first__target_first__increasing__none,False,approach_without_crossing
context_entity_order,event__approach_without_crossing__numeric__a_b__reference_first__reference_first__decreasing__none,event__approach_without_crossing__numeric__a_b__reference_first__target_first__decreasing__none,False,approach_without_crossing
context_entity_order,event__approach_without_crossing__numeric__maya_eli__target_first__reference_first__increasing__none,event__approach_without_crossing__numeric__maya_eli__target_first__target_first__increasing__none,False,approach_without_crossing
context_entity_order,event__approach_without_crossing__numeric__maya_eli__target_first__reference_first__decreasing__none,event__approach_without_crossing__numeric__maya_eli__target_first__target_first__decreasing__none,False,approach_without_crossing
context_entity_order,event__approach_without_crossing__numeric__maya_eli__reference_first__reference_first__increasing__none,event__approach_without_crossing__numeric__maya_eli__reference_first__target_first__increasing__none,False,approach_without_crossing
context_entity_order,event__approach_without_crossing__numeric__maya_eli__reference_first__reference_first__decreasing__none,event__approach_without_crossing__numeric__maya_eli__reference_first__target_first__decreasing__none,False,approach_without_crossing
context_entity_order,event__recede_without_crossing__numeric__a_b__target_first__reference_first__increasing__none,event__recede_without_crossing__numeric__a_b__target_first__target_first__increasing__none,False,recede_without_crossing
context_entity_order,event__recede_without_crossing__numeric__a_b__target_first__reference_first__decreasing__none,event__recede_without_crossing__numeric__a_b__target_first__target_first__decreasing__none,False,recede_without_crossing
context_entity_order,event__recede_without_crossing__numeric__a_b__reference_first__reference_first__increasing__none,event__recede_without_crossing__numeric__a_b__reference_first__target_first__increasing__none,False,recede_without_crossing
context_entity_order,event__recede_without_crossing__numeric__a_b__reference_first__reference_first__decreasing__none,event__recede_without_crossing__numeric__a_b__reference_first__target_first__decreasing__none,False,recede_without_crossing
context_entity_order,event__recede_without_crossing__numeric__maya_eli__target_first__reference_first__increasing__none,event__recede_without_crossing__numeric__maya_eli__target_first__target_first__increasing__none,False,recede_without_crossing
context_entity_order,event__recede_without_crossing__numeric__maya_eli__target_first__reference_first__decreasing__none,event__recede_without_crossing__numeric__maya_eli__target_first__target_first__decreasing__none,False,recede_without_crossing
