source_kind,grouping,group,method,first_answer,second_answer,n_pairs,n_judgments,accuracy,first_gold_accuracy,second_gold_accuracy,first_chosen_fraction,second_chosen_fraction,choice_gap_percentage_points,both_correct_fraction,always_first_fraction,always_second_fraction,both_wrong_fraction,pair_with_tie_fraction,tie_judgments,context_sensitivity_accuracy
above_below_definition,probe_family+direction,literal_definition|word_to_definition,raw,above definition,below definition,24,48,0.5625,1.0,0.125,0.9375,0.0625,87.5,0.125,0.875,0.0,0.0,0.0,0,0.8333333333333334
above_below_definition,probe_family+direction,literal_definition|definition_to_word,raw,above,below,40,80,0.6125,0.975,0.25,0.8625,0.1375,72.50000000000001,0.25,0.725,0.0,0.025,0.0,0,0.6375
above_below_definition,probe_family+direction,lexical_synonym|word_to_synonym,raw,over,under,6,12,1.0,1.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0,0.9166666666666666
above_below_definition,probe_family+direction,lexical_synonym|synonym_to_word,raw,above,below,10,20,0.39999999999999997,0.7,0.1,0.8,0.2,60.00000000000001,0.1,0.6,0.0,0.3,0.0,0,0.55
above_below_definition,probe_family+direction+design_block,literal_definition|word_to_definition|base,raw,above definition,below definition,24,48,0.5625,1.0,0.125,0.9375,0.0625,87.5,0.125,0.875,0.0,0.0,0.0,0,0.8333333333333334
above_below_definition,probe_family+direction+design_block,literal_definition|definition_to_word|base,raw,above,below,8,16,0.4375,0.875,0.0,0.9375,0.0625,87.5,0.0,0.875,0.0,0.125,0.0,0,0.5
above_below_definition,probe_family+direction+design_block,lexical_synonym|word_to_synonym|base,raw,over,under,6,12,1.0,1.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0,0.9166666666666666
above_below_definition,probe_family+direction+design_block,lexical_synonym|synonym_to_word|base,raw,above,below,2,4,0.5,1.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0,0.75
above_below_definition,probe_family+direction+design_block,literal_definition|definition_to_word|entity_order_extension,raw,above,below,32,64,0.65625,1.0,0.3125,0.84375,0.15625,68.75,0.3125,0.6875,0.0,0.0,0.0,0,0.671875
above_below_definition,probe_family+direction+design_block,lexical_synonym|synonym_to_word|entity_order_extension,raw,above,below,8,16,0.375,0.625,0.125,0.75,0.25,50.0,0.125,0.5,0.0,0.375,0.0,0,0.5
above_below_definition,probe_family+direction+phrase_pair_id,literal_definition|word_to_definition|vertical_higher_lower,raw,above definition,below definition,6,12,0.5,1.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0,0.8333333333333334
above_below_definition,probe_family+direction+phrase_pair_id,literal_definition|word_to_definition|greater_lesser_height,raw,above definition,below definition,6,12,0.5,1.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0,0.75
above_below_definition,probe_family+direction+phrase_pair_id,literal_definition|word_to_definition|higher_up_lower_down,raw,above definition,below definition,6,12,0.5,1.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0,0.9166666666666666
above_below_definition,probe_family+direction+phrase_pair_id,literal_definition|word_to_definition|higher_lower,raw,above definition,below definition,6,12,0.75,1.0,0.5,0.75,0.25,50.0,0.5,0.5,0.0,0.0,0.0,0,0.8333333333333334
above_below_definition,probe_family+direction+phrase_pair_id,literal_definition|definition_to_word|vertical_higher_lower,raw,above,below,10,20,0.6,1.0,0.2,0.9,0.1,80.0,0.2,0.8,0.0,0.0,0.0,0,0.7
above_below_definition,probe_family+direction+phrase_pair_id,literal_definition|definition_to_word|greater_lesser_height,raw,above,below,10,20,0.7,1.0,0.4,0.8,0.2,60.00000000000001,0.4,0.6,0.0,0.0,0.0,0,0.7
above_below_definition,probe_family+direction+phrase_pair_id,literal_definition|definition_to_word|higher_up_lower_down,raw,above,below,10,20,0.6,1.0,0.2,0.9,0.1,80.0,0.2,0.8,0.0,0.0,0.0,0,0.6
above_below_definition,probe_family+direction+phrase_pair_id,literal_definition|definition_to_word|higher_lower,raw,above,below,10,20,0.55,0.9,0.2,0.85,0.15,70.0,0.2,0.7,0.0,0.1,0.0,0,0.55
above_below_definition,probe_family+direction+phrase_pair_id,lexical_synonym|word_to_synonym|over_under,raw,over,under,6,12,1.0,1.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0,0.9166666666666666
above_below_definition,probe_family+direction+phrase_pair_id,lexical_synonym|synonym_to_word|over_under,raw,above,below,10,20,0.39999999999999997,0.7,0.1,0.8,0.2,60.00000000000001,0.1,0.6,0.0,0.3,0.0,0,0.55
above_below_definition,probe_family+direction+definition_structure_id,literal_definition|word_to_definition|generic,raw,above definition,below definition,12,24,0.5416666666666666,1.0,0.08333333333333333,0.9583333333333334,0.041666666666666664,91.66666666666667,0.08333333333333333,0.9166666666666666,0.0,0.0,0.0,0,0.875
