reference_probe_id,variant_probe_id,control,variant_condition,target_order
name_0__obj_ball__direct_label__person_first,name_0__obj_ball__proximity_paraphrase__person_first,evidence,proximity_paraphrase,person_first
name_0__obj_ball__direct_label__person_first,name_0__obj_ball__physical_placement__person_first,evidence,physical_placement,person_first
name_0__obj_ball__physical_placement__person_first,name_0__obj_ball__physical_placement_fronted__person_first,context_order,physical_placement_fronted,person_first
name_0__obj_ball__physical_placement__person_first,name_0__obj_ball__physical_placement_person_subject__person_first,context_order,physical_placement_person_subject,person_first
name_0__obj_ball__direct_label__object_first,name_0__obj_ball__proximity_paraphrase__object_first,evidence,proximity_paraphrase,object_first
name_0__obj_ball__direct_label__object_first,name_0__obj_ball__physical_placement__object_first,evidence,physical_placement,object_first
name_0__obj_ball__physical_placement__object_first,name_0__obj_ball__physical_placement_fronted__object_first,context_order,physical_placement_fronted,object_first
name_0__obj_ball__physical_placement__object_first,name_0__obj_ball__physical_placement_person_subject__object_first,context_order,physical_placement_person_subject,object_first
name_0__obj_bag__direct_label__person_first,name_0__obj_bag__proximity_paraphrase__person_first,evidence,proximity_paraphrase,person_first
name_0__obj_bag__direct_label__person_first,name_0__obj_bag__physical_placement__person_first,evidence,physical_placement,person_first
name_0__obj_bag__physical_placement__person_first,name_0__obj_bag__physical_placement_fronted__person_first,context_order,physical_placement_fronted,person_first
name_0__obj_bag__physical_placement__person_first,name_0__obj_bag__physical_placement_person_subject__person_first,context_order,physical_placement_person_subject,person_first
name_0__obj_bag__direct_label__object_first,name_0__obj_bag__proximity_paraphrase__object_first,evidence,proximity_paraphrase,object_first
name_0__obj_bag__direct_label__object_first,name_0__obj_bag__physical_placement__object_first,evidence,physical_placement,object_first
name_0__obj_bag__physical_placement__object_first,name_0__obj_bag__physical_placement_fronted__object_first,context_order,physical_placement_fronted,object_first
name_0__obj_bag__physical_placement__object_first,name_0__obj_bag__physical_placement_person_subject__object_first,context_order,physical_placement_person_subject,object_first
name_0__obj_book__direct_label__person_first,name_0__obj_book__proximity_paraphrase__person_first,evidence,proximity_paraphrase,person_first
name_0__obj_book__direct_label__person_first,name_0__obj_book__physical_placement__person_first,evidence,physical_placement,person_first
name_0__obj_book__physical_placement__person_first,name_0__obj_book__physical_placement_fronted__person_first,context_order,physical_placement_fronted,person_first
name_0__obj_book__physical_placement__person_first,name_0__obj_book__physical_placement_person_subject__person_first,context_order,physical_placement_person_subject,person_first
name_0__obj_book__direct_label__object_first,name_0__obj_book__proximity_paraphrase__object_first,evidence,proximity_paraphrase,object_first
name_0__obj_book__direct_label__object_first,name_0__obj_book__physical_placement__object_first,evidence,physical_placement,object_first
name_0__obj_book__physical_placement__object_first,name_0__obj_book__physical_placement_fronted__object_first,context_order,physical_placement_fronted,object_first
name_0__obj_book__physical_placement__object_first,name_0__obj_book__physical_placement_person_subject__object_first,context_order,physical_placement_person_subject,object_first
name_0__obj_cone__direct_label__person_first,name_0__obj_cone__proximity_paraphrase__person_first,evidence,proximity_paraphrase,person_first
name_0__obj_cone__direct_label__person_first,name_0__obj_cone__physical_placement__person_first,evidence,physical_placement,person_first
name_0__obj_cone__physical_placement__person_first,name_0__obj_cone__physical_placement_fronted__person_first,context_order,physical_placement_fronted,person_first
name_0__obj_cone__physical_placement__person_first,name_0__obj_cone__physical_placement_person_subject__person_first,context_order,physical_placement_person_subject,person_first
name_0__obj_cone__direct_label__object_first,name_0__obj_cone__proximity_paraphrase__object_first,evidence,proximity_paraphrase,object_first
name_0__obj_cone__direct_label__object_first,name_0__obj_cone__physical_placement__object_first,evidence,physical_placement,object_first
name_0__obj_cone__physical_placement__object_first,name_0__obj_cone__physical_placement_fronted__object_first,context_order,physical_placement_fronted,object_first
name_0__obj_cone__physical_placement__object_first,name_0__obj_cone__physical_placement_person_subject__object_first,context_order,physical_placement_person_subject,object_first
name_0__obj_helmet__direct_label__person_first,name_0__obj_helmet__proximity_paraphrase__person_first,evidence,proximity_paraphrase,person_first
name_0__obj_helmet__direct_label__person_first,name_0__obj_helmet__physical_placement__person_first,evidence,physical_placement,person_first
name_0__obj_helmet__physical_placement__person_first,name_0__obj_helmet__physical_placement_fronted__person_first,context_order,physical_placement_fronted,person_first
name_0__obj_helmet__physical_placement__person_first,name_0__obj_helmet__physical_placement_person_subject__person_first,context_order,physical_placement_person_subject,person_first
name_0__obj_helmet__direct_label__object_first,name_0__obj_helmet__proximity_paraphrase__object_first,evidence,proximity_paraphrase,object_first
name_0__obj_helmet__direct_label__object_first,name_0__obj_helmet__physical_placement__object_first,evidence,physical_placement,object_first
name_0__obj_helmet__physical_placement__object_first,name_0__obj_helmet__physical_placement_fronted__object_first,context_order,physical_placement_fronted,object_first
name_0__obj_helmet__physical_placement__object_first,name_0__obj_helmet__physical_placement_person_subject__object_first,context_order,physical_placement_person_subject,object_first
name_1__obj_ball__direct_label__person_first,name_1__obj_ball__proximity_paraphrase__person_first,evidence,proximity_paraphrase,person_first
name_1__obj_ball__direct_label__person_first,name_1__obj_ball__physical_placement__person_first,evidence,physical_placement,person_first
name_1__obj_ball__physical_placement__person_first,name_1__obj_ball__physical_placement_fronted__person_first,context_order,physical_placement_fronted,person_first
name_1__obj_ball__physical_placement__person_first,name_1__obj_ball__physical_placement_person_subject__person_first,context_order,physical_placement_person_subject,person_first
name_1__obj_ball__direct_label__object_first,name_1__obj_ball__proximity_paraphrase__object_first,evidence,proximity_paraphrase,object_first
name_1__obj_ball__direct_label__object_first,name_1__obj_ball__physical_placement__object_first,evidence,physical_placement,object_first
name_1__obj_ball__physical_placement__object_first,name_1__obj_ball__physical_placement_fronted__object_first,context_order,physical_placement_fronted,object_first
name_1__obj_ball__physical_placement__object_first,name_1__obj_ball__physical_placement_person_subject__object_first,context_order,physical_placement_person_subject,object_first
name_1__obj_bag__direct_label__person_first,name_1__obj_bag__proximity_paraphrase__person_first,evidence,proximity_paraphrase,person_first
name_1__obj_bag__direct_label__person_first,name_1__obj_bag__physical_placement__person_first,evidence,physical_placement,person_first
name_1__obj_bag__physical_placement__person_first,name_1__obj_bag__physical_placement_fronted__person_first,context_order,physical_placement_fronted,person_first
name_1__obj_bag__physical_placement__person_first,name_1__obj_bag__physical_placement_person_subject__person_first,context_order,physical_placement_person_subject,person_first
name_1__obj_bag__direct_label__object_first,name_1__obj_bag__proximity_paraphrase__object_first,evidence,proximity_paraphrase,object_first
name_1__obj_bag__direct_label__object_first,name_1__obj_bag__physical_placement__object_first,evidence,physical_placement,object_first
name_1__obj_bag__physical_placement__object_first,name_1__obj_bag__physical_placement_fronted__object_first,context_order,physical_placement_fronted,object_first
name_1__obj_bag__physical_placement__object_first,name_1__obj_bag__physical_placement_person_subject__object_first,context_order,physical_placement_person_subject,object_first
name_1__obj_book__direct_label__person_first,name_1__obj_book__proximity_paraphrase__person_first,evidence,proximity_paraphrase,person_first
name_1__obj_book__direct_label__person_first,name_1__obj_book__physical_placement__person_first,evidence,physical_placement,person_first
name_1__obj_book__physical_placement__person_first,name_1__obj_book__physical_placement_fronted__person_first,context_order,physical_placement_fronted,person_first
name_1__obj_book__physical_placement__person_first,name_1__obj_book__physical_placement_person_subject__person_first,context_order,physical_placement_person_subject,person_first
name_1__obj_book__direct_label__object_first,name_1__obj_book__proximity_paraphrase__object_first,evidence,proximity_paraphrase,object_first
name_1__obj_book__direct_label__object_first,name_1__obj_book__physical_placement__object_first,evidence,physical_placement,object_first
name_1__obj_book__physical_placement__object_first,name_1__obj_book__physical_placement_fronted__object_first,context_order,physical_placement_fronted,object_first
name_1__obj_book__physical_placement__object_first,name_1__obj_book__physical_placement_person_subject__object_first,context_order,physical_placement_person_subject,object_first
name_1__obj_cone__direct_label__person_first,name_1__obj_cone__proximity_paraphrase__person_first,evidence,proximity_paraphrase,person_first
name_1__obj_cone__direct_label__person_first,name_1__obj_cone__physical_placement__person_first,evidence,physical_placement,person_first
name_1__obj_cone__physical_placement__person_first,name_1__obj_cone__physical_placement_fronted__person_first,context_order,physical_placement_fronted,person_first
name_1__obj_cone__physical_placement__person_first,name_1__obj_cone__physical_placement_person_subject__person_first,context_order,physical_placement_person_subject,person_first
name_1__obj_cone__direct_label__object_first,name_1__obj_cone__proximity_paraphrase__object_first,evidence,proximity_paraphrase,object_first
name_1__obj_cone__direct_label__object_first,name_1__obj_cone__physical_placement__object_first,evidence,physical_placement,object_first
name_1__obj_cone__physical_placement__object_first,name_1__obj_cone__physical_placement_fronted__object_first,context_order,physical_placement_fronted,object_first
name_1__obj_cone__physical_placement__object_first,name_1__obj_cone__physical_placement_person_subject__object_first,context_order,physical_placement_person_subject,object_first
name_1__obj_helmet__direct_label__person_first,name_1__obj_helmet__proximity_paraphrase__person_first,evidence,proximity_paraphrase,person_first
name_1__obj_helmet__direct_label__person_first,name_1__obj_helmet__physical_placement__person_first,evidence,physical_placement,person_first
name_1__obj_helmet__physical_placement__person_first,name_1__obj_helmet__physical_placement_fronted__person_first,context_order,physical_placement_fronted,person_first
name_1__obj_helmet__physical_placement__person_first,name_1__obj_helmet__physical_placement_person_subject__person_first,context_order,physical_placement_person_subject,person_first
name_1__obj_helmet__direct_label__object_first,name_1__obj_helmet__proximity_paraphrase__object_first,evidence,proximity_paraphrase,object_first
name_1__obj_helmet__direct_label__object_first,name_1__obj_helmet__physical_placement__object_first,evidence,physical_placement,object_first
name_1__obj_helmet__physical_placement__object_first,name_1__obj_helmet__physical_placement_fronted__object_first,context_order,physical_placement_fronted,object_first
