definition_variant_id,definition_to_word_probe_id,word_to_definition_ctx_0_probe_id,word_to_definition_ctx_1_probe_id,word_to_definition_ctx_2_probe_id
def_0_mod_0_adj_0,definition_to_word__label_0__def_0_mod_0_adj_0,word_to_definition__ctx_0__def_0_mod_0_adj_0,word_to_definition__ctx_1__def_0_mod_0_adj_0,word_to_definition__ctx_2__def_0_mod_0_adj_0
def_0_mod_0_adj_1,definition_to_word__label_0__def_0_mod_0_adj_1,word_to_definition__ctx_0__def_0_mod_0_adj_1,word_to_definition__ctx_1__def_0_mod_0_adj_1,word_to_definition__ctx_2__def_0_mod_0_adj_1
def_0_mod_1_adj_0,definition_to_word__label_0__def_0_mod_1_adj_0,word_to_definition__ctx_0__def_0_mod_1_adj_0,word_to_definition__ctx_1__def_0_mod_1_adj_0,word_to_definition__ctx_2__def_0_mod_1_adj_0
def_0_mod_1_adj_1,definition_to_word__label_0__def_0_mod_1_adj_1,word_to_definition__ctx_0__def_0_mod_1_adj_1,word_to_definition__ctx_1__def_0_mod_1_adj_1,word_to_definition__ctx_2__def_0_mod_1_adj_1
def_0_mod_2_adj_0,definition_to_word__label_0__def_0_mod_2_adj_0,word_to_definition__ctx_0__def_0_mod_2_adj_0,word_to_definition__ctx_1__def_0_mod_2_adj_0,word_to_definition__ctx_2__def_0_mod_2_adj_0
def_0_mod_2_adj_1,definition_to_word__label_0__def_0_mod_2_adj_1,word_to_definition__ctx_0__def_0_mod_2_adj_1,word_to_definition__ctx_1__def_0_mod_2_adj_1,word_to_definition__ctx_2__def_0_mod_2_adj_1
def_1_mod_0_adj_0,definition_to_word__label_0__def_1_mod_0_adj_0,word_to_definition__ctx_0__def_1_mod_0_adj_0,word_to_definition__ctx_1__def_1_mod_0_adj_0,word_to_definition__ctx_2__def_1_mod_0_adj_0
def_1_mod_0_adj_1,definition_to_word__label_0__def_1_mod_0_adj_1,word_to_definition__ctx_0__def_1_mod_0_adj_1,word_to_definition__ctx_1__def_1_mod_0_adj_1,word_to_definition__ctx_2__def_1_mod_0_adj_1
def_1_mod_1_adj_0,definition_to_word__label_0__def_1_mod_1_adj_0,word_to_definition__ctx_0__def_1_mod_1_adj_0,word_to_definition__ctx_1__def_1_mod_1_adj_0,word_to_definition__ctx_2__def_1_mod_1_adj_0
def_1_mod_1_adj_1,definition_to_word__label_0__def_1_mod_1_adj_1,word_to_definition__ctx_0__def_1_mod_1_adj_1,word_to_definition__ctx_1__def_1_mod_1_adj_1,word_to_definition__ctx_2__def_1_mod_1_adj_1
def_1_mod_2_adj_0,definition_to_word__label_0__def_1_mod_2_adj_0,word_to_definition__ctx_0__def_1_mod_2_adj_0,word_to_definition__ctx_1__def_1_mod_2_adj_0,word_to_definition__ctx_2__def_1_mod_2_adj_0
def_1_mod_2_adj_1,definition_to_word__label_0__def_1_mod_2_adj_1,word_to_definition__ctx_0__def_1_mod_2_adj_1,word_to_definition__ctx_1__def_1_mod_2_adj_1,word_to_definition__ctx_2__def_1_mod_2_adj_1
def_2_mod_0_adj_0,definition_to_word__label_0__def_2_mod_0_adj_0,word_to_definition__ctx_0__def_2_mod_0_adj_0,word_to_definition__ctx_1__def_2_mod_0_adj_0,word_to_definition__ctx_2__def_2_mod_0_adj_0
def_2_mod_0_adj_1,definition_to_word__label_0__def_2_mod_0_adj_1,word_to_definition__ctx_0__def_2_mod_0_adj_1,word_to_definition__ctx_1__def_2_mod_0_adj_1,word_to_definition__ctx_2__def_2_mod_0_adj_1
def_2_mod_1_adj_0,definition_to_word__label_0__def_2_mod_1_adj_0,word_to_definition__ctx_0__def_2_mod_1_adj_0,word_to_definition__ctx_1__def_2_mod_1_adj_0,word_to_definition__ctx_2__def_2_mod_1_adj_0
def_2_mod_1_adj_1,definition_to_word__label_0__def_2_mod_1_adj_1,word_to_definition__ctx_0__def_2_mod_1_adj_1,word_to_definition__ctx_1__def_2_mod_1_adj_1,word_to_definition__ctx_2__def_2_mod_1_adj_1
def_2_mod_2_adj_0,definition_to_word__label_0__def_2_mod_2_adj_0,word_to_definition__ctx_0__def_2_mod_2_adj_0,word_to_definition__ctx_1__def_2_mod_2_adj_0,word_to_definition__ctx_2__def_2_mod_2_adj_0
def_2_mod_2_adj_1,definition_to_word__label_0__def_2_mod_2_adj_1,word_to_definition__ctx_0__def_2_mod_2_adj_1,word_to_definition__ctx_1__def_2_mod_2_adj_1,word_to_definition__ctx_2__def_2_mod_2_adj_1
