control,base_probe_id,variant_probe_id,case_id,event_family
context_entity_order,static_outer__ball_cone__named_positions__compact__target_first__target_first,static_outer__ball_cone__named_positions__compact__reference_first__target_first,static_outer,static_placement
target_entity_order,static_outer__ball_cone__named_positions__compact__target_first__target_first,static_outer__ball_cone__named_positions__compact__target_first__reference_first,static_outer,static_placement
length_band,static_outer__ball_cone__named_positions__compact__target_first__target_first,static_outer__ball_cone__named_positions__standard__target_first__target_first,static_outer,static_placement
length_band,static_outer__ball_cone__named_positions__compact__target_first__target_first,static_outer__ball_cone__named_positions__expanded__target_first__target_first,static_outer,static_placement
evidence_type,static_outer__ball_cone__named_positions__compact__target_first__target_first,static_outer__ball_cone__numbered_left_to_right__compact__target_first__target_first,static_outer,static_placement
evidence_type,static_outer__ball_cone__named_positions__compact__target_first__target_first,static_outer__ball_cone__numbered_right_to_left__compact__target_first__target_first,static_outer,static_placement
evidence_type,static_outer__ball_cone__named_positions__compact__target_first__target_first,static_outer__ball_cone__lettered_positions__compact__target_first__target_first,static_outer,static_placement
context_entity_order,static_outer__ball_cone__named_positions__compact__target_first__reference_first,static_outer__ball_cone__named_positions__compact__reference_first__reference_first,static_outer,static_placement
length_band,static_outer__ball_cone__named_positions__compact__target_first__reference_first,static_outer__ball_cone__named_positions__standard__target_first__reference_first,static_outer,static_placement
length_band,static_outer__ball_cone__named_positions__compact__target_first__reference_first,static_outer__ball_cone__named_positions__expanded__target_first__reference_first,static_outer,static_placement
evidence_type,static_outer__ball_cone__named_positions__compact__target_first__reference_first,static_outer__ball_cone__numbered_left_to_right__compact__target_first__reference_first,static_outer,static_placement
evidence_type,static_outer__ball_cone__named_positions__compact__target_first__reference_first,static_outer__ball_cone__numbered_right_to_left__compact__target_first__reference_first,static_outer,static_placement
evidence_type,static_outer__ball_cone__named_positions__compact__target_first__reference_first,static_outer__ball_cone__lettered_positions__compact__target_first__reference_first,static_outer,static_placement
target_entity_order,static_outer__ball_cone__named_positions__compact__reference_first__target_first,static_outer__ball_cone__named_positions__compact__reference_first__reference_first,static_outer,static_placement
length_band,static_outer__ball_cone__named_positions__compact__reference_first__target_first,static_outer__ball_cone__named_positions__standard__reference_first__target_first,static_outer,static_placement
length_band,static_outer__ball_cone__named_positions__compact__reference_first__target_first,static_outer__ball_cone__named_positions__expanded__reference_first__target_first,static_outer,static_placement
evidence_type,static_outer__ball_cone__named_positions__compact__reference_first__target_first,static_outer__ball_cone__numbered_left_to_right__compact__reference_first__target_first,static_outer,static_placement
evidence_type,static_outer__ball_cone__named_positions__compact__reference_first__target_first,static_outer__ball_cone__numbered_right_to_left__compact__reference_first__target_first,static_outer,static_placement
evidence_type,static_outer__ball_cone__named_positions__compact__reference_first__target_first,static_outer__ball_cone__lettered_positions__compact__reference_first__target_first,static_outer,static_placement
length_band,static_outer__ball_cone__named_positions__compact__reference_first__reference_first,static_outer__ball_cone__named_positions__standard__reference_first__reference_first,static_outer,static_placement
length_band,static_outer__ball_cone__named_positions__compact__reference_first__reference_first,static_outer__ball_cone__named_positions__expanded__reference_first__reference_first,static_outer,static_placement
evidence_type,static_outer__ball_cone__named_positions__compact__reference_first__reference_first,static_outer__ball_cone__numbered_left_to_right__compact__reference_first__reference_first,static_outer,static_placement
evidence_type,static_outer__ball_cone__named_positions__compact__reference_first__reference_first,static_outer__ball_cone__numbered_right_to_left__compact__reference_first__reference_first,static_outer,static_placement
evidence_type,static_outer__ball_cone__named_positions__compact__reference_first__reference_first,static_outer__ball_cone__lettered_positions__compact__reference_first__reference_first,static_outer,static_placement
context_entity_order,static_outer__ball_cone__named_positions__standard__target_first__target_first,static_outer__ball_cone__named_positions__standard__reference_first__target_first,static_outer,static_placement
target_entity_order,static_outer__ball_cone__named_positions__standard__target_first__target_first,static_outer__ball_cone__named_positions__standard__target_first__reference_first,static_outer,static_placement
evidence_type,static_outer__ball_cone__named_positions__standard__target_first__target_first,static_outer__ball_cone__numbered_left_to_right__standard__target_first__target_first,static_outer,static_placement
evidence_type,static_outer__ball_cone__named_positions__standard__target_first__target_first,static_outer__ball_cone__numbered_right_to_left__standard__target_first__target_first,static_outer,static_placement
evidence_type,static_outer__ball_cone__named_positions__standard__target_first__target_first,static_outer__ball_cone__lettered_positions__standard__target_first__target_first,static_outer,static_placement
context_entity_order,static_outer__ball_cone__named_positions__standard__target_first__reference_first,static_outer__ball_cone__named_positions__standard__reference_first__reference_first,static_outer,static_placement
evidence_type,static_outer__ball_cone__named_positions__standard__target_first__reference_first,static_outer__ball_cone__numbered_left_to_right__standard__target_first__reference_first,static_outer,static_placement
evidence_type,static_outer__ball_cone__named_positions__standard__target_first__reference_first,static_outer__ball_cone__numbered_right_to_left__standard__target_first__reference_first,static_outer,static_placement
evidence_type,static_outer__ball_cone__named_positions__standard__target_first__reference_first,static_outer__ball_cone__lettered_positions__standard__target_first__reference_first,static_outer,static_placement
target_entity_order,static_outer__ball_cone__named_positions__standard__reference_first__target_first,static_outer__ball_cone__named_positions__standard__reference_first__reference_first,static_outer,static_placement
evidence_type,static_outer__ball_cone__named_positions__standard__reference_first__target_first,static_outer__ball_cone__numbered_left_to_right__standard__reference_first__target_first,static_outer,static_placement
evidence_type,static_outer__ball_cone__named_positions__standard__reference_first__target_first,static_outer__ball_cone__numbered_right_to_left__standard__reference_first__target_first,static_outer,static_placement
evidence_type,static_outer__ball_cone__named_positions__standard__reference_first__target_first,static_outer__ball_cone__lettered_positions__standard__reference_first__target_first,static_outer,static_placement
evidence_type,static_outer__ball_cone__named_positions__standard__reference_first__reference_first,static_outer__ball_cone__numbered_left_to_right__standard__reference_first__reference_first,static_outer,static_placement
evidence_type,static_outer__ball_cone__named_positions__standard__reference_first__reference_first,static_outer__ball_cone__numbered_right_to_left__standard__reference_first__reference_first,static_outer,static_placement
evidence_type,static_outer__ball_cone__named_positions__standard__reference_first__reference_first,static_outer__ball_cone__lettered_positions__standard__reference_first__reference_first,static_outer,static_placement
context_entity_order,static_outer__ball_cone__named_positions__expanded__target_first__target_first,static_outer__ball_cone__named_positions__expanded__reference_first__target_first,static_outer,static_placement
target_entity_order,static_outer__ball_cone__named_positions__expanded__target_first__target_first,static_outer__ball_cone__named_positions__expanded__target_first__reference_first,static_outer,static_placement
evidence_type,static_outer__ball_cone__named_positions__expanded__target_first__target_first,static_outer__ball_cone__numbered_left_to_right__expanded__target_first__target_first,static_outer,static_placement
evidence_type,static_outer__ball_cone__named_positions__expanded__target_first__target_first,static_outer__ball_cone__numbered_right_to_left__expanded__target_first__target_first,static_outer,static_placement
evidence_type,static_outer__ball_cone__named_positions__expanded__target_first__target_first,static_outer__ball_cone__lettered_positions__expanded__target_first__target_first,static_outer,static_placement
context_entity_order,static_outer__ball_cone__named_positions__expanded__target_first__reference_first,static_outer__ball_cone__named_positions__expanded__reference_first__reference_first,static_outer,static_placement
evidence_type,static_outer__ball_cone__named_positions__expanded__target_first__reference_first,static_outer__ball_cone__numbered_left_to_right__expanded__target_first__reference_first,static_outer,static_placement
evidence_type,static_outer__ball_cone__named_positions__expanded__target_first__reference_first,static_outer__ball_cone__numbered_right_to_left__expanded__target_first__reference_first,static_outer,static_placement
evidence_type,static_outer__ball_cone__named_positions__expanded__target_first__reference_first,static_outer__ball_cone__lettered_positions__expanded__target_first__reference_first,static_outer,static_placement
target_entity_order,static_outer__ball_cone__named_positions__expanded__reference_first__target_first,static_outer__ball_cone__named_positions__expanded__reference_first__reference_first,static_outer,static_placement
evidence_type,static_outer__ball_cone__named_positions__expanded__reference_first__target_first,static_outer__ball_cone__numbered_left_to_right__expanded__reference_first__target_first,static_outer,static_placement
evidence_type,static_outer__ball_cone__named_positions__expanded__reference_first__target_first,static_outer__ball_cone__numbered_right_to_left__expanded__reference_first__target_first,static_outer,static_placement
evidence_type,static_outer__ball_cone__named_positions__expanded__reference_first__target_first,static_outer__ball_cone__lettered_positions__expanded__reference_first__target_first,static_outer,static_placement
evidence_type,static_outer__ball_cone__named_positions__expanded__reference_first__reference_first,static_outer__ball_cone__numbered_left_to_right__expanded__reference_first__reference_first,static_outer,static_placement
evidence_type,static_outer__ball_cone__named_positions__expanded__reference_first__reference_first,static_outer__ball_cone__numbered_right_to_left__expanded__reference_first__reference_first,static_outer,static_placement
evidence_type,static_outer__ball_cone__named_positions__expanded__reference_first__reference_first,static_outer__ball_cone__lettered_positions__expanded__reference_first__reference_first,static_outer,static_placement
context_entity_order,static_outer__ball_cone__numbered_left_to_right__compact__target_first__target_first,static_outer__ball_cone__numbered_left_to_right__compact__reference_first__target_first,static_outer,static_placement
target_entity_order,static_outer__ball_cone__numbered_left_to_right__compact__target_first__target_first,static_outer__ball_cone__numbered_left_to_right__compact__target_first__reference_first,static_outer,static_placement
length_band,static_outer__ball_cone__numbered_left_to_right__compact__target_first__target_first,static_outer__ball_cone__numbered_left_to_right__standard__target_first__target_first,static_outer,static_placement
length_band,static_outer__ball_cone__numbered_left_to_right__compact__target_first__target_first,static_outer__ball_cone__numbered_left_to_right__expanded__target_first__target_first,static_outer,static_placement
numbering_direction,static_outer__ball_cone__numbered_left_to_right__compact__target_first__target_first,static_outer__ball_cone__numbered_right_to_left__compact__target_first__target_first,static_outer,static_placement
context_entity_order,static_outer__ball_cone__numbered_left_to_right__compact__target_first__reference_first,static_outer__ball_cone__numbered_left_to_right__compact__reference_first__reference_first,static_outer,static_placement
length_band,static_outer__ball_cone__numbered_left_to_right__compact__target_first__reference_first,static_outer__ball_cone__numbered_left_to_right__standard__target_first__reference_first,static_outer,static_placement
length_band,static_outer__ball_cone__numbered_left_to_right__compact__target_first__reference_first,static_outer__ball_cone__numbered_left_to_right__expanded__target_first__reference_first,static_outer,static_placement
numbering_direction,static_outer__ball_cone__numbered_left_to_right__compact__target_first__reference_first,static_outer__ball_cone__numbered_right_to_left__compact__target_first__reference_first,static_outer,static_placement
target_entity_order,static_outer__ball_cone__numbered_left_to_right__compact__reference_first__target_first,static_outer__ball_cone__numbered_left_to_right__compact__reference_first__reference_first,static_outer,static_placement
length_band,static_outer__ball_cone__numbered_left_to_right__compact__reference_first__target_first,static_outer__ball_cone__numbered_left_to_right__standard__reference_first__target_first,static_outer,static_placement
length_band,static_outer__ball_cone__numbered_left_to_right__compact__reference_first__target_first,static_outer__ball_cone__numbered_left_to_right__expanded__reference_first__target_first,static_outer,static_placement
numbering_direction,static_outer__ball_cone__numbered_left_to_right__compact__reference_first__target_first,static_outer__ball_cone__numbered_right_to_left__compact__reference_first__target_first,static_outer,static_placement
length_band,static_outer__ball_cone__numbered_left_to_right__compact__reference_first__reference_first,static_outer__ball_cone__numbered_left_to_right__standard__reference_first__reference_first,static_outer,static_placement
length_band,static_outer__ball_cone__numbered_left_to_right__compact__reference_first__reference_first,static_outer__ball_cone__numbered_left_to_right__expanded__reference_first__reference_first,static_outer,static_placement
numbering_direction,static_outer__ball_cone__numbered_left_to_right__compact__reference_first__reference_first,static_outer__ball_cone__numbered_right_to_left__compact__reference_first__reference_first,static_outer,static_placement
context_entity_order,static_outer__ball_cone__numbered_left_to_right__standard__target_first__target_first,static_outer__ball_cone__numbered_left_to_right__standard__reference_first__target_first,static_outer,static_placement
target_entity_order,static_outer__ball_cone__numbered_left_to_right__standard__target_first__target_first,static_outer__ball_cone__numbered_left_to_right__standard__target_first__reference_first,static_outer,static_placement
numbering_direction,static_outer__ball_cone__numbered_left_to_right__standard__target_first__target_first,static_outer__ball_cone__numbered_right_to_left__standard__target_first__target_first,static_outer,static_placement
context_entity_order,static_outer__ball_cone__numbered_left_to_right__standard__target_first__reference_first,static_outer__ball_cone__numbered_left_to_right__standard__reference_first__reference_first,static_outer,static_placement
numbering_direction,static_outer__ball_cone__numbered_left_to_right__standard__target_first__reference_first,static_outer__ball_cone__numbered_right_to_left__standard__target_first__reference_first,static_outer,static_placement
target_entity_order,static_outer__ball_cone__numbered_left_to_right__standard__reference_first__target_first,static_outer__ball_cone__numbered_left_to_right__standard__reference_first__reference_first,static_outer,static_placement
numbering_direction,static_outer__ball_cone__numbered_left_to_right__standard__reference_first__target_first,static_outer__ball_cone__numbered_right_to_left__standard__reference_first__target_first,static_outer,static_placement
numbering_direction,static_outer__ball_cone__numbered_left_to_right__standard__reference_first__reference_first,static_outer__ball_cone__numbered_right_to_left__standard__reference_first__reference_first,static_outer,static_placement
context_entity_order,static_outer__ball_cone__numbered_left_to_right__expanded__target_first__target_first,static_outer__ball_cone__numbered_left_to_right__expanded__reference_first__target_first,static_outer,static_placement
target_entity_order,static_outer__ball_cone__numbered_left_to_right__expanded__target_first__target_first,static_outer__ball_cone__numbered_left_to_right__expanded__target_first__reference_first,static_outer,static_placement
numbering_direction,static_outer__ball_cone__numbered_left_to_right__expanded__target_first__target_first,static_outer__ball_cone__numbered_right_to_left__expanded__target_first__target_first,static_outer,static_placement
