probe_id,probe_version,probe_family,event_family,event_subtype,case_id,object_pair_id,target_object,reference_object,reference_frame,evidence_type,displayed_slot_labels_left_to_right,length_band,context_entity_order,last_mentioned_entity,target_entity_order,correct_target_for_context1,correct_target_for_context2,Target1,target1_relation_word,context1_target_relation,Context1,target_motion_left,target_start_left,target_start_label_left,target_end_left,target_end_label_left,reference_motion_left,reference_start_left,reference_start_label_left,reference_end_left,reference_end_label_left,initial_relation_left,final_relation_left,order_reversed_left,Target2,target2_relation_word,context2_target_relation,Context2,target_motion_right,target_start_right,target_start_label_right,target_end_right,target_end_label_right,reference_motion_right,reference_start_right,reference_start_label_right,reference_end_right,reference_end_label_right,initial_relation_right,final_relation_right,order_reversed_right,Context1_word_count,Context2_word_count,Target1_word_count,Target2_word_count
static_outer__ball_cone__named_positions__compact__target_first__target_first,1.2,applied,static_placement,outer_positions,static_outer,ball_cone,ball,cone,reader_view_fixed_screen,named_positions,"far-left, inner-left, center, inner-right, far-right",compact,target_first,reference,target_first,Target1,Target2,The ball icon is to the left of the cone icon.,left,left,"Fixed screen slots, left to right: far-left, inner-left, center, inner-right, far-right. The ball icon is at far-left. The cone icon is at far-right.",still,1,far-left,1,far-left,still,5,far-right,5,far-right,left,left,False,The ball icon is to the right of the cone icon.,right,right,"Fixed screen slots, left to right: far-left, inner-left, center, inner-right, far-right. The ball icon is at far-right. The cone icon is at far-left.",still,5,far-right,5,far-right,still,1,far-left,1,far-left,right,right,False,29,29,11,11
static_outer__ball_cone__numbered_left_to_right__compact__target_first__target_first,1.2,applied,static_placement,outer_positions,static_outer,ball_cone,ball,cone,reader_view_fixed_screen,numbered_left_to_right,"1, 2, 3, 4, 5",compact,target_first,reference,target_first,Target1,Target2,The ball icon is to the left of the cone icon.,left,left,"Fixed screen slots, left to right: 1, 2, 3, 4, 5. The ball icon is at 1. The cone icon is at 5.",still,1,1,1,1,still,5,5,5,5,left,left,False,The ball icon is to the right of the cone icon.,right,right,"Fixed screen slots, left to right: 1, 2, 3, 4, 5. The ball icon is at 5. The cone icon is at 1.",still,5,5,5,5,still,1,1,1,1,right,right,False,23,23,11,11
static_outer__ball_cone__numbered_right_to_left__compact__target_first__target_first,1.2,applied,static_placement,outer_positions,static_outer,ball_cone,ball,cone,reader_view_fixed_screen,numbered_right_to_left,"5, 4, 3, 2, 1",compact,target_first,reference,target_first,Target1,Target2,The ball icon is to the left of the cone icon.,left,left,"Fixed screen slots, left to right: 5, 4, 3, 2, 1. The ball icon is at 5. The cone icon is at 1.",still,1,5,1,5,still,5,1,5,1,left,left,False,The ball icon is to the right of the cone icon.,right,right,"Fixed screen slots, left to right: 5, 4, 3, 2, 1. The ball icon is at 1. The cone icon is at 5.",still,5,1,5,1,still,1,5,1,5,right,right,False,23,23,11,11
static_outer__ball_cone__lettered_positions__compact__target_first__target_first,1.2,applied,static_placement,outer_positions,static_outer,ball_cone,ball,cone,reader_view_fixed_screen,lettered_positions,"A, B, C, D, E",compact,target_first,reference,target_first,Target1,Target2,The ball icon is to the left of the cone icon.,left,left,"Fixed screen slots, left to right: A, B, C, D, E. The ball icon is at A. The cone icon is at E.",still,1,A,1,A,still,5,E,5,E,left,left,False,The ball icon is to the right of the cone icon.,right,right,"Fixed screen slots, left to right: A, B, C, D, E. The ball icon is at E. The cone icon is at A.",still,5,E,5,E,still,1,A,1,A,right,right,False,23,23,11,11
static_inner__ball_cone__named_positions__compact__target_first__target_first,1.2,applied,static_placement,inner_positions,static_inner,ball_cone,ball,cone,reader_view_fixed_screen,named_positions,"far-left, inner-left, center, inner-right, far-right",compact,target_first,reference,target_first,Target1,Target2,The ball icon is to the left of the cone icon.,left,left,"Fixed screen slots, left to right: far-left, inner-left, center, inner-right, far-right. The ball icon is at inner-left. The cone icon is at inner-right.",still,2,inner-left,2,inner-left,still,4,inner-right,4,inner-right,left,left,False,The ball icon is to the right of the cone icon.,right,right,"Fixed screen slots, left to right: far-left, inner-left, center, inner-right, far-right. The ball icon is at inner-right. The cone icon is at inner-left.",still,4,inner-right,4,inner-right,still,2,inner-left,2,inner-left,right,right,False,29,29,11,11
static_inner__ball_cone__numbered_left_to_right__compact__target_first__target_first,1.2,applied,static_placement,inner_positions,static_inner,ball_cone,ball,cone,reader_view_fixed_screen,numbered_left_to_right,"1, 2, 3, 4, 5",compact,target_first,reference,target_first,Target1,Target2,The ball icon is to the left of the cone icon.,left,left,"Fixed screen slots, left to right: 1, 2, 3, 4, 5. The ball icon is at 2. The cone icon is at 4.",still,2,2,2,2,still,4,4,4,4,left,left,False,The ball icon is to the right of the cone icon.,right,right,"Fixed screen slots, left to right: 1, 2, 3, 4, 5. The ball icon is at 4. The cone icon is at 2.",still,4,4,4,4,still,2,2,2,2,right,right,False,23,23,11,11
static_inner__ball_cone__numbered_right_to_left__compact__target_first__target_first,1.2,applied,static_placement,inner_positions,static_inner,ball_cone,ball,cone,reader_view_fixed_screen,numbered_right_to_left,"5, 4, 3, 2, 1",compact,target_first,reference,target_first,Target1,Target2,The ball icon is to the left of the cone icon.,left,left,"Fixed screen slots, left to right: 5, 4, 3, 2, 1. The ball icon is at 4. The cone icon is at 2.",still,2,4,2,4,still,4,2,4,2,left,left,False,The ball icon is to the right of the cone icon.,right,right,"Fixed screen slots, left to right: 5, 4, 3, 2, 1. The ball icon is at 2. The cone icon is at 4.",still,4,2,4,2,still,2,4,2,4,right,right,False,23,23,11,11
static_inner__ball_cone__lettered_positions__compact__target_first__target_first,1.2,applied,static_placement,inner_positions,static_inner,ball_cone,ball,cone,reader_view_fixed_screen,lettered_positions,"A, B, C, D, E",compact,target_first,reference,target_first,Target1,Target2,The ball icon is to the left of the cone icon.,left,left,"Fixed screen slots, left to right: A, B, C, D, E. The ball icon is at B. The cone icon is at D.",still,2,B,2,B,still,4,D,4,D,left,left,False,The ball icon is to the right of the cone icon.,right,right,"Fixed screen slots, left to right: A, B, C, D, E. The ball icon is at D. The cone icon is at B.",still,4,D,4,D,still,2,B,2,B,right,right,False,23,23,11,11
static_offset__ball_cone__named_positions__compact__target_first__target_first,1.2,applied,static_placement,off_center_reference,static_offset,ball_cone,ball,cone,reader_view_fixed_screen,named_positions,"far-left, inner-left, center, inner-right, far-right",compact,target_first,reference,target_first,Target1,Target2,The ball icon is to the left of the cone icon.,left,left,"Fixed screen slots, left to right: far-left, inner-left, center, inner-right, far-right. The ball icon is at far-left. The cone icon is at center.",still,1,far-left,1,far-left,still,3,center,3,center,left,left,False,The ball icon is to the right of the cone icon.,right,right,"Fixed screen slots, left to right: far-left, inner-left, center, inner-right, far-right. The ball icon is at center. The cone icon is at far-left.",still,3,center,3,center,still,1,far-left,1,far-left,right,right,False,28,28,11,11
static_offset__ball_cone__numbered_left_to_right__compact__target_first__target_first,1.2,applied,static_placement,off_center_reference,static_offset,ball_cone,ball,cone,reader_view_fixed_screen,numbered_left_to_right,"1, 2, 3, 4, 5",compact,target_first,reference,target_first,Target1,Target2,The ball icon is to the left of the cone icon.,left,left,"Fixed screen slots, left to right: 1, 2, 3, 4, 5. The ball icon is at 1. The cone icon is at 3.",still,1,1,1,1,still,3,3,3,3,left,left,False,The ball icon is to the right of the cone icon.,right,right,"Fixed screen slots, left to right: 1, 2, 3, 4, 5. The ball icon is at 3. The cone icon is at 1.",still,3,3,3,3,still,1,1,1,1,right,right,False,23,23,11,11
static_offset__ball_cone__numbered_right_to_left__compact__target_first__target_first,1.2,applied,static_placement,off_center_reference,static_offset,ball_cone,ball,cone,reader_view_fixed_screen,numbered_right_to_left,"5, 4, 3, 2, 1",compact,target_first,reference,target_first,Target1,Target2,The ball icon is to the left of the cone icon.,left,left,"Fixed screen slots, left to right: 5, 4, 3, 2, 1. The ball icon is at 5. The cone icon is at 3.",still,1,5,1,5,still,3,3,3,3,left,left,False,The ball icon is to the right of the cone icon.,right,right,"Fixed screen slots, left to right: 5, 4, 3, 2, 1. The ball icon is at 3. The cone icon is at 5.",still,3,3,3,3,still,1,5,1,5,right,right,False,23,23,11,11
static_offset__ball_cone__lettered_positions__compact__target_first__target_first,1.2,applied,static_placement,off_center_reference,static_offset,ball_cone,ball,cone,reader_view_fixed_screen,lettered_positions,"A, B, C, D, E",compact,target_first,reference,target_first,Target1,Target2,The ball icon is to the left of the cone icon.,left,left,"Fixed screen slots, left to right: A, B, C, D, E. The ball icon is at A. The cone icon is at C.",still,1,A,1,A,still,3,C,3,C,left,left,False,The ball icon is to the right of the cone icon.,right,right,"Fixed screen slots, left to right: A, B, C, D, E. The ball icon is at C. The cone icon is at A.",still,3,C,3,C,still,1,A,1,A,right,right,False,23,23,11,11
target_cross_full__ball_cone__named_positions__compact__target_first__target_first,1.2,applied,target_crosses,full_crossing,target_cross_full,ball_cone,ball,cone,reader_view_fixed_screen,named_positions,"far-left, inner-left, center, inner-right, far-right",compact,target_first,reference,target_first,Target1,Target2,The ball icon is to the left of the cone icon.,left,left,"Fixed screen slots, left to right: far-left, inner-left, center, inner-right, far-right. The ball icon moves from far-right to far-left. The cone icon stays at center.",left,5,far-right,1,far-left,still,3,center,3,center,right,left,True,The ball icon is to the right of the cone icon.,right,right,"Fixed screen slots, left to right: far-left, inner-left, center, inner-right, far-right. The ball icon moves from far-left to far-right. The cone icon stays at center.",right,1,far-left,5,far-right,still,3,center,3,center,left,right,True,31,31,11,11
