source_kind,grouping,group,method,first_answer,second_answer,n_pairs,n_judgments,accuracy,first_gold_accuracy,second_gold_accuracy,first_chosen_fraction,second_chosen_fraction,choice_gap_percentage_points,both_correct_fraction,always_first_fraction,always_second_fraction,both_wrong_fraction,pair_with_tie_fraction,tie_judgments,context_sensitivity_accuracy
close_far_evidence,condition_id,direct_label,raw,close,far,40,80,0.975,0.95,1.0,0.475,0.525,-5.000000000000004,0.95,0.0,0.05,0.0,0.0,0,1.0
close_far_evidence,condition_id,direct_label,pmi,close,far,40,80,0.85,0.7,1.0,0.35,0.65,-30.000000000000004,0.7,0.0,0.3,0.0,0.0,0,1.0
close_far_evidence,condition_id,proximity_paraphrase,raw,close,far,40,80,0.9,0.8,1.0,0.4,0.6,-19.999999999999996,0.8,0.0,0.2,0.0,0.0,0,0.7375
close_far_evidence,condition_id,proximity_paraphrase,pmi,close,far,40,80,0.6625,0.325,1.0,0.1625,0.8375,-67.5,0.325,0.0,0.675,0.0,0.0,0,0.7375
close_far_evidence,condition_id,physical_placement,raw,close,far,40,80,0.5625,0.9,0.225,0.8375,0.1625,67.5,0.2,0.7,0.025,0.075,0.0,0,0.5125
close_far_evidence,condition_id,physical_placement,pmi,close,far,40,80,0.5249999999999999,0.575,0.475,0.55,0.45,10.000000000000004,0.125,0.45,0.35,0.075,0.0,0,0.5125
close_far_evidence,condition_id+context_entity_order,direct_label|,raw,close,far,40,80,0.975,0.95,1.0,0.475,0.525,-5.000000000000004,0.95,0.0,0.05,0.0,0.0,0,1.0
close_far_evidence,condition_id+context_entity_order,direct_label|,pmi,close,far,40,80,0.85,0.7,1.0,0.35,0.65,-30.000000000000004,0.7,0.0,0.3,0.0,0.0,0,1.0
close_far_evidence,condition_id+context_entity_order,proximity_paraphrase|,raw,close,far,40,80,0.9,0.8,1.0,0.4,0.6,-19.999999999999996,0.8,0.0,0.2,0.0,0.0,0,0.7375
close_far_evidence,condition_id+context_entity_order,proximity_paraphrase|,pmi,close,far,40,80,0.6625,0.325,1.0,0.1625,0.8375,-67.5,0.325,0.0,0.675,0.0,0.0,0,0.7375
close_far_evidence,condition_id+context_entity_order,physical_placement|,raw,close,far,40,80,0.5625,0.9,0.225,0.8375,0.1625,67.5,0.2,0.7,0.025,0.075,0.0,0,0.5125
close_far_evidence,condition_id+context_entity_order,physical_placement|,pmi,close,far,40,80,0.5249999999999999,0.575,0.475,0.55,0.45,10.000000000000004,0.125,0.45,0.35,0.075,0.0,0,0.5125
close_far_evidence,condition_id+target_order,direct_label|person_first,raw,close,far,20,40,0.95,0.9,1.0,0.45,0.55,-10.000000000000004,0.9,0.0,0.1,0.0,0.0,0,1.0
close_far_evidence,condition_id+target_order,direct_label|person_first,pmi,close,far,20,40,0.775,0.55,1.0,0.275,0.725,-44.99999999999999,0.55,0.0,0.45,0.0,0.0,0,1.0
close_far_evidence,condition_id+target_order,direct_label|object_first,raw,close,far,20,40,1.0,1.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0,1.0
close_far_evidence,condition_id+target_order,direct_label|object_first,pmi,close,far,20,40,0.925,0.85,1.0,0.425,0.575,-14.999999999999996,0.85,0.0,0.15,0.0,0.0,0,1.0
close_far_evidence,condition_id+target_order,proximity_paraphrase|person_first,raw,close,far,20,40,0.875,0.75,1.0,0.375,0.625,-25.0,0.75,0.0,0.25,0.0,0.0,0,0.825
close_far_evidence,condition_id+target_order,proximity_paraphrase|person_first,pmi,close,far,20,40,0.55,0.1,1.0,0.05,0.95,-89.99999999999999,0.1,0.0,0.9,0.0,0.0,0,0.825
close_far_evidence,condition_id+target_order,proximity_paraphrase|object_first,raw,close,far,20,40,0.925,0.85,1.0,0.425,0.575,-14.999999999999996,0.85,0.0,0.15,0.0,0.0,0,0.65
close_far_evidence,condition_id+target_order,proximity_paraphrase|object_first,pmi,close,far,20,40,0.775,0.55,1.0,0.275,0.725,-44.99999999999999,0.55,0.0,0.45,0.0,0.0,0,0.65
close_far_evidence,condition_id+target_order,physical_placement|person_first,raw,close,far,20,40,0.675,0.9,0.45,0.725,0.275,44.99999999999999,0.4,0.5,0.05,0.05,0.0,0,0.525
close_far_evidence,condition_id+target_order,physical_placement|person_first,pmi,close,far,20,40,0.625,0.3,0.95,0.175,0.825,-64.99999999999999,0.25,0.05,0.7,0.0,0.0,0,0.525
close_far_evidence,condition_id+target_order,physical_placement|object_first,raw,close,far,20,40,0.45,0.9,0.0,0.95,0.05,89.99999999999999,0.0,0.9,0.0,0.1,0.0,0,0.5
close_far_evidence,condition_id+target_order,physical_placement|object_first,pmi,close,far,20,40,0.425,0.85,0.0,0.925,0.075,85.00000000000001,0.0,0.85,0.0,0.15,0.0,0,0.5
