probe_id,probe_type,probe_version,scene_id,evidence_match_id,target_order_match_id,setting_match_id,setting_id,setting,endpoint_geometry,name_id,name,object_id,object,condition_id,evidence_type,context_structure,context_entity_order,target_order,reverses_context_entity_order,same_setting_in_both_contexts,close_requires_body_part_inference,far_requires_endpoint_inference,relation_words_explicit,distance_magnitude_explicit,target_relation_clause_repeated,Context1,Context2,Target1,Target2,Context1_word_count,Context1_token_count,Context2_word_count,Context2_token_count,Target1_word_count,Target1_token_count,Target2_word_count,Target2_token_count
gym__name_maya__obj_ball__direct_label__object_first,close_far_matched_scenes,1.1,gym__name_maya__obj_ball,gym__name_maya__obj_ball__object_first,gym__name_maya__obj_ball__direct_label,name_maya__obj_ball__direct_label__object_first,gym,gym,ends,name_maya,Maya,obj_ball,ball,direct_label,explicit_relation,locative_object_subject,object_first,object_first,False,True,False,False,True,False,True,"In the gym, the ball is close to Maya.","In the gym, the ball is far from Maya.",The ball is close to Maya.,The ball is far from Maya.,9,11,9,11,6,7,6,7
gym__name_maya__obj_ball__direct_label__person_first,close_far_matched_scenes,1.1,gym__name_maya__obj_ball,gym__name_maya__obj_ball__person_first,gym__name_maya__obj_ball__direct_label,name_maya__obj_ball__direct_label__person_first,gym,gym,ends,name_maya,Maya,obj_ball,ball,direct_label,explicit_relation,locative_object_subject,object_first,person_first,True,True,False,False,True,False,False,"In the gym, the ball is close to Maya.","In the gym, the ball is far from Maya.",Maya is close to the ball.,Maya is far from the ball.,9,11,9,11,6,8,6,8
gym__name_maya__obj_ball__distance_phrase__object_first,close_far_matched_scenes,1.1,gym__name_maya__obj_ball,gym__name_maya__obj_ball__object_first,gym__name_maya__obj_ball__distance_phrase,name_maya__obj_ball__distance_phrase__object_first,gym,gym,ends,name_maya,Maya,obj_ball,ball,distance_phrase,distance_magnitude_phrase,locative_distance_subject,person_first,object_first,True,True,False,False,False,True,False,"In the gym, a short distance separates Maya and the ball.","In the gym, a long distance separates Maya and the ball.",The ball is close to Maya.,The ball is far from Maya.,11,13,11,13,6,7,6,7
gym__name_maya__obj_ball__distance_phrase__person_first,close_far_matched_scenes,1.1,gym__name_maya__obj_ball,gym__name_maya__obj_ball__person_first,gym__name_maya__obj_ball__distance_phrase,name_maya__obj_ball__distance_phrase__person_first,gym,gym,ends,name_maya,Maya,obj_ball,ball,distance_phrase,distance_magnitude_phrase,locative_distance_subject,person_first,person_first,False,True,False,False,False,True,False,"In the gym, a short distance separates Maya and the ball.","In the gym, a long distance separates Maya and the ball.",Maya is close to the ball.,Maya is far from the ball.,11,13,11,13,6,8,6,8
gym__name_maya__obj_ball__distance_phrase_object_first__object_first,close_far_matched_scenes,1.1,gym__name_maya__obj_ball,gym__name_maya__obj_ball__object_first,gym__name_maya__obj_ball__distance_phrase_object_first,name_maya__obj_ball__distance_phrase_object_first__object_first,gym,gym,ends,name_maya,Maya,obj_ball,ball,distance_phrase_object_first,distance_magnitude_phrase,locative_distance_subject,object_first,object_first,False,True,False,False,False,True,False,"In the gym, a short distance separates the ball and Maya.","In the gym, a long distance separates the ball and Maya.",The ball is close to Maya.,The ball is far from Maya.,11,13,11,13,6,7,6,7
gym__name_maya__obj_ball__distance_phrase_object_first__person_first,close_far_matched_scenes,1.1,gym__name_maya__obj_ball,gym__name_maya__obj_ball__person_first,gym__name_maya__obj_ball__distance_phrase_object_first,name_maya__obj_ball__distance_phrase_object_first__person_first,gym,gym,ends,name_maya,Maya,obj_ball,ball,distance_phrase_object_first,distance_magnitude_phrase,locative_distance_subject,object_first,person_first,True,True,False,False,False,True,False,"In the gym, a short distance separates the ball and Maya.","In the gym, a long distance separates the ball and Maya.",Maya is close to the ball.,Maya is far from the ball.,11,13,11,13,6,8,6,8
gym__name_maya__obj_ball__endpoint_placement__object_first,close_far_matched_scenes,1.1,gym__name_maya__obj_ball,gym__name_maya__obj_ball__object_first,gym__name_maya__obj_ball__endpoint_placement,name_maya__obj_ball__endpoint_placement__object_first,gym,gym,ends,name_maya,Maya,obj_ball,ball,endpoint_placement,physical_endpoint_placement,two_sentence_person_then_object,person_first,object_first,True,True,True,True,False,False,False,"In the gym, Maya stands at one end. The ball rests at Maya's feet.","In the gym, Maya stands at one end. The ball rests at the other end.",The ball is close to Maya.,The ball is far from Maya.,15,18,15,18,6,7,6,7
gym__name_maya__obj_ball__endpoint_placement__person_first,close_far_matched_scenes,1.1,gym__name_maya__obj_ball,gym__name_maya__obj_ball__person_first,gym__name_maya__obj_ball__endpoint_placement,name_maya__obj_ball__endpoint_placement__person_first,gym,gym,ends,name_maya,Maya,obj_ball,ball,endpoint_placement,physical_endpoint_placement,two_sentence_person_then_object,person_first,person_first,False,True,True,True,False,False,False,"In the gym, Maya stands at one end. The ball rests at Maya's feet.","In the gym, Maya stands at one end. The ball rests at the other end.",Maya is close to the ball.,Maya is far from the ball.,15,18,15,18,6,8,6,8
courtyard__name_maya__obj_ball__direct_label__object_first,close_far_matched_scenes,1.1,courtyard__name_maya__obj_ball,courtyard__name_maya__obj_ball__object_first,courtyard__name_maya__obj_ball__direct_label,name_maya__obj_ball__direct_label__object_first,courtyard,courtyard,edges,name_maya,Maya,obj_ball,ball,direct_label,explicit_relation,locative_object_subject,object_first,object_first,False,True,False,False,True,False,True,"In the courtyard, the ball is close to Maya.","In the courtyard, the ball is far from Maya.",The ball is close to Maya.,The ball is far from Maya.,9,11,9,11,6,7,6,7
courtyard__name_maya__obj_ball__direct_label__person_first,close_far_matched_scenes,1.1,courtyard__name_maya__obj_ball,courtyard__name_maya__obj_ball__person_first,courtyard__name_maya__obj_ball__direct_label,name_maya__obj_ball__direct_label__person_first,courtyard,courtyard,edges,name_maya,Maya,obj_ball,ball,direct_label,explicit_relation,locative_object_subject,object_first,person_first,True,True,False,False,True,False,False,"In the courtyard, the ball is close to Maya.","In the courtyard, the ball is far from Maya.",Maya is close to the ball.,Maya is far from the ball.,9,11,9,11,6,8,6,8
