definition_variant_id,original_probe_id,naming_probe_id,definition_structure_id,naming_context_id,modifier_id,adjective_pair_id,original_context_word_count,naming_context_word_count
def_0_mod_0_adj_0,definition_to_word__label_0__def_0_mod_0_adj_0,definition_to_word__name_0__def_0_mod_0_adj_0,def_0,name_0,mod_0,adj_0,5,9
def_0_mod_0_adj_1,definition_to_word__label_0__def_0_mod_0_adj_1,definition_to_word__name_0__def_0_mod_0_adj_1,def_0,name_0,mod_0,adj_1,5,9
def_0_mod_1_adj_0,definition_to_word__label_0__def_0_mod_1_adj_0,definition_to_word__name_0__def_0_mod_1_adj_0,def_0,name_0,mod_1,adj_0,5,9
def_0_mod_1_adj_1,definition_to_word__label_0__def_0_mod_1_adj_1,definition_to_word__name_0__def_0_mod_1_adj_1,def_0,name_0,mod_1,adj_1,5,9
def_0_mod_2_adj_0,definition_to_word__label_0__def_0_mod_2_adj_0,definition_to_word__name_0__def_0_mod_2_adj_0,def_0,name_0,mod_2,adj_0,5,9
def_0_mod_2_adj_1,definition_to_word__label_0__def_0_mod_2_adj_1,definition_to_word__name_0__def_0_mod_2_adj_1,def_0,name_0,mod_2,adj_1,5,9
def_1_mod_0_adj_0,definition_to_word__label_0__def_1_mod_0_adj_0,definition_to_word__name_1__def_1_mod_0_adj_0,def_1,name_1,mod_0,adj_0,8,11
def_1_mod_0_adj_1,definition_to_word__label_0__def_1_mod_0_adj_1,definition_to_word__name_1__def_1_mod_0_adj_1,def_1,name_1,mod_0,adj_1,8,11
def_1_mod_1_adj_0,definition_to_word__label_0__def_1_mod_1_adj_0,definition_to_word__name_1__def_1_mod_1_adj_0,def_1,name_1,mod_1,adj_0,8,11
def_1_mod_1_adj_1,definition_to_word__label_0__def_1_mod_1_adj_1,definition_to_word__name_1__def_1_mod_1_adj_1,def_1,name_1,mod_1,adj_1,8,11
def_1_mod_2_adj_0,definition_to_word__label_0__def_1_mod_2_adj_0,definition_to_word__name_1__def_1_mod_2_adj_0,def_1,name_1,mod_2,adj_0,8,11
def_1_mod_2_adj_1,definition_to_word__label_0__def_1_mod_2_adj_1,definition_to_word__name_1__def_1_mod_2_adj_1,def_1,name_1,mod_2,adj_1,8,11
def_2_mod_0_adj_0,definition_to_word__label_0__def_2_mod_0_adj_0,definition_to_word__name_2__def_2_mod_0_adj_0,def_2,name_2,mod_0,adj_0,9,12
def_2_mod_0_adj_1,definition_to_word__label_0__def_2_mod_0_adj_1,definition_to_word__name_2__def_2_mod_0_adj_1,def_2,name_2,mod_0,adj_1,9,12
def_2_mod_1_adj_0,definition_to_word__label_0__def_2_mod_1_adj_0,definition_to_word__name_2__def_2_mod_1_adj_0,def_2,name_2,mod_1,adj_0,9,12
def_2_mod_1_adj_1,definition_to_word__label_0__def_2_mod_1_adj_1,definition_to_word__name_2__def_2_mod_1_adj_1,def_2,name_2,mod_1,adj_1,9,12
def_2_mod_2_adj_0,definition_to_word__label_0__def_2_mod_2_adj_0,definition_to_word__name_2__def_2_mod_2_adj_0,def_2,name_2,mod_2,adj_0,9,12
def_2_mod_2_adj_1,definition_to_word__label_0__def_2_mod_2_adj_1,definition_to_word__name_2__def_2_mod_2_adj_1,def_2,name_2,mod_2,adj_1,9,12
